,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.25958132588017646,0.5202032160338148,0.03713604645383195,0.09076266397236632,0.20088518605471106,0.4054454507204761,0.14218904622924566,0.29068768540713735
1,2,0.4322409872036106,0.7133373509123578,0.06997083032018392,0.15403355993723145,0.3359273916463068,0.561257841417366,0.23961379608900307,0.4091783319223743
2,3,0.5514970481999988,0.8024396244713279,0.0990825403315152,0.19921182632751544,0.4303424377389797,0.6360792481811705,0.30918782727796057,0.46971887189101297
3,4,0.6365193027236847,0.8497269423106812,0.12495262318544709,0.23199420641137825,0.49857332280735556,0.6774402560244164,0.36062734289102627,0.5051535697381515
4,5,0.6987896761819542,0.8773085233996962,0.14798483029890508,0.25601487886219787,0.5492876247014193,0.7024997106650475,0.3997855732208843,0.5276908979303987
5,6,0.745461199058255,0.8944675506116954,0.16852000130422873,0.27368998459545213,0.587898393618832,0.718617140036403,0.43033558817940903,0.5427667294611107
6,7,0.7811438143846656,0.90561042026822,0.18684764671924536,0.28668081073911067,0.6179048354664269,0.7293784950366785,0.45466585654818814,0.553146569805137
7,8,0.8088976756920321,0.9130353787128587,0.2032151020610128,0.29616148075417337,0.6416383539980335,0.7367110509553898,0.47437903230403483,0.560386723197921
8,9,0.8308076973217247,0.9180342489864647,0.21783482129430598,0.30298070699233925,0.6606943300810615,0.7417338119109818,0.49058096284039854,0.5654333748354989
9,10,0.8483274868070791,0.9213787441065461,0.23089023172515066,0.30776336916370506,0.6761907784669638,0.7451379185597659,0.5040540701268487,0.5688970930129855
10,11,0.862491565364732,0.9235537427974275,0.24254046724311984,0.31097649262318305,0.6889280945170265,0.7473721115188368,0.5153646236693211,0.5711904802402461
11,12,0.8740499028266672,0.9248770914023353,0.2529242200601274,0.3129733963275435,0.6994904360018286,0.7487398174387118,0.5249309691769899,0.5726025434750882
