,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.31256101884866316,0.5974464208613479,0.04114600531856172,0.10020384497061374,0.24124787231198314,0.4648876987034222,0.1699347257753031,0.33232897654549653
1,2,0.5049292984908473,0.7850971991879754,0.07735732073559909,0.16931991120630085,0.3916151067546472,0.6175880498540944,0.2783009150184471,0.45007890052021354
2,3,0.6293738649445062,0.8628650024739515,0.10932756672710453,0.21828597210328626,0.4903939919464865,0.6845945719120808,0.3514141189484668,0.5063241413502102
3,4,0.7132648184448068,0.9012206189434032,0.1376294167718889,0.2536088455091273,0.5581885169103808,0.7197387425248118,0.4031122153759549,0.5382568661062204
4,5,0.7718082377816161,0.9224626468208288,0.16273933079544367,0.27937708517896587,0.6064681839482033,0.7403877845741144,0.4411281301147906,0.5583129223273999
5,6,0.8138805516714076,0.9351932987991187,0.18505654905643953,0.2982753347433421,0.6419458554984633,0.7534322573422804,0.4700111593255188,0.571671215885442
6,7,0.8448856841188296,0.9432390695917764,0.20491782715499252,0.3121306986369875,0.668722251915388,0.762050525064979,0.49255881971194654,0.5808619805381816
7,8,0.8682347452763204,0.9484955472407931,0.22260897475887698,0.32222367148625464,0.6893970291038969,0.7678863731614406,0.5105593129314733,0.5872771990820881
8,9,0.8861498443468847,0.9519844549833645,0.23837397020594886,0.32947350691393007,0.7056726928577273,0.7718691126464223,0.5251955413685696,0.59175377030948
9,10,0.9001191700340936,0.9542952591463327,0.25242221861408365,0.3345532506111354,0.7186967648655829,0.7745623839059221,0.5372743596970722,0.5948295086655115
10,11,0.9111641216703452,0.9557876309081001,0.2649343752778821,0.33796367052315623,0.7292628300352941,0.7763277041868925,0.547361538400243,0.5968677774656846
11,12,0.9200012021238971,0.9566915536964642,0.2760670508996762,0.34008226014176557,0.737932530807049,0.777407547655996,0.5558638594902008,0.5981235416155276
12,13,0.9271429605018675,0.9571600244747787,0.2859566384481128,0.34119661773676435,0.7451117494163428,0.7779704741482053,0.5630805383308181,0.598780923821632
13,14,0.9329625555162239,0.9572983073072354,0.29472244488346455,0.3415277369877098,0.7510994256552519,0.7781370766090484,0.56923629579428,0.5989758459108614
14,15,0.9377360101521668,0.9571809271827553,0.3024692689210434,0.3412466050911459,0.7561195783100662,0.7779956447134094,0.5745031464679655,0.5988103622440635
15,16,0.9416704480238811,0.9570676658589302,0.3092895344321801,0.3409760219484519,0.7603427600573676,0.7778593128612245,0.579015072090854,0.5986509598635186
16,17,0.9449233235056782,0.9572742978559774,0.3152650651883533,0.3414701741432493,0.7639007144126975,0.778108135683458,0.582878105319717,0.5989419735109385
17,18,0.9476157475420138,0.9572757158954059,0.32046856842797766,0.3414735730611199,0.7668965687773442,0.778109844815097,0.5861773900126747,0.5989439737347884
18,19,0.9498418703371196,0.9571062603302831,0.3249648807188402,0.3410681495276957,0.7694120406112122,0.7779057536532008,0.5889822108853047,0.5987052469761184
19,20,0.9511962481016806,0.9572228606365367,0.32779328111972994,0.3413469550037119,0.7709609110729276,0.778046153874703,0.5907255740441747,0.5988694471128693
20,21,0.9492291494864095,0.9572983073072354,0.3237088541730663,0.3415277369877098,0.7687160134695374,0.7781370766090484,0.5882028774526655,0.5989758459108614
21,22,0.9470312313709088,0.9572297337078236,0.31931781608201215,0.34136341157560224,0.7662420015075315,0.778054434306094,0.5854527716441542,0.5988791349043643
22,23,0.9446092091834078,0.957161073742148,0.314673702194999,0.34119912644071215,0.7635543090063569,0.7779717375426922,0.5824994088293058,0.5987824013432365
23,24,0.9419679119820518,0.9572836718970037,0.3098227239929221,0.3414926448700253,0.7606655076552081,0.778119434401962,0.5793631033283644,0.5989551969069202
24,25,0.9391107883807952,0.9572842290084291,0.30480486212417035,0.3414939804799918,0.7575858973752762,0.7781201059286759,0.5760610063697571,0.5989559828489226
25,26,0.9360402881734124,0.9571761793235966,0.29965476975899796,0.3412352489128194,0.7543239689073631,0.7779899270465781,0.5726076496413136,0.5988036747695596
26,27,0.9327581536885095,0.9572496287805533,0.29440252469468353,0.3414110614170447,0.750886770670633,0.7780784059861803,0.5690153876527566,0.5989071831918074
27,28,0.9292656446107536,0.9572983073072354,0.28907425980520784,0.3415277369877098,0.7472802028070695,0.7781370766090484,0.5652947610033856,0.5989758459108614
28,29,0.9255637130640838,0.9572526878016675,0.2836926948187658,0.34141838979187655,0.7435092550517923,0.7780820921872191,0.5614547970395009,0.5989114965727707
29,30,0.9216531410057476,0.9571212423514848,0.2782775874224118,0.341103933551253,0.739578200689639,0.7779237857463868,0.5575032603735304,0.5987263291412886
30,31,0.9175346486869868,0.9569111837748263,0.2728461179064069,0.34060328259738726,0.7354907557557813,0.7776711769965936,0.5534468628245759,0.5984311702183608
31,32,0.9132089806213184,0.9566286831508652,0.2674132186621011,0.33993357014333137,0.7312502104094529,0.7773321735156264,0.5492914401975875,0.5980356638803876
32,33,0.9086769738536098,0.9562790449333893,0.261991857611767,0.33911033876281504,0.7268595377877493,0.7769137356061966,0.5450421017218889,0.5975484262790038
