,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.362139537789124,0.6651031550974951,0.04380151406049637,0.10636026898410966,0.2790023346192574,0.5169770257658187,0.19586513144939077,0.3688508964341424
1,2,0.570257808416262,0.8431531979020034,0.082203230027584,0.17909880334673,0.4416640990471387,0.6633179799830234,0.3130703896780155,0.4834827620640435
2,3,0.6968831863081925,0.9090053675473423,0.11599176471378525,0.23031385090433487,0.5424880375243287,0.7219372770086466,0.388092888740465,0.534869186469951
3,4,0.7776754672284156,0.9389001798355172,0.1458117230190682,0.26709180476472183,0.6083080271808309,0.7511070342296227,0.438940587133246,0.5633138886237281
4,5,0.831337088262136,0.9544745768136291,0.1721957335725114,0.29383145044664516,0.6532259091882398,0.7677622525974976,0.47511473011434324,0.5810499283813662
5,6,0.868223421698334,0.9633948473395063,0.19558727920215613,0.31339312332985925,0.6850718556882149,0.7781296626622572,0.5019202896780959,0.5928644779850082
6,7,0.894339650333928,0.9688461176857877,0.21635824271866655,0.3277082456894883,0.7084040977031432,0.7849303207971655,0.5224685450723583,0.6010145239085432
7,8,0.9133103282102414,0.9723203668967942,0.23482252855382169,0.3381218254864474,0.7259877324016072,0.7895206370182879,0.5386651365929729,0.6067209071397816
8,9,0.9274009030590767,0.9745850683935069,0.2512467372744275,0.3455944664826337,0.7395621694983768,0.7926494769969993,0.5517234359376769,0.6107138856004917
9,10,0.9380716054668895,0.9760658182572653,0.2658586034058278,0.3508265761587912,0.7502575963921747,0.7947646200439793,0.5624435873174599,0.6134634218306932
10,11,0.946289717804574,0.9770136360584175,0.2788537191567062,0.3543375529079513,0.7588300285302031,0.7961510587283475,0.5713703392558322,0.6152884813982773
11,12,0.9527118060671679,0.9775843954448771,0.2904009326033571,0.35651790480808687,0.765798675183069,0.7969992611059868,0.5788855442989702,0.6164141267670966
12,13,0.9577933910279676,0.9778791939595589,0.3006467121298305,0.3576645317186832,0.7715287605856597,0.7974414874016106,0.5852641301433518,0.6170037808436621
13,14,0.961856801326674,0.9779660798848542,0.3097186983027955,0.3580052105890229,0.7762828825256581,0.7975723763163627,0.5907089637246423,0.6171786727478712
14,15,0.9651342155629578,0.9778923314429896,0.31772861229735416,0.3577159630866694,0.7802536831646536,0.7974612620419963,0.5953731507663496,0.6170301926410031
15,16,0.9677955918056362,0.9778211294468503,0.32477465124122595,0.35743755985305503,0.7835851211276563,0.7973541573521605,0.5993746504496764,0.6168871852574708
16,17,0.9699671692741467,0.9779509986041152,0.33094347174732763,0.35794598681899825,0.7863866204192743,0.7975496389793926,0.6028060715644019,0.6171482793546699
17,18,0.971743958786774,0.9779518893812565,0.33631184087149957,0.35794948382077674,0.7887426681191242,0.7975509817491437,0.6057413774514744,0.617150074117031
18,19,0.9731983229254935,0.9778453965069731,0.34094801691610843,0.35753235099174363,0.7907194441552272,0.7973906417491465,0.608240565384961,0.6169358869913202
19,20,0.9740764333508624,0.977918682711684,0.3438631622700926,0.3578192109554035,0.791936153233337,0.7975009436149025,0.6097958731158117,0.6170832045181209
20,21,0.9727993790687719,0.9779660798848542,0.339653162645144,0.3580052105890229,0.7901725807912863,0.7975723763163627,0.6075457825138009,0.6171786727478712
21,22,0.9713598545751247,0.9779230012654084,0.3351249057643638,0.35783614265268127,0.7882280783886673,0.7975074490164055,0.6050963022022098,0.6170918967674024
22,23,0.9697586433600726,0.9778798534636607,0.3303331686930099,0.3576671129001947,0.7861140412811042,0.797442479954442,0.6024694392021357,0.6170051064452233
23,24,0.967995277825075,0.977956887025564,0.3253252596130569,0.35796910596651477,0.7838394274723158,0.7975585157628808,0.5996835771195567,0.6171601445001975
24,25,0.9660683746421553,0.9779572369733209,0.3201421393203657,0.35797048011524824,0.7814112289180717,0.7975590433452039,0.5967540831939881,0.6171608497170868
25,26,0.9639758900409281,0.9778893475050184,0.3148193457247169,0.3577042788823095,0.7788348462050547,0.797456770088374,0.5936938023691812,0.6170241926717295
26,27,0.9617153177185229,0.9779355010836269,0.3093877617919981,0.3578851680307723,0.7761143907279079,0.7975262820791513,0.5905134637372929,0.6171170630746758
27,28,0.9592838449312584,0.9779660798848542,0.30387425796722234,0.3580052105890229,0.7732529314995091,0.7975723763163627,0.5872220180677599,0.6171786727478712
28,29,0.9566784775879955,0.9779374229159733,0.2983022331058913,0.35789270793391137,0.7702526990130261,0.7975291781064267,0.5838269204380566,0.6171209332968799
29,30,0.9538961419698688,0.9778548154896121,0.2926920726700051,0.35756916931413674,0.7671152552911354,0.7974048080435351,0.5803343686124021,0.6169548005974581
30,31,0.9509337685161636,0.977722689974139,0.2870615389512534,0.35705403354926757,0.7638416369371143,0.797206358853041,0.5767495053580649,0.6166900277319431
31,32,0.9477883616024351,0.977544779850617,0.2814261050352924,0.35636489775917546,0.7604324763386452,0.7969400515220048,0.5730765910748554,0.6163353231933923
32,33,0.944457058175561,0.9773242424779353,0.2757992418766627,0.3555177165589246,0.7568881049662017,0.796611363055687,0.5693191517568426,0.6158984836334389
33,34,0.9409371773577802,0.9770637575916905,0.2701926660380223,0.35452697611759987,0.7532086418183794,0.7962251318156282,0.5654801062789787,0.6153865060395658
34,35,0.9372262625925093,0.9767656068438004,0.2646165542305634,0.3534058467449174,0.749394069404326,0.7957856449971075,0.5615618762161427,0.6148056831504145
35,36,0.933322117514715,0.9764317384240522,0.2590797296790319,0.35216631706919177,0.7454442991549468,0.7952967117646361,0.5575664807951783,0.6141616851052203
36,37,0.9292228364441387,0.976063819864519,0.25358982445326095,0.35081931237779207,0.741359227775413,0.7947617247845754,0.5534956191066872,0.6134596297046317
37,38,0.9249268301906554,0.9756632814236141,0.24815342120516137,0.3493747992856996,0.7371387857603281,0.7941837123040605,0.549350741330001,0.6127041431845068
38,39,0.9204328477065842,0.9752313519151329,0.24277617718533917,0.3478418785625772,0.7327829790673147,0.7935653824753269,0.5451331104280452,0.6118994130355211
39,40,0.9157399940061233,0.9747690884436043,0.23746293295642495,0.3462288676707259,0.7282919247685814,0.792909161278385,0.5408438555310395,0.6110492341131655
40,41,0.9108477446868296,0.9742774011979702,0.23221780784758095,0.3445433743348604,0.723665881361447,0.7922172251268066,0.5364840180360645,0.6101570490556429
