,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.08154496576527237,0.192198585628923,0.10389398539092332,0.23875408568359746,0.07173043307954896,0.16990473085681387,0.06191590039382555,0.14761087608470475
1,2,0.15028143525658388,0.3122283383196519,0.18849360308001772,0.3771108888098951,0.13259161152385257,0.27770898342036054,0.11490178779112126,0.24318962852106923
2,3,0.20862589238997686,0.39115016145621273,0.2581767078959687,0.46358116609724753,0.18457189413186398,0.3495030287123561,0.1605178958737511,0.3078558959684995
3,4,0.25845377475123144,0.44496329824156433,0.31614539317723256,0.5204801161276866,0.22922355666330663,0.39895512036219394,0.19999333857538182,0.3529469424828236
4,5,0.3012369033936466,0.482582377867144,0.3647843455190044,0.559255815885819,0.26777196239426926,0.4338021234938783,0.23430702139489196,0.3850218691206127
5,6,0.33814224780783453,0.5092980611945264,0.4058982018234285,0.5862889956612591,0.3011943440462686,0.4587028865453984,0.26424644028470273,0.4081077118962705
6,7,0.370103875812557,0.5284167304840588,0.4408723989783131,0.6053762281117068,0.33027743620825034,0.4766076348022254,0.29045099660394363,0.424798539120392
7,8,0.3978760310948908,0.5420951288532959,0.470784419063647,0.6188989875686258,0.355660169710338,0.48946368509891586,0.3134443083257852,0.43683224134453574
8,9,0.4220727467645383,0.5517913110435633,0.4964821461363633,0.6284172816255037,0.37786567038754204,0.4986013035488274,0.33365859401054565,0.4454112960540916
9,10,0.4431977316009845,0.5585209281724559,0.5186399757981264,0.6349903764532789,0.3973255024650586,0.5049555277274622,0.35145327332913273,0.45139012728246863
10,11,0.4616671458105184,0.5630093793273618,0.5377996006030799,0.6393593370081541,0.414398222104713,0.5091993248545277,0.3671292983989076,0.4553892703816934
11,12,0.4778271220517024,0.5657856648606527,0.5544000648242059,0.6420556563881434,0.4293837105861556,0.5118266098613089,0.38094029912060884,0.4578675548619651
12,13,0.49196736330048785,0.5672422784426929,0.5688001913862226,0.64346846128741,0.44253434491025984,0.5132057669787715,0.39310132652003177,0.45916925551485
13,14,0.504331783544632,0.5676746057965815,0.5812955113288879,0.643887540466923,0.4540637756845169,0.5136152006906954,0.4037957678244017,0.4595557955848095
14,15,0.5151268993304428,0.5673075590315625,0.5921311805636627,0.6435317486359202,0.46415387840086925,0.5132675878603138,0.41318085747129574,0.4592276166890651
15,16,0.5245284961461595,0.5669541320741908,0.6015119331092083,0.6431890823828197,0.4729602984397756,0.5129329035860326,0.42139210073339173,0.4589116750978743
16,17,0.5326869609676851,0.5675994647117842,0.6096098217145138,0.6438147100685814,0.4806169047511927,0.5135440355072791,0.4285468485347002,0.45948860630277394
