,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.07181751771812916,0.1706146189972958,0.09764756441720379,0.22670890597320492,0.06766309487478803,0.1612248619649864,0.06350867203144689,0.151835104932677
1,2,0.13299573033450895,0.27977980639118216,0.17829911571659074,0.361920748715299,0.12553012915351638,0.26533798306711665,0.11806452797252381,0.2508961597430511
2,3,0.18542524731526477,0.3528703478976729,0.2455165149995724,0.4479046232168715,0.17530254808128898,0.3355400902537703,0.16517984884731318,0.3182098326098676
3,4,0.23059458647989162,0.4033916125624497,0.30198513756278555,0.5051106645859702,0.21832644457376113,0.38432805993347363,0.20605830266763064,0.36526450730449755
4,5,0.26968772796706,0.43907475227678705,0.3497568326207372,0.5443802782510809,0.2556774963832253,0.41892977089271943,0.2416672647993906,0.39878478950865187
5,6,0.3036553441807174,0.46461298477474067,0.3904187245464803,0.5718932261732512,0.2882232700006065,0.44377210223077374,0.2727911958204956,0.4229312196868068
6,7,0.33326747024562375,0.4829957786992214,0.4252123846227759,0.5913855601213183,0.31666949631579155,0.4616965704483299,0.3000715223859594,0.44039736219743847
7,8,0.3591529084772386,0.4962048169853731,0.4551192140268573,0.6052282349148874,0.3415948401746748,0.47459921594959387,0.32403677187211105,0.4529936149138147
8,9,0.3818290293660307,0.505598103396212,0.48092245611251283,0.6149879343310558,0.3634773055924376,0.4837866503425381,0.3451255818188445,0.46197519728886416
9,10,0.40172453796629004,0.51213239048829,0.5032528058838744,0.6217355070760868,0.38271448915492334,0.49018376998732915,0.36370444034355653,0.46823514948636835
10,11,0.41919703053380064,0.516497462476041,0.5226223500654594,0.6262239306821915,0.39963925948520923,0.4944600107846935,0.3800814884366178,0.4724225590933459
11,12,0.4345466531334822,0.5192002288480011,0.5394501000182162,0.6289953632486784,0.414532001313572,0.4971089109885614,0.39451734949366174,0.47501759312912173
12,13,0.4480268155695669,0.5206191305169701,0.5540813962531366,0.6304479469329785,0.4276302547179084,0.49849988415515334,0.40723369386624997,0.47638063779333656
13,14,0.45985266073158904,0.5210403793218747,0.566802796380633,0.6308788812988007,0.43913636167274517,0.49891288803077105,0.4184200626139014,0.4767853967396674
14,15,0.47020780848048827,0.520682734903827,0.5778536000475093,0.6305130229643485,0.4492235754143804,0.49856224227076923,0.4282393423482725,0.47644174963771146
15,16,0.47924976253624907,0.5203383971323434,0.5874348455486778,0.6301606789117309,0.458040974650593,0.49822465730429244,0.436832186764937,0.4761109174762415
16,17,0.4871142735614806,0.5209671599877351,0.595716388338864,0.6308039887999026,0.46571744162737305,0.49884110025480277,0.4443206096932655,0.47671504052187047
17,18,0.49391888153332,0.5209714835150139,0.6028425119195766,0.6308084112466281,0.47236490177787754,0.4988453392320935,0.4508109220224351,0.47671919494917314
18,19,0.4997658084611737,0.5204556489815151,0.6089364067023983,0.6302806678025357,0.4780809770415192,0.4983396081274207,0.45639614562186465,0.47622356727332626
19,20,0.5034281759035493,0.5208104096665221,0.6127396126352607,0.6306436418990853,0.4816633742900064,0.49868741682957424,0.45989857267646356,0.4765644239926263
20,21,0.49813556401156833,0.5210403793218747,0.6072400334059626,0.6308788812988007,0.4764868251435321,0.49891288803077105,0.4548380862754958,0.4767853967396674
21,22,0.492417561285339,0.5208313458366448,0.6012734017806491,0.6306650595947798,0.4708978061743359,0.4987079432022524,0.44937805106333284,0.47658454056786004
22,23,0.486338367145417,0.5206223227060128,0.594901499626106,0.6304512130593579,0.4649597832075662,0.4985030137844983,0.44358119926971545,0.4763837048629838
23,24,0.4799536881927714,0.5209957431135492,0.5881780759961356,0.6308332256076135,0.4587277915791519,0.49886912445677756,0.4375018949655324,0.47674250580000593
24,25,0.4733120935672366,0.5209974420068267,0.5811502216050857,0.6308349633328791,0.45224976870718736,0.49887079013243457,0.4311874438471381,0.47674413825804235
25,26,0.46645610578103824,0.5206682855263257,0.5738594525663154,0.6304982395527049,0.445567630318871,0.4985480759732095,0.42467915485670366,0.4764278664200934
26,27,0.45942308699392265,0.5208919639973951,0.5663425732331966,0.6307270699507973,0.4387181477463306,0.4987673751413423,0.4180132084987386,0.47664278628528933
27,28,0.4522459656755162,0.5210403793218747,0.5586323697558766,0.6308788812988007,0.4317336694452534,0.49891288803077105,0.4112213732149906,0.4767853967396674
28,29,0.44495383762040175,0.5209012865481571,0.5507581728255788,0.6307366063448685,0.4246427194417455,0.49877651530067746,0.4043316012630892,0.47665174405319777
29,30,0.4375724671871065,0.5205011882615591,0.5427463185107303,0.6303272671141594,0.41747049769265543,0.49838425416092047,0.3973685281982044,0.4762673200602819
30,31,0.43012470861848695,0.5198638761949754,0.5346205290625092,0.6296749673320479,0.4102393015957956,0.49775946554669315,0.39035389457310427,0.47565505489841087
31,32,0.4226308628004741,0.5190107610018608,0.5264022303653665,0.6288012743985367,0.4029688835744474,0.49692319075839475,0.38330690434842063,0.4748356205149286
32,33,0.4151089814248392,0.5179611548556061,0.5181108188287218,0.6277255427738853,0.39567675640372635,0.49589442337478984,0.37624453138261355,0.47382769189397356
33,34,0.40757512794952855,0.5167325145634898,0.5097638876036995,0.6264651889211434,0.3883784554703197,0.4946903436514988,0.36918178299111076,0.47264817273950777
34,35,0.4000436027869334,0.5153406514973503,0.5013774198089272,0.6250359260187577,0.3810877652624366,0.49332652132831456,0.3621319277379398,0.4713123911592789
35,36,0.3925271386428264,0.5137999135285876,0.49296595477825167,0.6234519651230885,0.373816915927849,0.4918170917306483,0.3551066932128716,0.46983426993270905
36,37,0.3850370707637526,0.5121233432548066,0.48454273206684606,0.6217261882378796,0.3665767546072779,0.49017490921017925,0.3481164384508032,0.46822647516555205
37,38,0.3775834859449201,0.5103228160750712,0.47611981697225736,0.6198702977677852,0.3593768953685805,0.48841168128690926,0.34117030479224086,0.46650054649874734
38,39,0.3701753534419613,0.5084091610758052,0.46770821057086187,0.6178949460441381,0.35222585087492986,0.486538086297555,0.3342763483078983,0.46466701151930473
39,40,0.36282064037179074,0.5063922672028358,0.4593179466838203,0.6158098479731349,0.34513114837301184,0.48456387689868485,0.32744165637423306,0.4627354865945339
40,41,0.3555264137452453,0.5042811767956762,0.4509581777295615,0.6136238793384956,0.33809943215179294,0.482497971397602,0.3206724505583407,0.46071476599952765
41,42,0.34829893092076936,0.502084168231087,0.44263725106160656,0.611345162868168,0.3311365542732584,0.48034853457418025,0.31397417762574736,0.4586129009172735
42,43,0.34114371998416915,0.49980882915090274,0.434362777108216,0.6089811438288171,0.324247655094594,0.4781230494003159,0.3073515902050189,0.4564372696497291
43,44,0.3340656513290541,0.49746212152343716,0.4261416904064662,0.6065386566276971,0.3174372348718113,0.47582838085050316,0.3008088184145686,0.4541946401775692
44,45,0.3270690015244311,0.4950504395999694,0.4179803044446907,0.6040239836672205,0.31070921754667613,0.4734708328193858,0.2943494335689211,0.4518912260388021
45,46,0.3201575104010358,0.4925796616710201,0.4098843610836188,0.6014429075036991,0.3040670076633283,0.47105619901357554,0.2879765049256207,0.44953273635613106
46,47,0.31333443215952317,0.49005519639583117,0.40185907521028874,0.5988007572008345,0.29751354123154505,0.4685898085604515,0.2816926503035669,0.4471244207250718
47,48,0.3066025811962516,0.4874820243682093,0.3939091751839565,0.5961024496345579,0.2910513312450434,0.4660765669718677,0.2755000812938352,0.4446711095755261
48,49,0.2999643732519839,0.4848647354890071,0.3860389395551901,0.5933525263939146,0.28468250847152654,0.4635209930122992,0.26940064369106925,0.4421772505355912
49,50,0.29342186241214796,0.4822075626370933,0.3782522304746365,0.5905551868289485,0.2784088580532281,0.46092725194619355,0.2633958536943083,0.43964694125529374
50,51,0.2869767744218562,0.47951441206421497,0.3705525241538138,0.5877143177177974,0.2722318523900127,0.45829918557586485,0.2574869303581691,0.43708395908751474
51,52,0.28063053672268423,0.4767888908827429,0.36294293869468364,0.5848335199588653,0.2661526807197281,0.45564033942732673,0.251674824716772,0.4344917879719106
52,53,0.27438430556966154,0.47403433196725175,0.35542625956594986,0.5819161326379116,0.26017227576088153,0.4529539873954601,0.24596024595210153,0.4318736428236684
53,54,0.26823899054482414,0.4712538165498693,0.348004962970869,0.5789652547724313,0.254291337739631,0.45024315412056937,0.24034368493443786,0.4292324916912695
54,55,0.26219527674696086,0.4684501947542262,0.34068123732271205,0.5759837649954189,0.24851035608550104,0.4475106353346665,0.23482543542404122,0.42657107591510685
55,56,0.25625364490508007,0.4656261042827069,0.33345700301921566,0.5729743394062945,0.24282962904735425,0.444759016386826,0.22940561318962843,0.42389192849094504
56,57,0.2504143896349368,0.46278398744578453,0.32633393068569705,0.5699394677875036,0.23724928145229676,0.4419906891319848,0.22408417326965674,0.4211973908181851
57,58,0.24467763603316828,0.45992610669985645,0.31931345803753697,0.5668814683602623,0.23176928080481932,0.4392078673459697,0.21886092557647036,0.418489627992083
58,59,0.2390433547817088,0.4570545588406728,0.31239680549602944,0.563802501231435,0.22638945190110416,0.4364126008108524,0.21373554902049952,0.41577064278103204
59,60,0.23351137591585325,0.4541712879826717,0.3055849906768756,0.5607045806650692,0.2211094901136909,0.4336067881984865,0.20870760431152857,0.4130422884143013
60,61,0.228081401392222,0.4512780974399714,0.29887884185751545,0.5575895862962016,0.21592897348422846,0.43079218886595433,0.20377654557623492,0.41030628029193733
61,62,0.22275301657778013,0.4483766606120735,0.292279010517955,0.5544592733907936,0.21084737374662246,0.42797043366431575,0.1989417309154648,0.40756420671655813
62,63,0.21752570076761524,0.44546853096623384,0.2857859830394339,0.5513152822437547,0.20586406638919424,0.4251430348512517,0.19420243201077325,0.40481753873626963
63,64,0.21239883682732508,0.4425551511987439,0.2794000916361551,0.5481591467966647,0.20097833985239033,0.42231139518872857,0.18955784287745558,0.4020676391787132
64,65,0.20737172004527715,0.43963786164884355,0.27312152458715144,0.5449923025478225,0.19618940394782625,0.41947681629848704,0.18500708785037534,0.3993157709481306
65,66,0.2024435662706885,0.4367179080314664,0.26695033582813965,0.5418160938193834,0.19149639757497525,0.41664050634080746,0.180549228879262,0.3965631046501485
66,67,0.19761351940513194,0.43379644854841004,0.2608864539567597,0.5386317804394947,0.18689839580336357,0.4138035870755287,0.1761832722015952,0.3938107256026474
67,68,0.19288065830774692,0.43087456043165595,0.25492969069888094,0.5354405438913137,0.1823944163806941,0.4109671003585441,0.17190817445364126,0.3910596402854323
68,69,0.1882440031678786,0.4279532459673733,0.24907974887855688,0.5322434929754998,0.17798342572069537,0.4081320141218967,0.16772284827351214,0.38831078227642013
69,70,0.1837025213930935,0.4250334380445274,0.24333622992969794,0.5290416690281191,0.17366434441864562,0.4052992278810582,0.16362616744419772,0.3855650177175889
70,71,0.17925513305537666,0.42211600526790594,0.23769864098350912,0.5258360507317739,0.16943605233732753,0.402469577808927,0.1596169716192784,0.3828231503499482
71,72,0.17490071593377698,0.4192017566716957,0.23216640156219226,0.5226275585541251,0.16529739330158744,0.39964384141245446,0.1556940706693979,0.38008592615321324
72,73,0.1706381101877268,0.41629144606647905,0.22673884990625304,0.519417058844754,0.16124717943559919,0.39682274184457467,0.15185624868347158,0.3773540376226703
73,74,0.16646612269169336,0.4133857760495555,0.22141524895997589,0.5162053676184009,0.1572841951733347,0.3940069518811956,0.14810226765497603,0.37462812771283577
74,75,0.1623835310586711,0.41048540170586856,0.21619479203715553,0.512993254050091,0.15340720096957053,0.39119709759039584,0.14443087088046996,0.3719087934749231
75,76,0.15838908737719604,0.4075909340244259,0.21107660818701057,0.509781443705327,0.14961493673592308,0.38839376171860907,0.14084078609465012,0.36919658941279226
76,77,0.1544815216841139,0.40470294305296306,0.20605976727828135,0.5065706215264973,0.14590612502392816,0.38559748681645345,0.13733072836374244,0.36649203057994395
77,78,0.1506595451931152,0.401821960811652,0.2011432848178245,0.5033614345947934,0.1422794739749633,0.3828087781249282,0.1338994027568114,0.3637955954382044
78,79,0.14692185329712293,0.39894848398491745,0.19632612651853698,0.5001544946852668,0.1387336800548655,0.3800281062409693,0.13054550681260807,0.3611077284970211
79,80,0.14326712836087607,0.39608297640881274,0.1916072126301196,0.49695038063117003,0.13526743058935567,0.37725590957975885,0.12726773281783527,0.358428842750705
80,81,0.13969404231854998,0.39322587136997866,0.18698542204505741,0.4937496405123636,0.13187940611486565,0.37449259664975343,0.12406476991118132,0.35575932192952814
81,82,0.1362012590898779,0.39037757373088877,0.1824595961911667,0.49055279368135063,0.1285682825579886,0.37173854815508744,0.12093530602609931,0.3530995225792861
82,83,0.1327874368270514,0.3875384618948867,0.17802854272118007,0.48736033263939604,0.12533273325558283,0.3689941189388116,0.11787802968411426,0.3504497759827366
83,84,0.1294512300036078,0.3847088896234333,0.1736910390090527,0.48417272477416584,0.12217143082648302,0.36625963977934095,0.11489163164935823,0.34781038993524865
84,85,0.12619129135555984,0.3818891877169873,0.16944583546198877,0.4809904139694243,0.11908304890482502,0.3635354190514968,0.11197480645409019,0.34518165038600623
85,86,0.12300627368418193,0.37907966557002704,0.16529165865657447,0.4778138220964695,0.11606626374414439,0.3608217442626116,0.10912625380410684,0.3425638229551962
86,87,0.11989483152912206,0.3762806126098954,0.16122721430687592,0.4746433503962425,0.1131197557006626,0.3581188834733429,0.10634467987220314,0.3399571543367904
87,88,0.11685562271982153,0.3734922996283804,0.15725119007188348,0.47147938076033813,0.11024221060349157,0.3554270866120723,0.10362879848716161,0.33736187359576425
88,89,0.11388730981263973,0.3707149800142501,0.15336225820926264,0.4683222769185078,0.1074323210189004,0.35274658669107534,0.10097733222516109,0.33477819336790066
89,90,0.11098856142053193,0.36794889089431715,0.14955907808199842,0.4651723855396641,0.10468878741524015,0.35007760093200246,0.09838901340994838,0.3322063109696877
90,91,0.10815805344165119,0.3651942541900177,0.14584029852419422,0.4620300372528594,0.10201031923464715,0.3474203318076237,0.09586258502764311,0.3296464094252297
91,92,0.1053944701928029,0.3624512775959491,0.14220456007197269,0.45889554759421125,0.09939563587720618,0.34477496800625096,0.09339680156160945,0.3270986584165527
92,93,0.102696505453297,0.3597201554863121,0.1386504970651714,0.4557692178853072,0.09684346760287019,0.3421416853247498,0.09099042975244337,0.32456321516318754
93,94,0.1000628634243782,0.3570010697547522,0.1351767396252721,0.4526513360481895,0.09435255635607301,0.33952064749560684,0.08864224928776782,0.3220402252364615
94,95,0.0974922596090898,0.3542941905926541,0.1317819155147817,0.4495421773616497,0.09192165651765141,0.336912006953076,0.08635105342621302,0.3195298233134979
95,96,0.09498342161714068,0.3515996772105824,0.12846465188307954,0.4464420051632014,0.08954953558840484,0.3343159055430681,0.08411564955966899,0.31703213387555385
96,97,0.09253508989907377,0.3489176785071769,0.12522357690356,0.4433510715007777,0.08723497480835649,0.3317324751810631,0.0819348597176392,0.3145472718549492
97,98,0.09014601841377268,0.3462483336894997,0.12205732130671021,0.4402696177378902,0.08497676971552257,0.3291618384620151,0.07980752101727245,0.3120753432345304
98,99,0.08781497523313742,0.3435917728485163,0.1189645198136201,0.43719787511572505,0.08277373064779087,0.3266041092259051,0.07773248606244432,0.309616445603294
99,100,0.08554074308753579,0.3409481174931158,0.11594381247424579,0.4341360652753721,0.08062468319129143,0.32405939308232146,0.07570862329504707,0.307170668671527
100,101,0.08332211985544358,0.3383174810458178,0.11299384591460959,0.43108440074316745,0.0785284685784538,0.32152778789718783,0.07373481730146403,0.30473809474855784
101,102,0.08115791900051683,0.3356999693030699,0.11011327449698982,0.42804308538189606,0.07648394403877679,0.31900938424452235,0.07180996907703674,0.30231879918597476
102,103,0.07904696995915184,0.3330956808628224,0.10730076139699396,0.4250123148103986,0.07448998310515773,0.31650426582588587,0.06993299625116361,0.2999128507889493
103,104,0.07698811848145026,0.33050470752186,0.10455497960130977,0.42199227679395,0.07254547587849011,0.3140125098599813,0.06810283327552996,0.29752031219810254
104,105,0.07498022692834916,0.3279271346451845,0.10187461282978139,0.41898315160758637,0.0706493292530887,0.3115341874446727,0.06631843157782824,0.2951412402441609
105,106,0.07302217452753323,0.32536304150956996,0.09925835638534453,0.4159851123744116,0.06880046710536405,0.3090693638935258,0.06457875968319488,0.29277568627748163
106,107,0.07111285759063102,0.3228125016232377,0.09670491793524927,0.4129983253807513,0.06699783044805352,0.3066180990487978,0.06288280330547602,0.29042369647435784
107,108,0.06925118969405109,0.3202755830234739,0.09421301822685402,0.41002295036989633,0.06524037755218193,0.30418044757267904,0.06122956541031277,0.2880853121218842
108,109,0.06743610182571957,0.3177523485538498,0.09178139174120148,0.4070591408160398,0.0635270840388282,0.3017564592184281,0.05961806625193683,0.28576056988300635
109,110,0.06566654249985215,0.3152428561225936,0.08940878728744439,0.4041070441798973,0.06185694294265809,0.2993461790829331,0.05804734338546402,0.28344950204327257
110,111,0.06394147784180204,0.3127471589435441,0.08709396854110185,0.4011668021473914,0.06022896474908945,0.29694964784210987,0.056516451656376865,0.28115213674067563
111,112,0.06225989164490964,0.31026530576099665,0.08483571452901428,0.39823855085267346,0.05864217740685515,0.2945669019704353,0.055024463168800664,0.2788684981798739
112,113,0.06062078540120308,0.30779734105966305,0.0826328200637686,0.3953224210866686,0.057095626317646475,0.2921979739458192,0.05357046723408987,0.27659860683197535
113,114,0.05902317830769155,0.30534330526087683,0.08048409613024887,0.3924185384922342,0.05558837430442745,0.28984289244093264,0.052153570301163354,0.2743424796209885
114,115,0.0574661072499113,0.3029032349060711,0.07838837022690093,0.38952702374694825,0.05411950155992859,0.2875016825020079,0.05077289586994588,0.2721001300979448
115,116,0.055948626764312004,0.30047716282849724,0.07634448666415738,0.38664799273446304,0.052688105576760735,0.2851743657160628,0.04942758438920947,0.26987156860362843
116,117,0.05446980898097009,0.2980651183140711,0.07435130682242375,0.38378155670529224,0.05129330106049901,0.2828609603674259,0.048116793140027925,0.26765680242078077
117,118,0.05302874354806453,0.2956671272521626,0.07240770937189489,0.3809278224278322,0.04993421982703322,0.2805614815843661,0.046839696106001916,0.2654558359165697
118,119,0.051624537539455506,0.2932832122770854,0.0705125904564069,0.3780868923303651,0.048610010685398664,0.2782759414765732,0.04559548383134182,0.263268670676061
119,120,0.0502563153466562,0.29091339290098717,0.0686648638434203,0.3752588646347228,0.047319839307249756,0.2760043492641783,0.04438336326784331,0.2610953056273693
120,121,0.048923218556406245,0.28855768563878403,0.06686346104216434,0.37244383348225374,0.04606288808406567,0.2737467113989498,0.04320255761172509,0.2589357371591155
121,122,0.04762440581500371,0.2862161041257336,0.06510733139187319,0.36964188905267514,0.04483835597312885,0.27150303167824935,0.04205230613125399,0.2567899592307651
