,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.04694194055540846,0.11394978827030611,0.10017709327363511,0.23159929787516131,0.05283705819171147,0.12738535777378102,0.05873217582801449,0.14082092727725593
1,2,0.08808148220083845,0.19176581031052797,0.1824340788975336,0.36810680883307245,0.09872875079073068,0.21264811030867486,0.10937601938062291,0.23353041030682176
2,3,0.12426063879739868,0.2464612540498956,0.25065859782142275,0.45430547929383724,0.13876433646518696,0.27172062746687614,0.15326803413297524,0.2969800008838567
3,4,0.15617140706660693,0.28567330972379223,0.3077434866642602,0.5114013730485065,0.1738237099215712,0.3136279084004021,0.19147601277653548,0.34158250707701204
4,5,0.18438684770920077,0.31414118203817565,0.35587476739957935,0.5504823794925329,0.20462411846437545,0.3438177688153562,0.22486138921955012,0.3734943555925368
5,6,0.2093849012085649,0.3349419068855083,0.3967274930364253,0.5778101166861755,0.23175513193488131,0.3657505570919519,0.25412536266119773,0.39655920729839544
6,7,0.2315668181804682,0.35014892421582144,0.4316014998117026,0.5971454965126626,0.2557051298571744,0.38171726677601436,0.27984344153388063,0.4132856093362074
7,8,0.25127155351021,0.3612028961493612,0.46151714555936096,0.6108640447991822,0.2768815822984385,0.39328722418653406,0.30249161108666694,0.425371552223707
8,9,0.26878710444380116,0.3691304903663053,0.487283898627036,0.6205300243598352,0.2956267350746651,0.4015660003211552,0.322466365705529,0.43400151027600514
9,10,0.284359512702017,0.37467878599037463,0.5095501877619495,0.6272098443055842,0.3122298538917475,0.4073506718441194,0.34010019508147804,0.44002255769786414
10,11,0.2982000651456346,0.3784008224747615,0.528840113882335,0.6316518743881423,0.32693686521791376,0.41122692835387914,0.355673665290193,0.4440530342329968
11,12,0.3104910936601828,0.38071178664772953,0.5455808171644114,0.6343941359982972,0.33995800870849896,0.4136318847598958,0.3694249237568151,0.44655198287206205
12,13,0.32139067733004,0.381926959161352,0.5601231088573331,0.6358312711354359,0.3514739571362765,0.41489593937740765,0.38155723694251303,0.44786491959346336
13,14,0.33103647810660486,0.38228798490193727,0.5727571886540908,0.6362576014073309,0.3616407452945465,0.41527141592265226,0.3922450124824881,0.4482548469433672
14,15,0.3395488877670464,0.38198146279971357,0.5837247351233792,0.63589565251164,0.3705937659567756,0.4149526267508731,0.40163864414650485,0.44792379070203253
15,16,0.3470336239223397,0.3816864266837433,0.5932282908655823,0.6355470669423224,0.37845102963957,0.4146457607810345,0.40986843535680034,0.4476050948783256
16,17,0.35358388257228146,0.3822252246485919,0.6014386097709007,0.6361835097479391,0.3853158393735183,0.41520614592847394,0.41704779617475524,0.44818706720835594
17,18,0.3592821316565089,0.3822289304773663,0.6085004548279143,0.6361878849126721,0.3912789975740436,0.41520999997857105,0.4232758634915783,0.4481910694797758
18,19,0.36420161236673987,0.3817868816630827,0.6145372075723996,0.635665776623141,0.3964206363414011,0.41475024610535816,0.4286396603160625,0.4477136105476336
19,20,0.3672941290144013,0.38209087761595306,0.6183037431325129,0.6360248764911676,0.3996496963955012,0.41506642309651653,0.4320052637766011,0.44804196857708
20,21,0.36282778247152214,0.38228798490193727,0.6128569413361071,0.6362576014073309,0.3949853771334323,0.41527141592265226,0.4271429717953424,0.4482548469433672
21,22,0.35802242870401235,0.3821088205593116,0.606945734413523,0.6360460653706671,0.38996143175271797,0.4150850842780512,0.4219004348014236,0.4480613479967908
22,23,0.35293595453426674,0.3819296945353552,0.6006308957061095,0.6358345024027188,0.38463727487712285,0.4148987843644369,0.4163385952199789,0.4478678741935186
23,24,0.34761837959111663,0.38224972436233196,0.5939652829028268,0.6362124339555063,0.3790643014895928,0.4152316254881018,0.4105102233880689,0.44821352661387154
24,25,0.3421130412328449,0.38225118056746943,0.5869951996786461,0.6362141530996099,0.37328711280414917,0.41523313992818245,0.4044611843754535,0.4482150992888955
25,26,0.33645756953732686,0.3819690806528301,0.5797614685144938,0.6358810269250018,0.3673445191760334,0.41493974856862326,0.39823146881473986,0.44791041648441643
26,27,0.3306846958910189,0.3821607738580439,0.5723002841801643,0.636107413104545,0.3612703674953126,0.4151391167561818,0.3918560390996063,0.4481174596543197
27,28,0.3248229285077475,0.38228798490193727,0.5646438991951326,0.6362576014073309,0.35509422916184014,0.41527141592265226,0.38536552981593275,0.4482548469433672
28,29,0.31889712061316566,0.38216876404741906,0.5568211794967396,0.6361168475782204,0.3488419763388716,0.4151474266536212,0.3787868320645775,0.4481260892598234
29,30,0.3129289513312281,0.3818258997258134,0.548858059027139,0.6357118789353219,0.34253626791306624,0.41479082891972185,0.3721435844949044,0.4477557581136304
30,31,0.3069373349997394,0.3812799775274859,0.5407779149650909,0.6350665259510275,0.33619696187345327,0.41422297845229555,0.36545658874716713,0.44716597937710517
31,32,0.3009387713599113,0.3805496253712124,0.5326018801602469,0.6342021030425367,0.3298414672496095,0.4134631720592432,0.35874416313930774,0.44637671874727397
32,33,0.2949476465471297,0.37965172676305403,0.5243491054748419,0.6331377306942351,0.32348504602343386,0.412528877403564,0.352022445499738,0.445406028044074
33,34,0.28897649286497207,0.3786016069258027,0.5160369818461226,0.631890609120494,0.31714107333431374,0.41143593271541457,0.34530565380365547,0.44427025850502644
34,35,0.2830362138109894,0.3774131957789203,0.5076813296989474,0.6304762517223546,0.310821262676764,0.4101987209687836,0.3386063115425387,0.442984246158647
35,36,0.2771362796366188,0.37609917109440705,0.4992965616789382,0.6289086850427986,0.3045358615267916,0.40883032229032296,0.33193544341696435,0.44156147348623886
36,37,0.2712848977872957,0.37467108461729415,0.4908958234092847,0.6272006206920189,0.2982938218423893,0.40734264774493695,0.3253027458974829,0.4400142108725798
37,38,0.26548916182427207,0.3731394734975678,0.48249111600119254,0.6253636037271251,0.2921029491005186,0.4057465571324218,0.3187167363767651,0.43835364076727584
38,39,0.2597551818332221,0.37151395901528295,0.474093403296899,0.6234081411770945,0.2859700329096895,0.404051963009852,0.31218488398615685,0.4365899670044211
39,40,0.2540881988433302,0.36980333427793477,0.4657127062415529,0.6213438137627456,0.27990096173749746,0.4022679228080921,0.30571372463166463,0.43473251133824947
40,41,0.24849268538915714,0.36801564231738293,0.45735818632592173,0.6191793733414657,0.2739008238888154,0.40040272062399057,0.29930896238847376,0.43278979893059827
41,42,0.24297243402699442,0.36615824580346634,0.4490382196857079,0.6169228281828133,0.2679739965418607,0.3984639400314226,0.29297555905672706,0.43076963425937886
42,43,0.23753063535288854,0.3642378894155194,0.4407604631624574,0.614581517834658,0.262124224380058,0.39645852905559004,0.2867178134072274,0.4286791686956607
43,44,0.2321699468497742,0.36226075576523065,0.43253191340830477,0.6121621790551177,0.25635468913527465,0.3943928582887082,0.2805394314207751,0.42652496081218577
44,45,0.2268925537073071,0.36023251563982195,0.4243589599390447,0.6096710040512412,0.25066807117306633,0.3922727729856925,0.2744435886388256,0.42431303033156303
45,46,0.22170022260327593,0.35815837322936606,0.4162474328971192,0.6071136920716427,0.24506660409575856,0.3901036398610236,0.2684329855882412,0.4220489064926812
46,47,0.2165943493044089,0.35604310691296803,0.40820264617046675,0.6044954952396144,0.23955212320869182,0.38789038920884755,0.26250989711297473,0.4197376715047271
