,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.050447769300135614,0.12216266964762024,0.09389024383981259,0.2182393307887146,0.05487555012999751,0.13221470100810245,0.0593033309598594,0.14226673236858467
1,2,0.09452012614050909,0.2049701925030465,0.17155423765399713,0.34901468997760465,0.10249846962163298,0.220513813315546,0.11047681310275687,0.23605743412804553
2,3,0.13316518805609057,0.2628410893259401,0.2363935720058199,0.4325799385624636,0.1440094131504618,0.28156686795222274,0.15485363824483306,0.3002926465785054
3,4,0.16715887392769413,0.30414653977536277,0.290965797759581,0.48841552745296524,0.18033020028131405,0.32480494082609146,0.19350152663493397,0.34546334187682015
4,5,0.19714111806897028,0.3340324647332944,0.33722183953862617,0.5268813837417115,0.21221238655186367,0.3559097079413115,0.22728365503475706,0.3777869511493286
5,6,0.22364351728136922,0.355812691480054,0.3766694933504997,0.5539085901242004,0.24027371474455012,0.37848178416522893,0.256903912207731,0.4011508768504038
6,7,0.24711064888020795,0.3717044922978978,0.4104880555597755,0.573099855951564,0.2650257827756756,0.3948994426929835,0.2829409166711433,0.4180943930880692
7,8,0.26791666113241686,0.3832392024755217,0.4396100076700471,0.5867522163285321,0.2868952657762635,0.406788155776037,0.30587387042011016,0.43033710907655237
8,9,0.28637829597069575,0.3915025711775141,0.4647800956826552,0.5963901608978903,0.3062403526883487,0.41529071864576605,0.3261024094060017,0.43907886611401814
9,10,0.3027651934986473,0.39728133305029645,0.4865986454738628,0.603059818244962,0.32336359167336653,0.4212295714435869,0.3439619898480858,0.4451778098368774
10,11,0.31730810701557244,0.4011558639212992,0.5055537208826203,0.6074993322815814,0.33852201353946976,0.4252081172926888,0.35973592006336713,0.44926037066407837
11,12,0.33020549843571845,0.4035606506793543,0.5220452764111418,0.610241752616331,0.35193517272841446,0.4276761179678128,0.37366484702111047,0.4517915852562713
12,13,0.3416288684707389,0.40482489268474386,0.5364034930733499,0.6116794968176069,0.3637915812269329,0.42897317908437427,0.3859542939831269,0.4531214654840047
13,14,0.35172709112438605,0.4052004615957473,0.5489028378513652,0.6121060776097558,0.3742538921100904,0.4293584426185618,0.39678069309579483,0.45351642364137634
14,15,0.36062995918340546,0.4048815929256767,0.559772944846246,0.6117439139743628,0.3834631027786701,0.42903134455213554,0.4062962463739347,0.4531810961785943
15,16,0.36845110038830853,0.40457466187750013,0.5692071101319702,0.6113951433905451,0.3915419840701613,0.42871647504891186,0.4146328677520141,0.4528582882203236
16,17,0.37529038853929075,0.40513517433828883,0.5773689778625719,0.6120319401147396,0.3985978938950058,0.42929147189869077,0.4219053992507207,0.45344776945909265
17,18,0.3812359468795594,0.4051390293936329,0.5843978431394877,0.6120363179592336,0.40472509838688675,0.4292954263795806,0.4282142498942141,0.4534518233655284
18,19,0.386365820503881,0.4046791680997217,0.5904128881606452,0.6115139136772183,0.4100066965800745,0.4288236861050098,0.4336475726562679,0.4529682041102979
19,20,0.3895891057285108,0.40499541625860647,0.5941689498835845,0.611873211973138,0.4133229393320256,0.4291481075332422,0.4370567729355404,0.4533007988078779
20,21,0.38493352780679435,0.4052004615957473,0.5887380581023132,0.6121060776097558,0.40853250847343475,0.4293584426185618,0.4321314891400752,0.45351642364137634
21,22,0.3799219041673597,0.4050140820130885,0.5828496856522041,0.6118944132701276,0.4033714446616724,0.4291672551364034,0.42682098515598504,0.4533204282597183
22,23,0.37461409598976714,0.4048277383084238,0.5765655513611848,0.6116827298633097,0.39790054622629367,0.4289760982572975,0.4211869964628201,0.4531244582061712
23,24,0.3690618632008067,0.4051606605765691,0.5699393141134176,0.6120608821007394,0.3921724246130832,0.42931761540208857,0.41528298602535973,0.453474570227608
24,25,0.3633100927976125,0.40516217541604915,0.5630179366584176,0.6120626023061646,0.3862327596839419,0.4293191693041431,0.40915542657027126,0.453476163192237
25,26,0.35739780653772335,0.40486871178657136,0.5558427648333095,0.6117292801953822,0.38012132514944963,0.42901813059374305,0.40284484376117596,0.4531675494009148
26,27,0.3513589944122273,0.405068127966122,0.548450389918755,0.6119557974019012,0.37387283339392363,0.42922269591238166,0.39638667237562003,0.45337726385864136
27,28,0.34522330931726186,0.4052004615957473,0.5408733442810487,0.6121060776097558,0.3675176371094693,0.4293584426185618,0.38981196490167674,0.45351642364137634
28,29,0.3390166501717301,0.4050764399668133,0.5331406677631038,0.6119652375318916,0.36108231639825517,0.42923122238368083,0.38314798262478034,0.45338600480054836
29,30,0.33276165461775264,0.40471975938198035,0.5252783730333308,0.611560040194614,0.35459017347480787,0.4288653274466432,0.3764186923318631,0.45301089551130613
30,31,0.3264781178332351,0.4041518082799733,0.5173098312943906,0.6109143823747677,0.3480616521976869,0.42828265723794845,0.36964518656213874,0.4524135061959236
31,32,0.3201833504876097,0.4033919273812855,0.5092560947064766,0.6100496657291574,0.34151469595109585,0.42750299312452633,0.36284604141458193,0.45161405886776723
32,33,0.3138924861966391,0.40245763549081504,0.501136168109837,0.6089851115270106,0.33496505457136033,0.42654423613001813,0.35603762294608154,0.4506308367692212
33,34,0.3076187467721375,0.40136482616820557,0.4929672397963192,0.6077380286833413,0.3284265488455669,0.4254226133577106,0.3492343509189963,0.44948040054721555
34,35,0.30137367196503895,0.4001279395944358,0.4847648789345821,0.6063240429536663,0.3219112994353547,0.4241528578563452,0.34244892690567047,0.44817777611825466
35,36,0.2951673191527987,0.39876011324392235,0.4765432056208384,0.6047572936910603,0.3154299257767173,0.4227483658674866,0.3356925324006359,0.4467366184910509
36,37,0.2890084374410332,0.3972733143826449,0.46831503827724896,0.6030506034013317,0.3089917194869338,0.4212213347395126,0.3289750015328345,0.44516935509638045
37,38,0.2829046198720958,0.39567845692904935,0.4600920221583301,0.6012156243973041,0.3026047960055156,0.41958288425815754,0.3223049721389354,0.4434873115872658
38,39,0.276862436813072,0.3939855048155595,0.4518847419816334,0.5992629660997442,0.29627622755722843,0.41784316370374475,0.3156900183013849,0.4417008225919299
39,40,0.27088755309701307,0.3922035636583776,0.44370282112015,0.5972023059225017,0.29001216001407315,0.41601144658247735,0.30913676693113323,0.4398193295065771
40,41,0.2649848310873296,0.39034096226913384,0.43555500934118263,0.5950424861835262,0.2838179158210612,0.4140962146788839,0.3026510005547928,0.43785146708863404
41,42,0.2591584215056002,0.38840532531355043,0.42744926072028777,0.5927915990786075,0.2776980848159471,0.41210523282710043,0.296237748126294,0.4358051403406505
42,43,0.25341184359204916,0.3864036382314171,0.41939280307706694,0.5904570614229556,0.2716566044992638,0.41004561559084274,0.2899013654064785,0.43368759295026843
43,44,0.24774805594346938,0.3843423053721545,0.41139220005509025,0.5880456805929015,0.2656968310852611,0.4079238868681758,0.28364560622705276,0.4315054683641971
44,45,0.24216951918620255,0.38222720216570016,0.40345340678825037,0.5855637128747629,0.25982160247694275,0.4057460332915054,0.277473685767683,0.4292648644173105
45,46,0.23667825148459776,0.3800637220349564,0.3955818199504647,0.5830169152414042,0.25403329415166453,0.40351755217066665,0.27138833681873126,0.426971382306377
46,47,0.2312758777526016,0.37785681866008436,0.3877823228673639,0.5804105914220006,0.24833386881185768,0.40124349462362846,0.26539185987111374,0.42463017058717256
47,48,0.22596367332326706,0.37561104412350244,0.3800593262716061,0.5777496330013092,0.24272492054369968,0.39892850445187006,0.2594861677641323,0.4222459647802376
48,49,0.22074260273453994,0.3733305833952252,0.3724168052032968,0.575038556176714,0.23720771413135597,0.39657685324331265,0.253672825528172,0.41982312309140013
49,50,0.21561335420687955,0.37101928555910757,0.3648583324901761,0.5722815347107075,0.23178322009287247,0.39419247212255515,0.2479530859788654,0.4173656586860026
50,51,0.21057637031685728,0.3686806921300696,0.3573871091861577,0.5694824295402713,0.22645214593360893,0.3917789805143327,0.2423279215503606,0.4148772688985958
51,52,0.20563187530905824,0.36631806276905554,0.35000599229930984,0.5666448154403612,0.22121496405243782,0.3893397122400502,0.2367980527958174,0.4123613617110448
52,53,0.20077989943488594,0.3639343986652477,0.3427175200999024,0.5637720050843564,0.21607193668326904,0.3868777392277392,0.23136397393165214,0.40982107979023075
53,54,0.19602030066009757,0.36153246382295834,0.33552393526438773,0.5608670707982542,0.2110231382086449,0.38439589308182137,0.22602597575719224,0.40725932234068435
54,55,0.19135278404199785,0.3591148044628668,0.3284272060811765,0.5579328642662238,0.206068475142105,0.3818967847297601,0.22078416624221214,0.40467876499665334
55,56,0.18677691904147087,0.35668376672322044,0.3214290459179848,0.5549720344117433,0.20120770404101435,0.3793828223373583,0.21563848904055782,0.40208187795149614
56,57,0.18229215500364038,0.3542415128257328,0.31453093112776154,0.551987043650017,0.19644044758081358,0.37685622766251603,0.2105887401579868,0.3994709424992992
