,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.05249383387525175,0.12678446839496682,0.11547584283996681,0.26345365181949465,0.05464853414215154,0.13171245988130015,0.05680323440905133,0.13664045136763348
1,2,0.09819617728388053,0.21206158789599505,0.2085851421449305,0.41246556933652323,0.10209605091064936,0.21975513703063587,0.10599592453741818,0.2274486861652767
2,3,0.13814674555213746,0.2713243058997179,0.28455930830035614,0.5037921829514015,0.14346951786954765,0.28066236170362335,0.14879229018695783,0.29000041750752875
3,4,0.17319115415035558,0.3134489906757175,0.347201460614428,0.5629711458718533,0.1796810912962118,0.32381054267516907,0.186171028442068,0.33417209467462056
4,5,0.20402280873563117,0.3438348111185544,0.39932441911424144,0.6028238832729396,0.2114754169708482,0.3548566332239901,0.21892802520606525,0.36587845532942564
5,6,0.2312146415080718,0.36592929265197716,0.4430411273080741,0.6303557319024793,0.23946523604063788,0.37738891546958087,0.24771583057320395,0.3888485382871846
6,7,0.2552434068799466,0.3820233760984979,0.47996128565834595,0.6496609579008779,0.2641584829276268,0.39377896080970476,0.273073558975307,0.4055345455209116
7,8,0.2765084616215673,0.3936904856092204,0.5113270202997835,0.6632673476923994,0.28597911841219703,0.4056483217815481,0.2954497752028268,0.41760615795387573
8,9,0.29534641275044504,0.40204118843747794,0.5381081085421422,0.6728079087198762,0.3052832976781934,0.4141373547699629,0.3152201826059417,0.42623352110244783
9,10,0.31204263865263027,0.40787727674391694,0.5610698732337188,0.6793782341622183,0.3223720282904027,0.42006690310014805,0.33270141792817504,0.4322565294563792
10,11,0.3268404222520723,0.41178850935882616,0.580822291521877,0.6837369909942816,0.3375011614431688,0.4240392803234909,0.3481619006342652,0.43629005128815573
11,12,0.3399482445964328,0.41421537357603644,0.5978559892995055,0.686423636416957,0.3508893388041251,0.42650347980120973,0.36183043301181733,0.438791586026383
12,13,0.3515456497312419,0.41549100611666767,0.6125689483471908,0.6878303348757085,0.36272435873174186,0.4277985508489376,0.3739030677322418,0.44010609558120756
13,14,0.3617879914509333,0.4158699301147736,0.6252865486410579,0.6882474648966899,0.37316831069503914,0.428183224283537,0.384548629939145,0.44049651845230037
14,15,0.37081029867124704,0.41554821372339124,0.6362767686185322,0.6878933319194204,0.382361742545901,0.42785662719648465,0.3939131864205549,0.4401650406695781
15,16,0.37873044130133704,0.4152385326108532,0.6457618272008954,0.6875522203093039,0.3904270630715154,0.42754224025669724,0.40212368484169386,0.4398459479025413
16,17,0.3856517373816024,0.4158040605681209,0.653927182937616,0.6881749777707868,0.39747133585363204,0.42811635610824034,0.4092909343256617,0.4404286516483597
17,18,0.3916651111997239,0.41580795001728255,0.6609285504696633,0.6881792582524773,0.40358858557112715,0.42812030453370253,0.4155120599425303,0.44043265905012263
18,19,0.39685088846346017,0.415343976182037,0.6668974156103826,0.687668390637874,0.4088617114409683,0.4276492869684901,0.4208725344184765,0.43995459775494317
19,20,0.40010806022112333,0.41566305466680564,0.670613957056662,0.6880197719233276,0.4121726845101944,0.4279732113068323,0.42423730879926547,0.440283367946859
