,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.0542898800476469,0.1309173965903715,0.12738073293266972,0.2887689990400306,0.05994136494587049,0.14376659794347513,0.06559284984409408,0.15661579929657876
1,2,0.10145923513386745,0.2185576508362379,0.22920291559970563,0.44853167895573787,0.11165182824741987,0.2384615551272059,0.12184442136097229,0.2583654594181739
2,3,0.14261486820100255,0.2792441132952739,0.3115852210694975,0.544634574023261,0.15647990512351542,0.30325324156989325,0.1703449420460283,0.3272623698445126
3,4,0.17865432140155724,0.3222632537539921,0.37895697394210937,0.605968765784973,0.1955068053601384,0.34877495665083347,0.21235928931871956,0.3752866595476748
4,5,0.21031152227795646,0.35323004974183403,0.4345777249403002,0.6467764443618478,0.2296073145523836,0.3813253514731658,0.24890310682681072,0.40942065320449766
5,6,0.23819126378556876,0.3757116879517999,0.4808823350473508,0.6747027029579897,0.259495173775498,0.4048388906999868,0.28079908376542734,0.4339660934481738
6,7,0.26279552548411433,0.39206846289826314,0.5197146524212413,0.6941424004046521,0.2857572906589298,0.42188272550346506,0.30871905583374526,0.451696988108667
7,8,0.284543763839757,0.4039155738302628,0.5524885724220626,0.7077681440968728,0.30887980332062814,0.43419337854765505,0.33321584280149924,0.4644711832650474
8,9,0.30378869639858164,0.412389630942425,0.5803008618817269,0.7172831478271245,0.32926813248284276,0.44298120572355987,0.3547475685671039,0.4735727805046948
9,10,0.32082868522214925,0.4183091779287388,0.604011382306086,0.7238164192877267,0.3472625497155941,0.4491110501596587,0.373696414209039,0.47991292239057853
10,11,0.3359175297136523,0.4222750647542275,0.6243009242007505,0.7281416119256395,0.3631503678648914,0.4532137130243396,0.39038320601613047,0.4841523612944517
11,12,0.3492722686309099,0.4247353222081155,0.6417134370295842,0.7308039374036872,0.37717556301651173,0.4557571529880268,0.40507885740211363,0.4867789837679381
12,13,0.3610794396018403,0.4260283472703259,0.6566872334394493,0.7321967853472711,0.3895464262474254,0.45709338266246186,0.4180134128930105,0.4881584180545978
13,14,0.3715001342384603,0.4264124164018489,0.6695783030637837,0.7326096598320007,0.4004416915884237,0.45749021670709167,0.42938324893838703,0.4885680170123345
14,15,0.3806741059727268,0.42608633228263215,0.680677912186259,0.7322591440596398,0.4100154763052263,0.4571532968668046,0.43935684663772573,0.48822026145097713
15,16,0.38872312771027995,0.425772440197023,0.6902260191008401,0.7319214703103725,0.41840128868085624,0.4568289529160961,0.4480794496514325,0.48788546563516927
16,17,0.3957537515171172,0.42634565316097583,0.6984215933863074,0.7325379171006393,0.42571529858101625,0.4574212367695024,0.4556768456449153,0.4884968203780291
17,18,0.40185958872640803,0.4263495953889692,0.7054306218158697,0.7325421536817478,0.43205902136620855,0.45742530991498936,0.4622584540060091,0.48850102444100957
18,19,0.40712320316084194,0.4258793182969518,0.7113923697884377,0.7320364749296325,0.43752153206135097,0.4569393921480076,0.46791986096185995,0.4879994659990634
19,20,0.41042835758531726,0.4262027331515478,0.7150980030932523,0.7323842982018844,0.44094864050976834,0.4572735683035638,0.4714689234342194,0.48834440345557995
20,21,0.40565399445135963,0.4264124164018489,0.7097357658554178,0.7326096598320007,0.4359973836691245,0.45749021670709167,0.4663407728868893,0.4885680170123345
21,22,0.4005106087323089,0.42622182139076314,0.7038907452959962,0.7324048184728741,0.4306581453346907,0.4572932909918855,0.46080568193707255,0.4883647605930078
22,23,0.3950588703308333,0.4260312573855627,0.6976175431152978,0.7321999151772437,0.42499285893272887,0.4570963896157522,0.4549268475346244,0.48816152184594175
23,24,0.3893512790816841,0.4263717156630876,0.6909637172801225,0.7325659248475342,0.4190551698070092,0.4574481647204407,0.4487590605323343,0.4885246137777937
