,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.0687751362978184,0.1640154727258224,0.10116175627373936,0.2344161749376953,0.0678692130499256,0.16194568584173247,0.06696328980203281,0.15987589895764254
1,2,0.1276626280718015,0.27015069163587035,0.184500216723263,0.3733343059048124,0.12602381146301117,0.2669275746582041,0.12438499485422083,0.26370445768053785
2,3,0.17835818845870555,0.34177660632857587,0.25378536874680624,0.4612127844817836,0.1761231483383545,0.337875522412948,0.17388810821800343,0.3339744384973201
3,4,0.22220940114490884,0.3915657982218276,0.31185433493755055,0.5194337744379819,0.21948681989807448,0.38724844828024974,0.21676423865124012,0.38293109833867195
4,5,0.2602972495676322,0.42687590391857233,0.3608707610224775,0.5592675817951156,0.2571741011700749,0.4222937725713227,0.2540509527725175,0.4177116412240731
5,6,0.29349640667223853,0.45222266423933877,0.4025049288506488,0.5871037365902829,0.2900427063234876,0.4474673335733545,0.28658900597473663,0.44271200290737023
6,7,0.32252033630231414,0.4705075204806566,0.43806081328694024,0.6067859149688285,0.31879276240050236,0.4656365409461569,0.31506518849869053,0.46076556141165725
7,8,0.34795539602730063,0.483667146319108,0.4685670259543744,0.6207424105622436,0.3440000734069587,0.4787179758058353,0.3400447507866167,0.47376880529256266
8,9,0.37028688199442017,0.49303608866698223,0.49484279225499095,0.6305713770277206,0.3661415361244793,0.4880339082797617,0.36199619025453855,0.4830317278925412
9,10,0.38991910574005095,0.49955877890582456,0.5175464169565309,0.6373613471133166,0.3856147414228977,0.4945210297852234,0.3813103771057444,0.4894832806646222
10,11,0.40719100580845824,0.5039185588859663,0.5372113018291593,0.6418754266566551,0.40275322374819644,0.4988576579313163,0.3983154416879347,0.49379675697666636
11,12,0.422388386735271,0.50661903832997,0.554273003694212,0.6446616684338478,0.4178384223512386,0.5015440499536601,0.41328845796720626,0.4964690615773501
12,13,0.4357535878448162,0.5080370432034802,0.5690897682222685,0.6461216960137661,0.4311091356066847,0.5029547356634544,0.42646468336855314,0.4978724281234286
13,14,0.4474931769214111,0.5084580660873682,0.5819582608824663,0.6465547964434882,0.4427690480026956,0.5033735957871591,0.4380449190839801,0.4982891254869499
14,15,0.45778411402675223,0.5081006122946625,0.5931257260126398,0.6461871003885447,0.452992763629981,0.5030179779001416,0.4482014132332097,0.4979353435056206
15,16,0.4667787214988999,0.5077564706345736,0.6027994639124321,0.6458329732920354,0.4619306736837077,0.5026756070166329,0.45708262586851556,0.49759474339869236
16,17,0.4746087157751768,0.5083848846953948,0.6111542759138893,0.6464795288947586,0.46971290722989245,0.5033007899799664,0.4648170986846081,0.49821669526453805
17,18,0.48138849700414954,0.5083892059667221,0.6183383567323193,0.6464839735046821,0.4764525563769897,0.503305089069474,0.4715166157498298,0.498220972172226
18,19,0.4872178477502729,0.5078736543197351,0.6244779907829496,0.6459535708429016,0.48224832349094415,0.5027921873775913,0.47727879923161537,0.4977107204354477
19,20,0.4908709830759991,0.508228217478281,0.6283079226865135,0.6463183770316592,0.485880853235806,0.503144927301238,0.48089072339561284,0.4980616371241953
20,21,0.4855921536747362,0.5084580660873682,0.6227692434151493,0.6465547964434882,0.48063190870430833,0.5033735957871591,0.4756716637338804,0.4982891254869499
21,22,0.4798922509153999,0.5082491424007134,0.6167568952027591,0.6463399024023564,0.4749650685099779,0.5031657447290515,0.4700378861045559,0.49808234705738963
22,23,0.47383593776546873,0.5080402336110621,0.6103324572735693,0.646124978630035,0.468944776038671,0.5029579096642655,0.4640536143118733,0.4978755857174688
23,24,0.46747930431128804,0.5084134529430583,0.603549525574439,0.6465089121855341,0.4626269221767327,0.5033292115912724,0.4577745400421774,0.4982449702394865
24,25,0.460871223938191,0.508415150954702,0.5964550921685363,0.6465106586143867,0.45606019550268184,0.5033309008879782,0.4512491670671728,0.4982466508212542
25,26,0.4540544477325069,0.5080861708985251,0.5890906297025432,0.6461722424254734,0.4492871727164369,0.5030036107480977,0.44451989770036693,0.4979210505976703
26,27,0.4470664959469218,0.5083097282524243,0.581492952304556,0.6464022242381715,0.4423452075288472,0.5032260194080631,0.43762391911077253,0.4981423105637019
27,28,0.43994039072394986,0.5084580660873682,0.5736949055610938,0.6465547964434882,0.4352671617702592,0.5033735957871591,0.43059393281656855,0.4982891254869499
28,29,0.4327052635427422,0.5083190458682701,0.5657259247508261,0.6464118084981927,0.4280820118755337,0.503235289176807,0.4234587602083252,0.4981515324853441
29,30,0.42538686292973615,0.5079191675113423,0.5576124907190136,0.6460004061311564,0.4208153560688282,0.5028374663423665,0.41624384920792024,0.4977557651733908
30,31,0.4180079820757424,0.507282240164955,0.5493785055933567,0.6453447825464727,0.41348984173796977,0.5022038219011709,0.408971701400197,0.49712540363738666
31,32,0.4105888215811164,0.5064297060762644,0.5410456052307416,0.6444665683432296,0.40612552811325664,0.5013556990319771,0.40166223464539685,0.4962816919876898
32,33,0.40314729921436365,0.5053809186355592,0.5326334213285926,0.6433851611615689,0.398740196062099,0.5003123649365786,0.3943330929098343,0.4952438112375981
33,34,0.3956993160353759,0.5041533819897502,0.5241598031685992,0.6421180055566029,0.3913496143002696,0.4990912483353541,0.38699991256516336,0.494029114680958
34,35,0.38825898629749467,0.5027629582971351,0.5156410067232473,0.6406808315913368,0.3839677694003232,0.49770814498126054,0.37967655250315174,0.49265333166538594
35,36,0.3808388370527692,0.5012240476320344,0.5070918571583225,0.6390878590464725,0.37660706549984546,0.4961773961305864,0.3723752939469216,0.4911307446291384
36,37,0.37344998223175885,0.49954974468684143,0.49852588947027343,0.6373519728757906,0.36927849846759353,0.49451204406144117,0.36510701470342827,0.48947434343604096
37,38,0.36610227507115567,0.4977519757189248,0.4899554710053632,0.6354848745198491,0.36199180839339146,0.492723968041751,0.3578813417156273,0.4876959603645772
38,39,0.35880444205849993,0.4958416186183675,0.48139190884364647,0.6334972128736789,0.3547556135676688,0.49082400358575495,0.3507067850768377,0.48580638855314245
39,40,0.351564201007621,0.4938286085042439,0.4728455444396713,0.6313986980440999,0.3475775285635915,0.48882204737667,0.34359085611956197,0.4838154862490961
40,41,0.34438836543684237,0.4917220308720137,0.46432583745215816,0.6291982004968162,0.34046426859488854,0.4867271498536445,0.3365401717529348,0.4817322688352752
41,42,0.337282937068472,0.4895302039967484,0.4558414403356359,0.6269038377572543,0.3334217419700251,0.4845475971477603,0.3295605468715782,0.4795649902987722
42,43,0.33025318798299597,0.48726075203367136,0.4474002649847256,0.624523050472398,0.32645513217885547,0.48229098379223945,0.3226570763747149,0.4773212155508075
43,44,0.32330373372963495,0.4849206700387675,0.43900954249864743,0.6220626693481024,0.3195689709163957,0.4799642774162335,0.3158342081031564,0.4750078847936994
44,45,0.3164385985051289,0.48251638194992885,0.43067587695609033,0.6195289742351757,0.3127672031585891,0.47757387645167976,0.30909580781204926,0.4726313709534307
45,46,0.3096612733559132,0.4800537924166709,0.4224052939485282,0.6169277464381635,0.30605324524812855,0.4751256617322306,0.3024452171403439,0.47019753104779016
46,47,0.30297476822847147,0.47753833323866046,0.4142032845054928,0.6142643151554463,0.2994300368178242,0.47262504273705486,0.295885305407177,0.4677117522354492
47,48,0.29638165858340004,0.4749750050657965,0.4060748449522127,0.6115435988217176,0.2929000872695026,0.4700769991261274,0.2894185159556052,0.4651789931864582
48,49,0.289884127196428,0.47236841492193815,0.3980245131637431,0.6087701420091451,0.286465517433864,0.4674861181240342,0.28304690767130003,0.46260382132613015
49,50,0.28348400169123056,0.4697228100377132,0.3900564016166772,0.6059481484474556,0.28012809695804275,0.46485662823354673,0.276772192224855,0.4599904464293803
50,51,0.27718278828174103,0.46704210841281646,0.3821742275870271,0.6030815106425729,0.27388927790022277,0.46219242969591656,0.27059576751870446,0.4573427509790166
51,52,0.27098170214395945,0.46432992647293403,0.37438134079870666,0.6001738365055809,0.2677502249526986,0.45949712206016236,0.26451874776143774,0.4546643176473908
52,53,0.2648816947872692,0.46158960413930084,0.36668074878966816,0.5972284733465305,0.261711842664569,0.4567740291769887,0.25854199054186877,0.4519584542146767
53,54,0.25888347875190665,0.45882422758860686,0.35907514023079035,0.594248529539159,0.2557747999916713,0.4540262218930868,0.2526661212314359,0.44922821619756675
54,55,0.2529875499213209,0.45603664994645066,0.3515669064051451,0.591236894121491,0.24993955246328553,0.45125653868738896,0.24689155500525017,0.4464764274283272
55,56,0.24719420770501865,0.4532295101278708,0.3441581610314518,0.5881962545623507,0.24420636222183537,0.4484676044614576,0.24121851673865208,0.44370569879504446
56,57,0.2415035733183586,0.4504052500129344,0.33685075859480873,0.5851291128940017,0.2385753161625476,0.44566184767086936,0.2356470590067366,0.44091844532880425
57,58,0.23591560636012743,0.4475661301232936,0.32964631132960354,0.5820378003856825,0.23304634237428648,0.4428415159625747,0.23017707838844553,0.43811690180185575
58,59,0.23043011986610684,0.44471424394651404,0.3225462049835405,0.5789244909109745,0.22761922506005913,0.44000869046426816,0.22480833025401142,0.43530313698202217
59,60,0.22504679399687544,0.4418515310383937,0.3155516134776054,0.5757912131432126,0.2222936180956406,0.4371652988553466,0.21954044219440577,0.4324790666722995
60,61,0.21976518850040228,0.4389797890190553,0.30866351256429536,0.5726398616970068,0.21706905736701548,0.4343131273347076,0.2143729262336287,0.4296464656503598
61,62,0.21458475407435396,0.43610068456600604,0.3018826925753588,0.5694722073200364,0.21194497201163887,0.4314538315881392,0.20930518994892378,0.4268069786102724
62,63,0.2095048427391567,0.4332157634963433,0.2952097703404295,0.5662899062272184,0.20692069467459878,0.4285889468471147,0.20433654661004086,0.423962130197886
63,64,0.20452471732057798,0.4303264600206229,0.28864520034917884,0.5630945086589234,0.20199547087844782,0.42571989712120023,0.19946622443631767,0.42111333422177755
64,65,0.19964356012969142,0.4274341052424313,0.2821892852217942,0.5598874667358262,0.19716846759453838,0.4228480036778651,0.19469337505938533,0.418261902113299
65,66,0.19486048091841546,0.4245399349702028,0.2758421855456443,0.5566701416750683,0.19243878109400703,0.41997449283602156,0.1900170812695986,0.4154090507018403
66,67,0.1901745241802556,0.4216450969012354,0.2696039291298027,0.5534438104254986,0.1878054441479716,0.41710050313307057,0.1854363641156876,0.4125559093649057
67,68,0.18558467585827587,0.41875065723199234,0.2634744197235891,0.550209671773707,0.18326743263888576,0.41422709191939305,0.18095018941949564,0.40970352660679377
68,69,0.18108986951558603,0.4158576067435954,0.25745344524038793,0.5469688519672535,0.17882367163825172,0.4113552414290669,0.1765574737609174,0.40685287611453835
69,70,0.17668899201765353,0.4129668664067868,0.2515406855236504,0.5437224098968145,0.1744730409999037,0.40848586437098106,0.1722570899821539,0.40400486233517524
70,71,0.17238088877046087,0.41007929254652575,0.24573571968811925,0.5404713418748535,0.17021438051278304,0.4056198090804251,0.1680478722551052,0.40116032561432446
71,72,0.16816436855382988,0.40719568160269815,0.240038033065889,0.5372165860447591,0.16604649465242435,0.40275786426755694,0.16392862075101883,0.3983200469324157
72,73,0.16403820798508295,0.40431677452012893,0.23444702378387194,0.5339590264511798,0.16196815696621703,0.39990076339587144,0.1598981059473511,0.39548475227161406
73,74,0.160001155644521,0.4014432607981181,0.22896200899656516,0.5306994967993872,0.1579781141238192,0.39704918872084016,0.15595507260311742,0.39265511664356223
74,75,0.15605193589094124,0.3985757822270787,0.22358223079562134,0.5274387839289649,0.1540750896608423,0.3942037750162462,0.15209824343074335,0.3898317678054138
75,76,0.152189252392531,0.39571493633743493,0.2183068618156513,0.5241776310248082,0.1502577874410369,0.3913651130133368,0.1483263224895428,0.38701528968923876
76,77,0.1484117913959001,0.3928612795838021,0.21313501055382666,0.5209167405863953,0.14652489485964584,0.38853375257577394,0.14463799832339158,0.38420622556774586
77,78,0.1447182247537694,0.39001533028549396,0.20806572641922427,0.5176567771744437,0.1428750858083359,0.3857102056313978,0.14103194686290244,0.3814050809773017
