,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.05617771015191253,0.1352869758761035,0.13591207522414883,0.30391713791029784,0.057802834693798794,0.13899935351852324,0.05942795923568506,0.142711731160943
1,2,0.10490083492207747,0.2254849473126177,0.2424540061069902,0.46563241171301173,0.10784009419140961,0.23127181600922916,0.11077935346074175,0.23705868470584063
2,3,0.14734364814845458,0.28775290717502755,0.3272913476304832,0.5607344935801336,0.15135265006567575,0.2947683210053671,0.15536165198289692,0.30178373483570664
3,4,0.18445574679668686,0.3317920321441301,0.3957668802157417,0.6205972329124549,0.1893408238297488,0.33956909952339054,0.19422590086281072,0.3473461669026509
4,5,0.2170116037738411,0.3634380911937086,0.45168896918684354,0.6600782006218551,0.22261810280442595,0.3717047436228905,0.2282246018350108,0.3799713960520723
5,6,0.2456478700946788,0.3863827486481948,0.4978265603573222,0.6869421398604787,0.2518514146431885,0.3949729735915509,0.25805495919169824,0.40356319853490713
6,7,0.27089175966404255,0.40305992921620293,0.5362286855696619,0.7055708908358871,0.27759166156757276,0.4118682765342743,0.284291563471103,0.4206766238523457
7,8,0.293182865555371,0.4151302216547902,0.568435793382104,0.7185943853962803,0.30029710934522735,0.4240872725762188,0.3074113531350838,0.43304432349764743
8,9,0.31289008444440514,0.42375924921434527,0.595622606620376,0.7276727539883382,0.3203514749429409,0.43281781061546104,0.32781286544147675,0.44187637201657676
9,10,0.3303248604038693,0.429784708634791,0.6186965998596674,0.7338987361963019,0.33807803933691216,0.4389117516753904,0.345831218269955,0.4480387947159898
