,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.046400430960573114,0.1126169464985135,0.09561674285031019,0.22187109379623637,0.052583366732334796,0.1267016414905152,0.05876630250409648,0.14078633648251687
1,2,0.08705639874950377,0.18949422320345555,0.1745237418462724,0.3541380240857336,0.09822002847852931,0.21137641615686545,0.10938365820755486,0.23325860911027535
2,3,0.1228044320585816,0.24352306406198732,0.2402650059460807,0.4383525697040539,0.13800787638818077,0.2699874729826711,0.15321132071777993,0.296451881903355
3,4,0.15433123037437957,0.2822569419215216,0.2954954691380297,0.4944770890220689,0.17283183061199792,0.31154383291926074,0.19133243084961626,0.34083072391699987
4,5,0.18220491146026663,0.3103789148309567,0.342233733960978,0.5330695119457685,0.20341184575172172,0.34147025828507804,0.2246187800431768,0.3725616017391994
5,6,0.20689889998691924,0.33092818331931706,0.38203531287468684,0.5601483283182764,0.23033871668563854,0.36320673132324566,0.25377853338435785,0.3954852793271743
6,7,0.22881037664723236,0.3459523153958982,0.4161135786257313,0.5793567662325239,0.254101111157932,0.3790281985951636,0.2793918456686317,0.4121040817944291
7,8,0.2482746608094799,0.35687396166909413,0.4454256267301596,0.5930111934686353,0.275106207887461,0.39049180100749337,0.3019377549654421,0.4241096403458926
8,9,0.26557652121008324,0.36470701749668566,0.4707341625324435,0.6026454004425597,0.2936956159861649,0.39869395127558627,0.32181471076224655,0.4326808850544868
9,10,0.2809591433150008,0.37018934443772156,0.49265273260734943,0.6093099115291202,0.31015777228693187,0.4044248393746175,0.33935640125886296,0.43866033431151347
10,11,0.29463129290617585,0.37386722215243595,0.5116792087649499,0.6137448257564291,0.32473768174268336,0.4082649503998347,0.3548440705791908,0.44266267864723335
11,12,0.30677307942730914,0.37615080896021025,0.5282208701269536,0.6164839319636026,0.33764463370587317,0.41064743994400943,0.36851618798443725,0.44514407092780867
12,13,0.3175406237053411,0.3773515983156701,0.5426133981135279,0.6179197937417735,0.34905836195803897,0.4118996736109712,0.3805761002107368,0.44644774890627226
13,14,0.32706986200052135,0.37770835254622415,0.5551354084745332,0.6183457967834478,0.35913399790233014,0.41227163723736165,0.3911981338041389,0.44683492192849916
14,15,0.33547966445423616,0.3774054570389207,0.5660196746655848,0.6179841242182101,0.36800608032862,0.4119558306703277,0.4005324962030038,0.44650620430173465
15,16,0.34287440569055005,0.3771139121549403,0.575461872837717,0.6176358205438173,0.37579182208141504,0.4116518352518814,0.40870923847228,0.4461897583488225
16,17,0.3493460949144712,0.3776463347904504,0.5836274523466384,0.6182717603309785,0.3825937872517109,0.4122069779549176,0.41584147958895046,0.44676762111938484
17,18,0.3549761497249271,0.3776499967760273,0.5906570756497511,0.6182761322162702,0.38850209761552335,0.41221079594443943,0.42202804550611966,0.4467715951128516
18,19,0.35983688014584947,0.377213178368225,0.5966709570387545,0.6177544324900857,0.39359626074674503,0.41175534323230306,0.42735564134764065,0.4462975080963811
19,20,0.3628925265963223,0.37751357725656054,0.6004254366075426,0.6181132476262354,0.39679542119050665,0.41206856239321593,0.430698315784691,0.4466235475298713
20,21,0.3584794450868025,0.37770835254622415,0.5949966199275776,0.6183457967834478,0.3921742708091557,0.41227163723736165,0.42586909653150884,0.44683492192849916
21,22,0.3537315093987259,0.3775313079054684,0.5891089463943628,0.6181344202179384,0.38719667052226686,0.4120870489834717,0.42066183164580784,0.44664279006147506
22,23,0.34870593037169695,0.37735430132289505,0.5828237949267425,0.6179230224418473,0.3819214490933267,0.4119024919833583,0.41513696781495635,0.4464506826438216
23,24,0.3434521398733247,0.3776705446526678,0.5761945330967725,0.6183006629034021,0.3763994929520894,0.4122322191125869,0.40934684603085403,0.44679389357250604
24,25,0.33801296224844124,0.377671983629829,0.569267878908182,0.618302380764952,0.37067496093525404,0.41223371938255704,0.4033369596220669,0.44679545513528507
25,26,0.3324255784167077,0.37739322140240905,0.562084977167473,0.617969510148207,0.36478627803825703,0.411943072965788,0.3971469776598063,0.44649292452916695
26,27,0.3267223255618572,0.37758264652237394,0.5546822585601726,0.6181957211165539,0.35876695520018714,0.41214057593145603,0.3908115848385171,0.4466985053405381
27,28,0.32093136530264965,0.37770835254622415,0.5470921318369626,0.6183457967834478,0.35264627089757733,0.41227163723736165,0.384361176492505,0.44683492192849916
28,29,0.31507724574926055,0.37759054217782106,0.5393435467340103,0.6182051484301151,0.34644984199817047,0.4121488080797991,0.3778224382470804,0.44670707398177706
29,30,0.3091813772297982,0.3772517347145594,0.531462455938762,0.617800497329227,0.3402001051133211,0.4117955464242633,0.37121883299684405,0.4463393581339672
