,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.04305719824980547,0.10472529313537615,0.09846288357939703,0.2279743241012776,0.05114366937484194,0.12313657933186725,0.0592301404998784,0.14154786552835835
1,2,0.08088824037799835,0.17668079385745716,0.1794767871109363,0.36294900378736994,0.09548371179182974,0.20527661434436983,0.11007918320566112,0.2338724348312825
2,3,0.11423757540022261,0.2275053257133468,0.24679062681790065,0.4484481363235213,0.13411009089029985,0.26209096534276366,0.15398260638037709,0.29667660497218057
3,4,0.14371856496872526,0.26408365661385447,0.3032028026005985,0.5052094888798575,0.16789732553966819,0.30236520573666253,0.1920760861106111,0.3406467548594706
4,5,0.16984046975948008,0.2907200407278111,0.3508338848245717,0.5441264391255041,0.19755414359817902,0.3313696030553618,0.22526781743687796,0.3720191653829124
5,6,0.19302914596133736,0.3102282637499556,0.39131283492932023,0.5713731438259869,0.22366020973607567,0.3524394202929797,0.254291273510814,0.3946505768360038
6,7,0.21364307865650523,0.3245159967247747,0.4259065673856154,0.590668886500217,0.24669364900494564,0.36777825846268275,0.27974421935338606,0.41104052020059084
7,8,0.231985919066806,0.33491583453361873,0.4556116261152662,0.6043685858885735,0.26705192122831656,0.37889395742160337,0.3021179233898272,0.422872080309588
8,9,0.24831637318535682,0.34238180594598433,0.4812200590507424,0.6140260543936851,0.28506782800670827,0.3868482713677795,0.32181928282805977,0.4313147367895746
9,10,0.26285606438120135,0.3476108265378609,0.5033674238918254,0.6207023501373594,0.3010219128940952,0.3924065932745792,0.33918776140698903,0.4372023600112975
10,11,0.27579583220951676,0.35112045819222104,0.5225682278911556,0.62514312089786,0.31515215848326295,0.3961313679160674,0.3545084847570092,0.4411422776399137
11,12,0.2873008140167159,0.35330026839103235,0.5392424053553668,0.62788504228031,0.3276616363519416,0.39844242496661125,0.3680224586871673,0.4435845815421902
12,13,0.2975145716300396,0.3544467005717964,0.5537353193473727,0.629322133343789,0.338724591453074,0.39965715317706674,0.37993461127610845,0.4448676057823371
13,14,0.30656246334974735,0.3547873335501883,0.5663330274755609,0.6297484683624778,0.3484913183040179,0.4000179814826712,0.3904201732582884,0.4452486294151541
14,15,0.3145544153256653,0.354498124660391,0.5772740451727918,0.6293865149134406,0.3570920967983099,0.39971162892938206,0.39962977827095447,0.44492513319837307
15,16,0.3215872118036567,0.3542197623228367,0.586758491460635,0.629037930520524,0.364640390240901,0.399416735605725,0.40769356867814527,0.44461370888861323
16,17,0.32774639756860935,0.35472811736453347,0.5949552594027585,0.6296743752918452,0.37123546021240805,0.3999552577028963,0.4147245228562067,0.44518239804125914
17,18,0.33310786597568176,0.3547316139138753,0.6020076822039053,0.6296787505330583,0.37696451721411645,0.39995896140315584,0.42082116845255113,0.44518630889243643
18,19,0.33773919065717317,0.3543145391262199,0.6080380437535164,0.6291566391882653,0.3819044993231783,0.3995171442139563,0.4260698079891835,0.44471974930169267
19,20,0.3406518103054329,0.354601358292879,0.6118013783038675,0.6295157398430545,0.38500702037944234,0.3998209857032139,0.42936223045345173,0.4450406131135488
20,21,0.33644558812941616,0.3547873335501883,0.6063594011324523,0.6297484683624778,0.38052551153207703,0.4000179814826712,0.4246054349347379,0.4452486294151541
21,22,0.3319223379065964,0.3546182877035837,0.6004548570893895,0.6295369289499209,0.3756986569893833,0.39983891886550393,0.41947497607217027,0.44505955002742414
22,23,0.32713696635748446,0.35444928138500065,0.5941487553590621,0.6293253646163443,0.3705835480992168,0.3996598871678325,0.4140301298409491,0.4448704929506644
23,24,0.32213688596256196,0.3547512335316396,0.5874941542634443,0.6297033000209795,0.3652295558587931,0.3999797432861928,0.4083222257550242,0.44520825304074596
24,25,0.31696313715559654,0.3547526075040195,0.5805375231964849,0.6297050191972672,0.35967951110230356,0.39998119864710585,0.4023958850490106,0.4452097897901922
25,26,0.31165131432021886,0.3544864420988023,0.5733198168486726,0.6293718892665172,0.35397067063252147,0.39969925317761484,0.39629002694482407,0.4449120642564274
26,27,0.3062323356759553,0.35466730653728595,0.5658773307496829,0.6295982774558315,0.34813551467345705,0.39989084342600006,0.3900386936709587,0.4451143803147141
27,28,0.30073308785782304,0.3547873335501883,0.5582423891445927,0.6297484683624778,0.34220241019719416,0.4000179814826712,0.3836717325365653,0.4452486294151541
28,29,0.2951769690626572,0.3546748454439935,0.5504439032354549,0.6296077120632377,0.33619616666316565,0.39989882914050523,0.37721536426367414,0.445122812837017
29,30,0.2895843494187532,0.35435135199497814,0.5425078283698793,0.6292027412775125,0.3301385047237181,0.39955614363982267,0.3706926600286829,0.4447609352846672
30,31,0.28397296327902943,0.35383629835194186,0.5344575418187265,0.628557400088817,0.3240484539461297,0.3990104503789681,0.36412394461323,0.4441846024059944
31,32,0.27835824511487706,0.3531472920242462,0.5263141576476119,0.6276930222199599,0.3179426921862101,0.39828029728847103,0.35752713925754304,0.44341330255269584
32,33,0.27275361836101286,0.3523003007307418,0.5180967913553878,0.6266287512282305,0.31183583664005177,0.3973824751689583,0.3509180549190906,0.4424646496071747
33,34,0.2671707447576389,0.3513098254231938,0.5098227840756633,0.6253818126968571,0.3057406945937231,0.3963322092356567,0.34431064442980724,0.4413545930481197
34,35,0.26161974032732505,0.3501890520816716,0.5015078939634325,0.6239677465744727,0.2996684803358418,0.3951433262094084,0.3377172203443586,0.44009760033714523
35,36,0.25610936301575415,0.3489499852933753,0.4931664607365307,0.6224006062887308,0.2936290034848434,0.39382840056124235,0.3311486439539326,0.4387068158291094
36,37,0.2506471761471831,0.3476035661450324,0.4848115480788566,0.6206931300445531,0.2876308330294619,0.3923988829201548,0.32461448991174074,0.43719419969527723
37,38,0.24523969114436217,0.3461597765621254,0.47645506764209167,0.6188568887440371,0.2816814406265319,0.3908652131647718,0.31812319010870166,0.4355706497674182
38,39,0.23989249239877586,0.3446277318997575,0.4681078876334068,0.6169024141818089,0.27578732609884304,0.38923692031773527,0.31168215979891023,0.43384610873571305
39,40,0.23461034672024028,0.34301576331725947,0.4597799283950097,0.6148393105366043,0.2699541275929427,0.3875227110302244,0.3052979084656451,0.4320296587431893
40,41,0.22939729942206677,0.34133149124137385,0.45148024692753663,0.61267635166606,0.26418671846627045,0.3857305481696193,0.29897613751047414,0.4301296050978648
