,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.050581760908980034,0.12229107584365917,0.1397818679803392,0.3118488144364877,0.054709399582416746,0.13179042186102136,0.05883703825585346,0.14128976787838354
1,2,0.09467791013894278,0.20480747162417412,0.24900478130000847,0.4764854730353528,0.10217716421063255,0.2197496587366108,0.10967641828232233,0.23469184584904745
2,3,0.13327242295214548,0.2622963735335576,0.3357125945846988,0.5726985813271832,0.14354280210959774,0.28053213373769603,0.15381318126705001,0.2987678939418345
3,4,0.16716671439276942,0.30324129909381903,0.40549783940219697,0.6329609653154118,0.1797275428035724,0.32355773996937987,0.19228837121437536,0.3438741808449407
4,5,0.1970188753370299,0.3328218069935749,0.4623369879022422,0.6725519461587339,0.2114826064219663,0.3544977909449286,0.22594633750690274,0.37617377489628234
5,6,0.2233734254500055,0.35435641536092166,0.5091140590395963,0.6994103006095678,0.23942549714584002,0.37694367801200745,0.25547756884167455,0.39953094066309325
6,7,0.24668411187339567,0.3700569944545361,0.5479580190542601,0.7179926731469103,0.26406759292922616,0.3932658728623095,0.28145107398505664,0.41647475127008293
7,8,0.26733154909686874,0.38144667433168344,0.580465555852343,0.7309613888423078,0.28583533280182916,0.40508346131555006,0.3043391165067896,0.4287202482994166
8,9,0.28563699082660354,0.38960296456678145,0.6078514008461076,0.7399900483578412,0.3050866416466316,0.41353410751097197,0.32453629246665966,0.43746525045516255
9,10,0.30187317270766567,0.39530528386801167,0.6310517621961949,0.7461762354086605,0.3221237753188103,0.4194361708568136,0.34237437792995495,0.44356705784561556
10,11,0.3162729161946658,0.39912784839793725,0.6507967632654977,0.7502657502699542,0.3372034490093368,0.4233898260702228,0.3581339818240078,0.44765180374250835
11,12,0.32903600626376506,0.4015000951012275,0.667661995808539,0.7527806676774395,0.3505448850072398,0.4258422871033712,0.3720537637507146,0.45018447910551485
