,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.041894321811882795,0.10201887613211069,0.13280038507932534,0.29932261194004106,0.05601933634220696,0.1336948635115536,0.07014435087253112,0.1653708508909965
1,2,0.07876113273470686,0.1723621717803604,0.23809834242454897,0.4620508896919948,0.10402136371836149,0.22066248120459225,0.1292815947020161,0.2689627906288241
2,3,0.11130617468521775,0.2221760083459543,0.3226973878534872,0.5587962848845408,0.14541460605603895,0.2798084373115105,0.17952303742686015,0.3374408662770667
3,4,0.14011264734999962,0.2580952985279553,0.3914610474828194,0.6200400795888179,0.18130248338960403,0.3212498366352675,0.22249231942920844,0.38440437474257977
4,5,0.16566610001480564,0.2842889213902726,0.4479290204910754,0.660552859848312,0.21256012264152074,0.3508510634040502,0.25945414526823585,0.4174132054178278
5,6,0.1883735969384176,0.30349321766629844,0.49471967122983196,0.6881621987565141,0.23988943043980446,0.37222898244153857,0.2914052639411913,0.44096474721677875
6,7,0.2085786185846049,0.31756947220304277,0.5337986056950688,0.7073233967239793,0.26385919259964086,0.38772677377526676,0.3191397666146768,0.4578840753474907
7,8,0.22657275280633515,0.3278213706535429,0.5666613827046931,0.7207245899486792,0.28493468702839686,0.3989236907637232,0.3432966212504585,0.4700260108739035
8,9,0.24260494496440954,0.3351842829822902,0.5944600183743203,0.7300680676590825,0.3034998390694408,0.4069187710930119,0.3643947331744721,0.4786532592037336
9,10,0.2568888742283819,0.34034270025636504,0.618091997353448,0.7364764207443589,0.31987399784605897,0.4124970507499015,0.382859121463736,0.48465140124343803
10,11,0.26960887883735196,0.34380567674182894,0.6382638376940121,0.7407156710121984,0.3343247816839051,0.41623129391948066,0.3990406845304582,0.4886569110971324
11,12,0.28092474847035365,0.34595680702807907,0.6555371086141671,0.7433237991908874,0.3470780157126799,0.4185466559137566,0.4132312829550061,0.4911365047994342
12,13,0.29097562530586407,0.3470882471498886,0.6703621692859784,0.7446878968790502,0.3583254939950946,0.419763165990091,0.4256753626843252,0.4924380848302934
13,14,0.2998831987622592,0.34742443780810484,0.6831031974634794,0.7450921966649869,0.3682310968305783,0.4201244598375491,0.4365789948988974,0.4928244818669933
14,15,0.3077543367056491,0.34713900024005595,0.6940569609300411,0.7447489620455545,0.37693565213228286,0.41981771389788947,0.44611696755891667,0.492496427555723
15,16,0.3146832641604931,0.3468642715859567,0.7034670406888284,0.7444182863352011,0.38456082894335375,0.4195224220266614,0.4544383937262144,0.49218057246736613
16,17,0.3207533764775634,0.3473659934814408,0.7115347115270609,0.7450219456304388,0.3912122786109707,0.4200616572271189,0.46167118074437796,0.492757320972797
17,18,0.32603875550996353,0.34736944444998863,0.7184273405747428,0.7450260941433924,0.3969821863792725,0.4200653656066523,0.4679256172485815,0.492761286763316
18,19,0.3306054431805424,0.34695781077419596,0.7242849250021068,0.7445309093698038,0.4019513574088299,0.4196229685263354,0.4732972716371174,0.49228812627847485
19,20,0.33347793268745884,0.3472408872303786,0.7279233994044565,0.7448715183856756,0.405069364620366,0.4199272135110815,0.47666079655327315,0.4926135397917844
20,21,0.32932979279582286,0.34742443780810484,0.7226577441905354,0.7450921966649869,0.40056478237034354,0.4201244598375491,0.47179977194486417,0.4928244818669933
21,22,0.3248699359179872,0.34725759585253424,0.7169135958251113,0.7448916125107078,0.3957079481439225,0.41994516984138863,0.46654596036985785,0.4926327438302431
22,23,0.3201526796783857,0.34709079428476,0.7107435988540726,0.7446909617980395,0.3905552401485165,0.4197659036180045,0.4609578006186474,0.49244101295124887
23,24,0.31522491698419064,0.34738880831858554,0.7041935849506322,0.7450493711179356,0.38515543977403144,0.420086173688597,0.4550859625638723,0.4927835390586085
24,25,0.3101272249423349,0.347390164381408,0.6973038652586876,0.74505100115971,0.3795509107938134,0.42008763088059964,0.4489745966452919,0.49278509737979126
25,26,0.30489478091523614,0.3471274701052014,0.6901102262091166,0.7447350901392343,0.373778560134705,0.4198053218123137,0.4426623393541738,0.49248317351942605
26,27,0.29955812489619793,0.34730597547438613,0.6826447035545382,0.7449497883036209,0.3678706273804594,0.4199971610771258,0.4361831298647208,0.49268834667986544
27,28,0.294143798355588,0.34742443780810484,0.6749361891431822,0.7450921966649869,0.36185533875419573,0.4201244598375491,0.4295668791528034,0.4928244818669933
28,29,0.2886748829578989,0.34731341608305066,0.6670109105798289,0.7449587346684832,0.35575745291226923,0.42000515699229607,0.4228400228666395,0.4926968979015415
29,30,0.2831714574624229,0.3469941430494393,0.6588928135931689,0.7445746443812067,0.3495987196278758,0.419662020900624,0.4160259817933287,0.4923298987518087
30,31,0.27765098725719306,0.3464858193787781,0.6506038694301248,0.7439622524833736,0.3433982677549794,0.4191155557607188,0.4091455482527657,0.49174529214265944
31,32,0.2721286580205011,0.34580583593488945,0.6421643241023628,0.7431413825955402,0.33717293532170756,0.41838426536657375,0.40221721262291393,0.49096269479825805
32,33,0.26661766272669585,0.34496996768245114,0.6335929022489317,0.7421296999221252,0.33093755190662755,0.4174848806894236,0.3952574410865593,0.48999979369639607
33,34,0.26112944944489547,0.3439925434076997,0.6249069753546177,0.7409430006384361,0.3247051813844002,0.4164325569955023,0.3882809133239049,0.48887257058330497
