,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.04502192439038999,0.10942156060158414,0.10477454785211038,0.2414249571545226,0.05228521427358701,0.12598804929310212,0.05954850415678403,0.1425545379846201
1,2,0.08454096374712383,0.18442191458318535,0.19041830913466395,0.3822379023946325,0.09766528138371178,0.21019839325594594,0.11078959902029972,0.23597487192870653
2,3,0.11934568325135053,0.2372892380181172,0.26115891790953705,0.47045447589521794,0.13723154899694787,0.2684971282301627,0.1551174147425452,0.2997050184422082
3,4,0.15008553592684115,0.2752744939003201,0.320125898891796,0.5285372199589511,0.17186358000127114,0.3098381249295749,0.19364162407570112,0.3444017559588297
4,5,0.17729946134438834,0.3028986298870753,0.3696726464890019,0.5681127357549756,0.2022769140766981,0.3396132825584992,0.22725436680900785,0.37632793522992314
5,6,0.20143784209472348,0.32310913099795724,0.4115942266359719,0.5956906931245782,0.2290586869403656,0.3612422032856929,0.2566795317860077,0.3993752755734286
6,7,0.22287952735911964,0.3378992414572315,0.44727760075421086,0.6151522867464206,0.2526945181401121,0.37698674673249777,0.28250950892110466,0.41607425200776404
7,8,0.2419451526756735,0.3486581307575476,0.47780707712367887,0.628933520484404,0.27358903547821223,0.38839538580683164,0.305232918280751,0.42813264085611574
8,9,0.25890765037304564,0.35637832047066575,0.504039526479914,0.6386297685951586,0.29208170430435254,0.3965586309152271,0.3252557582356595,0.43673894135978847
9,10,0.2740006089141218,0.3617835900553499,0.5266588206810625,0.6453236077899185,0.3084591528091516,0.40226255241922704,0.3429176967041813,0.4427415147831042
10,11,0.2874249705964069,0.36541067274412575,0.5462157654796577,0.6497717789397146,0.3229648544416162,0.4060846963717576,0.3585047382868255,0.44675871999938943
