,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.053728598180646125,0.1295857467647631,0.4349274367770729,0.7254489347624884,0.07759053346875017,0.17977857656824656,0.10145246875685421,0.22997140637173002
1,2,0.10042030743120156,0.21638607237628416,0.6405199766511218,0.872632377660146,0.14144523964226977,0.2874809486916604,0.18247017185333797,0.3585758250070366
2,3,0.14116830523703716,0.27652425280924564,0.7528136444830326,0.9241198880547823,0.1946886001663493,0.3570774444968672,0.24820889509566146,0.43763063618448866
3,4,0.17685889741890437,0.31917511760064443,0.8201393764094695,0.9474059024101514,0.23956441905498452,0.40422288827727665,0.30226994069106466,0.48927065895390887
4,5,0.20821673735266533,0.34988893987191716,0.8632767087531329,0.9596683734498129,0.277725052231378,0.43712667616166934,0.3472333671100907,0.5243644124514215
5,6,0.23583895045139214,0.37219398593237385,0.8923417629634892,0.9667891541191317,0.3104138965090123,0.4605046796416511,0.38498884256663246,0.5488153733509282
6,7,0.2602211630330462,0.38842631114872206,0.9127169602853256,0.971197342404799,0.33858433990151626,0.4772557490012238,0.4169475167699863,0.5660851868537256
7,8,0.2817775539847852,0.4001855264147901,0.9274659499009544,0.9740374530688652,0.3629795247962784,0.48925713641260393,0.4441814956077716,0.5783287464104176
8,9,0.30085644483804197,0.40859791674538337,0.938428218651025,0.9759047016507116,0.3841871824516959,0.49777544733174783,0.46751792006534987,0.5869529779181124
9,10,0.3177525255569379,0.4144749996322724,0.9467574563115808,0.9771334575551583,0.4026781702395057,0.5036937517366713,0.48760381492207344,0.5929125038410701
10,11,0.3327165193147168,0.41841272500330706,0.9532040699743721,0.9779235951407336,0.4188340927586065,0.5076441846733175,0.5049516662024962,0.5968756443433278
11,12,0.3459628803860484,0.4208556301126434,0.9582715035576834,0.9784008605338176,0.4329674507104397,0.5100890058115566,0.519972021034831,0.5993223815104699
12,13,0.35767596885002917,0.4221395718509048,0.9623066508087993,0.9786478169254466,0.44533657404148985,0.511372131490673,0.5329971792329504,0.6006046911304411
13,14,0.36801503646527434,0.4225209478110177,0.9655541603426142,0.9787206618590129,0.4561568495559497,0.5117530237057727,0.5442986626466251,0.6009850996005277
14,15,0.37711827783676233,0.4221971501175005,0.9681901346462042,0.9786588296059786,0.46560927335382335,0.5114296438025412,0.5541002688708844,0.6006621374875818
15,16,0.3851061415607202,0.4218854604879736,0.9703436474226892,0.9785991509774113,0.47384704349010864,0.5111182811225846,0.5625879454194971,0.6003511017571956
16,17,0.3920840516309335,0.42245465256748016,0.9721108336843806,0.9787080157922502,0.48100069758845077,0.5116868204821459,0.5699173435459679,0.6009189883968117
17,18,0.3981446559448384,0.42245856715934826,0.9735643260646272,0.9787087627103476,0.4871821567869916,0.5116907297331188,0.5762196576291447,0.6009228923068892
18,19,0.40336969336153283,0.42199158849962803,0.9747597032878876,0.9786194885939667,0.4924879382795941,0.5112243060975628,0.5816061831976553,0.6004570236954974
19,20,0.40665082470297076,0.4223127346261687,0.9754841168924007,0.9786809208070023,0.4958087768810481,0.5115450883111691,0.5849667290591254,0.6007774419961693
20,21,0.4019112132445889,0.4225209478110177,0.9744312665552727,0.9787206618590129,0.49100909082590166,0.5117530237057727,0.5801069684072144,0.6009850996005277
21,22,0.396805625043543,0.42233168901239637,0.9732494930501447,0.9786845414428085,0.485818948667597,0.511564018770932,0.574832272291651,0.6007963485294676
22,23,0.39139435067810835,0.4221424615514334,0.9719407143303963,0.9786483697492042,0.4802953779298197,0.5113750179411258,0.569196405181531,0.6006075743308182
23,24,0.3857295561710554,0.4224805323684965,0.9705057524292132,0.9787129532966663,0.4744877652394459,0.5117126647581511,0.5632459743078364,0.6009447971478059
24,25,0.3798565263155862,0.4224820705973794,0.9689446008409891,0.9787132467355646,0.46843909418381074,0.5117142008595111,0.5570216620520353,0.600946331121643
25,26,0.373814681040604,0.4221840695502578,0.9672566264391071,0.9786563282232773,0.4621869415095897,0.511416578439865,0.5505592019785754,0.6006490873294721
26,27,0.3676384133084891,0.42238657039896577,0.9654407243384319,0.9786950215560516,0.45576428623891246,0.5116188293413445,0.5438901591693358,0.6008510882837232
27,28,0.3613577854067872,0.4225209478110177,0.9634954384512182,0.9787206618590129,0.4492001725725663,0.5117530237057727,0.5370425597383452,0.6009850996005277
28,29,0.35499911188846967,0.4223950108471891,0.9614190566961122,0.9786966329113045,0.442520257473924,0.5116272586955468,0.5300414030593783,0.6008595065439046
29,30,0.3485854509959949,0.42203280926952946,0.9592096872431454,0.9786273829784952,0.43574726649442547,0.5112654845398689,0.522909081992856,0.6004981598102083
30,31,0.3421370215800491,0.421456028447156,0.9568653203993633,0.9785166729703296,0.4289013759625594,0.5106891785986467,0.5156657303450696,0.5999223287501375
31,32,0.33567155887187317,0.4206842600052544,0.9543838794954872,0.9783676975935061,0.4220005355899138,0.5099176497424633,0.5083295123079544,0.5991510394796722
32,33,0.3292046196840501,0.41973523612575436,0.9517632632519848,0.9781831823210089,0.4150607424803092,0.5089682984659848,0.5009168652765683,0.5982013608062151
33,34,0.32274984547757957,0.4186250331041266,0.9490013814699052,0.977965461529861,0.40809627519758385,0.5078568401235395,0.4934427049175882,0.5970886471429524
34,35,0.31631919008135534,0.4173682488038313,0.9460961854321449,0.977716541865044,0.4011198947642992,0.506597497299909,0.4859205994472431,0.5958267457959868
35,36,0.3099231175647613,0.41597815786743786,0.9430456940632844,0.9774381539312322,0.39414301808942936,0.5052031662342186,0.4783629186140974,0.5944281746009992
36,37,0.30357077475679606,0.4144668479048844,0.9398480166456842,0.9771317947014363,0.38717586825688577,0.5036855613381905,0.4707809617569754,0.5929042747714968
37,38,0.29727014211015235,0.4128453393562366,0.9365013727018785,0.9767987624962237,0.38022760527386423,0.502055341144695,0.4631850684375762,0.5912653429331534
38,39,0.2910281659767532,0.41112369129612236,0.933004109511455,0.9764401859816985,0.373306440223049,0.5003222184522009,0.4555847144693448,0.5895207456082796
39,40,0.28485087485521987,0.4093110950920056,0.9293547176225204,0.9760570483250622,0.3664197352441577,0.49849505696744545,0.44798859563309557,0.5876790188428853
40,41,0.27874348176253605,0.4074159575344096,0.9255518446349412,0.9756502074088819,0.3595740913569887,0.4965819563705649,0.4404047009514413,0.5857479552067202
41,42,0.2727104745503871,0.40544597481286715,0.9215943074685898,0.9752204128213328,0.3527754258063902,0.49459032741715064,0.43284037706239337,0.5837346800214341
42,43,0.2667556957149796,0.40340819850764875,0.9174811032803356,0.9747683201965576,0.34602904034150894,0.4925269584367758,0.42530238496803824,0.5816457183659028
43,44,0.2608824130250156,0.4013090945969413,0.91321141915511,0.9742945033671756,0.3393396816235008,0.4903980743769983,0.417796950221986,0.5794870541570553
44,45,0.2550933821063016,0.3991545963362072,0.9087846406666218,0.9737994647026628,0.33271159477714896,0.4882093893672814,0.41032980744799624,0.5772641823983558
45,46,0.24939090196565483,0.39695015174617776,0.9042003593803025,0.9732836439373518,0.3261485709543247,0.4859661536320312,0.4029062399429945,0.5749821555178847
46,47,0.24377686430554757,0.39470076634442164,0.8994583793534107,0.9727474257360793,0.3196539896546998,0.48367319546067533,0.3955311150038521,0.5726456245769289
47,48,0.2382527973697265,0.3924110416695237,0.894558722673848,0.9721911462008925,0.3132308564466624,0.4813349588411264,0.38820891552359826,0.5702588760127292
48,49,0.2328199049652403,0.39008521007398944,0.88950163406926,0.9716150984863419,0.3068818366451427,0.47895553727759005,0.3809437683250451,0.5678258644811907
49,50,0.2274791012250702,0.38772716619993,0.884287584610767,0.971019537661877,0.3006092854300315,0.4765387042416994,0.3737394696349929,0.5653502422834689
50,51,0.22223104160562746,0.38534049549862526,0.8789172745306585,0.9704046849363167,0.29441527482668783,0.47408794064509935,0.3665995080477482,0.5628353857915734
51,52,0.21707615055289586,0.3829285001097289,0.8733916351701516,0.9697707313401566,0.288301617916777,0.4716064596699664,0.3595270852806582,0.5602844192302039
52,53,0.2120146462185033,0.3804942223769954,0.8677118300715253,0.9691178409457603,0.2822698906018584,0.4690972292500496,0.35252513498521354,0.5577002361231038
53,54,0.20704656256131315,0.3780404662439548,0.8618792552283071,0.9684461536925538,0.2763214512025456,0.4665629924573563,0.3455963398437781,0.5550855186707577
54,55,0.2021717691302033,0.3755698167440883,0.855895538507464,0.9677557878736813,0.27045745814169175,0.46400628601755833,0.3387431471531802,0.5524427552910285
55,56,0.19738998878877512,0.37308465777511157,0.849762538258552,0.9670468423317498,0.26467888593012556,0.4614294571497175,0.331967783071476,0.5497742565243234
56,57,0.19270081361209956,0.3705871883253129,0.8434823411263248,0.966319398403954,0.25898653964732976,0.4588346789022744,0.32527226568256,0.5470821694792359
57,58,0.1881037191586904,0.3680794373010924,0.8370572590852706,0.9655735216507569,0.25338106808655275,0.45622396413687083,0.3186584170144151,0.5443684909726494
58,59,0.183598077297229,0.36556327708843583,0.8304898257167933,0.9648092633971839,0.24786297571375732,0.4535991782939314,0.31212787413028564,0.541635079499427
59,60,0.1791831677467156,0.3630404359667314,0.8237827917522093,0.9640266621115006,0.2424326335721405,0.4509620510586506,0.3056820993975654,0.5388836661505698
60,61,0.17485818847034929,0.3605125094807822,0.8169391199072742,0.9632257446424345,0.23709028924839784,0.44831418703274395,0.2993223900264464,0.5361158645847057
61,62,0.17062226504724087,0.35798097086584224,0.8099619790365411,0.9624065273330568,0.23183607600319373,0.4456570755057404,0.2930498869591466,0.5333331801456387
62,63,0.1664744591317736,0.3554471806107946,0.8028547376383955,0.9615690170268648,0.22667002115620313,0.44299209940947654,0.28686558318063266,0.5305370182081585
63,64,0.16241377609779817,0.352912395236028,0.7956209567440794,0.9607132119794284,0.22159205380539768,0.4403205435305911,0.2807703315129972,0.5277286918251541
64,65,0.15843917195372892,0.3503777753549876,0.7882643822263539,0.9598391026871043,0.21660201195083345,0.4376436020480401,0.274764851947938,0.5249094287410927
65,66,0.15454955960475858,0.3478443930816538,0.7807889365656102,0.9589466726427478,0.21169964908485417,0.4349623854557965,0.26884973856494976,0.5220803778299392
66,67,0.15074381452974717,0.3453132388402407,0.7731987101132174,0.9580358990270029,0.20688464030328726,0.43227792692486433,0.26302546607682736,0.519242615009488
67,68,0.1470207799326554,0.34278522762807406,0.7654979518936383,0.957106753342602,0.20215658798570482,0.4295911881533847,0.25729239603875426,0.5163971486786954
68,69,0.14337927142164297,0.34026120477787103,0.7576910599883577,0.9561592019981161,0.1975150270871077,0.4269030647488741,0.2516507827525724,0.5135449247198771
69,70,0.13981808126296835,0.33774195126138973,0.7497825715459187,0.9551932068467577,0.19295943007833963,0.4242143911824267,0.2461007788937109,0.5106868311034637
70,71,0.1363359822515532,0.3352281885726185,0.7417771524633483,0.9542087256851025,0.18848921156808696,0.42152594535096416,0.24064244088462072,0.5078237021293098
71,72,0.13293173123542124,0.33272058322524234,0.7336795867849792,0.9532057127159772,0.18410373263541255,0.41883845278026177,0.23527573403540386,0.5049563223352811
72,73,0.12960407232711058,0.33021975089606503,0.7254947658651079,0.9521841189792167,0.17980230489832422,0.4161525904985005,0.23000053746953786,0.5020854301009361
73,74,0.1263517398315268,0.327726260243275,0.7172276773411087,0.9511438927535304,0.17558419434085393,0.4134689906073984,0.22481664885018104,0.4992117209715217
74,75,0.1231734609165106,0.32524063642595524,0.7088833939635246,0.9500849799323117,0.17144862491847693,0.41078824357557675,0.21972378892044325,0.49633585072519826
75,76,0.12006795804954962,0.3227633643489609,0.7004670623292865,0.9490073243758799,0.16739478195935842,0.4081109012766454,0.21472160586916722,0.49345843820432983
76,77,0.11703395122159344,0.3202948916552443,0.691983891563611,0.947910868242337,0.16342181537690434,0.40543747979253675,0.20980967953221524,0.4905800679298293
77,78,0.11407015997669367,0.31783563148584326,0.6834391419952572,0.9467955522989622,0.15952884270728168,0.4027684620008595,0.2049875254378697,0.48770129251587574
78,79,0.111175305264272,0.31538596502605964,0.6748381138687357,0.9456613162158388,0.155714951984047,0.4001042999634421,0.200254598703822,0.4848226349008245
79,80,0.10834811112908505,0.31294624385481995,0.6661861361357595,0.9445080988432072,0.15197920446065366,0.39744541713180026,0.19561029779222228,0.4819445904087806
80,81,0.10558730625242663,0.3105167921128007,0.65748855536671,0.9433358384738674,0.14832063719042554,0.39479221038393825,0.19105396812842446,0.4790676286550758
81,82,0.10289162535677776,0.3080979085036395,0.6487507248212039,0.942144473091804,0.14473826547256974,0.39214505190571797,0.18658490558836172,0.47619219530779644
82,83,0.10025981048490784,0.305689868141372,0.639977993714979,0.9409339406080713,0.14123108517190036,0.38950429092893346,0.18220235985889288,0.4733187137164949
83,84,0.09769061216338559,0.3032929242561829,0.6311756967183039,0.9397041790848641,0.13779807491917978,0.38687025533724917,0.17790553767497397,0.47044758641831547
84,85,0.0951827904595135,0.30090730976957614,0.6223491437189794,0.9384551269486006,0.13443819819830732,0.384243253150255,0.17369360593710115,0.4675791965309339
85,86,0.09273511593987283,0.298533238749189,0.6135036098807296,0.937186723192749,0.13115040532601385,0.38162357389507384,0.16956569471215488,0.4647139090409587
86,87,0.09034637053792749,0.29617090775264376,0.6046443260254482,0.9358989075710605,0.12793363532921403,0.37901148987419697,0.16552090012050058,0.4618520719957501
87,88,0.0880153483374766,0.29382049706910074,0.5957764693653227,0.9345916207817956,0.12478681772473985,0.37640725733754615,0.1615582871120031,0.45899401760599157
88,89,0.08574085627815575,0.29148217186647263,0.586905154608397,0.9332648046434749,0.12170887420579957,0.3738111175661203,0.15767689213344338,0.45614006326576795
89,90,0.08352171478867121,0.2891560832516441,0.5780354254586026,0.9319184022626337,0.11869872023919018,0.3712232978740134,0.15387572568970914,0.4532905124963828
90,91,0.08135675835297684,0.2868423692504526,0.569172246528759,0.9305523581940084,0.11575526657700885,0.3686440125350592,0.15015377480104086,0.4504456558196657
91,92,0.07924483601419052,0.28454115571365945,0.5603204956825067,0.9291666185935475,0.11287742068636947,0.36607346363986687,0.1465100053585484,0.4476057715660743
92,93,0.07718481182065762,0.2822525571546527,0.5514849568186124,0.9277611313645984,0.11006408810041607,0.36351184188857505,0.14294336438017452,0.4447711266224974
93,94,0.0751755652182513,0.27997667752416766,0.5426703131085877,0.9263358462975922,0.10731417369375537,0.36095932732422614,0.13945278216925944,0.4419419771242846
94,95,0.07321599139267188,0.27771361092690494,0.5338811406961299,0.9248907152035208,0.10462658288525997,0.35841609001129787,0.13603717437784807,0.4391185690956908
95,96,0.07130500156524577,0.27546344228454167,0.5251219028644872,0.9234256920414696,0.10200022277106263,0.35588229066357296,0.1326954439768795,0.43630113904260426
96,97,0.06944152324547048,0.2732262479492765,0.5163969446755484,0.921940733040455,0.09943400319044199,0.35335808122520707,0.1294264831354135,0.43348991450113755
97,98,0.0676245004433208,0.27100209627174,0.5077104880822146,0.9204357968157879,0.0969268377271868,0.3508436054085674,0.1262291750110528,0.4306851145453949
98,99,0.06585289384413051,0.2687910481267862,0.49906662751347375,0.9189108444801712,0.09447764464893466,0.3483389991921304,0.1231023954537388,0.42788695025747464
99,100,0.06412568094866977,0.266593157400422,0.4904693259295627,0.9173658397497215,0.09208534778689473,0.3458443912814839,0.12004501462511968,0.4250956251625459
100,101,0.06244185618087117,0.26440847144087487,0.48192241134266534,0.9158007490450903,0.08974887735828638,0.343359903536249,0.11705589853570159,0.4223113356316231
101,102,0.060800430965485264,0.2622370314765585,0.47342957379679207,0.9142155415878485,0.08746717073374705,0.34088565136551147,0.11413391050200883,0.4195342712544644
102,103,0.0592004337778228,0.2600788730034941,0.4649943627987919,0.9126101894922842,0.08523917315191337,0.33842174409417103,0.11127791252600394,0.41676461518484803
103,104,0.05764091016758177,0.25793402614453764,0.45662018519088865,0.9109846678527569,0.08306383838329706,0.33596828530242173,0.10848676659901235,0.41400254446030577
104,105,0.05612092275864733,0.25580251598258674,0.44831030345369394,0.9093389548267365,0.08094012934553535,0.33352537314041497,0.10575933593242337,0.41124823029824314
