,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.0486129292850046,0.11783397811265461,0.09711287827883297,0.22516452380329233,0.05443103597909771,0.13105233862366716,0.060249142673190814,0.14427069913467971
1,2,0.09113587135766832,0.19795110321570752,0.17716945209564872,0.3590433164794654,0.10162396746807689,0.21841602268581642,0.11211206357848547,0.2388809421559253
2,3,0.12846675154489506,0.25407935699303774,0.24380076494872627,0.4441014920577928,0.1427288339007015,0.27876199772861177,0.15699091625650796,0.30344463846418585
3,4,0.16134126297799267,0.2942190550968914,0.2997250062077943,0.5006911032082089,0.17867214135444745,0.3214757918197062,0.19600301973090223,0.34873252854252107
4,5,0.19036689685274155,0.3233058689048842,0.34700729645514516,0.5395508233767031,0.2102072327926731,0.35219410685149827,0.23004756873260462,0.3810823447981123
5,6,0.21604892802155062,0.3445288116072269,0.3872377278703938,0.5667885906661003,0.23795188039889936,0.3744820769052653,0.2598548327762481,0.4044353422033037
6,7,0.23881045896308994,0.36002803372649295,0.42165563235080783,0.5860942284411457,0.2624166790484376,0.39069166980495795,0.28602289913378515,0.421355305883423
7,8,0.25900802590879024,0.3712855031567397,0.45123776853087805,0.5998093975604137,0.28402672929382167,0.4024291790415561,0.30904543267885315,0.43357285492637254
8,9,0.2769438556926461,0.3793543551317252,0.4767618578766324,0.6094820902062786,0.30313836507262815,0.4108234130025405,0.3293328744526102,0.4422924708733557
9,10,0.29287557034521017,0.3849991602110697,0.4988529995522494,0.6161710359640927,0.32005218077406866,0.416686537236133,0.34722879120292716,0.4483739142611964
10,11,0.3070239291982815,0.38878484536049374,0.5180180129884606,0.6206211953220602,0.3350232655931384,0.42061433246205066,0.3630226019879953,0.45244381956360763
11,12,0.31957904923252156,0.39113488381614026,0.5346711491304583,0.623369305646709,0.34826930975060383,0.4230508464936214,0.3769595702686861,0.4549668091711026
12,13,0.33070543607817227,0.39237046572353484,0.5491535508605078,0.6248097606299636,0.35997707423025826,0.4243313588978558,0.3892487123823443,0.4562922520721768
13,14,0.3405460785559118,0.39273753683445256,0.5617481323917191,0.6252371095505176,0.37030759138062846,0.4247117069259688,0.40006910420534514,0.4566858770174851
14,15,0.3492258007140622,0.3924258825598823,0.5726910640404104,0.6248742948425366,0.3794003734108306,0.4243887822449809,0.4095749461075991,0.4563516819300795
15,16,0.3568540212611162,0.3921259008967627,0.5821807154553342,0.6245248859765054,0.3873768395242926,0.4240779300853196,0.417899657787469,0.4560299592738764
16,17,0.3635270370807493,0.3926737262616433,0.5903846775720423,0.6251628397487898,0.3943431233246405,0.4246455906750339,0.42515920956853165,0.45661745508842444
17,18,0.3693299222837686,0.39267749411605013,0.5974453190058867,0.6251672254199527,0.4003923854204794,0.4246494947013426,0.4314548485571901,0.45662149528663515
18,19,0.37433811493872127,0.39222804038037395,0.6034842149811064,0.624643874866573,0.4056067284882836,0.42418377326394074,0.43687534203784595,0.45613950614750753
19,20,0.3774856234422783,0.3925371300255961,0.6072535865467802,0.6250038266553557,0.40888071555919203,0.42450405547044867,0.44027580767610575,0.4564709809153012
20,21,0.37293966309618354,0.39273753683445256,0.6018030562121488,0.6252371095505176,0.40415131819417044,0.4247117069259688,0.4353629732921573,0.4566858770174851
21,22,0.36804726093711493,0.39255537343203417,0.5958905218989152,0.6250250661461091,0.39905595916000275,0.4245229587729054,0.4300646573828905,0.45649054411377665
22,23,0.36286708403148227,0.3923732469327419,0.5895773537403528,0.6248129995596079,0.39365464015384344,0.4243342408256991,0.42444219627620466,0.4562952347186563
23,24,0.35744984283199344,0.39269863601853516,0.5829169212507544,0.6251918334446128,0.3879992783810766,0.4246714006176535,0.41854871393015985,0.4566441652167719
24,25,0.3518394938825602,0.392700116594458,0.5759559585265683,0.6251935567210776,0.38213494661004044,0.4246729346937167,0.4124303993375206,0.4566457527929755
25,26,0.34607422791161213,0.3924132929692201,0.5687356420537435,0.6248596345049029,0.37610088627438354,0.4243757368806878,0.40612754463715484,0.4563381807921555
26,27,0.34018728814839116,0.3926081965969572,0.5612924499197585,0.6250865606294657,0.3699313422114592,0.4245776921899653,0.3996753962745272,0.4565471877829733
27,28,0.3342076531284829,0.39273753683445256,0.5536588533063094,0.6252371095505176,0.3636562559503853,0.4247117069259688,0.39310485877228774,0.4566858770174851
28,29,0.3281606103981751,0.3926163205525838,0.5458638782112796,0.625096017699734,0.35730184583107577,0.4245861098734969,0.3864430812639764,0.4565558991944101
29,30,0.32206824164042736,0.3922677125528443,0.5379335659340139,0.6246900859364146,0.3508910958008882,0.4242248833140484,0.37971394996134905,0.4561820540752525
30,31,0.3159498353010778,0.3917126294981771,0.5298913539409362,0.6240432269883227,0.3444441699020602,0.4236496472133675,0.37293850450304267,0.45558666492855804
31,32,0.30982223941441067,0.39096999181635184,0.5217583936055539,0.62317684237886,0.3379787658056761,0.4228799304484606,0.36613529219694146,0.45478986908056945
32,33,0.30370016473883954,0.3900569425653825,0.5135538174945455,0.6221101416637652,0.3315104179605704,0.4219334054767465,0.35932067118230127,0.4538098683881106
