,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.06560780440234548,0.15701565224970038,0.08249494226832232,0.1941533299483028,0.06628329593502114,0.15845787607988762,0.06695878746769679,0.15990009991007487
1,2,0.12204721467098023,0.25969539454101376,0.1518950014545153,0.3148836745340634,0.12322030561229919,0.26175238243552085,0.12439339655361814,0.26380937033002794
2,3,0.17083961195301678,0.3295161232516245,0.21070095104019193,0.39403370181421127,0.1723799060195914,0.33183952129174304,0.17392020008616604,0.3341629193318616
3,4,0.21320375527588276,0.3783197287382415,0.26084681071479443,0.4478921248896993,0.2150150264802503,0.3807554739206092,0.21682629768461786,0.383191219102977
4,5,0.2501245049982307,0.4130722880785691,0.30384555813916103,0.4854882469234677,0.2521353512279657,0.4155506851784047,0.2541461974577007,0.4180290822782403
5,6,0.282404173093866,0.4380942358426124,0.34089335302590484,0.5121598349681931,0.2845613848597297,0.44058401601677677,0.28671859662559346,0.44307379619094117
6,7,0.3107013072955477,0.45618513706876596,0.3729451382776754,0.531232609031222,0.31296511299883667,0.45867304352174576,0.31522891870212566,0.46116094997472556
7,8,0.3355602788320432,0.46922659493719887,0.400770192402772,0.5448707733968752,0.3379009023071775,0.4717078841298307,0.3402415257823118,0.47418917332246263
8,9,0.35743406604322137,0.4785225217109972,0.4249934412226124,0.554534677979481,0.3598292118419607,0.4809963989603985,0.36222435764070005,0.4834702762097997
9,10,0.3767019523543462,0.48499990373216006,0.44612652247972884,0.5612400543427938,0.37913495357028804,0.4874672898741108,0.38156795478622985,0.48993467601606144
10,11,0.3936833867059323,0.48933195078350133,0.4645913877553913,0.56571149832555,0.3961418304015546,0.49179438768493544,0.39860027409717697,0.49425682458636955
11,12,0.4086489222690608,0.49201628350374615,0.48073840825322345,0.568476927581656,0.41112362220255394,0.49447540907899235,0.413598322136047,0.49693453465423854
12,13,0.4218289119727042,0.4934261268808079,0.4948603901902654,0.5699277422745586,0.42431313592875675,0.4958834383613271,0.4267973598848092,0.49834074984184634
13,14,0.433420468128636,0.4938447686349443,0.5072035160161996,0.5703583348516132,0.43590935331483627,0.49630153149545464,0.43839823850103654,0.4987582943559649
14,15,0.4435930686640348,0.4934893352148799,0.5179759538724792,0.5699927613160295,0.44608317700714206,0.49594656415409144,0.44857328535024926,0.4984037930933029
15,16,0.45249310071823334,0.4931471518264866,0.5273546830576569,0.5696407486654578,0.45498207891816467,0.4956048263702279,0.45747105711809605,0.49806250091396914
16,17,0.46024756430391267,0.493771999740623,0.5354909434274683,0.5702834957300773,0.46273388281518113,0.49622885828982016,0.46522020132644964,0.49868571683901725
17,18,0.4669671078402937,0.4937762966382693,0.5425146151928066,0.5702879149544257,0.4694498596629382,0.49623314954100833,0.4719326114855826,0.4986900024437474
18,19,0.4727485290125413,0.493263667253396,0.5485377612632159,0.5697606184090631,0.4752272740502018,0.49572119040761187,0.47770601908786237,0.49817871356182764
19,20,0.4763734612447217,0.4936162175617498,0.5523048096357208,0.5701232716325064,0.47884925140671153,0.49607328049707106,0.4813250415687014,0.49853034343239233
20,21,0.4711358406960018,0.4938447686349443,0.546859505287282,0.5703583348516132,0.47361579066754533,0.49630153149545464,0.4760957406390888,0.4987582943559649
21,22,0.46548374148362703,0.4936370241213125,0.540966251025196,0.570144672253214,0.4679673814690086,0.4960940597949042,0.4704510214543903,0.4985510954684959
22,23,0.45948195742459874,0.4934292991722168,0.5346891084617409,0.5699310054950844,0.461968607948891,0.4958866065126368,0.46445525847318325,0.4983439138530567
23,24,0.4531866666632509,0.4938004068897728,0.5280837381090799,0.5703127113985504,0.4556754705062939,0.49625722810087153,0.45816427434933693,0.4987140493119703
24,25,0.4466467826388576,0.49380209532899844,0.5211987777800552,0.5703144478795403,0.4491367347009545,0.49625891432016817,0.4516266867630514,0.49871573331133795
25,26,0.43990504748561954,0.49347497573562615,0.5140769421791758,0.5699779906830411,0.4423950222777161,0.49593222343543125,0.44488499706981266,0.4983894711352363
26,27,0.4329989251804549,0.493697267534954,0.5067559086401299,0.5702066343406027,0.43548770182110386,0.49615422421140415,0.43797647846175286,0.4986111808878543
