,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.05555186429078329,0.13379068077582978,0.20238928118958854,0.42899187949493267,0.07688131914681634,0.17881416181693574,0.09821077400284939,0.2238376428580417
1,2,0.10373718088254535,0.2230167113393383,0.34923889463097346,0.6203095521907542,0.14048750274314134,0.2870426892996232,0.17723782460373733,0.3510686672599081
2,3,0.14571602422136654,0.2846307773684722,0.45833397187451475,0.7193043141119753,0.19374984904729567,0.3573701079415507,0.2417836738732248,0.43010943851462924
3,4,0.18242646297966802,0.3282182935954905,0.5410593743984711,0.7760029294500059,0.23879595939744913,0.40515992076298263,0.29516545581523024,0.48210154793047477
4,5,0.2146335409610156,0.35954651500814816,0.604921632463588,0.8108586929761912,0.2772075822827448,0.438573658766234,0.3397816236044739,0.5176008025243197
5,6,0.2429661456816461,0.38226473253436066,0.6550006052359179,0.8333625142988365,0.31018505526431006,0.4623393082000684,0.3774039648469741,0.5424138838657762
6,7,0.26794506040447774,0.39877966321870506,0.6948142900658798,0.848368797099229,0.3386556111970917,0.47937910340842,0.40936616198970566,0.5599785435981349
7,8,0.2900045222857478,0.4107338471528954,0.726849870810896,0.8585601478326419,0.36334672898682396,0.49159218189525766,0.43668893568790007,0.5724505166376199
8,9,0.309508944627927,0.4192805873727886,0.7528987250126923,0.8655153822801225,0.38483703619294707,0.5002628849966266,0.4601651277579672,0.5812451826204648
9,10,0.32676600094615527,0.4252489567549811,0.7742729295448484,0.8702135199886009,0.4035924001351098,0.5062880006133048,0.4804187993240643,0.5873270444716285
