,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.03794257928315059,0.09263266576380569,0.46055738202347163,0.754433767319053,0.06071528164128834,0.1426752078374107,0.08348798399942609,0.1927177499110157
1,2,0.07144256844709751,0.15700778431872287,0.6703102462455621,0.8943584884149566,0.11166413604780645,0.23152193279921224,0.1518857036485154,0.3060360812797016
2,3,0.10110696344705017,0.20287715274875584,0.7811046059767787,0.9403565457752351,0.1548234912254128,0.29030862467081436,0.20854001900377545,0.3777400965928729
3,4,0.12743929491117678,0.2361112984773538,0.845569849768032,0.9602504478867906,0.19167975542993543,0.33077299672239624,0.2559202159486941,0.42543469496743863
4,5,0.15086042103076058,0.2604368675690374,0.8857806220309927,0.9703889318174943,0.22336874754171718,0.3593379837125365,0.29587707405267377,0.4582390998560356
5,6,0.17172456074103248,0.2783223766971171,0.9122298848509813,0.976135397688727,0.25077130110182844,0.37980382072729535,0.32981804146262433,0.48128526475747363
6,7,0.19033178213229907,0.2914603693417782,0.9303754342394549,0.9796295501379795,0.2745797996791305,0.39455939593826683,0.35882781722596185,0.49765842253475545
7,8,0.20693782076585876,0.30104446837068877,0.9432582772353778,0.9818511943667333,0.2953452777947507,0.405179669291846,0.38375273482364264,0.5093148702130033
8,9,0.2217618655494401,0.3079360254894168,0.9526681972897182,0.9832978228496195,0.3135112942754011,0.41274302525518625,0.40526072300136207,0.5175500250209557
9,10,0.23499278245246902,0.312768390322843,0.9597069477095765,0.9842432583695343,0.32943865200028066,0.41801050733831946,0.42388452154809225,0.5232526243537958
10,11,0.24679412664459766,0.3160144311730715,0.965078765307269,0.984848326545042,0.343423684738656,0.42153238801456083,0.4400532428327143,0.5270503448560502
11,12,0.2573082070311823,0.3180316007579307,0.9692484855260751,0.9852126725426676,0.35571195757928675,0.4237143685152401,0.45411570812739116,0.5293971362725495
12,13,0.2666594038037773,0.3190928266549088,0.972531561654099,0.9854008577030684,0.366508653175307,0.4248602794768831,0.46635790254683673,0.5306277322988574
13,14,0.27495689280518953,0.31940818692153594,0.9751473251598888,0.9854563217430572,0.37598653280709193,0.4252005373886061,0.47701617280899433,0.5309928878556762
14,15,0.2822968955803091,0.3191404341192273,0.9772515657475828,0.9854092440672063,0.3842921017503033,0.42491165340188664,0.4862873079202975,0.5306828726845461
15,16,0.28876454769308557,0.31888273695559044,0.9789570522631058,0.9853637920315728,0.3915504302505513,0.42463353515651664,0.49433631280801704,0.5303843333574428
16,17,0.29443545793451253,0.3193533627308932,0.9803467969986482,0.985446694524219,0.39786895746259776,0.4251413936409012,0.501302456990683,0.5309294245509092
17,18,0.2993770157800596,0.31935659992827226,0.9814828299615301,0.9854472631565746,0.4033405184370784,0.4251448859975606,0.5073040210940973,0.5309331720668491
18,19,0.303649492688833,0.31897047616378116,0.9824121248983801,0.9853792829815284,0.4080457720690698,0.4247282364121311,0.5124420514493064,0.5304859966604811
19,20,0.30633829025751336,0.31923600728780743,0.9829730015162071,0.9854260655136735,0.4109949349003298,0.42501477939638443,0.5156515795431462,0.5307935515049615
20,21,0.30245575833141436,0.31940818692153594,0.9821572580251919,0.9854563217430572,0.4067334817618018,0.4252005373886061,0.5110112051921891,0.5309928878556762
21,22,0.29828392498878964,0.3192516806270457,0.9812373157250489,0.9854288222825508,0.4021329216651445,0.42503169027193,0.5059819183414994,0.5308116999168142
22,23,0.2938740603617984,0.3190952159127556,0.9802134120569603,0.9854012787000208,0.3972453338165882,0.4248628578272938,0.500616607271378,0.5306304997418321
23,24,0.2892703917393291,0.31937476432618694,0.9790849111194176,0.9854504534299157,0.3921157651181843,0.4251644818927229,0.4949611384970395,0.5309541994592588
24,25,0.28451114834102753,0.3193760363912552,0.9778505109445325,0.9854506768209861,0.38678334395800407,0.4251658541912744,0.4890555395749806,0.5309556719912936
