,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.04147448552198163,0.1010732138747038,0.1511704852881851,0.33577781356381486,0.05825399861624672,0.13840167214600893,0.07503351171051181,0.17573013041731406
1,2,0.07800798085580829,0.1709200933265448,0.2685976400000689,0.5098662225028897,0.1078688496492172,0.2272951718073589,0.1377297184426261,0.283670250288173
2,3,0.11028753225477606,0.22046260290796205,0.361198190479311,0.6097847481152234,0.15043213930830818,0.28726249154708433,0.1905767463618403,0.3540623801862066
3,4,0.13888194802207832,0.25622872107742456,0.4352004414370033,0.6713910269481833,0.18717165751910703,0.3290549143331167,0.23546136701613574,0.4018811075888088
4,5,0.16426562576195958,0.2823335285758318,0.49504088911864985,0.7113432587578312,0.2190500342680481,0.35879860908904093,0.2738344427741366,0.4352636896022501
5,6,0.18683693594798723,0.3014851366941641,0.5439361310120925,0.7381674079744401,0.246831458373865,0.3802254710435776,0.30682598079974277,0.4589658053929911
6,7,0.20693254387364524,0.3155295129971195,0.5842560788959114,0.7565767434303519,0.2711295100610728,0.39573136694701905,0.33532647624850026,0.4759332208969186
7,8,0.2248386680267609,0.3257618064798442,0.6177725972671966,0.7693455835890515,0.29244198561825346,0.406920195263626,0.36004530320974604,0.48807858404740784
8,9,0.240800004302423,0.3331125255853217,0.645828300306769,0.7781941403164971,0.3111766134938816,0.41490248835433197,0.38155322268534014,0.49669245112334226
9,10,0.255026855094166,0.338263343127439,0.6694531397326853,0.7842366031354355,0.3276702941765459,0.4204684401374105,0.4003137332589258,0.502673537147382
10,11,0.26770086574365604,0.34172165445217906,0.6894462188747921,0.7882217348042142,0.3422036699319779,0.42419288414721285,0.4167064741202999,0.5066641138422466
11,12,0.2789796717655123,0.34387006374990425,0.7064340505685553,0.7906686746716631,0.3550122823403139,0.426501552286188,0.43104489291511544,0.5091330408224719
12,13,0.28900068764427933,0.34500012715687833,0.7209126066276905,0.7919469844336413,0.366295206148031,0.42771435673167996,0.4435897246517827,0.5104285863064816
13,14,0.29788421424271716,0.34533591598257074,0.7332780522083324,0.7923256611615404,0.3762217952529559,0.42807452507837,0.45455937626319465,0.5108131341741693
14,15,0.30573600169917015,0.34505081937177373,0.7438494742300472,0.7920041852861771,0.38493700138973963,0.4277687354440262,0.4641380010803091,0.5104866515162787
15,16,0.31264937442886065,0.34477642114084384,0.7528858738894313,0.7916944107838492,0.39256560296226095,0.42747435639140435,0.4724818314956613,0.5101722916419649
16,17,0.3187070018546555,0.34527754127343324,0.760599001333921,0.7922598688517779,0.3992155939182288,0.428011918930171,0.47972418598180205,0.5107462965869087
17,18,0.3239823808953233,0.3452809881284832,0.7671631432527656,0.7922637541406283,0.40498091959168675,0.4280156157185506,0.4859794582880502,0.5107502433086181
18,19,0.3285410826716263,0.3448698475784766,0.7727226543753463,0.7917999219507728,0.4099437006623484,0.42757459293449396,0.4913463186530705,0.5102793382905113
19,20,0.33140886031141314,0.3451525843829607,0.7761670826999794,0.7921189798404411,0.4130565535524427,0.42787789462796155,0.49470424679347225,0.5106032048729625
