,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen","Proba Neut Min
 vs. XBB.1.5 antigen","Proba Neut Max
 vs. XBB.1.5 antigen","Proba Neut Min
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Max
 vs. Wuhan-Hu-1=0.75/EG.5.1=0.25 antigen","Proba Neut Min
 vs. Wuhan-Hu-1/EG.5.1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1/EG.5.1 antigen"
0,1,0.042701785205835674,0.10386578511808808,0.16971212772942412,0.37024894563800914,0.05942991980124693,0.14107906516022262,0.07615805439665818,0.17829234520235715
1,2,0.0802227260946553,0.17524461794471735,0.2981779661828934,0.5516908932990965,0.1099921246131608,0.23143621659551986,0.1397615231316663,0.28762781524632236
2,3,0.11330101096920542,0.22567257272062546,0.39723490395085803,0.6519362194740974,0.15332120538924576,0.2922409293920619,0.1933413998092861,0.3588092860634983
3,4,0.1425446692725334,0.26197267025962456,0.47486035946392446,0.712114768007156,0.1906818716780557,0.3345319805235985,0.238819074083578,0.40709129078757245
4,5,0.16845842614392714,0.2884109500396269,0.536560508876163,0.7504009621591115,0.22306577308794287,0.36458292866595654,0.2776731200319586,0.4407549072922862
5,6,0.19146427994633264,0.3077768021034152,0.5862176216455989,0.7757516600308944,0.2512599586244425,0.38620461978051135,0.3110556373025523,0.46463243745760757
6,7,0.21191743162632126,0.3219618526114272,0.6266217635748221,0.7929741272124214,0.2758960712316365,0.4018368930382975,0.3398747108369517,0.48171193346516783
7,8,0.23011873267313987,0.33228784837122394,0.6598129001178117,0.8048317205126657,0.2974862288680872,0.4131089956266595,0.36485372506303443,0.49393014288209497
8,9,0.24632449796047728,0.3397012974613902,0.6873060225919776,0.8130049976957325,0.3164495570660931,0.42114653029795107,0.38657461617170896,0.5025917631345119
9,10,0.26075430444637515,0.344893783348296,0.7102423459990916,0.8185651904352823,0.3331320594987414,0.42674890819427314,0.4055098145511077,0.5086040330402501
10,11,0.27359723630463617,0.348379012041501,0.7294927558478538,0.822222695154144,0.3478216755801624,0.43049675348686756,0.4220461148556887,0.5126144949322341
11,12,0.2850169215258941,0.3505437143636335,0.7457297943789476,0.8244646546677703,0.3607598163685113,0.4328195321668762,0.43650271121112855,0.515095349970119
12,13,0.29515562089825786,0.3516822159257702,0.7594785396001269,0.8256347180576948,0.37215029284826184,0.43403962741141217,0.4491449647982659,0.5163970388970541
13,14,0.30413756839317907,0.3520204945395511,0.7711530853483628,0.8259811749236607,0.3821662919069915,0.4344019447078869,0.4601950154208039,0.5167833948762227
14,15,0.31207171602565664,0.35173328452545327,0.7810830465023559,0.8256870564656242,0.39095587541375154,0.4340943310513785,0.46984003480184644,0.5164553775773038
15,16,0.3190540018238066,0.3514568467268704,0.7895330551957449,0.8254035956217665,0.3986463511424227,0.4337981909812416,0.4782387004610388,0.5161395352356128
16,17,0.325169233524928,0.3519616875739896,0.7967172666163218,0.825920985632487,0.40534777404926814,0.4343389655528002,0.48552631457360834,0.5167162435316108
17,18,0.3304926608005173,0.35196515995925803,0.8028102677174079,0.8259245401006121,0.41115577141551374,0.43434268437285223,0.4918188820305102,0.5167202087864464
18,19,0.33509129360924006,0.3515509681939747,0.8079553632645027,0.8255001494742789,0.41615383805417355,0.43389902771065575,0.49721638249910705,0.5162470872273368
19,20,0.3379834350100026,0.351835804579131,0.8111358590612262,0.8257920878913347,0.41928813330830955,0.4342041419799928,0.5005928316066165,0.5165724793808546
20,21,0.3338068065133196,0.3520204945395511,0.8065291642181146,0.8259811749236607,0.41475956343627796,0.4344019447078869,0.49571232035923635,0.5167833948762227
