,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84328158.88941953,84328550.62552898,84328929.69162591,84329281.57441851,84329600.6136195,84328130.2017685,84328518.22995001,84328897.61896904,84329253.03158414,84329577.82466426,84328103.91255502,84328487.50711988,84328865.87141919,84329223.1071947,84329551.78671125,84328079.8417146,84328458.64742656,84328835.12964576,84329193.01990977,84329524.26059194,84328057.77005662,84328431.65003347,84328805.70398982,84329163.43360132,84329496.27349448,84328037.48037553,84328406.42818296,84328777.71060015,84329134.70377432,84329468.43203117,84328018.77291824,84328382.86012568,84328751.16283126,84329107.00985971,84329441.0937131,84328001.46995452,84328360.81407155,84328726.02027687,84329080.42904101,84329414.46477897,84327985.41576894,84328340.1602833,84328702.21569628,84329054.9787457,84329388.6579168,84327970.47485653,84328320.77665439,84328679.66999964,84329030.64169943,84329363.72728008,84327956.5295577,84328302.55094895,84328658.30060585,84329007.38096818,84329339.69021966,84327943.47766966,84328285.3813382,84328638.02604507,84328985.14909965,84329316.54102215,84327931.23025225,84328269.17609128,84328618.7684033,84328963.89371134,84329294.25972156,84327919.70969932,84328253.85287444,84328600.45451726,84328943.56090118,84329272.81781144,84327908.84808135,84328239.33789939,84328583.0164465,84328924.09730574,84329252.18197274
1,2021-07-02,84320773.07648152,84321339.51257499,84321909.62225458,84322460.49553515,84322979.38076302,84320733.13721018,84321292.58500034,84321861.19166559,84322415.61912212,84322942.17762874,84320696.59953018,84321248.19662128,84321813.39616154,84322368.7094097,84322899.77954462,84320663.19625928,84321206.60170746,84321767.25037731,84322321.68677308,84322855.08417493,84320632.60941648,84321167.77886564,84321723.20405555,84322275.58551486,84322809.77235629,84320604.52690347,84321131.5851836,84321681.41317786,84322230.94936527,84322764.82779828,84320578.66336259,84321097.83018439,84321641.88010629,84322188.04367621,84322720.82244162,84320554.76594964,84321066.31164646,84321604.52833582,84322146.9735482,84322678.07932198,84320532.61385638,84321036.83266798,84321569.24322723,84322107.75154735,84322636.76854362,84320512.01544535,84321009.20930465,84321535.89444362,84322070.33741432,84322596.96534728,84320492.8046941,84320983.2734308,84321504.34828958,84322034.66173553,84322558.68600905,84320474.83767498,84320958.87320067,84321474.47436951,84322000.640199,84322521.91041912,84320457.98935626,84320935.87234709,84321446.14901002,84321968.18220775,84322486.59647104,84320442.1508103,84320914.14896555,84321419.25683017,84321937.19605663,84322452.68931583,84320427.22682633,84320893.5941223,84321393.69125612,84321907.59199017,84322420.1273427
2,2021-07-03,84313534.84288362,84314207.45003168,84314883.63600352,84315543.32002378,84316173.9064916,84313487.77474159,84314152.6270611,84314826.72204264,84315489.88151893,84316128.86935699,84313444.6199565,84314100.73713227,84314770.57546872,84315434.07249965,84316077.59828871,84313405.08181721,84314052.07878153,84314716.38365537,84315378.17933518,84316023.61154354,84313368.80121094,84314006.62964529,84314664.66991448,84315323.42829175,84315968.94442903,84313335.42325552,84313964.22582084,84314615.61299151,84315270.45972686,84315914.78310937,84313304.62216173,84313924.64788368,84314569.2119853,84315219.58236949,84315861.81293808,84313276.10842562,84313887.6625417,84314525.37416428,84315170.9147032,84315810.41725087,84313249.62864089,84313853.04248132,84314483.9627128,84315124.46586859,84315760.79441366,84313224.96244578,84313820.57525824,84314444.82295933,84315080.18299218,84315713.0285368,84313201.91859815,84313790.06663826,84314407.79674946,84315037.97931705,84315667.13310213,84313180.33104078,84313761.3411503,84314372.73016307,84314997.75108205,84315623.0783307,84313160.05530159,84313734.24128821,84314339.47744974,84314959.38767305,84315580.80856767,84313140.96533808,84313708.6261141,84314307.90280586,84314922.77768712,84315540.25341935,84313122.95083104,84313684.36965583,84314277.88092674,84314887.81248394,84315501.33491598
3,2021-07-04,84305912.04057206,84306677.98502961,84307450.58301097,84308207.50662562,84308935.23997474,84305859.39790754,84306616.23283564,84307386.14584379,84308146.64737809,84308883.58733281,84305811.13599004,84306557.78150147,84307322.58263722,84308083.1045115,84308824.80649504,84305766.92325376,84306502.96785021,84307261.23664181,84308019.4815832,84308762.93632372,84305726.35807715,84306451.7672655,84307202.69923145,84307957.17329806,84308700.31100857,84305689.04340906,84306403.99565262,84307147.17182142,84307896.90659872,84308638.28886752,84305654.61464524,84306359.40630338,84307094.65263183,84307839.03075959,84308577.65300037,84305622.74771766,84306317.7368119,84307045.03609875,84307783.67861803,84308518.83992292,84305593.15891333,84306278.73143505,84306998.1669009,84307730.85878204,84308462.0741369,84305565.60147698,84306242.15111609,84306953.8696224,84307680.50953381,84308407.4493821,84305539.86123188,84306207.77725756,84306911.96499678,84307632.53083993,84308354.9787251,84305515.75218472,84306175.41235332,84306872.27862112,84307586.80353782,84308304.6259497,84305493.11250238,84306144.87909746,84306834.6453932,84307543.20085905,84308256.32547314,84305471.80098368,84306116.0188178,84306798.91150968,84307501.59530112,84308209.99508673,84305451.69403252,84306088.68967664,84306764.93508072,84307461.86264217,84308165.54413529
4,2021-07-05,84298487.72303788,84299326.8459933,84300167.97018427,84300990.87274255,84301783.37163356,84298430.53139336,84299260.29480767,84300098.68800241,84300925.3603003,84301727.58082944,84298378.01868448,84299197.24432467,84300030.31654403,84300856.95256068,84301664.09729709,84298329.84135479,84299138.06503113,84299964.3007823,84300788.45067005,84301597.28402013,84298285.57701299,84299082.73820996,84299901.27880421,84300721.35518982,84301529.66142753,84298244.80556062,84299031.07265069,84299841.46997935,84300656.44836444,84301462.69532828,84298207.13985777,84298982.80874512,84299784.87528892,84300594.10624151,84301397.23009342,84298172.23493724,84298937.66902393,84299731.38398477,84300534.47211322,84301333.7358247,84298139.78818826,84298895.3823355,84299680.83158128,84300477.55568767,84301272.45379943,84298109.53597966,84298855.69476211,84299633.03171724,84300423.29105252,84301213.48425944,84298081.24915221,84298818.37380114,84299587.79362373,84300371.57109001,84301156.84050728,84298054.72844025,84298783.20915098,84299544.93151112,84300322.26810119,84301102.4827911,84298029.80025364,84298750.01184107,84299504.26936416,84300275.24619125,84301050.33979152,84298006.3129639,84298718.61261974,84299465.64311606,84300230.36865461,84301000.32235768,84297984.1337088,84298688.86007813,84299428.90133402,84300187.50228912,84300952.33231916
5,2021-07-06,84290897.5379245,84291813.15365256,84292728.39283139,84293621.82823586,84294481.3631126,84290835.92436236,84291741.48172033,84292653.87063292,84293551.40939221,84294421.38027228,84290779.32169051,84291673.54394487,84292580.29724711,84293477.85853378,84294353.11773415,84290727.3670214,84291609.74522021,84292509.22909078,84293404.18541858,84294281.26397763,84290679.61110707,84291550.07114275,84292441.35602672,84293332.003822,84294208.52797255,84290635.60588509,84291494.32084832,84292376.91780938,84293262.15633631,84294136.48573062,84290594.9377543,84291442.21900168,84292315.91908926,84293195.04928112,84294066.04564434,84290557.23772916,84291393.47027081,84292258.24395466,84293130.83882833,84293997.71398112,84290522.18182652,84291347.78546862,84292203.7182635,84293069.5374496,84293931.75110638,84290489.48757592,84291304.89341925,84292152.14393082,84293011.07615408,84293868.26577955,84290458.90927729,84291264.54556125,84292103.3177586,84292955.34145881,84293807.27326326,84290430.23315482,84291226.5168795,84292057.04158102,84292902.19755903,84293748.73172614,84290403.27287836,84291190.60503882,84292013.12746936,84292851.4996539,84293692.56533046,84290377.86561204,84291156.628705,84291971.40011363,84292803.10190214,84293638.67899498,84290353.86860944,84291124.42557026,84291931.69759732,84292756.86207834,84293586.96786906
6,2021-07-07,84283045.12258308,84284025.54201497,84285010.24364735,84285973.47611256,84286901.11647265,84282980.38637911,84283949.49286214,84284930.78491895,84285898.19619302,84286836.88544962,84282920.93595076,84283877.41371496,84284852.33679038,84285819.56383248,84286763.78490093,84282866.38636468,84283809.7338022,84284776.55940914,84285740.79663648,84286686.83466025,84282816.26240166,84283746.43721892,84284704.18891844,84285663.6202867,84286608.93547338,84282770.09059878,84283687.31013696,84284635.4814248,84285588.93619269,84286531.77522789,84282727.43417165,84283632.05971086,84284570.44223733,84285517.17938243,84286456.32707223,84282687.90361528,84283580.37191641,84284508.94801092,84285448.51741296,84286383.1336096,84282651.15704125,84283531.9393049,84284450.81322671,84285382.96414259,84286312.47412767,84282616.8964498,84283486.4735989,84284395.8267701,84285320.44626121,84286244.46554317,84282584.86269577,84283443.71057574,84284343.77202438,84285260.84281796,84286179.12461255,84282554.83035488,84283403.41105258,84284294.43770131,84285204.00893089,84286116.40690838,84282526.60298441,84283365.35996218,84284247.62340134,84285149.79004228,84286056.2315422,84282500.00894424,84283329.36456603,84284203.1421608,84285098.03043264,84285998.4969758,84282474.89779791,84283295.25235425,84284160.82128412,84285048.57820696,84285943.09117019
7,2021-07-08,84274879.41012344,84275893.86758414,84276929.35712336,84277951.65711747,84278941.71777233,84274814.3713386,84275815.4787027,84276846.2624192,84277872.24551395,84278873.58368196,84274754.74428229,84275741.25914538,84276764.27536117,84277789.32722679,84278796.05674255,84274700.12152104,84275671.64086623,84276685.12956607,84277706.29849301,84278714.4656347,84274650.00826654,84275606.59667909,84276609.58996987,84277624.97877164,84278631.8885521,84274603.91479406,84275545.89632644,84276537.91883302,84277546.31660184,84278550.11560096,84274561.39106362,84275489.22941484,84276470.11626206,84277470.76798883,84278470.1778991,84274522.03684726,84275436.26504196,84276406.04827723,84277398.50668074,84278392.6494686,84274485.50159915,84275386.68027759,84276345.51644726,84277329.54441118,84278317.82487741,84274451.48032294,84275340.17298113,84276288.29614832,84277263.80118491,84278245.82645841,84274419.70820539,84275296.4666715,84276234.15753748,84277201.14701343,84278176.67037603,84274389.95521602,84275255.31139585,84276182.8768214,84277141.42692967,84278110.30800778,84274362.0211561,84275216.48265167,84276134.2420102,84277084.47601224,84278046.65218422,84274335.73131269,84275179.77944028,84276088.0555235,84277030.1283456,84277985.59396294,84274310.93272725,84275145.02201602,84276044.13500859,84276978.22225596,84277927.01338919
8,2021-07-09,84266726.5742844,84267754.00407839,84268815.3806052,84269872.28463762,84270902.47224984,84266662.15926796,84267675.10635965,84268730.76550408,84269790.71412307,84270832.01809354,84266603.14053835,84267600.44733198,84268647.31809074,84269705.5735661,84270751.8734792,84266549.10627218,84267530.45499675,84268566.80075586,84269620.35290936,84270667.55340794,84266499.55968294,84267465.09537604,84268489.98778975,84269536.9192685,84270582.2418989,84266454.0104262,84267404.13088381,84268417.14130689,84269456.24378102,84270497.78887208,84266412.0086393,84267347.24419814,84268348.25676946,84269378.79122892,84270415.25834739,84266373.15472545,84267294.09822236,84268283.19362152,84269304.73650762,84270335.24125198,84266337.09901719,84267244.36463585,84268221.7462463,84269234.08835708,84270258.03946537,84266303.53751846,84267197.73667024,84268163.68289647,84269166.76164335,84270183.77687658,84266272.20646176,84267153.93389715,84268108.76699305,84269102.62024505,84270112.46779078,84266242.87686154,84267112.70300543,84268056.76853444,84269041.50273103,84270044.05975553,84266215.3495359,84267073.81663606,84268007.4698925,84268983.23776126,84269978.46069956,84266189.45074491,84267037.0713579,84267960.66840959,84268927.65325435,84269915.55626735,84266165.02845134,84267002.2853499,84267916.17718281,84268874.58172967,84269855.22092827
9,2021-07-10,84258612.74559711,84259650.1678203,84260729.2205333,84261809.73138496,84262867.87877475,84258548.65615444,84259571.09113866,84260643.83254378,84261726.92720895,84262795.99525817,84258489.93143487,84259496.27055481,84260559.63783666,84261640.51575401,84262714.23911794,84258436.16201696,84259426.13330053,84260478.41339451,84261554.04016219,84262628.24020496,84258386.85402852,84259360.64376356,84260400.93851675,84261469.3945475,84262541.24754901,84258341.52002332,84259299.56253755,84260327.47562951,84261387.56282549,84262455.14763226,84258299.7128152,84259242.57056768,84260258.01826718,84261309.01473676,84262371.02443853,84258261.03519754,84259189.32920876,84260192.42296629,84261233.92583425,84262289.47902668,84258225.13960302,84259139.50879687,84260130.48087205,84261162.30319065,84262210.8175376,84258191.72386672,84259092.80141516,84260071.9569991,84261094.05880694,84262135.16462027,84258160.52581285,84259048.92565973,84260016.6116917,84261029.05314608,84262062.53327784,84258131.31783904,84259007.62739258,84259964.2121041,84260967.12118196,84261992.86857904,84258103.90196665,84258968.67855366,84259914.53801948,84260908.08801024,84261926.07534514,84258078.10550468,84258931.87511638,84259867.3844451,84260851.77813023,84261862.03582433,84258053.77733257,84258897.03475237,84259822.56238227,84260798.02084541,84261800.62101057
