,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84331265.7417547,84331774.98209855,84332154.1847735,84332445.00514507,84332673.69495128,84331221.49727073,84331738.29034773,84332125.1401849,84332423.09344773,84332658.25570364,84331179.88340741,84331702.73728825,84332095.90566888,84332399.83388002,84332640.45960645,84331140.83877514,84331668.63939913,84332067.12090543,84332376.14254522,84332621.46189213,84331104.20728768,84331636.10024956,84332039.11316107,84332352.53834973,84332601.94701605,84331069.8017697,84331605.11738278,84332012.04039527,84332329.31704801,84332582.32973236,84331037.43244746,84331575.63622576,84331985.96645424,84332306.64455307,84332562.86415075,84331006.91934687,84331547.57814263,84331960.90225439,84332284.60927054,84332543.70572041,84330978.09711783,84331520.8552883,84331936.8290691,84332263.25253873,84332524.94783974,84330950.81627028,84331495.37848671,84331913.71201102,84332242.58686246,84332506.64417802,84330924.94274615,84331471.06132871,84331891.50796326,84332222.60709584,84332488.82265066,84330900.35677277,84331447.82218607,84331870.17028236,84332203.29742816,84332471.4943635,84330876.95146538,84331425.58506915,84331849.65158361,84332184.63580814,84332454.6594422,84330854.63140546,84331404.27984522,84331829.90536818,84332166.59677102,84332438.31088807,84330833.31130019,84331383.84211078,84331810.88694277,84332149.15325212,84332422.43715818
1,2021-07-02,84326367.8252705,84327415.64242625,84328230.58839875,84328875.16005258,84329393.79241656,84326281.93052979,84327340.32879987,84328168.6053287,84328827.04538248,84329359.1396341,84326201.45597038,84327267.5810001,84328106.36883464,84328776.06533746,84329319.25103797,84326126.22581206,84327198.02212161,84328045.2386685,84328724.2386997,84329276.73283732,84326055.88801374,84327131.83610596,84327985.90043528,84328672.70268649,84329233.12556417,84325990.0383734,84327068.99095885,84327928.6760116,84328622.09997043,84329189.35914385,84325928.2750375,84327009.3507286,84327873.68639013,84328572.78623554,84329146.0001018,84325870.22141579,84326952.73333499,84327820.94062468,84328524.94651167,84329103.39215684,84325815.53442253,84326898.94086358,84327770.38592848,84328478.66274148,84329061.73924987,84325763.9059013,84326847.77538681,84327721.93652959,84328433.95416445,84329021.15613066,84325715.06098881,84326799.04699516,84327675.49053067,84328390.80201045,84328981.69998752,84325668.75523934,84326752.57757424,84327630.9398169,84328349.16486755,84328943.39065324,84325624.7713917,84326708.20224951,84327588.17585155,84328308.98836802,84328906.22374284,84325582.91619577,84326665.76956426,84327547.09300163,84328270.21134059,84328870.17931777,84325543.01748024,84326625.14098988,84327507.59036466,84328232.76972677,84328835.22766255
2,2021-07-03,84320358.9289756,84321874.40922867,84323107.83015536,84324117.329402,84324951.1947665,84320241.63380088,84321765.62397005,84323014.45266907,84324042.47833645,84324895.91925834,84320132.12569903,84321660.8782629,84322920.94141082,84323963.33447117,84324832.38972186,84320030.08988965,84321561.0296062,84322829.33392493,84323883.04995625,84324764.78719229,84319934.98208877,84321466.29904892,84322740.64027937,84323803.38906822,84324695.57637627,84319846.19822583,84321376.59911408,84322655.31904437,84323725.33890101,84324626.2384338,84319763.1474752,84321291.6972976,84322573.52649611,84323649.43696201,84324557.66975053,84319685.28181791,84321211.29978,84322495.25228563,84323575.9546361,84324490.40888679,84319612.10569215,84321135.09475076,84322420.3955039,84323505.00355366,84324424.77058138,84319543.17658757,84321062.77463293,84322348.80822645,84323436.5989972,84324360.92732276,84319478.10171671,84320994.04704054,84322280.32075201,84323370.69853598,84324298.9602731,84319416.53321834,84320928.63964766,84322214.75627492,84323307.22596084,84324238.89172956,84319358.16305676,84320866.3017671,84322151.93933979,84323246.08628376,84324180.70617151,84319302.71814777,84320806.80417863,84322091.70058489,84323187.17519617,84324124.3640924,84319249.95592946,84320749.93806534,84322033.87925191,84323130.38503328,84324069.81118253
3,2021-07-04,84314098.97827238,84315993.51488253,84317580.90668549,84318910.63832685,84320029.83069001,84313958.6992569,84315858.75732785,84317461.94655712,84318813.09771436,84319956.45443034,84313827.94620858,84315729.2220669,84317343.00092329,84318710.09922141,84319872.20900701,84313706.29978701,84315605.94149908,84317226.65569508,84318605.7588768,84319782.66527942,84313593.0730109,84315489.1588232,84317114.1792441,84318502.37054522,84319691.10081628,84313487.51416837,84315378.73777477,84317006.13508332,84318401.20903203,84319599.47900613,84313388.89322883,84315274.36618933,84316902.70221068,84318302.96092519,84319508.98249897,84313296.53613292,84315175.6597098,84316803.84913343,84318207.96572006,84319420.31691697,84313209.835375,84315082.21508382,84316709.43114905,84318116.3554373,84319333.89014404,84313128.24991888,84314993.63721825,84316619.24581793,84318028.13769472,84319249.92138349,84313051.3005812,84314909.55228451,84316533.0649504,84317943.24619922,84319168.50916079,84312978.56379409,84314829.61333299,84316450.653074,84317861.57192945,84319089.67460103,84312909.66511348,84314753.50189252,84316371.77797095,84317782.98260053,84319013.3894309,84312844.27308394,84314680.92746127,84316296.21650249,84317707.33487609,84318939.59433371,84312782.0937021,84314611.62594476,84316223.75761046,84317634.48201953,84318868.21109721
4,2021-07-05,84307361.600139,84309570.65913945,84311471.88172252,84313098.66565064,84314491.38150892,84307204.74408706,84309414.91900618,84311330.7869261,84312980.55471325,84314401.02754182,84307058.75671066,84309265.438637,84311189.90179278,84312855.97819965,84314297.38262507,84306923.1254253,84309123.38038081,84311052.28294942,84312729.92884263,84314187.32846282,84306797.04533662,84308988.9937211,84310919.4154427,84312605.17863728,84314074.90699589,84306679.64606835,84308862.09242782,84310791.94598532,84312483.2590097,84313962.53283525,84306570.08743936,84308742.29086706,84310670.06588656,84312364.98667356,84313851.65447521,84306467.59672195,84308629.123859,84310553.71868618,84312250.75775975,84313743.13087344,84306371.47949798,84308522.10788713,84310442.71592176,84312140.71793495,84313637.45371407,84306281.1187546,84308420.77187096,84310336.80291568,84312034.86345662,84313534.88251974,84306195.96907386,84308324.6718278,84310235.69653615,84311933.10246313,84313435.52881397,84306115.54914825,84308233.39692962,84310139.10686305,84311835.29272157,84313339.40960753,84306039.43412237,84308146.57098413,84310046.74944027,84311741.26510844,84313246.48194359,84305967.24842112,84308063.85154022,84309958.35195376,84311650.83827618,84313156.6654917,84305898.65931441,84307984.92783101,84309873.65758671,84311563.8277883,84313069.8574596
5,2021-07-06,84300761.59130114,84303232.5789937,84305395.43795013,84307272.97673051,84308900.2520027,84300591.76641066,84303060.63840395,84305237.00672433,84307138.40485582,84308796.0089685,84300433.76690021,84302895.70707619,84305078.91981894,84306996.56150776,84308676.50100864,84300287.02556667,84302739.05363555,84304924.602382,84306853.14015386,84308549.68337603,84300150.66084969,84302590.9389038,84304775.71006158,84306711.2945374,84308420.22315474,84300023.72230668,84302451.14421187,84304632.95611106,84306572.76069146,84308290.90323566,84299905.29388224,84302319.23267426,84304496.5430338,84306438.4588784,84308163.38846324,84299794.53391345,84302194.6814484,84304366.39637865,84306308.83013478,84308038.66205265,84299690.68659477,84302076.9490889,84304242.29490364,84306184.0307765,84307917.28312342,84299593.0807649,84301965.50926644,84304123.94440192,84306064.04781762,84307799.54317728,84299501.1234323,84301859.8667153,84304011.01997072,84305948.76887588,84307685.56349716,84299414.29152913,84301759.56371254,84303903.19018026,84305838.02515145,84307575.35698406,84299332.12350976,84301664.18153933,84303800.13067481,84305731.61810303,84307468.86804548,84299254.21150063,84301573.33935083,84303701.53152806,84305629.33606361,84307365.99864355,84299180.19426708,84301486.69178952,84303607.10088514,84305530.96455164,84307266.6254543
6,2021-07-07,84293761.46701482,84296470.44533634,84298882.92151618,84301006.27603841,84302867.52335612,84293581.07596968,84296283.93316534,84298708.16650836,84300855.79826373,84302749.63258995,84293413.35632168,84296105.14976394,84298533.90989594,84300697.28571336,84302614.5454529,84293257.6838758,84295935.45405151,84298363.92299913,84300537.11026584,84302471.27420022,84293113.10387541,84295775.11131145,84298200.01990646,84300378.79430562,84302325.10094458,84292978.59176818,84295623.86829181,84298042.97385584,84300224.27057222,84302179.17039835,84292853.16246054,84295481.23720434,84297892.99518076,84300074.55804726,84302035.35949087,84292735.91229168,84295346.63919118,84297749.9899381,84299930.13971859,84301894.77280426,84292626.03073657,84295219.47716917,84297613.70370685,84299791.18077272,84301758.03489585,84292522.79872067,84295099.17212963,84297483.80300483,84299657.65795477,84301625.4678467,84292425.58142352,84294985.18016648,84297359.92179461,84299529.43782578,84301497.2017098,84292333.81926712,84294876.99926351,84297241.6879897,84299406.32480453,84301373.24457486,84292247.01879357,84294774.17067435,84297128.73830087,84299288.09092933,84301253.52771738,84292164.74417098,84294676.27752598,84297020.72620443,84299174.4943506,84301137.9350447,84292086.60960065,84294582.94208927,84296917.3258309,84299065.29076938,84301026.32246295
7,2021-07-08,84286936.29252222,84289850.96583381,84292476.95472622,84294811.60688765,84296876.12661606,84286747.01759207,84289652.83121364,84292289.18665145,84294648.26532212,84296746.9964679,84286571.03023094,84289462.93885042,84292102.00964792,84294476.26138447,84296599.07889423,84286407.67706329,84289282.72727628,84291919.4718735,84294302.51437376,84296442.25612554,84286255.95766614,84289112.4733643,84291743.51613331,84294130.84460662,84296282.31625503,84286114.79815392,84288951.90373614,84291574.96643372,84293963.34427923,84296122.70151189,84285983.16583258,84288800.49655515,84291414.04235591,84293801.11288598,84295965.46312205,84285860.11327222,84288657.63388863,84291260.63725558,84293644.66815828,84295811.80535324,84285744.79061835,84288522.67900282,84291114.47283958,84293494.18332027,84295662.40647879,84285636.44385172,84288395.01483016,84290975.18660833,84293349.6276694,84295517.61366493,84285534.40726103,84288274.06197311,84290842.3817458,84293210.85155845,84295377.56415096,84285438.09400669,84288159.28584187,84290715.65551022,84293077.6385164,84295242.26207648,84285346.98656443,84288050.19806075,84290594.61509964,84292949.73749915,84295111.62795112,84285260.62782523,84287946.35493639,84290478.88613613,84292826.88289832,84294985.53088906,84285178.61313824,84287847.35451971,84290368.11677718,84292708.80689274,84294863.80978632
8,2021-07-09,84279728.52171431,84282834.81040107,84285671.25466275,84288219.47873996,84290492.15257624,84279531.78889732,84282625.66138448,84285470.58200298,84288043.12973331,84290351.54800496,84279348.93644255,84282425.29291709,84285270.61949249,84287857.49542324,84290190.53569575,84279179.27202143,84282235.21296738,84285075.68927078,84287670.04994881,84290019.88730559,84279021.74451283,84282055.70286207,84284887.85981789,84287484.91502313,84289845.90813708,84278875.22843504,84281886.46398628,84284708.00298098,84287304.34358469,84289672.34440343,84278738.64288387,84281726.93675183,84284536.34490971,84287129.515725,84289501.42526034,84278610.99704434,84281576.46145363,84284372.76387401,84286960.98335263,84289334.456574,84278491.40270859,84281434.35974213,84284216.95562007,84286798.92682736,84289172.17118952,84278379.07223104,84281299.97506744,84284068.52681866,84286643.30694376,84289014.94156204,84278273.31051213,84281172.6915218,84283927.04831173,84286493.95674336,84288862.91192088,84278173.50503722,84281051.94122802,84283792.08535755,84286350.63777475,84288716.0820186,84278079.11582235,84280937.2056985,84283663.2144871,84286213.07486656,84288574.36102352,84277989.66606763,84280828.01411302,84283540.0324781,84286080.97766934,84288437.60260813,84277904.7338112,84280723.94013022,84283422.16066587,84285954.05392782,84288305.62797897
9,2021-07-10,84272498.19622648,84275763.7864085,84278781.09447801,84281517.49190187,84283977.36306381,84272295.8312844,84275546.061376,84278569.96232882,84281330.23595008,84283826.86697458,84272107.76035814,84275337.52126667,84278359.63536373,84281133.17764026,84283654.57319571,84271933.26802053,84275139.72958204,84278154.65736558,84280934.25628461,84283472.02147055,84271771.27030972,84274952.9728075,84277957.19841015,84280737.84572986,84283285.96309748,84271620.60729456,84274776.93432851,84277768.16898526,84280546.33292632,84283100.40581806,84271480.16534406,84274611.02666803,84277587.80052808,84280360.96476276,84282917.73134695,84271348.92385946,84274454.5589243,84277415.95911476,84280182.32108581,84282739.33220543,84271225.96807685,84274306.82149681,84277252.31953035,84280010.58761127,84282565.98736106,84271110.48690288,84274167.12808338,84277096.46356776,84279845.71747397,84282398.0902091,84271001.76462063,84274034.8351946,84276947.93598235,84279687.52876058,84282235.79022925,84270899.17060529,84273909.34975632,84276806.27623135,84279535.76423019,84282079.08270818,84270802.14895226,84273790.13044979,84276671.03612727,84279390.12819055,84281927.86644232,84270710.20884001,84273676.68585691,84276541.78920478,84279250.30931471,84281781.98127998,84270622.91592672,84273568.57109055,84276418.1351908,84279115.99467531,84281641.23273976
