,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84332799.42246878,84333168.49005842,84333425.06816736,84333611.42035167,84333751.61660792,84332766.00389667,84333142.84328032,84333405.96068971,84333597.6943682,84333742.32755484,84332734.37111443,84333117.85362701,84333386.63717386,84333583.0679541,84333731.58890493,84332704.513132,84333093.75823322,84333367.52161287,84333568.11064418,84333720.08783,84332676.34287411,84333070.64674973,84333348.83694778,84333553.14874691,84333708.23352672,84332649.7447584,84333048.5337263,84333330.69620186,84333538.37149934,84333696.27601579,84332624.59666626,84333027.39548336,84333313.1505199,84333523.88793783,84333684.37034352,84332600.77999842,84333007.18956423,84333296.21562394,84333509.75883596,84333672.61301614,84332578.1840036,84332987.86522971,84333279.88688861,84333496.01533775,84333661.06352176,84332556.70731111,84332969.3691729,84333264.14815839,84333482.67017101,84333649.75747317,84332536.25810483,84332951.6486104,84333248.97700334,84333469.72456743,84333638.71485908,84332516.75366093,84332934.65290445,84333234.34788932,84333457.1726199,84333627.94534603,84332498.11961587,84332918.33435203,84333220.23409861,84333445.00406945,84333617.45175156,84332480.2891515,84332902.6485,84333206.6088882,84333433.20610817,84333607.23235625,84332463.20218939,84332887.55419289,84333193.44617592,84333421.76455365,84333597.2824628
1,2021-07-02,84329623.87220901,84330472.87273853,84331090.69369774,84331554.28275195,84331911.56946592,84329551.65882175,84330414.10633454,84331045.06383403,84331520.49428862,84331888.17058423,84329483.59278592,84330357.04296814,84330999.0427418,84331484.56273997,84331861.1598559,84329419.60084222,84330302.20464511,84330953.63950026,84331447.89628214,84331832.27838355,84329359.45141156,84330249.77320054,84330909.37682061,84331411.29705584,84331802.56051253,84329302.85819528,84330199.75949126,84330866.51274727,84331375.22616228,84331772.63575138,84329249.52710421,84330152.08909392,84330825.15733688,84331339.94570099,84331742.8922317,84329199.17707078,84330106.64715949,84330785.3367326,84331305.59849419,84331713.56954803,84329151.54847296,84330063.30235074,84330747.02952771,84331272.25453396,84331684.81360137,84329106.4056235,84330021.91968039,84330710.18792006,84331239.93887176,84331656.71006906,84329063.53645732,84329982.36730093,84330674.75023326,84331208.64877762,84331629.305392,84329022.75097033,84329944.51993863,84330640.64840104,84331178.36450303,84331602.62023616,84328983.87918487,84329908.26044779,84330607.81244735,84331149.05613124,84331576.6582905,84328946.7690248,84329873.48031308,84330576.17314295,84331120.687982,84331551.41210629,84328911.28428273,84329840.07957236,84330545.66354142,84331093.22145917,84331526.86702085
2,2021-07-03,84325577.22258303,84326923.247563,84327941.59298426,84328728.04109503,84329347.6133904,84325469.05071038,84326830.73822062,84327867.1081932,84328671.35057564,84329307.50793858,84325367.41183424,84326741.15591933,84327792.1542896,84328611.17101064,84329261.27240813,84325272.13825867,84326655.2936051,84327718.37247305,84328549.87331946,84329211.9061793,84325182.83294989,84326573.40649502,84327646.6016941,84328488.80099201,84329161.18716532,84325099.0253242,84326495.4825362,84327577.24616145,84328428.72015215,84329110.19346748,84325020.24070631,84326421.37872496,84327510.46846302,84328370.06087363,84329059.58624661,84324946.03031231,84326350.89197059,84327446.29534352,84328313.05254884,84329009.77049372,84324875.98271158,84326283.79655813,84327384.67751543,84328257.8026458,84328960.98999733,84324809.72655463,84326219.86397329,84327325.5242856,84328204.3438992,84328913.38526152,84324746.92928016,84326158.87317598,84327268.72392157,84328152.66326284,84328867.02977994,84324687.29411113,84326100.61561681,84327214.15572545,84328102.72000417,84328821.95326197,84324630.55647592,84326044.89734061,84327161.6971811,84328054.45716912,84328778.15677866,84324576.48040278,84325991.53948396,84327111.22812645,84328007.80891237,84328735.62278736,84324524.85513824,84325940.37790689,84327062.63310868,84327962.70520262,84328694.3218448
3,2021-07-04,84321083.84446213,84322891.33509625,84324301.77559993,84325416.6349587,84326310.83947146,84320945.8391519,84322768.5101622,84324199.91578504,84325337.33398402,84326253.73084085,84320816.44634174,84322649.80409168,84324097.58517854,84325253.26521239,84326187.95990089,84320695.40045707,84322536.2412283,84323997.02124675,84325167.75339401,84326117.81403947,84320582.15063354,84322428.13019764,84323899.3561156,84325082.67482704,84326045.83014293,84320476.0598441,84322325.42685227,84323805.12484324,84324999.0927741,84325973.5420747,84320376.49266765,84322227.91653594,84323714.53218745,84324917.59822883,84325901.88648784,84320282.85242072,84322135.30834779,84323627.59842421,84324838.50097463,84325831.43358015,84320194.59471716,84322047.28462432,84323544.24156608,84324761.94061676,84325762.52338877,84320111.23003936,84321963.5268583,84323464.32478237,84324687.95300062,84325695.34886506,84320032.3213455,84321883.72891773,84323387.68415481,84324616.51086885,84325630.0078518,84319957.47964194,84321807.60331766,84323314.14502585,84324547.54919808,84325566.53631726,84319886.35894452,84321734.88367365,84323243.5315919,84324480.98119515,84325504.9299879,84319818.651304,84321665.32507457,84323175.67243302,84324416.70847842,84325445.15863404,84319754.08219537,84321598.70335282,84323110.40357256,84324354.62757601,84325387.17561011
4,2021-07-05,84316176.12534343,84318411.1603892,84320202.50957303,84321647.49996947,84322824.98109183,84316013.33198842,84318261.17918146,84320074.86328892,84321546.11126892,84322750.79835428,84315860.9437973,84318116.45011441,84319946.7998352,84321438.74571475,84322665.43590373,84315718.60101117,84317978.19592966,84319821.11547512,84321329.66237512,84322574.4805495,84315585.61410476,84317846.76394634,84319699.21305715,84321221.25657217,84322481.23305228,84315461.19892153,84317722.07291606,84319581.74476205,84321114.87850544,84322387.68419546,84315344.57938729,84317603.83675814,84319468.94909954,84321011.27232887,84322295.04522584,84315235.0302692,84317491.67979296,84319360.83480205,84320910.822216,84322204.04959014,84315131.89219405,84317385.19688243,84319257.28426516,84320813.69522017,84322115.1311358,84315034.57385322,84317283.9846672,84319158.11302146,84320719.92660892,84322028.53267318,84314942.54850651,84317187.65728557,84319063.1044087,84320629.47200058,84321944.37383996,84314855.34822181,84317095.8536454,84318972.02987933,84320542.23977555,84321862.69444071,84314772.55750602,84317008.24008517,84318884.66082905,84320458.11147651,84321783.48261297,84314693.80710144,84316924.51054639,84318800.77534065,84320376.95474288,84321706.69339149,84314618.76828133,84316844.38544738,84318720.16184953,84320298.63152564,84321632.26107638
5,2021-07-06,84310984.02561134,84313598.61127992,84315745.1526042,84317508.79433051,84318966.87651123,84310801.9009005,84313425.52286418,84315594.33246864,84317386.7764776,84318876.2800544,84310631.62920411,84313258.70353599,84315443.18993372,84317257.68813409,84318772.1073488,84310472.7673818,84313099.53758372,84315295.02083546,84317126.66308412,84318661.19986144,84310324.50940718,84312948.39781657,84315151.46657284,84316996.57994685,84318547.59416935,84310185.94957653,84312805.1646619,84315013.27929655,84316869.05382814,84318433.7194994,84310056.19666718,84312669.48542982,84314880.72273928,84316744.96824996,84318321.04907696,84309934.42084098,84312540.90738624,84314753.79062057,84316624.77312402,84318210.470755,84309819.86958027,84312418.94686902,84314632.32924914,84316508.65759912,84318102.50587672,84309711.86942405,84312303.12493314,84314516.10782412,84316396.65317595,84317997.4425459,84309609.82146461,84312192.98508185,84314404.85927019,84316288.69660056,84317895.41887102,84309513.19443247,84312088.10128783,84314298.3040476,84316184.66887878,84317796.47606772,84309421.51719916,84311988.08074415,84314196.16392882,84316084.4197663,84317700.59292151,84309334.3715441,84311892.56379434,84314098.16977696,84315987.7832435,84317607.7084622,84309251.38554199,84311801.22240953,84314004.0657055,84315894.58730043,84317517.73703839
6,2021-07-07,84305578.62016268,84308525.74554776,84310998.29063727,84313063.87039167,84314794.25847611,84305381.75385392,84308333.38357466,84310827.0736104,84312923.00678423,84314688.24513994,84305197.86959189,84308148.17107135,84310655.6494768,84312774.09997079,84314566.42307685,84305026.45552489,84307971.62245673,84310487.75182472,84312623.08425176,84314436.81645545,84304866.61250225,84307804.12713887,84310325.22863159,84312473.27855264,84314304.15404734,84304717.33867052,84307645.52937692,84310168.91631949,84312326.53758863,84314171.2761605,84304577.65223977,84307495.41731717,84310019.09725852,84312183.8693914,84314039.9004308,84304446.64141597,84307353.27093439,84309875.74874179,84312045.78109848,84313911.05768096,84304323.4809197,84307218.53857006,84309738.68250802,84311912.47938478,84313785.34927154,84304207.43326864,84307090.67617644,84309607.62456341,84311783.98990038,84313663.10373977,84304097.84342971,84306969.16665202,84309482.26140928,84311660.23001309,84313544.4745705,84303994.13096352,84306853.52842249,84309362.2668887,84311541.05384858,84313429.5025045,84303895.78162017,84306743.31821196,84309247.31763364,84311426.2804966,84313318.155925,84303802.33928493,84306638.13072532,84309137.10171336,84311315.71178123,84313210.35738863,84303713.39864452,84306537.59675771,84309031.3231932,84311209.14345445,84313106.00123052
7,2021-07-08,84299989.41310857,84303222.8750363,84305990.92335032,84308339.33017156,84310330.93104853,84299781.78938475,84303014.79277086,84305802.03727385,84308181.48475552,84310210.62384133,84299587.99318938,84302814.60502851,84305613.07055189,84308014.74190037,84310072.45398997,84299407.4581133,84302623.92853877,84305428.13435282,84307845.75842397,84309925.54584067,84299239.21335086,84302443.16236633,84305249.2527851,84307678.24896689,84309775.27082495,84299082.18389004,84302272.11776273,84305077.33217424,84307514.28211522,84309624.84972574,84298935.31946044,84302110.3316026,84304912.66806735,84307354.97571114,84309476.22533442,84298797.6465641,84301957.22644491,84304755.2208518,84307200.88606182,84309330.55923791,84298668.28531946,84301812.19307248,84304604.76998061,84307052.23338607,84309188.52510914,84298546.4503302,84301674.63260785,84304461.00203426,84306909.03602694,84309050.48714986,84298431.44465548,84301543.97709608,84304323.5615897,84306771.19208725,84308916.61139937,84298322.65121628,84301419.69848849,84304192.08066076,84306638.5298931,84308786.93660784,84298219.52368931,84301301.31138472,84304066.19555572,84306510.83953136,84308661.42012282,84298121.57782166,84301188.37247558,84303945.55624516,84306387.89266665,84308539.96799155,84298028.38354658,84301080.47832158,84303829.83123699,84306269.45498163,84308422.45490207
8,2021-07-09,84294280.21065992,84297762.83987887,84300798.77363905,84303410.31221843,84305649.64176093,84294064.40035923,84297541.82989347,84300594.65598354,84303237.34415673,84305516.29180618,84293863.04638816,84297329.32553267,84300390.57284641,84303054.72706747,84305363.21352144,84293675.54356813,84297127.02765088,84300190.96028143,84302869.76149195,84305200.53694902,84293500.86892094,84296935.34332184,84299997.993392,84302686.51386505,84305034.22026777,84293337.89370674,84296754.05676219,84299812.6379147,84302507.24225256,84304867.8309559,84293185.51712215,84296582.66281027,84299635.19998497,84302333.16120365,84304703.51637664,84293042.71998829,84296420.5369405,84299465.62475176,84302164.86976025,84304542.55640347,84292908.58189924,84296267.0227304,84299303.66327842,84302002.59923969,84304385.68963884,84292782.28182502,84296121.47633387,84299148.9676975,84301846.36062598,84304233.31182277,84292663.09160268,84295983.2880878,84299001.14606781,84301696.03412643,84304085.59952754,84292550.36681284,84295851.89182633,84298859.79403737,84301551.4244577,84303942.58885857,84292443.53716472,84295726.76759902,84298724.51290457,84301412.2953389,84303804.22636054,84292342.09735078,84295607.44091724,84298594.91959617,84301278.39111942,84303670.4023735,84292245.59875926,84295493.48026127,84298470.65180579,84301149.45031814,84303540.97309783
9,2021-07-10,84288427.41899492,84292128.09071553,84295409.87974174,84298269.31811559,84300746.22448824,84288205.25735614,84291896.21993275,84295192.35906893,84298082.63766396,84300600.79014288,84287998.03444567,84291673.3695857,84294974.97895211,84297885.63258669,84300433.90426748,84287805.11616248,84291461.31108487,84294762.46106523,84297686.18740705,84300256.6298959,84287625.44000521,84291260.458088,84294557.11290534,84297488.68725178,84300075.4690989,84287457.83631298,84291070.57195337,84294359.95196088,84297295.5614425,84299894.31031227,84287301.1656792,84290891.11206761,84294171.29317644,84297108.11157796,84299715.48991708,84287154.3739572,84290721.41422571,84293991.0678312,84296926.97481246,84299540.39675327,84287016.50967257,84290560.78223845,84293819.00160207,84296752.39193268,84299369.82893293,84286886.72444199,84290408.53438567,84293654.71595947,84296584.36671472,84299204.21079274,84286764.26611009,84290264.02588166,84293497.78652868,84296422.76266715,84299043.72808653,84286648.46922855,84290126.65846579,84293347.77670269,84296267.36268738,84298888.41394734,84286538.74505664,84289995.88309923,84293204.25675648,84296117.90622962,84298738.20444565,84286434.57206704,84289871.19904499,84293066.81435607,84295974.11256856,84298592.97495793,84286335.4873518,84289752.15114595,84292935.05992417,84295835.69532898,84298452.56419526
