,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,4045000.0412685703,4045011.4757060474,4045019.2888296284,4045024.897034822,4045029.0806485754,4044998.9939795556,4045010.6887272443,4045018.7106831837,4045024.4858130305,4045028.804378806,4044998.0007773703,4045009.9208422415,4045018.1254027053,4045024.047293056,4045028.4848333504,4044997.0616142196,4045009.1794309127,4045017.5458277953,4045023.5985080353,4045028.1424069973,4044996.174026915,4045008.467362653,4045016.9787453227,4045023.1492360737,4045027.7892536893,4044995.3346206318,4045007.785199195,4045016.427627819,4045022.705164869,4045027.4328091377,4044994.5397591414,4045007.132318946,4045015.8940776554,4045022.2695867214,4045027.077693297,4044993.785884489,4045006.507511826,4045015.378623092,4045021.8443505485,4045026.72678968,4044993.0696576554,4045005.9093014323,4045014.8811725113,4045021.4304175447,4045026.3818828827,4044992.3880112055,4045005.33612142,4045014.4012805712,4045021.02819581,4045026.044047966,4044991.7381587033,4045004.7864116724,4045013.9383072304,4045020.637747057,4045025.713895002,4044991.1175835165,4045004.258669398,4045013.491513964,4045020.258916934,4045025.391726297,4044990.5240185796,4045003.7514745626,4045013.060122302,4045019.891418513,4045025.0776394606,4044989.955423053,4045003.263500638,4045012.64334932,4045019.534886404,4045024.771596082,4044989.4099588506,4045002.7935169986,4045012.240428846,4045019.1889120974,4045024.473468089
1,2021-07-02,4044902.436405128,4044929.811937944,4044949.2980450434,4044963.690274351,4044974.6527225883,4044900.0775484745,4044927.9413044644,4044947.8718569763,4044962.648279827,4044973.9384469655,4044897.849327311,4044926.1217524847,4044946.431535059,4044961.5391009226,4044973.113336111,4044895.7501682765,4044924.370230803,4044945.008667831,4044960.406070111,4044972.23038996,4044893.7732285243,4044922.6928971657,4044943.619738108,4044959.2739392165,4044971.321129439,4044891.9097653814,4044921.0904508387,4044942.272990398,4044958.1569970157,4044970.404774123,4044890.150677498,4044919.5608409517,4044940.972047799,4044957.0634191553,4044969.4932067213,4044888.487199345,4044918.1006894987,4044939.717900854,4044955.9977102918,4044968.593791616,4044886.9111914914,4044916.7060547713,4044938.510038445,4044954.9621277936,4044967.7110398044,4044885.4152353746,4044915.37284388,4044937.347107371,4044953.9575374997,4044966.8476252626,4044883.9926344194,4044914.097033397,4044936.227304068,4044952.9839409804,4044966.005022622,4044882.637372318,4044912.874783036,4044935.1486097802,4044952.040806858,4044965.1839165124,4044881.3440540787,4044911.702489081,4044934.1089321636,4044951.1272821743,4044964.3844693867,4044880.1078426563,4044910.5768038076,4044933.1061899452,4044950.2423286946,4044963.606499527,4044878.9243974085,4044909.494635953,4044932.1383624775,4044949.3848113487,4044962.8496008567
2,2021-07-03,4044777.7509515053,4044822.425166778,4044855.3588418104,4044880.300690954,4044899.6557519897,4044774.1135510355,4044819.4037007513,4044852.9787266958,4044878.5194091527,4044898.4121480254,4044770.6878829654,4044816.4720598827,4044850.5797890886,4044876.626149349,4044896.9771517017,4044767.469727557,4044813.6568053253,4044848.2146000643,4044874.6952221305,4044895.443439555,4044764.446967166,4044810.9669917976,4044845.9102847315,4044872.768888928,4044893.86602994,4044761.6048075114,4044808.4029039177,4044843.680139271,4044870.871384136,4044892.2783692754,4044758.9281322616,4044805.960474558,4044841.5297417804,4044869.0164315836,4044890.701045322,4044756.402539513,4044803.633592634,4044839.4603052535,4044867.2114625694,4044889.146737008,4044754.014755022,4044801.4153312463,4044837.4705782705,4044865.4600721514,4044887.623138337,4044751.7527481713,4044799.298603769,4044835.557949057,4044863.7634930466,4044886.1347423764,4044749.6057085735,4044797.2765088226,4044833.719097705,4044862.1215016386,4044884.683959471,4044747.563961323,4044795.342503026,4044831.9503850634,4044860.53298561,4044883.271834066,4044745.6188596794,4044793.490477598,4044830.248084738,4044858.99630472,4044881.8985128626,4044743.7626742222,4044791.7147813844,4044828.6085200417,4044857.5095223784,4044880.5635552667,4044741.9884874397,4044790.01021455,4044827.0281426227,4044856.070555031,4044879.266141769
3,2021-07-04,4044633.33506687,4044695.068449081,4044742.0074276896,4044778.3640335943,4044807.058578852,4044628.570600666,4044690.944476402,4044738.661756437,4044775.8045422733,4044805.2412297633,4044624.093974635,4044686.9512237054,4044735.295242598,4044773.087695208,4044803.1462056013,4044619.897772663,4044683.123995968,4044731.9815843385,4044770.320541294,4044800.909443221,4044615.9644868486,4044679.4741302095,4044728.758435997,4044767.5637258375,4044798.611511222,4044612.2733767545,4044676.001055244,4044725.643923676,4044764.8518200475,4044796.3012566892,4044608.803526591,4044672.6983687864,4044722.6453230605,4044762.204221157,4044794.00862853,4044605.535164239,4044669.556995661,4044719.7638117406,4044759.631266586,4044791.751965697,4044602.4501649784,4044666.5668568397,4044716.9971558596,4044757.1377907814,4044789.542302218,4044599.5321708806,4044663.7177522555,4044714.3412651233,4044754.7252561813,4044787.3859925587,4044596.766533342,4044660.99981798,4044711.7911071545,4044752.3930603927,4044785.2863557404,4044594.140180441,4044658.403749205,4044709.34124935,4044750.139352978,4044783.244727952,4044591.6414590767,4044655.9208934996,4044706.9861794948,4044747.9615528653,4044781.2611488667,4044589.259976016,4044653.5432725926,4044704.720492805,4044745.856679068,4044779.3348158286,4044586.986448855,4044651.263565643,4044702.538997411,4044743.8215629086,4044777.464387948
4,2021-07-05,4044474.579710725,4044552.2496214206,4044612.9770075846,4044660.9873905047,4044699.475083783,4044468.884109073,4044547.1322381035,4044608.7118681017,4044657.657512684,4044697.073156619,4044463.5425273236,4044542.1853630263,4044604.4262298043,4044654.1269125543,4044694.306587018,4044458.5442742663,4044537.4518012684,4044600.2138044597,4044650.53515372,4044691.3556171665,4044453.86684883,4044532.9445505766,4044596.122060478,4044646.9610309843,4044688.326917247,4044449.4841548596,4044528.661903845,4044592.1734796334,4044643.449225607,4044685.2850024616,4044445.370126966,4044524.595035937,4044588.376714656,4044640.024599608,4044682.2692872453,4044441.5002683927,4044520.7319294726,4044584.7326891795,4044636.700210421,4044679.303782068,4044437.852215976,4044517.0594371124,4044581.2380380123,4044633.4819689468,4044676.4028207664,4044434.4058509544,4044513.564362976,4044577.887092061,4044630.371426363,4044673.5745516247,4044431.143204113,4044510.234015161,4044574.673040688,4044627.3674803874,4044670.8231218234,4044428.048276214,4044507.0564687564,4044571.588616804,4044624.4674388818,4044668.150074346,4044425.1068325816,4044504.02066959,4044568.626499251,4044621.6676915865,4044665.5552574103,4044422.3061998286,4044501.11645109,4044565.7795450534,4044618.9641378727,4044663.037425169,4044419.6350771766,4044498.3345050155,4044563.0409182175,4044616.3524599085,4044660.5946389837
5,2021-07-06,4044307.8891189233,4044399.5372558474,4044473.07516013,4044532.337018705,4044580.5461768247,4044301.4967855057,4044393.5904699983,4044467.9913782785,4044528.2908896925,4044577.5834107175,4044295.5106884316,4044387.849920818,4044462.8894181172,4044524.0051498744,4044574.17346147,4044289.91715823,4044382.3643429233,4044457.880709351,4044519.6496845614,4044570.539290667,4044284.6895106314,4044377.147776213,4044453.0212629656,4044515.3201118093,4044566.812671709,4044279.797276525,4044372.1972495224,4044448.337217445,4044511.0703949737,4044563.0731259054,4044275.210242902,4044367.501640287,4044443.838235501,4044506.93033392,4044559.3690771013,4044270.900141975,4044363.0462418254,4044439.5248169857,4044502.9153681276,4044555.729884068,4044266.8412505016,4044358.8151501026,4044435.392414475,4044499.0322692627,4044552.1729466976,4044263.0104845706,4044354.792505834,4044431.4338011434,4044495.2825425183,4044548.708035595,4044259.3872690285,4044350.96312147,4044427.6404522834,4044491.6645055735,4044545.3399990923,4044255.953316666,4044347.312773006,4044424.0033556116,4044488.1745816856,4044542.0704924413,4044252.6923823943,4044343.8283085334,4044420.513484005,4044484.8081141314,4044538.8991019945,4044249.5900230184,4044340.4976576706,4044417.162065705,4044481.5598830422,4044535.8240864673,4044246.6333759204,4044337.3097890806,4044413.9407317955,4044478.424434015,4044532.8428710587
6,2021-07-07,4044134.13853526,4044238.133813966,4044323.569797965,4044393.634032484,4044451.404222086,4044127.2190973596,4044231.4920121324,4044317.7589745694,4044388.926582362,4044447.9087845315,4044120.746539433,4044225.0877283406,4044311.933278857,4044383.9445910044,4044443.888423747,4044114.704706002,4044218.974477193,4044306.219804221,4044378.8859963496,4044439.606827698,4044109.0635531074,4044213.166979865,4044300.682019914,4044373.8619085327,4044435.219652878,4044103.789145542,4044207.661032105,4044295.3491694513,4044368.934775679,4044430.8206498786,4044098.848006535,4044202.443436466,4044290.231675118,4044364.1388552412,4044426.4667432373,4044094.208915388,4044197.4971068897,4044285.3295359146,4044359.4916830407,4044422.1923004524,4044089.84352752,4044192.80372486,4044280.637045206,4044355.00072813,4044418.0175582687,4044085.726452777,4044188.345113034,4044276.1454985086,4044350.667364611,4044413.9537544153,4044081.835094372,4044184.103921633,4044271.844768378,4044346.4892956414,4044410.0063338927,4044078.1493941518,4044180.063941726,4044267.7242242927,4044342.4620582727,4044406.176995093,4044074.651554078,4044176.210215556,4044263.7732662214,4044338.5799689866,4044402.4650183637,4044071.3257663934,4044172.529037882,4044259.981626992,4044334.836721915,4044398.868140681,4044068.157966319,4044169.0079008965,4044256.3395350017,4044331.2257677238,4044395.383137599
7,2021-07-08,4043958.195980267,4044072.379470219,4044168.3308695387,4044248.3398286086,4044315.1614911733,4043950.9413108593,4044065.206267794,4044161.9149078587,4044243.053167282,4044311.1830185587,4043944.161036949,4044058.296091192,4044155.4881675337,4044237.4623804856,4044306.6097937445,4043937.8370919633,4044051.705894105,4044149.190705838,4044231.7900351253,4044301.742591335,4043931.9370163893,4044045.4506968493,4044143.0920646144,4044226.1607687017,4044296.7587668463,4043926.424443182,4044039.525150103,4044137.2239207053,4044220.644373295,4044291.764950728,4043921.2636370584,4044033.914294751,4044131.5971823162,4044215.278906319,4044286.825718967,4043916.421353211,4044028.5990773966,4044126.211298551,4044210.083633787,4044281.9799089557,4043911.8674632865,4044023.55920984,4044121.05948082,4044205.066535357,4044277.250253526,4043907.575017177,4044018.774639861,4044116.131693444,4044200.2287789956,4044272.6492459234,4043903.52005771,4044014.2262796513,4044111.4163882323,4044195.5674481876,4044268.1828018394,4043899.6813404984,4044009.8963325135,4044106.901513892,4044191.0772320977,4044263.852594286,4043896.0400316115,4044005.7684019795,4044102.575098506,4044186.7514852653,4044259.657567915,4043892.5794165456,4044001.8274848224,4044098.425577064,4044182.582896222,4044255.5949345734,4043889.2846345375,4043998.05990458,4044094.441965424,4044178.563909474,4044251.660834542
8,2021-07-09,4043778.2210330935,4043901.2229306707,4044006.761008035,4044096.1200440456,4044171.6369688446,4043770.7256459952,4043893.6177291586,4043999.821916201,4044090.3129716176,4044167.2125333026,4043763.7241709474,4043886.2965101874,4043992.876013636,4044084.1756403153,4044162.1292307093,4043757.1972032962,4043879.3189813304,4043986.07453182,4044077.9527658937,4044156.722155095,4043751.1105808974,4043872.7003667885,4043979.4922112627,4044071.781115533,4044151.1887133787,4043745.4262185846,4043866.4343527863,4043973.1627783347,4044065.7370358077,4044145.6474106894,4043740.1067834427,4043860.504520573,4043967.0975106745,4044059.8619481716,4044140.169853248,4043735.1175976815,4043854.890195383,4043961.295337167,4044054.1766234534,4044134.7989640962,4043730.4272693377,4043849.5694703325,4043955.7484953245,4044048.689453883,4044129.559737843,4043726.0077426797,4043844.5207553157,4043950.4457660443,4044043.401380779,4044124.4657856347,4043721.8340959176,4043839.7235388756,4043945.3743455824,4044038.3088944387,4044119.5234194486,4043717.8842431773,4043835.1587251914,4043940.520931626,4044033.4058905942,4044114.7342541693,4043714.1386153926,4043830.8087417125,4043935.872347358,4044028.6848322595,4044110.0968935313,4043710.579854322,4043826.6575250123,4043931.41589012,4044024.1374810976,4044105.6080371533,4043707.19253388,4043822.690444731,4043927.139514561,4044019.7553576375,4044101.263214715
9,2021-07-10,4043594.995277226,4043725.4533023103,4043839.6448370167,4043937.7371893376,4044021.558773512,4043587.339294007,4043717.5052703256,4043832.258946541,4043931.4664149713,4044016.7255164525,4043580.1902208067,4043709.858119891,4043824.870011171,4043924.8424662715,4044011.1749090264,4043573.527762204,4043702.573704977,4043817.6387820463,4043918.129812731,4044005.2735719536,4043567.316622252,4043695.6673723077,4043810.6443990455,4043911.4760110746,4043999.2373087783,4043561.5175715964,4043689.1320074243,4043803.9222945888,4043904.963213413,4043993.195497239,4043556.092213366,4043682.950002999,4043797.484019475,4043898.635798465,4043987.22616092,4043551.0049154744,4043677.0993722896,4043791.3280202104,4043892.51583773,4043981.375934866,4043546.2234444707,4043671.556902952,4043785.445669341,4043886.612053518,4043975.6718523605,4043541.7190083577,4043666.299767268,4043779.8247085973,4043880.9251513537,4043970.128515751,4043537.466042988,4043661.30630992,4043774.451237762,4043875.451063087,4043964.7525690645,4043533.4419021336,4043656.5563925905,4043769.31086568,4043870.1829514005,4043959.545545545,4043529.626527202,4043652.0314999637,4043764.389369303,4043865.1124623474,4043954.5057110474,4043526.002131289,4043647.7147195074,4043759.6730599105,4043860.2305122674,4043949.6292731557,4043522.5529118646,4043643.5906575117,4043755.1489736815,4043855.5277816784,4043944.9111820217
