,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333279.9862024,84333567.42854697,84333764.98678148,84333907.38138708,84334013.93033005,84333253.75709003,84333547.58170688,84333750.33556044,84333896.9233941,84334006.88560772,84333228.89754608,84333528.22553328,84333735.50887895,84333885.77412643,84333998.7389082,84333205.40395075,84333509.54523186,84333720.83200894,84333874.3670315,84333990.01068637,84333183.21245602,84333491.61213495,84333706.47656375,84333862.95075692,84333981.01101021,84333162.23620017,84333474.43941012,84333692.53006479,84333851.66977689,84333971.92948614,84333142.38257739,84333458.01047473,84333679.03262334,84333840.60758,84333962.88383667,84333123.56120482,84333442.29401366,84333665.99715316,84333829.81092489,84333953.94746299,84333105.68740341,84333427.25210212,84333653.42089826,84333819.30399519,84333945.16572551,84333088.68347792,84333412.8446443,84333641.29218312,84333809.09692162,84333936.56588712,84333072.47892016,84333399.03178693,84333629.59444237,84333799.19104439,84333928.16335694,84333057.01010135,84333385.7751963,84333618.30865628,84333789.58222948,84333919.96570371,84333042.21974328,84333373.03868878,84333607.41483025,84333780.2629918,84333911.9752862,84333028.05631573,84333360.78849246,84333596.89289011,84333771.22387043,84333904.19100505,84333014.47343424,84333348.99329954,84333586.72321542,84333762.45432587,84333896.60948509
1,2021-07-02,84330769.1969124,84331457.4858217,84331950.6512215,84332316.71715055,84332596.62264505,84330710.08298716,84331410.25822873,84331914.44274597,84332290.14878096,84332578.34882212,84330654.27689163,84331364.34411457,84331877.89078079,84332261.87654573,84332557.24443497,84330601.7332994,84331320.16877712,84331841.7968709,84332233.0060888,84332534.66669954,84330552.27556063,84331277.88480848,84331806.57828414,84332204.16837941,84332511.42249103,84330505.68023853,84331237.50712916,84331772.44286476,84332175.72715154,84332488.00347978,84330461.71566437,84331198.98151153,84331739.48110172,84332147.89007221,84332464.71336122,84330420.15923171,84331162.22053958,84331707.71673281,84332120.77114826,84332441.74009895,84330380.80455936,84331127.12286945,84331677.13550073,84332094.42709985,84332419.19859995,84330343.46376795,84331093.58361271,84331647.70191057,84332068.87921609,84332397.15676302,84330307.96742554,84331061.49987096,84331619.36917116,84332044.12681447,84332375.65181851,84330274.16343519,84331030.77357131,84331592.08515485,84332020.1556933,84332354.70081441,84330241.91550323,84331001.31278433,84331565.7959793,84331996.94351983,84332334.30747443,84330211.10150804,84330973.03218742,84331540.44814336,84331974.46330146,84332314.46675408,84330181.61192276,84330945.85305402,84331515.98977223,84331952.68563522,84332295.16790538
2,2021-07-03,84327704.77538857,84328800.7023897,84329614.62821117,84330234.69953847,84330718.16705512,84327615.94260415,84328726.30201848,84329555.6326893,84330190.31310846,84330687.04578869,84327532.33170335,84328654.15432255,84329496.19943228,84330143.15479349,84330651.1454894,84327453.83024548,84328584.90850261,84329437.63047448,84330095.07770991,84330612.78803866,84327380.13419849,84328518.78232093,84329380.59571046,84330047.13453002,84330573.3511584,84327310.87553923,84328455.77790874,84329325.42180009,84329999.92783032,84330533.6716966,84327245.67961448,84328395.79079756,84329272.24408992,84329953.79790801,84330494.26414913,84327184.19025648,84328338.6667866,84329221.08992454,84329908.92816494,84330455.4448163,84327126.07968485,84328284.23214658,84329171.92583583,84329865.40645735,84330417.40514272,84327071.05117504,84328232.30970986,84329124.68492474,84329823.26189168,84330380.25645807,84327018.83835225,84328182.72729498,84329079.28301549,84329782.48742913,84330344.0580134,84326969.20301345,84328135.32189475,84329035.62827002,84329743.05403626,84330308.8349465,84326921.93242018,84328089.94150487,84328993.62691027,84329704.91967016,84330274.59000942,84326876.83652295,84328046.44564144,84328953.18658452,84329668.03503844,84330241.3113402,84326833.74533232,84328004.70514432,84328914.21829017,84329632.3473091,84330208.97767565
3,2021-07-04,84324098.49660629,84325611.06009676,84326767.37157604,84327667.32215874,84328380.56911018,84323981.95737581,84325509.66166912,84326684.70497027,84327603.805616,84328335.30009283,84323872.49687634,84325411.51565167,84326601.55456063,84327536.4060933,84328283.12791376,84323769.926125,84325317.48513235,84326519.73991731,84327467.78166646,84328227.44198348,84323673.81046048,84325227.84365912,84326440.18852814,84327399.43666188,84328170.25024638,84323583.63733196,84325142.57239254,84326363.34492515,84327332.22730324,84328112.769158,84323498.89092658,84325061.50972615,84326289.38558933,84327266.63283776,84328055.74372171,84323419.08425194,84324984.42895706,84326218.33658394,84327202.9075978,84327999.6294057,84323343.77129136,84324911.07927082,84326150.14001177,84327141.16943552,84327944.69959572,84323272.54978518,84324841.20737325,84326084.69244581,84327081.45268317,84327891.11111346,84323205.05971313,84324774.5686554,84326021.86750092,84327023.74062145,84327838.94523634,84323140.97996093,84324710.93260726,84325961.5291899,84326967.98575285,84327788.23394977,84323080.02438942,84324650.08505122,84325903.53981015,84326914.12263258,84327738.97705582,84323021.93789157,84324591.8286274,84325847.76453133,84326862.07606074,84327691.15348858,84322966.49270408,84324535.98234072,84325794.07397085,84326811.76633179,84327644.72888483
4,2021-07-05,84320212.57590432,84322102.35251865,84323586.50075622,84324764.87081818,84325713.1690123,84320074.16791838,84321977.48990399,84323481.99439082,84324682.95844232,84325653.8735771,84319944.39557277,84321856.82551451,84323377.0196342,84324596.1340178,84325585.59295791,84319822.99225797,84321741.39858744,84323273.87092103,84324507.83235884,84325512.78070383,84319709.40548971,84321631.52092284,84323173.708021,84324419.99086072,84325438.0713113,84319602.99651256,84321527.14599659,84323077.07803331,84324333.70655452,84325363.05698998,84319503.12825543,84321428.0542587,84322984.18930373,84324249.58847302,84325288.70943749,84319409.20252891,84321333.94892521,84322895.06111021,84324167.95519072,84325215.61968029,84319320.67359886,84321244.50623368,84322809.60803102,84324088.94960073,84325144.13972835,84319237.05075078,84321159.40174723,84322727.68858318,84324012.60755481,84325074.46890672,84319157.8958826,84321078.32375441,84322649.13367498,84323938.8998668,84325006.70786071,84319082.81906074,84321000.9796138,84322573.76335298,84323867.75847735,84324940.89307842,84319011.4734658,84320927.09822331,84322501.39661962,84323799.09296484,84324877.01935539,84318943.55040404,84320856.43037966,84322431.85708478,84323732.80104789,84324815.05462438,84318878.77468446,84320788.74802138,84322364.97608626,84323668.77528353,84324754.94985497
5,2021-07-06,84316071.31873576,84318306.86236848,84320105.02218361,84321558.34537897,84322744.11783327,84315915.17944255,84318161.42144771,84319980.39455843,84321458.88723947,84322671.09280899,84315768.97285095,84318021.04719056,84319855.34729643,84321353.56169905,84322587.06176446,84315632.3623817,84317886.92795123,84319732.6104441,84321246.54599787,84322497.52389409,84315504.69411993,84317759.40358333,84319613.55429679,84321140.1895593,84322405.72809832,84315385.22219847,84317638.39828785,84319498.81655873,84321035.8168618,84322313.63383082,84315273.20740427,84317523.6373814,84319388.63116308,84320934.15804853,84322222.43325686,84315167.95834666,84317414.7589794,84319283.0077073,84320835.59023735,84322132.84826976,84315068.84602278,84317311.3723134,84319181.83239141,84320740.2776152,84322045.30589785,84314975.30607548,84317213.0880463,84319084.92605875,84320648.25511801,84321960.04515949,84314886.83556037,84317119.53354755,84318992.07803434,84320559.47955538,84321877.18385747,84314802.98751938,84317030.35997902,84318903.06595296,84320473.8613927,84321796.76123267,84314723.3649516,84316945.24490716,84318817.66731152,84320391.28475553,84321718.76568322,84314647.61492686,84316863.89249887,84318735.66605942,84320311.62011348,84321643.15303297,84314575.42316593,84316786.03245413,84318656.85618411,84320234.73233655,84321569.85870226
6,2021-07-07,84311698.39170973,84314250.55016866,84316348.31845436,84318071.31437545,84319494.77624765,84311527.86241436,84314087.08299078,84316205.23308171,84317955.24066307,84319408.4385118,84311368.33663005,84313929.46736379,84316061.79626268,84317832.4138235,84319309.14835025,84311219.41732734,84313779.01890619,84315921.13629375,84317707.71524596,84319203.42188244,84311080.36519565,84313636.09862043,84315784.8141759,84317583.88372998,84319095.10455191,84310950.34494105,84313500.6019564,84315653.5480482,84317462.45747271,84318986.5114281,84310828.53245617,84313372.20325558,84315527.59273294,84317344.27932683,84318879.04731552,84310714.1591197,84313250.4813512,84315406.9466074,84317229.77984415,84318773.55957606,84310606.5270847,84313134.98490383,84315291.46778564,84317119.14148317,84318670.5464722,84310505.01121986,84313025.26617515,84315180.94078061,84317012.39659041,84318570.28403682,84310409.0551522,84312920.89789294,84315075.11525916,84316909.4871807,84318472.9053264,84310318.16500056,84312821.48093902,84314973.72866587,84316810.30203547,84318378.4509853,84310231.90252182,84312726.64704683,84314876.51933579,84316714.70000218,84318286.90206765,84310149.87846987,84312636.05882059,84314783.23391683,84316622.52472703,84318198.20163795,84310071.74650858,84312549.40836903,84314693.63135675,84316533.61397913,84318112.26913667
7,2021-07-08,84307171.56917648,84310001.8085537,84312376.76999247,84314357.33728902,84316012.92842816,84306990.33699305,84309823.33438545,84312217.37775493,84314226.01800096,84315914.04447205,84306820.93053736,84309651.3928523,84312057.71874255,84314087.15181084,84315800.38655713,84306662.90280731,84309487.40184484,84311901.27178927,84313946.26731752,84315679.43215539,84306515.44672179,84309331.73616974,84311749.76394817,84313806.45982657,84315555.5896989,84306377.65698734,84309184.26386054,84311603.98169374,84313669.46200264,84315431.50894397,84306248.64354116,84309044.61379643,84311464.19565788,84313536.21816908,84315308.79399315,84306127.57806286,84308912.31289417,84311330.39189616,84313407.20592761,84315188.4090681,84306013.70969269,84308786.85724312,84311202.40158568,84313282.6226288,84315070.91809756,84305906.36664648,84308667.74870132,84311079.97530305,84313162.4965356,84314956.63056095,84305804.95164645,84308554.51302691,84310962.82610102,84313046.75456436,84314845.69254093,84305708.93497163,84308446.70801638,84310850.65457234,84312935.2642586,84314738.14476824,84305617.84694499,84308343.92622943,84310743.1633101,84312827.86009948,84314633.96026056,84305531.270695,84308245.79482457,84310640.06503674,84312724.36010188,84314533.06906149,84305448.83554398,84308151.97391373,84310541.08691962,84312624.57628475,84314435.3746675
8,2021-07-09,84302487.52535704,84305564.87484986,84308198.09645298,84310425.5200664,84312307.9868841,84302298.01734546,84305373.68465447,84308024.1600565,84310280.14362048,84312197.25704227,84302120.97002853,84305189.61376461,84307850.04493792,84310126.49993156,84312070.04204765,84301955.89767164,84305014.16528662,84307679.5417899,84309970.71496552,84311934.72903244,84301801.94076273,84304847.7242836,84307514.52442184,84309816.21220155,84311796.25847335,84301658.13989419,84304690.13427058,84307355.83878355,84309664.90255338,84311657.59577279,84301523.55404031,84304540.9845075,84307203.76819909,84309517.8226678,84311520.5324193,84301397.30876881,84304399.75700699,84307058.28646623,84309375.49228558,84311386.14199983,84301278.6122845,84304265.90256172,84306919.19963033,84309238.12132195,84311255.04942624,84301166.75678785,84304138.87970664,84306786.22705066,84309105.7332191,84311127.59476855,84301061.11342968,84304018.17390011,84306659.04831693,84308978.24003658,84311003.9354854,84300961.12483202,84303903.30602308,84306537.33047189,84308855.48891711,84310884.11154822,84300866.29706462,84303793.83510989,84306420.74365602,84308737.29116456,84310768.0876323,84300776.19194417,84303689.35801429,84306308.96985029,84308623.4405466,84310655.78081657,84300690.42001678,84303589.507516,84306201.70747088,84308513.72481036,84310547.07895134
9,2021-07-10,84297658.71702044,84300953.52532178,84303826.30160245,84306289.46078514,84308392.81654868,84297462.82337977,84300751.60106169,84303639.43263376,84306131.16396636,84308270.94278088,84297279.87485674,84300557.29627682,84303452.47181311,84305963.94640222,84308130.98081145,84297109.3567885,84300372.18525252,84303269.48660173,84305794.48356691,84307982.17505695,84296950.37004255,84300196.66095853,84303092.48038661,84305626.50016911,84307829.96687959,84296801.9141565,84300030.54554226,84302922.35099785,84305462.070169,84307677.61833785,84296663.00935806,84299873.394249,84302759.39208399,84305302.31415094,84307527.09658444,84296532.74610667,84299724.65071182,84302603.56567748,84305147.78966366,84307379.5773309,84296410.30140677,84299583.72709706,84302454.65472056,84304998.71730496,84307235.742064,84296294.93998449,84299450.04505095,84302312.35016519,84304855.11530288,84307095.95886056,84296186.00888857,84299323.05575427,84302176.30129416,84304716.88136771,84306960.39516227,84296082.92961338,84299202.24871565,84302046.14485121,84304583.84328432,84306829.08957218,84295985.18969016,84299087.15449831,84301921.52172673,84304455.7905267,84306701.99833098,84295892.33463645,84298977.34423551,84301802.08623551,84304332.49412103,84306579.02580044,84295803.9606311,84298872.4275219,84301687.51094976,84304213.71911344,84306460.04465236
