,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333963.07732481,84334130.47717705,84334242.5399879,84334321.86378862,84334380.44869843,84333947.53611562,84334119.08705479,84334234.31023856,84334316.07833084,84334376.59526433,84333932.76436028,84334107.9549,84334225.96886888,84334309.9034594,84334372.1355363,84333918.76646173,84334097.18924327,84334217.69880225,84334303.57830743,84334367.35327485,84333905.51047164,84334086.83360511,84334209.59732157,84334297.24046741,84334362.41773295,84333892.94997136,84334076.8980638,84334201.714729,84334290.97025408,84334357.43261506,84333881.03433675,84334067.37540483,84334194.07474549,84334284.8144055,84334352.46249872,84333869.71355586,84334058.2496928,84334186.68576717,84334278.7993968,84334347.5478184,84333858.94040018,84334049.5009346,84334179.54729834,84334272.93921463,84334342.71371534,84333848.67128377,84334041.10764842,84334172.65372881,84334267.2400429,84334337.97544393,84333838.8664705,84334033.04827687,84334165.99659702,84334261.70316058,84334333.34176843,84333829.48996428,84334025.30194846,84334159.5659643,84334256.32677127,84334328.81714825,84333820.50925511,84334017.84886579,84334153.35125466,84334251.10717756,84334324.4031717,84333811.8950106,84334010.67047927,84334147.3417675,84334246.03954376,84334320.09951232,84333803.6207585,84334003.74953721,84334141.5269865,84334241.11839578,84334315.9045754
1,2021-07-02,84332531.08368538,84332954.36057386,84333247.62923622,84333460.114839,84333619.68025063,84332494.02106704,84332925.88560373,84333226.39716856,84333444.8527104,84333609.34619959,84332458.91762541,84332898.13008681,84333204.92025302,84333428.58715595,84333597.39848968,84332425.76403224,84332871.35796882,84333183.66953531,84333411.95115376,84333584.60129687,84332394.4664148,84332845.66967545,84333162.89292455,84333395.30745323,84333571.4097005,84332364.89898789,84332821.08229627,84333142.71631794,84333378.86651596,84333558.10179389,84332336.92839703,84332797.57043974,84333123.19690515,84333362.74969478,84333544.850072,84332310.42489061,84332775.08779596,84333104.3525251,84333347.02471277,84333531.76194067,84332285.26715516,84332753.5787769,84333086.17839608,84333331.72636215,84333518.90364453,84332261.34405203,84332732.98486118,84333068.65690301,84333316.8689609,84333506.31487843,84332238.55484504,84332713.24803129,84333051.76343304,84333302.45404063,84333494.01796068,84332216.80871776,84332694.31258166,84333035.46989682,84333288.47518785,84333482.02372736,84332196.02398807,84332676.1260023,84333019.74686341,84333274.92114085,84333470.33539377,84332176.12722602,84332658.63933624,84333004.5648487,84333261.7777936,84333458.95112506,84332157.05237861,84332641.80723935,84332989.89507982,84333249.02950151,84333447.86576971
2,2021-07-03,84330652.79408608,84331370.92313424,84331884.31191231,84332264.39891185,84332554.31163187,84330593.3919417,84331323.26452735,84331847.71677291,84332237.53456697,84332535.83434997,84330537.29237263,84331276.91608389,84331810.7645506,84332208.94142112,84332514.49172643,84330484.45328672,84331232.30841494,84331774.26546471,84332179.73683918,84332491.65520532,84330434.70029043,84331189.59718555,84331738.64188081,84332150.55881627,84332468.14028999,84330387.81153849,84331148.7991103,84331704.10471499,84332121.77544434,84332444.44409056,84330343.55648825,84331109.86099191,84331670.74632601,84332093.59715705,84332420.87383407,84330301.71332642,84331072.6959731,84331638.5915821,84332066.1397416,84332397.6198266,84330262.0762233,84331037.20297018,84331607.62688845,84332039.46106763,84332374.79855174,84330224.45767367,84331003.27716291,84331577.81711021,84332013.58316006,84332352.47897795,84330188.68848862,84330970.81559657,84331549.11561766,84331988.50579529,84332330.69906202,84330154.61671649,84330939.72006142,84331521.47031313,84331964.2150424,84332309.47634153,84330122.10613622,84330909.89843954,84331494.82725677,84331940.68870999,84332288.81486396,84330091.03464435,84330881.26518795,84331469.13283212,84331917.89985706,84332268.70979093,84330061.29269168,84330853.7413409,84331444.33501138,84331895.81906995,84332249.15049632
3,2021-07-04,84328419.6092756,84329446.54485513,84330201.94820437,84330772.45492288,84331213.9816847,84328339.19199835,84329379.41166125,84330148.97488518,84330732.79351732,84331186.29572451,84328263.42336655,84329314.2495286,84330095.56585902,84330690.62846307,84331154.34303905,84328192.21569107,84329251.65117027,84330042.8915161,84330647.61336939,84331120.18531795,84328125.30602844,84329191.82066752,84329991.55677727,84330604.68928629,84331085.0468286,84328062.37150006,84329134.76714705,84329941.85910626,84330562.39640938,84331049.67216171,84328003.08139464,84329080.4027845,84329893.92424795,84330521.04115313,84331014.51996408,84327947.12017845,84329028.59403335,84329847.7807266,84330480.78991039,84330979.87298085,84327894.19673218,84328979.18891798,84329803.40209328,84330441.72365811,84330945.90305665,84327844.04700647,84328932.03163767,84329760.7314798,84330403.87073067,84330912.71079716,84327796.43358248,84328886.97026452,84329719.6961148,84330367.22697191,84330880.35043183,84327751.14386255,84328843.86061512,84329680.2159877,84330331.76836607,84330848.845755,84327707.98774984,84328802.56798302,84329642.20902449,84330297.45907004,84330818.20053937,84327666.79524018,84328762.96767741,84329605.59414889,84330264.25657263,84330788.40544395,84327627.41412553,84328724.94490612,84329570.29304528,84330232.11502571,84330759.44265252
4,2021-07-05,84325917.12212422,84327247.42673144,84328252.46697898,84329025.87690856,84329632.73994245,84325818.38525845,84327161.86095545,84328183.18076022,84328973.01704863,84329595.31274256,84325725.53617646,84327078.94463846,84328113.41798756,84328916.87842087,84329552.15023354,84325638.43528932,84326999.41752578,84328044.7063182,84328859.66947858,84329506.04768747,84325556.73201217,84326923.52270798,84327977.82921733,84328802.64321858,84329458.66287762,84325480.00673987,84326851.25577079,84327913.16650029,84328746.51557258,84329411.00193685,84325407.83439091,84326782.4905055,84327850.87333156,84328691.68970926,84329363.68270838,84325339.8120239,84326717.04435745,84327790.97831799,84328638.3818677,84329317.08439036,84325275.56955445,84326654.71310171,84327733.43901803,84328586.69458513,84329271.43592732,84325214.77247183,84326595.28925185,84327678.17411257,84328536.66059339,84329226.86992311,84325157.12084916,84326538.57164747,84327625.08235422,84328488.26976675,84329183.45641425,84325102.34675768,84326484.37017779,84327574.05382293,84328441.48597687,84329141.22450258,84325050.21112585,84326432.50780314,84327524.97660677,84328396.25778347,84329100.17646894,84325000.50054961,84326382.82108116,84327477.74071725,84328352.52527867,84329060.29712042,84324953.02428709,84326335.15988286,84327432.24031281,84328310.22448792,84329021.56005472
5,2021-07-06,84323201.22644302,84324819.32102424,84326072.98278947,84327055.00338061,84327835.72296073,84323087.23308752,84324716.99233712,84325988.0617769,84326989.03994268,84327788.37613684,84322980.20645241,84324617.9720555,84325902.65686941,84326919.04958229,84327733.81129879,84322879.9547527,84324523.12833825,84325818.63674738,84326847.79310684,84327675.57384403,84322786.04676092,84324432.73417592,84325736.9530863,84326776.83258413,84327615.76395164,84322697.97602277,84324346.7676797,84325658.06126496,84326707.05677138,84327555.65380009,84322615.23376782,84324265.06321009,84325582.14132294,84326638.96284501,84327496.02239214,84322537.34015888,84324187.38978101,84325509.21888147,84326572.81439942,84327437.34587759,84322463.85605145,84324113.49239641,84325439.233439,84326508.7333251,84327379.90996718,84322394.3856008,84324043.11384122,84325372.07785118,84326446.75482363,84327323.87847273,84322328.5746836,84323976.00590774,84325307.62150867,84326386.86113037,84327269.33621542,84322266.10756128,84323911.93482111,84325245.72404417,84326329.00256652,84327216.31648436,84322206.70297392,84323850.68346019,84325186.24342036,84326273.11086,84327164.8189298,84322150.11023478,84323792.0518195,84325129.04062973,84326219.10764809,84327114.82139587,84322096.1055833,84323735.85652874,84325073.98232873,84326166.9099238,84327066.28783642
6,2021-07-07,84320310.95793015,84322195.7763019,84323691.55497828,84324883.22935513,84325842.5641109,84320184.69166008,84322078.61229637,84323592.02215001,84324804.57372439,84325785.36162119,84320066.29120626,84321965.37183487,84323492.02463266,84324721.18492784,84325719.47938065,84319955.51664829,84321857.0325402,84323393.74857034,84324636.36001103,84325649.21081756,84319851.86668421,84321753.88951206,84323298.3003671,84324551.95979796,84325577.09647922,84319754.76074526,84321655.90139616,84323206.20319605,84324469.03897008,84325504.6725758,84319663.61931884,84321562.8641693,84323117.65757518,84324388.18394953,84325432.87734237,84319577.897974,84321474.50102028,84323032.68379435,84324309.70233051,84325362.28209254,84319497.09982556,84321390.509535,84322951.20221828,84324233.73296066,84325293.2276823,84319420.77794094,84321310.58641702,84322873.07960214,84324160.3117882,84325225.90768474,84319348.53319764,84321234.44010013,84322798.15620126,84324089.41216917,84325160.42042819,84319280.0102713,84321161.79673702,84322726.26174065,84324020.96998625,84325096.80226892,84319214.89305751,84321092.40254688,84322657.22478728,84323954.899508,84325035.04924898,84319152.9001464,84321026.02417848,84322590.87815402,84323891.10348399,84324975.13139895,84319093.78062476,84320962.44802116,84322527.0618914,84323829.4795888,84324917.00229014
7,2021-07-08,84317284.37976317,84319410.03881587,84321136.56552774,84322534.71294564,84323673.93949617,84317148.70357755,84319280.1454291,84321023.71815382,84322444.04306203,84323607.1570951,84317021.6045405,84319154.7289513,84320910.44569713,84322347.9877414,84323530.28446727,84316902.80140316,84319034.85751364,84320799.22246458,84322250.35266466,84323448.34460916,84316791.73541117,84318920.84165438,84320691.29370277,84322153.28087416,84323364.30682568,84316687.76614049,84318812.62008438,84320587.24192739,84322057.98277682,84323279.96367127,84316590.25741027,84318709.95303701,84320487.28394322,84321965.12764975,84323196.40732646,84316498.61332825,84318612.52200198,84320391.4330112,84321875.0630694,84323114.30052999,84316412.29119727,84318519.98188853,84320299.59014036,84321787.94234483,84323034.03658551,84316330.80368665,84318431.98820654,84320211.59663352,84321703.80067264,84322955.83685309,84316253.7161919,84318348.21081553,84320127.26476194,84321622.60169561,84322879.8117102,84316180.6422531,84318268.3403491,84320046.3957707,84321544.26647109,84322805.99949831,84316111.23842102,84318192.09063053,84319968.79039441,84321468.69172427,84322734.39184828,84316045.19922459,84318119.19891688,84319894.25487761,84321395.76143786,84322664.95038372,84315982.25252602,84318049.42500305,84319822.6042692,84321325.35422634,84322597.61785927
8,2021-07-09,84314141.46964541,84316481.37743323,84318425.29034644,84320024.54137382,84321342.9254641,84313998.7549079,84316340.73283266,84318300.46832606,84319922.63777187,84321266.94314341,84313865.15821338,84316205.0492431,84318175.27348979,84319814.75198053,84321179.52484187,84313740.3654361,84316075.46888764,84318052.43839566,84319705.16606784,84321086.3962495,84313623.77323137,84315952.31294732,84317933.33148088,84319596.2864453,84320990.93899298,84313514.69511563,84315835.50112271,84317818.58675332,84319489.4680093,84320895.19151887,84313412.4515081,84315724.76158455,84317708.43384564,84319385.45616575,84320800.39311664,84313316.40723273,84315619.73902702,84317602.87804206,84319284.6345057,84320707.29339176,84313225.984708,84315520.05100483,84317501.80148596,84319187.16855991,84320616.33502185,84313140.66590421,84315425.31715406,84317405.02132821,84319093.09163442,84320527.76507437,84313059.98930047,84315335.17386383,84317312.3235921,84319002.35722817,84320441.70457654,84312983.54485396,84315249.28103562,84317223.48298904,84318914.87159988,84320358.19292943,84312910.96843207,84315167.32452832,84317138.27444148,84318830.51425162,84320277.21676135,84312841.93638696,84315089.0162786,84317056.47963738,84318749.15090494,84320198.728936,84312776.16056527,84315014.09321101,84316977.89057949,84318670.64173317,84320122.66120963
9,2021-07-10,84310898.60162471,84313425.85563111,84315572.35251208,84317365.64589049,84318860.84178635,84310750.74180621,84313276.26874563,84315436.8863309,84317253.34663817,84318776.1111507,84310612.39492564,84313132.05554563,84315301.10607426,84317134.52350783,84318678.67223172,84310483.22269979,84312994.41838866,84315167.97313537,84317013.90002342,84318574.92064027,84310362.58912894,84312863.68581173,84315038.96417424,84316894.12587467,84318468.63054411,84310249.7740441,84312739.76036124,84314914.75755283,84316776.68874425,84318362.07395127,84310144.06615067,84312622.34239255,84314795.59294236,84316662.40338978,84318256.62940545,84310044.80158424,84312511.04503788,84314681.46730185,84316551.68561657,84318153.12831545,84309951.37730044,84312405.45399313,84314572.24492258,84316444.71121277,84318052.05946165,84309863.25287063,84312305.15840982,84314467.72055398,84316341.51077668,84317953.69352633,84309779.94714186,84312209.7663099,84314367.6560918,84316242.0275663,84317858.16088307,84309701.03287545,84312118.91160251,84314271.80198671,84316146.15339474,84317765.50122496,84309626.13086128,84312032.25653572,84314179.90964589,84316053.75117053,84317675.69577752,84309554.90420403,84311949.49169926,84314091.73844703,84315964.66914736,84317588.68849748,84309487.05308029,84311870.3347614,84314007.05950053,84315878.74994056,84317504.40017027
