,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333307.92405023,84333590.51893447,84333784.605598,84333924.43006308,84334029.01965918,84333282.12485075,84333571.01465774,84333770.21563132,84333914.1627275,84334022.10542598,84333257.67081168,84333551.99147277,84333755.65272014,84333903.21639103,84334014.10946204,84333234.55867839,84333533.63149367,84333741.23634647,84333892.01656833,84334005.54253823,84333212.725924,84333516.0049426,84333727.13510512,84333880.80737582,84333996.70896262,84333192.08734617,84333499.124878,84333713.4350105,84333869.73067218,84333987.7948291,84333172.55205506,84333482.97511129,84333700.17551447,84333858.86844993,84333978.91568834,84333154.03131448,84333467.52496321,84333687.3693542,84333848.26664382,84333970.14359523,84333136.44197062,84333452.73724656,84333675.01387222,84333837.94902521,84333961.52308556,84333119.70771597,84333438.57262911,84333663.09764569,84333827.92556737,84333953.08093329,84333103.75929314,84333424.99200708,84333651.6044442,84333818.19761136,84333944.8322779,84333088.53419569,84333411.95776112,84333640.51562217,84333808.76112157,84333936.78456299,84333073.9761508,84333399.43437748,84333629.81157221,84333799.6087702,84333928.94011764,84333060.03452875,84333387.38870607,84333619.4726051,84333790.73128755,84333921.29787582,84333046.66375242,84333375.79001297,84333609.47947395,84333782.11834303,84333913.8545367
1,2021-07-02,84330840.11559169,84331517.99045467,84332003.22505403,84332363.15957187,84332638.23972371,84330781.86246371,84331471.5037168,84331967.61274302,84332337.04359788,84332620.28477672,84330726.86364944,84331426.30645604,84331931.66055474,84332309.25160855,84332599.54804678,84330675.07537468,84331382.81765239,84331896.156886,84332280.87031992,84332577.36290863,84330626.32435037,84331341.18789992,84331861.51228686,84332252.51997133,84332554.52210017,84330580.39106102,84331301.43226504,84331827.93136907,84332224.558175,84332531.50871462,84330537.04776648,84331263.49771357,84331795.50332615,84332197.18915917,84332508.6211836,84330496.07555962,84331227.29850079,84331764.25168972,84332170.5250949,84332486.04424337,84330457.27144131,84331192.73513123,84331734.16260564,84332144.62184085,84332463.89085558,84330420.45057818,84331159.70458311,84331705.20131402,84332119.50042222,84332442.22779562,84330385.44626147,84331128.10576065,84331677.32192697,84332095.16025892,84332421.09170395,84330352.10882054,84331097.84228995,84331650.47329165,84332071.58747338,84332400.49938759,84330320.30412193,84331068.82382025,84331624.60251471,84332048.76018709,84332380.45455776,84330289.91196823,84331040.96648386,84331599.65706465,84332026.65193303,84332360.95230608,84330260.82454921,84331014.19288848,84331575.58599815,84332005.23386769,84332341.98211592
2,2021-07-03,84327824.6616023,84328905.60628556,84329707.50820468,84330317.92019996,84330793.56332946,84327736.99249865,84328832.2736935,84329649.41309792,84330274.24145795,84330762.95454276,84327654.46845229,84328761.15548179,84329590.88306935,84330227.83270162,84330727.64414644,84327576.9799724,84328692.89219916,84329533.20039845,84330180.5173111,84330689.91546367,84327504.2282989,84328627.69921094,84329477.0250655,84330133.33121568,84330651.12341665,84327435.85131036,84328565.57930852,84329422.67912045,84330086.86753921,84330612.091085,84327371.48015162,84328506.4301399,84329370.29622474,84330041.46135703,84330573.32457298,84327310.76404871,84328450.10025316,84329319.90366358,84329997.29336464,84330535.13508719,84327253.38010938,84328396.41887075,84329271.46880387,84329954.45023118,84330497.7110485,84327199.03598142,84328345.21175703,84329224.92605549,84329912.96079953,84330461.16208439,84327147.46917662,84328296.30953112,84329180.19277987,84329872.81832658,84330425.54659696,84327098.4449382,84328249.55180392,84329137.17876075,84329833.99440727,84330390.88942938,84327051.75358258,84328204.78898814,84329095.79184258,84329796.44781691,84330357.1933984,84327007.20777096,84328161.88281554,84329055.94124885,84329760.13018034,84330324.446938,84326964.63992356,84328120.70614856,84329017.53947902,84329724.98962429,84330292.62922618
3,2021-07-04,84324272.32925574,84325766.1314716,84326906.7345193,84327793.65487114,84328496.0830121,84324157.17504315,84325666.06907357,84326825.23839733,84327731.08585317,84328451.51627928,84324049.00452368,84325569.20780276,84326743.25950001,84327664.68811384,84328400.15139306,84323947.63293578,84325476.40036055,84326662.59183878,84327597.07979104,84328345.32466027,84323852.6324944,84325387.91775386,84326584.15026003,84327529.7428499,84328289.01270024,84323763.49816434,84325303.74239093,84326508.37358616,84327463.52099918,84328232.41312627,84323679.72142906,84325223.7156815,84326435.43638599,84327398.88666949,84328176.25952443,84323600.82203208,84325147.61467507,84326365.3649017,84327336.0907513,84328121.00049193,84323526.3600272,84325075.19251327,84326298.1025494,84327275.24968173,84328066.90538949,84323455.93856072,84325006.19978945,84326233.5478024,84327216.39760101,84328014.12882441,84323389.2024,84324940.39558099,84326171.57644568,84327159.51833099,84327962.75102352,84323325.83466236,84324877.55280483,84326112.05474775,84327104.56534459,84327912.8036728,84323265.55294907,84324817.46043327,84326054.84724128,84327051.47440636,84327864.28675848,84323208.10546365,84324759.92398307,84325999.8212515,84327000.17164446,84327817.17970616,84323153.26737884,84324704.76507685,84325946.8494404,84326950.57872431,84327771.4488344
4,2021-07-05,84320440.72056767,84322309.24898314,84323774.89114584,84324937.43875083,84325872.28681709,84320303.80812532,84322185.89632308,84323671.75570296,84324856.66765355,84325813.85627986,84320175.42553972,84322066.6806726,84323568.15036295,84324771.04791287,84325746.56865919,84320055.31140079,84321952.62997097,84323466.33976272,84324683.96611254,84325674.8118121,84319942.92118832,84321844.05360103,84323367.46913053,84324597.33278278,84325601.1815713,84319837.62470007,84321740.90686415,84323272.0791779,84324512.23004039,84325527.24697538,84319738.7930938,84321642.97397959,84323180.37630351,84324429.25890243,84325453.96575814,84319645.83573227,84321549.96270919,84323092.3802623,84324348.73399788,84325381.92061044,84319558.21365768,84321461.5540161,84323008.00740749,84324270.7967066,84325311.45872125,84319475.44216901,84321377.42806835,84322927.1186874,84324195.48282467,84325242.77682316,84319397.08847417,84321297.27749552,84322849.54772885,84324122.76397519,84325175.97439529,84319322.7673209,84321220.81367366,84322775.11737143,84324052.57340726,84325111.08767492,84319252.1360183,84321147.76918013,84322703.64936438,84323984.82227847,84325048.11179143,84319184.88951926,84321077.89816153,84322634.96995178,84323919.41001418,84324987.01537926,84319120.75586061,84321010.97559658,84322568.91295911,84323856.230916,84324927.75033373
5,2021-07-06,84316355.77696721,84318568.09224546,84320345.40429626,84321780.4569579,84322950.38441828,84316201.21720894,84318424.29620206,84320222.31155713,84321682.30616257,84322878.36901104,84316056.4768549,84318285.49790369,84320098.79532921,84321578.35888965,84322795.49597743,84315921.22516328,84318152.87372234,84319977.55242391,84321472.737031,84322707.18756056,84315794.81691545,84318026.76120663,84319859.93708156,84321367.75930648,84322616.64745508,84315676.515505,84317907.0868418,84319746.58010472,84321264.73325911,84322525.80810516,84315565.59058852,84317793.5803041,84319637.71348746,84321164.38002759,84322435.84547243,84315461.35889144,84317685.88487296,84319533.34757952,84321067.07239066,84322347.47184263,84315363.19867697,84317583.61510316,84319433.37075956,84320972.97297268,84322261.10874693,84315270.55202448,84317486.386818,84319337.606758,84320882.11680141,84322176.99230576,84315182.92166454,84317393.83223377,84319245.84808429,84320794.46175243,84322095.23908134,84315099.86563562,84317305.6069853,84319157.87561975,84320709.91991217,84322015.88813263,84315020.99133816,84317221.3927262,84319073.47003764,84320628.37732188,84321938.9283477,84314945.94972554,84317140.89733711,84318992.41832182,84320549.70649903,84321864.31645915,84314874.42995286,84317063.85388273,84318914.51731691,84320473.77439229,84321791.98904759
6,2021-07-07,84312040.67045704,84314568.05950652,84316643.04933205,84318345.65968154,84319751.13065927,84311871.78125757,84314406.33986014,84316501.63093685,84318231.03347498,84319665.9292581,84311713.776977,84314250.39691836,84316359.85514884,84318109.73117264,84319567.94139715,84311566.26685673,84314101.53381327,84316220.81427996,84317986.57279992,84319463.59634344,84311428.52078801,84313960.10934208,84316086.0520843,84317864.263229,84319356.68859856,84311299.71322979,84313826.02159964,84315956.27941333,84317744.32204139,84319249.50287257,84311179.02939193,84313698.94974503,84315831.74918242,84317627.58227925,84319143.42582574,84311065.7091644,84313578.47825283,84315712.4607651,84317514.46985076,84319039.29412279,84310959.06231046,84313464.16156645,84315598.27479805,84317405.16563556,84318937.59996183,84310858.47043331,84313355.55753435,84315488.97906405,84317299.70221902,84318838.61623384,84310763.38309255,84313252.24411868,84315384.32680249,84317198.02291802,84318742.47471137,84310673.31162643,84313153.82702266,84315284.0590803,84317100.0184156,84318649.21593672,84310587.82238658,84313059.94237839,84315187.91776328,84317005.54977317,84318558.8216079,84310506.53017853,84312970.2567816,84315095.65286319,84316914.4629846,84318471.2358946,84310429.09224735,84312884.46595316,84315007.02648816,84316826.59818995,84318386.37961619
7,2021-07-08,84307575.7441327,84310379.45587172,84312729.67719637,84314687.77640684,84316323.27212195,84307396.24818298,84310202.84578864,84312572.08574966,84314558.04172431,84316225.64757824,84307228.4529553,84310032.68807001,84312414.22014898,84314420.8434469,84316113.43220784,84307071.91800897,84309870.3873774,84312259.52043097,84314281.64295138,84315994.00704166,84306925.84593235,84309716.31624815,84312109.69513342,84314143.4984583,84315871.72401051,84306789.34169337,84309570.34560707,84311965.52298081,84314008.12235388,84315749.19926022,84306661.52503851,84309432.10952869,84311827.27265957,84313876.44833662,84315628.0168607,84306541.57661167,84309301.14099187,84311694.93140274,84313748.94903874,84315509.12927148,84306428.7535707,84309176.9422892,84311568.33319941,84313625.82018833,84315393.0937975,84306322.39122824,84309059.02126488,84311447.23223184,84313507.09040497,84315280.21653035,84306221.89855942,84308946.90928097,84311331.34547332,84313392.68811402,84315170.64221725,84306126.75134568,84308840.16929258,84311220.37748063,84313282.48301326,84315064.41155542,84306036.4847546,84308738.39856315,84311114.03470321,84313176.31207015,84314961.49834731,84305950.68618743,84308641.2285176,84311012.03353216,84313073.99592322,84314861.83392438,84305868.98874365,84308548.32312739,84310914.10457754,84312975.34923272,84314765.32336688
8,2021-07-09,84302955.01234744,84306004.41567679,84308611.23647033,84310814.36616611,84312674.84041135,84302767.31123169,84305815.18214159,84308439.2119099,84310670.69200598,84312565.4785824,84302591.94063675,84305632.98313405,84308266.99992424,84310518.83917277,84312439.82977436,84302428.42167184,84305459.30795863,84308098.35007961,84310364.8613756,84312306.17619452,84302275.90490074,84305294.5393786,84307935.11662906,84310212.14230396,84312169.3969082,84302133.44160509,84305138.52401595,84307778.13740213,84310062.57117738,84312032.42084394,84302000.10097578,84304990.85664469,84307627.69375879,84309917.17333181,84311897.01780187,84301875.01791616,84304851.0256905,84307483.76083703,84309776.463272,84311764.2486795,84301757.40898019,84304718.48849782,84307346.14774542,84309640.64926557,84311634.73128407,84301646.57375804,84304592.70991778,84307214.57773723,84309509.75522348,84311508.80209294,84301541.88991135,84304473.18131731,84307088.7346201,84309383.69490166,84311386.6171952,84301442.80579121,84304359.42901339,84306968.28969167,84309262.31782268,84311268.21659943,84301348.83251143,84304251.01699474,84306852.91722527,84309145.4380177,84311153.56589906,84301259.53633717,84304147.54660717,84306742.30312894,84309032.85212137,84311042.58363003,84301174.53174703,84304048.65469252,84306636.14950067,84308924.35075974,84310935.1594141
9,2021-07-10,84298191.66522652,84301457.20534414,84304302.06013596,84306739.24755158,84308818.84758362,84297997.64732578,84301257.32354473,84304117.20378958,84306582.75984311,84308698.44130212,84297816.43942714,84301064.97243856,84303932.24581403,84306417.44478625,84308560.1587682,84297647.53396736,84300881.7119515,84303751.21042274,84306249.90103224,84308413.13170376,84297490.04226968,84300707.93269855,84303576.08048826,84306083.81104435,84308262.73556393,84297342.97496511,84300543.46011065,84303407.74536961,84305921.22579989,84308112.19331253,84297205.3628849,84300387.85522258,84303246.49672012,84305763.25394541,84307963.44889873,84297076.30617794,84300240.56838916,84303092.2980473,84305610.44754688,84307817.66449669,84296954.99051462,84300101.0186381,84302944.93557328,84305463.02552699,84307675.5140492,84296840.6882913,84299968.63422664,84302804.10439605,84305321.00667989,84307537.36185345,84296732.7533149,84299842.8725176,84302669.45827782,84305184.29057834,84307403.37395088,84296630.61302659,84299723.22870548,84302540.6384742,84305052.707588,84307273.58904657,84296533.76019347,84299609.23853432,84302417.2902534,84304926.05012575,84307147.96442157,84296441.74495079,84299500.47783378,84302299.07208681,84304804.0923027,84307026.4060496,84296354.16755952,84299396.56044465,84302185.66044119,84304686.60225697,84306908.78854567
