,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333908.56921259,84334086.30406903,84334205.49951662,84334289.97485328,84334352.41871041,84333892.08811526,84334074.19854909,84334196.74016088,84334283.81080724,84334348.31004226,84333876.42611144,84334062.36891176,84334187.86293651,84334277.23236108,84334343.55516972,84333861.5873989,84334050.93034717,84334179.06252542,84334270.49434361,84334338.4567139,84333847.53767106,84334039.92892626,84334170.4424096,84334263.7433494,84334333.19516367,84333834.22733459,84334029.37518059,84334162.05604841,84334257.0649221,84334327.88109359,84333821.60239343,84334019.26127777,84334153.92860542,84334250.50881988,84334322.58334608,84333809.6095513,84334009.57013527,84334146.06893626,84334244.10320787,84334317.34501414,84333798.19850656,84334000.2803766,84334138.47643866,84334237.86294533,84334312.19288142,84333787.32285628,84333991.3690602,84334131.14507397,84334231.7945801,84334307.14318886,84333776.94030984,84333982.81317948,84334124.06577596,84334225.89943695,84334302.20525783,84333767.01256731,84333974.59047002,84334117.22791311,84334220.17556725,84334297.38382073,84333757.50504594,84333966.67982042,84334110.62018193,84334214.61900027,84334292.68055019,84333748.38654941,84333959.0614552,84334104.2311519,84334209.22455567,84334288.09507881,84333739.62892845,84333951.71698673,84334098.0495936,84334203.98637581,84334283.62568855
1,2021-07-02,84332394.35773645,84332840.48542011,84333150.3433309,84333375.23685765,84333544.33483417,84332355.35473569,84332810.43282354,84333127.88968676,84333359.07294321,84333533.37809028,84332318.422431,84332781.1450916,84333105.18038468,84333341.84815183,84333520.71141042,84332283.54955177,84332752.90023685,84333082.71350339,84333324.23302738,84333507.14526607,84332250.6360175,84332725.80361861,84333060.75098024,84333306.61173591,84333493.16225046,84332219.54835688,84332699.87266399,84333039.42565928,84333289.20706564,84333479.0572128,84332190.14531444,84332675.08002238,84333018.79771423,84333272.1473897,84333465.01298872,84332162.28958401,84332651.37633254,84332998.88571821,84333255.50426899,84333451.14337586,84332135.8528715,84332628.7025065,84332979.68434668,84333239.3143887,84333437.51851876,84332110.71769947,84332606.99641988,84332961.17473115,84333223.59275849,84333424.18040952,84332086.77762687,84332586.19653228,84332943.33063005,84333208.34085788,84333411.15261875,84332063.93672499,84332566.24378833,84332926.122151,84333193.55176479,84333398.44654779,84332042.10873742,84332547.0825437,84332909.51800598,84333179.21343538,84333386.06552413,84332021.21614112,84332528.66093652,84332893.48687124,84333165.31082563,84333374.0075273,84332001.1892166,84332510.9309456,84332877.99819331,84333151.82727334,84333362.267027
2,2021-07-03,84330397.71698447,84331154.56264174,84331697.02382511,84332099.39944045,84332406.75638478,84330335.18006982,84331104.24594595,84331658.30608264,84332070.9315033,84332387.15194668,84330276.13349526,84331055.32183714,84331619.21649942,84332040.63509284,84332364.50928266,84330220.53064509,84331008.24394065,84331580.6121317,84332009.69457266,84332340.28398784,84330168.18589917,84330963.17549205,84331542.93938614,84331978.7859718,84332315.34148847,84330118.8639993,84330920.13307631,84331506.42084984,84331948.29913066,84332290.20920825,84330072.32082446,84330879.05957517,84331471.15366414,84331918.45674399,84332265.21300113,84330028.32169539,84330839.86245468,84331437.1635964,84331889.38118689,84332240.55461544,84329986.64896894,84330802.4342781,84331404.4357689,84331861.13346423,84332216.35745172,84329947.10446437,84330766.663769,84331372.93256818,84331833.73661473,84332192.69449244,84329909.50942287,84330732.44171213,84331342.60427178,84331807.19012505,84332169.60582209,84329873.7033455,84330699.66398022,84331313.39542067,84331781.47898251,84332147.10987088,84329839.54238585,84330668.23294403,84331285.2486504,84331756.5794468,84332125.2107691,84329806.89763494,84330638.0579721,84331258.1069771,84331732.46276882,84332103.90323289,84329775.6534619,84330609.05542442,84331231.91513135,84331709.09760162,84332083.17585126
3,2021-07-04,84328039.24776562,84329117.70933506,84329913.33890937,84330515.5614435,84330982.43419516,84327954.89744169,84329047.06782757,84329857.46137658,84330473.64682162,84330953.13202757,84327875.44262087,84328978.51495989,84329801.13403766,84330429.09234181,84330919.31742139,84327800.78788617,84328912.67278369,84329745.59114626,84330383.64604904,84330883.17327322,84327730.65443563,84328849.7542576,84329691.46999845,84330338.30234781,84330845.99561462,84327664.70108838,84328789.76729186,84329639.08341168,84330293.63171975,84330808.5724696,84327602.57889235,84328732.61796069,84329588.56305869,84330249.95745702,84330771.38904512,84327543.95519312,84328678.16442719,84329539.93811978,84330207.45483923,84330734.74428782,84327488.52325633,84328626.24565239,84329493.17987409,84330166.20888875,84330698.8197334,84327436.00499485,84328576.69674198,84329448.22760655,84330126.2490291,84330663.72151403,84327386.15045944,84328529.35702363,84329405.00391679,84330087.5703917,84330629.50668979,84327338.7359017,84328484.07409899,84329363.42385058,84330050.14716703,84330596.200129,84327293.56130865,84328440.70564736,84329323.40035069,84330013.94109222,84330563.8055339,84327250.44785151,84328399.11997567,84329284.84747678,84329978.9069003,84330532.31275274,84327209.2354567,84328359.19588111,84329247.68225668,84329944.99583687,84330501.70268871
4,2021-07-05,84325394.84078649,84326789.3020882,84327845.92206307,84328660.92003368,84329301.59864824,84325291.42600101,84326699.4104844,84327772.9541033,84328605.14155342,84329262.04217854,84325194.19982113,84326612.32030755,84327699.49720436,84328545.9116239,84329216.42894185,84325103.01205695,84326528.80658355,84327627.15974334,84328485.56128737,84329167.7144458,84325017.4920656,84326449.1224108,84327556.76572415,84328425.4125424,84329117.6511818,84324937.19749428,84326373.26100853,84327488.71384396,84328366.22026294,84329067.30245572,84324861.68077675,84326301.08788654,84327423.16620702,84328308.40912054,84329017.3209361,84324790.51797599,84326232.40962127,84327360.1517212,84328252.20649153,84328968.10694312,84324723.31992897,84326167.0102686,84327299.62459166,84328197.71979298,84328919.90194578,84324659.73502311,84326104.67067488,84327241.49820861,84328144.98283437,84328872.84558609,84324599.44810261,84326045.1785188,84327185.66509801,84328093.98426607,84328827.01139787,84324542.17771423,84325988.33324511,84327132.00876437,84328044.68536802,84328782.4296826,84324487.67278115,84325933.94816294,84327080.41071407,84327997.0313284,84328739.10243131,84324435.7092328,84325881.85097715,84327030.75456595,84327950.9584613,84328697.01320502,84324386.08683395,84325831.88347179,84326982.92838159,84327906.39884509,84328656.13375452
5,2021-07-06,84322525.6635259,84324219.46031146,84325535.55322593,84326568.91923332,84327392.0442986,84322406.37397677,84324112.0813213,84325446.22818609,84326499.39678061,84327342.06075417,84322294.3976514,84324008.19446403,84325356.4097506,84326425.64066221,84327284.46352208,84322189.5295961,84323908.70825748,84325268.06290075,84326350.561429,84327222.99700049,84322091.31488751,84323813.90651335,84325182.18729801,84326275.80516514,84327159.8788333,84321999.22051142,84323723.76378772,84325099.26033005,84326202.30780917,84327096.45193695,84321912.71159276,84323638.10408261,84325019.46977192,84326130.59238274,84327033.5382543,84321831.28400537,84323556.68313695,84324942.84108567,84326060.93567291,84326971.63984801,84321754.47659045,84323479.23178184,84324869.30929776,84325993.46514885,84326911.05767532,84321681.87380992,84323405.47877221,84324798.76053369,84325928.21698381,84326851.96400224,84321613.10403325,84323335.16253082,84324731.05638976,84325865.1716125,84326794.4477325,84321547.83599672,84323268.0368075,84324666.0483366,84325804.2759221,84326738.54341093,84321485.77467667,84323203.87297997,84324603.58621043,84325745.45728834,84326684.25011966,84321426.65717135,84323142.46051326,84324543.5231408,84325688.63253051,84326631.5439712,84321370.2488601,84323083.60643445,84324485.7183068,84325633.71364419,84326580.38646357
6,2021-07-07,84319479.0826524,84321448.79875445,84323016.36754785,84324268.23929879,84325278.05391993,84319347.12442042,84321326.03706782,84322911.83471899,84324185.46568587,84325217.75394559,84319223.41053155,84321207.40904221,84322806.83198927,84324097.72381064,84325148.31203896,84319107.6857267,84321093.93618204,84322703.65456103,84324008.48424855,84325074.25603475,84318999.42223004,84320985.92469627,84322603.46278147,84323919.70489277,84324998.26465645,84318898.01010266,84320883.32847813,84322506.8042013,84323832.49468125,84324921.95714079,84318802.84111044,84320785.93131603,84322413.88752472,84323747.46953163,84324846.32195802,84318713.34418373,84320693.44108465,84322324.7323148,84323664.95188181,84324771.96059121,84318628.9983494,84320605.53915778,84322239.2533753,84323585.08663222,84324699.23151486,84318549.33516589,84320521.90626945,84322157.3093996,84323507.910486,84324628.33794399,84318473.93641865,84320442.23568694,84322078.73143145,84323433.39438401,84324559.38272846,84318402.42987491,84320366.2394469,84322003.3396191,84323361.46994157,84324492.40344621,84318334.48445755,84320293.65078121,84321930.95303863,84323292.04613322,84324427.39524154,84318269.80548273,84320224.22446896,84321861.39535046,84323225.01990795,84324364.3259037,84318208.13024679,84320157.73609057,84321794.4979238,84323160.28296109,84324303.14593396
7,2021-07-08,84316291.71618755,84318510.06033598,84320316.70858909,84321783.22135556,84322980.58345295,84316150.05786619,84318374.1291781,84320198.35289796,84321687.93641128,84322910.2808507,84316017.37862965,84318242.90675838,84320079.57129872,84321587.00641592,84322829.36534703,84315893.38028845,84318117.50783324,84319962.95798245,84321484.43176551,84322743.12694456,84315777.47557348,84317998.25419745,84319849.8171339,84321382.46414195,84322654.69215284,84315668.99263066,84317885.07877351,84319740.75757504,84321282.37443271,84322565.94780312,84315567.26464191,84317777.72807458,84319636.00459516,84321184.86457865,84322478.04295447,84315471.66735816,84317675.86658765,84319535.57016797,84321090.29839084,84322391.6743601,84315381.63247924,84317579.13133104,84319439.34874693,84320998.83558065,84322307.25505549,84315296.64983997,84317487.16025442,84319347.17238152,84320910.51184212,84322225.01707165,84315216.26458734,84317399.60658136,84319258.84287596,84320825.28779939,84322145.07565376,84315140.07234429,84317316.14549068,84319174.15065281,84320743.07945187,84322067.47028244,84315067.71380754,84317236.47660816,84319092.88575974,84320663.77735032,84321992.19134247,84314998.86946043,84317160.32423154,84319014.84416193,84320587.2587664,84321919.19770776,84314933.254697,84317087.4363675,84318939.83117796,84320513.39543086,84321848.42846362
8,2021-07-09,84312986.72507535,84315425.43355665,84317456.53882147,84319131.4164625,84320514.96495263,84312837.85902804,84315278.43097669,84317325.80130613,84319024.47619449,84320435.08962725,84312698.52764879,84315136.63801767,84317194.69457306,84318911.27408102,84320343.20283286,84312568.39873643,84315001.24538776,84317066.07968053,84318796.30491288,84320245.32613783,84312446.83907112,84314872.5854925,84316941.38790838,84318682.09351902,84320145.01518443,84312333.12939857,84314750.57136431,84316821.28100967,84318570.06048577,84320044.41259524,84312226.55827121,84314634.9162303,84316705.997239,84318460.98648895,84319944.82034782,84312126.46106389,84314525.24646178,84316595.54005277,84318355.27245267,84319847.02539241,84312032.23363629,84314421.16042487,84316489.78416215,84318253.09053023,84319751.4919388,84311943.33429311,84314322.25897515,84316388.53644145,84318154.47423778,84319658.47857122,84311859.28054386,84314228.16074471,84316291.57138276,84318059.37348273,84319568.1114325,84311779.64380251,84314138.50916338,84316198.6518278,84317967.68874197,84319480.43093766,84311704.04353806,84314052.97497682,84316109.54101214,84317879.29255016,84319395.4221149,84311632.14158227,84313971.2563404,84316024.00940672,84317794.04310566,84319313.0345882,84311563.6368983,84313893.0776539,84315941.83841401,84317711.79289648,84319233.19587922
9,2021-07-10,84309581.27289785,84312211.99444327,84314451.59666485,84316326.89485508,84317893.63523343,84309427.18166338,84312055.82772245,84314309.89694943,84316209.20782125,84317804.68788718,84309283.02791286,84311905.29567902,84314167.89089343,84316084.7011415,84317702.41133952,84309148.45456327,84311761.65033965,84314028.67507741,84315958.32608798,84317593.52224527,84309022.79493695,84311625.23133692,84313893.79198053,84315832.85888179,84317481.98340681,84308905.29532935,84311495.93384254,84313763.94875383,84315709.85717943,84317370.17958395,84308795.21189195,84311373.44233714,84313639.39372136,84315590.17311563,84317259.55701256,84308691.85070999,84311257.35064493,84313520.12152342,84315474.24068034,84317150.9872885,84308594.58166017,84311147.22431563,84313405.98827428,84315362.24240875,84317044.98223636,84308502.84020062,84311042.63282636,84313296.77759619,84315254.20881681,84316941.82474008,84308416.12382375,84310943.16562532,84313192.23897885,84315150.07904698,84316841.650458,84308333.98641624,84310848.43941262,84313092.11014834,84315049.73848672,84316744.49994677,84308256.03208329,84310758.10066137,84312996.13001288,84314953.0423814,84316650.352487,84308181.9091614,84310671.82558814,84312904.04597461,84314859.83075462,84316559.1483372,84308111.3047283,84310589.31880757,84312815.61784217,84314769.9378427,84316470.80352825
