,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334156.11393623,84334285.67266218,84334371.99839315,84334432.91182782,84334477.79876147,84334144.04845014,84334276.88044828,84334365.66962206,84334428.4744585,84334474.84892936,84334132.57437354,84334268.28412528,84334359.2532633,84334423.73749168,84334471.43451641,84334121.69602253,84334259.96776384,84334352.89001022,84334418.88425075,84334467.7726218,84334111.3894067,84334251.96530196,84334346.65478826,84334414.02026992,84334463.99276266,84334101.61919056,84334244.28485727,84334340.58642907,84334409.20719877,84334460.17432313,84334092.34666535,84334236.92117117,84334334.7033307,84334404.48095563,84334456.36676063,84334083.53350157,84334229.8622186,84334329.01210064,84334399.86192523,84334452.6010641,84334075.14344883,84334223.09280752,84334323.51249717,84334395.36091423,84334448.89652154,84334067.14301638,84334216.59656444,84334318.20033206,84334390.9827412,84334445.26485418,84334059.5016457,84334210.35702898,84334313.06921081,84334386.72845748,84334441.71281442,84334052.19163504,84334204.35824513,84334308.1115901,84334382.5967496,84334438.24385723,84334045.18795049,84334198.58506465,84334303.31942481,84334378.58484,84334434.85923712,84334038.467993,84334193.02328396,84334298.68456344,84334374.68907231,84334431.55873989,84334032.0113575,84334187.65968572,84334294.19898695,84334370.90529506,84334428.34117746
1,2021-07-02,84333051.3944972,84333382.33194056,84333610.16102709,84333774.4941875,84333897.49523693,84333022.30895469,84333360.15363054,84333593.70995833,84333762.71321699,84333889.54078001,84332994.7432553,84333338.52497351,84333577.06295201,84333750.15424173,84333880.34245631,84332968.6929158,84333317.65260717,84333560.58510675,84333737.30554911,84333870.48801179,84332944.08679815,84333297.61595377,84333544.46894778,84333724.44717687,84333860.32756187,84332920.82834871,84333278.42949045,84333528.81258073,84333711.74178308,84333850.0751641,84332898.81472124,84333260.0745001,84333513.66089526,84333699.28332016,84333839.86369088,84332877.9455898,84333242.51584633,84333499.02826525,84333687.12436952,84333829.7759637,84332858.12699224,84333225.71104187,84333484.91149227,84333675.29209165,84333819.8631429,84332839.27273801,84333209.61520137,84333471.29738258,84333663.79782759,84333810.15595822,84332821.30462478,84333194.18373205,84333458.16726881,84333652.64302664,84333800.67176044,84332804.15209155,84333179.37375575,84333445.49974185,84333641.82298128,84333791.41905329,84332787.75162794,84333165.14480959,84333433.27230947,84333631.32921767,84333782.40046336,84332772.04610291,84333151.45913538,84333421.46239933,84333621.15104362,84333773.61471786,84332756.98409502,84333138.28173567,84333410.04795623,84333611.27655824,84333765.05797894
2,2021-07-03,84331580.12252633,84332149.11592953,84332552.7587504,84332849.92598441,84333075.64249691,84331532.85507001,84332111.52761224,84332524.07998078,84332828.97275765,84333061.28310043,84331488.18397182,84332074.95151575,84332495.10828017,84332806.6635245,84333044.69287945,84331446.0810662,84332039.72948952,84332466.4789273,84332783.86913188,84333026.93658946,84331406.41228028,84332005.98678727,84332438.52390926,84332761.08729082,84333008.64761117,84331369.00505474,84331973.7389684,84332411.40974021,84332738.60557441,84332990.21228684,84331333.67923342,84331942.94621623,84332385.2100531,84332716.58875439,84332971.86961362,84331300.26102474,84331913.54189675,84332359.94552432,84332695.12783363,84332953.76783673,84331268.5888719,84331885.4478953,84332335.60658269,84332674.26863326,84332935.9978786,84331238.51540257,84331858.58291553,84332312.16666028,84332654.02897839,84332918.61374578,84331209.90749602,84331832.86692773,84332289.5900669,84332634.40928942,84332901.64533365,84331182.64548478,84331808.22346911,84332267.83672148,84332615.39923958,84332885.10664697,84331156.62200433,84331784.58073252,84332246.86500436,84332596.98200403,84332869.00117958,84331131.74074906,84331761.87197042,84332226.63346529,84332579.13700129,84332853.32549073,84331107.91525982,84331740.03551635,84332207.1018256,84332561.84167351,84332838.071613
3,2021-07-04,84329825.81406061,84330646.08670944,84331244.52641931,84331693.69552858,84332039.66557346,84329761.34170131,84330592.7474415,84331202.72455081,84331662.56234032,84332018.02196437,84329700.55483323,84330540.94362147,84331160.55854881,84331629.45148334,84331993.03598799,84329643.39043486,84330491.14958811,84331118.95259121,84331595.65997885,84331966.31763928,84329589.64405218,84330443.53122622,84331078.38564993,84331561.92673789,84331938.82338645,84329539.06215112,84330398.09933162,84331039.0944256,84331528.67661856,84331911.13537768,84329491.38397829,84330354.7872929,84331001.18014073,84331496.15122892,84331883.61259139,84329446.36014897,84330313.491754,84330964.66718194,84331464.48233953,84331856.47667836,84329403.76019233,84330274.09431958,84330929.53637993,84331433.73465021,84331829.86266787,84329363.37480332,84330236.47320068,84330895.74437061,84331403.93146849,84331803.84991045,84329325.01559243,84330200.50937854,84330863.2350557,84331375.0705079,84331778.48147964,84329288.51371837,84330166.08972627,84330831.94645454,84331347.13379721,84331753.77661589,84329253.7180946,84330133.10842595,84330801.81480649,84331320.09398769,84331729.7388591,84329220.49351199,84330101.46743155,84330772.7770049,84331293.91840883,84331706.36144637,84329188.71884057,84330071.07640572,84330744.77200547,84331268.57169093,84331683.63093893
4,2021-07-05,84327843.57913788,84328914.80119255,84329717.20028135,84330330.56521869,84330809.33259197,84327763.81601901,84328846.30009542,84329662.12850787,84330288.78754145,84330779.88568948,84327688.75997832,84328779.88046353,84329606.65008342,84330244.40079178,84330745.91626596,84327618.30716266,84328716.13911173,84329551.98020843,84330199.14901803,84330709.62103984,84327552.18207844,84328655.27562365,84329498.74394071,84330154.02288917,84330672.3034502,84327490.05218613,84328597.29114713,84329447.24595305,84330109.58946815,84330634.75522864,84327431.57935852,84328542.08880281,84329397.61237167,84330066.1689908,84330597.46314897,84327376.44237144,84328489.52603638,84329349.86854869,84330023.93405108,84330560.7264908,84327324.34573805,84328439.44241196,84329303.98310766,84329982.9673382,84330524.72642283,84327275.02205679,84328391.67440996,84329259.89349718,84329943.29626334,84330489.56832816,84327228.23133855,84328346.06316845,84329217.52106375,84329904.91422984,84330455.30832553,84327183.75902013,84328302.4583267,84329176.78002086,84329867.79394786,84330421.9702635,84327141.41350892,84328260.71969819,84329137.58278601,84329831.89588787,84330389.55681318,84327101.0236712,84328220.7177391,84329099.8431192,84329797.17369954,84330358.0568195,84327062.43645631,84328182.33336039,84329063.47791512,84329763.57770188,84330327.45023145
5,2021-07-06,84325681.17435691,84326993.01552103,84328000.70613112,84328784.60468793,84329404.35657233,84325588.53490563,84326910.57208773,84327932.77975856,84328732.15202725,84329366.88783264,84325501.50397272,84326830.74783589,84327864.43180218,84328676.47436334,84329323.69350988,84325419.93553655,84326754.2477876,84327797.15828173,84328619.76529475,84329277.57596348,84325343.48762277,84326681.2978421,84327731.72341156,84328563.26749042,84329230.19610466,84325271.75567299,84326611.8859362,84327668.49496731,84328507.68932289,84329182.56091097,84325204.33195019,84326545.88354328,84327607.62048264,84328453.42824654,84329135.28779212,84325140.83114284,84326483.1087991,84327549.12373134,84328400.69608928,84329088.75483823,84325080.9001217,84326423.35985182,84327492.95926535,84328349.59193483,84329043.18956538,84325024.2202305,84326366.43249498,84327439.04397671,84328300.14578483,84328998.7230333,84324970.5061445,84326312.12929355,84327387.27565368,84328252.34534031,84328955.42373483,84324919.50327243,84326260.26403086,84327337.54397553,84328206.15273485,84328913.31929193,84324870.98467258,84326210.6635644,84327289.73701692,84328161.5151339,84328872.41060132,84324824.74795054,84326163.1682546,84327243.74504161,84328118.37150945,84328832.68119532,84324780.6123525,84326117.63162528,84327199.4626414,84328076.65698694,84328794.10350919
6,2021-07-07,84323374.3840433,84324910.38828501,84326119.27335756,84327075.7043848,84327841.26058967,84323271.36570692,84324815.54417449,84326039.26124363,84327012.84693034,84327795.77203865,84323174.71170837,84324723.82606252,84325958.83599871,84326946.1796072,84327743.36452964,84323084.2363334,84324636.03154047,84325879.75664033,84326878.33524664,84327687.44818236,84322999.53918038,84324552.40607072,84325802.91612239,84326810.80165772,84327630.04198104,84322920.15367647,84324472.92229584,84325728.73914336,84326744.42373423,84327572.3678701,84322845.61277902,84324397.4204432,84325657.39099655,84326679.67269526,84327515.17314981,84322775.47695605,84324325.68104647,84325588.89179265,84326616.7970555,84327458.91375929,84322709.34456351,84324257.46319887,84325523.18091477,84326555.91038617,84327403.86252922,84322646.85398667,84324192.52465287,84325460.15423453,84326497.04383768,84327350.17517309,84322587.68203706,84324130.6321222,84325399.68592757,84326440.1783123,84327297.93158752,84322531.54079555,84324071.56621465,84325341.64134902,84326385.26453142,84327247.16227064,84322478.17396925,84324015.12340659,84325285.88460985,84326332.2357193,84327197.86552821,84322427.35327223,84323961.11639977,84325232.28296225,84326281.01568797,84327150.01884432,84322378.87505849,84323909.37361607,84325180.7092421,84326231.52400728,84327103.58648206
7,2021-07-08,84320951.28137265,84322691.16641739,84324093.26449814,84325220.9115161,84326134.41138496,84320840.24210182,84322585.59721063,84324002.15208608,84325148.12855446,84326081.06907722,84320736.17032692,84322483.61444263,84323910.65311125,84325070.99136657,84326019.64765163,84320638.84580742,84322386.09282528,84323820.76722096,84324992.55267261,84325954.15444162,84320547.81974679,84322293.29169466,84323733.50380436,84324914.533666,84325886.95968941,84320462.57501155,84322205.16767429,84323649.33778696,84324837.90837514,84325819.49562435,84320382.59661637,84322121.53154005,84323568.4487644,84324763.2170436,84325752.6360785,84320307.40144603,84322042.12924603,84323490.85164206,84324690.74180026,84325686.91235556,84320236.5490267,84321966.68438482,84323416.47023937,84324620.60871506,84325622.64072262,84320169.64348039,84321894.92037506,84323345.17970178,84324552.84881975,84325560.0001049,84320106.33150832,84321826.57173504,84323276.8312948,84324487.4354398,84325499.08068348,84320046.29875667,84321761.38939482,84323211.26698574,84324424.30744264,84325439.91495721,84319989.26570627,84321699.14273852,84323148.32798225,84324363.38390283,84325382.49795279,84319934.98362605,84321639.61986923,84323087.8596395,84324304.57342663,84325326.800564,84319883.23082869,84321582.6269365,84323029.71416268,84324247.78009576,84325272.77845462
8,2021-07-09,84318432.79668307,84320354.27207553,84321939.0141884,84323234.14917894,84324295.68522647,84318315.79720064,84320239.6413999,84321837.89095774,84323152.05030254,84324234.76871333,84318206.22321829,84320129.00213012,84321736.42023996,84323065.09782723,84324164.66173974,84318103.82673077,84320023.29193072,84321636.8178967,84322976.73929682,84324089.94937843,84318008.12123057,84319922.77960059,84321540.19682483,84322888.91452622,84324013.34113318,84317918.55060951,84319827.40617394,84321447.07556044,84322802.71778297,84323936.47180632,84317834.563146,84319736.95576693,84321357.64495783,84322718.75292987,84323860.33664615,84317755.64246489,84319651.1436196,84321271.91373235,84322637.33245152,84323785.53885074,84317681.31855197,84319569.66208294,84321189.79034738,84322558.59301262,84323712.4357344,84317611.16952908,84319492.20453486,84321111.13011184,84322482.56449297,84323641.22777577,84317544.81929815,84319418.47744006,84321035.76264764,84322409.21217456,84323572.01428781,84317481.93352751,84319348.20595187,84320963.5079917,84322338.462975,84323504.82897456,84317422.21517488,84319281.13598526,84320894.18598339,84322270.22196583,84323439.66304365,84317365.40010846,84319217.03438239,84320827.62162468,84322204.38285133,84323376.48044387,84317311.25307032,84319155.68808062,84320763.64800109,84322140.83462821,84323315.22802025
9,2021-07-10,84315833.80170313,84317913.88394643,84319669.12045373,84321126.341528,84322334.49716662,84315712.50808091,84317791.73945615,84319559.09380583,84321035.60341273,84322266.35746239,84315598.9712433,84317673.9322195,84319448.76588054,84320939.55807737,84322187.97392482,84315492.92272763,84317561.45063241,84319340.54418266,84320842.01977448,84322104.48410812,84315393.84851348,84317454.56985882,84319235.63248873,84320745.1306789,84322018.92147061,84315301.16416083,84317353.2166724,84319134.58681111,84320650.09574696,84321933.11378503,84315214.29129978,84317257.15193973,84319037.60675266,84320557.57686317,84321848.17154625,84315132.68946432,84317166.0644763,84318944.69437604,84320467.913669,84321764.76582432,84315055.86726817,84317079.61993693,84318855.74347903,84320381.25171253,84321683.29234353,84314983.38404034,84316997.48614053,84318770.59085815,84320297.61894609,84321603.97141454,84314914.8472168,84316919.34575811,84318689.04614206,84320216.97242521,84321526.91037868,84314849.90804778,84316844.90213397,84318610.90923119,84320139.22730973,84321452.14346424,84314788.25685245,84316773.88136677,84318535.980425,84320064.2750945,84321379.65767169,84314729.61839737,84316706.03237827,84318464.06617096,84319991.99515022,84321309.40982072,84314673.74764736,84316641.12593703,84318394.98216712,84319922.26203868,84321241.33789659
