,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333695.44500978,84333912.88832682,84334059.69348589,84334164.20928343,84334241.71809255,84333675.37091279,84333898.02262932,84334048.87852296,84334156.56968488,84334236.61163917,84333656.30854595,84333883.50355335,84334037.92233501,84334148.41878122,84334230.70320114,84333638.260873,84333869.471829,84334027.06522848,84334140.07262035,84334224.36919497,84333621.18416874,84333855.98318993,84334016.43468545,84334131.71287978,84334217.83405818,84333605.01635769,84333843.04974358,84334006.09634104,84334123.44545591,84334211.23522317,84333589.69026269,84333830.6611156,84333996.08087654,84334115.33184002,84334204.65819225,84333575.13978945,84333818.79565793,84333986.39885266,84334107.40674223,84334198.156432,84333561.30268688,84333807.42653513,84333977.04918124,84334099.68838102,84334191.76312399,84333548.12161578,84333796.5250688,84333968.02409546,84334092.18468276,84334185.49834247,84333535.54438064,84333786.06257083,84333959.31212428,84334084.89711377,84334179.37356348,84333523.52375798,84333776.01132537,84333950.89989594,84334077.82309857,84334173.39456482,84333512.01714371,84333766.34508504,84333942.77323815,84334070.95757061,84334167.56332815,84333500.9861344,84333757.03928767,84333934.9178479,84334064.29397888,84334161.8793072,84333490.39610079,84333748.07111368,84333927.31969346,84334057.82494646,84334156.34028454
1,2021-07-02,84331841.72365834,84332378.31019695,84332754.34700483,84333029.0074829,84333236.4917746,84331795.06005229,84332341.97454649,84332726.99878591,84333009.21441898,84333223.02077068,84331750.91304637,84332306.58824885,84332699.3538077,84332988.13054223,84333207.45176396,84331709.2627538,84332272.48495668,84332672.01840913,84332966.57768637,84333190.78232804,84331669.98374987,84332239.78925146,84332645.31056836,84332945.02619052,84333173.60621236,84331632.91151161,84332208.51949562,84332619.39075749,84332923.74837129,84333156.28591864,84331597.87300418,84332178.64016768,84332594.33089463,84332902.90074721,84333139.04599574,84331564.70061262,84332150.08943228,84332570.15229402,84332882.57020827,84333122.02599145,84331533.23808642,84332122.79398519,84332546.84727328,84332862.80094339,84333105.31173097,84331503.3425961,84332096.6771157,84332524.39177804,84332843.61063766,84333088.95441417,84331474.88490924,84332071.66305137,84332502.75289689,84332825.00046155,84333072.98260225,84331447.7486917,84332047.67922436,84332481.89338666,84332806.9613561,84333057.4099165,84331421.82944408,84332024.6573616,84332461.77440807,84332789.47804886,84333042.24007942,84331397.03333122,84332002.5339081,84332442.35717043,84332772.53164876,84333027.4702682,84331373.27603139,84331981.25007522,84332423.6039021,84332756.10133408,84333013.09337467
2,2021-07-03,84329421.78051835,84330320.10949042,84330970.62305082,84331456.80493584,84331830.30520856,84329347.94421683,84330260.0066284,84330923.97938919,84331422.28883727,84331806.41792797,84329278.29350437,84330201.61210592,84330876.91645269,84331385.57282871,84331778.83793129,84329212.76226608,84330145.46292791,84330830.4659663,84331348.09434108,84331749.34117681,84329151.12161927,84330091.74871635,84330785.16350135,84331310.6727794,84331718.98299809,84329093.08560851,84330040.48416643,84330741.27448687,84331273.77971657,84331688.40598021,84329038.35922934,84329991.59645912,84330698.91317265,84331237.68370122,84331658.00660287,84328986.65983701,84329944.97106105,84330658.10797721,84331202.53153753,84331628.02987523,84328937.7259059,84329900.47620308,84330618.83859128,84331168.39564425,84331598.62523729,84328891.31971084,84329857.97603747,84330581.05757667,84331135.30249786,84331569.8806762,84328847.22712542,84329817.3376201,84330544.70316198,84331103.25013828,84331541.84412123,84328805.25612415,84329778.43446183,84330509.70689999,84331072.2191536,84331514.53716895,84328765.23478329,84329741.14815535,84330475.99825884,84331042.1796759,84331487.9640556,84328727.00917436,84329705.36892197,84330443.507351,84331013.09588277,84331462.11761418,84328690.4413394,84329670.9955617,84330412.16651657,84330984.9289102,84331436.98327884
3,2021-07-04,84326588.7998906,84327854.44172718,84328798.48200607,84329519.04830958,84330081.30531527,84326490.27924736,84327770.93940058,84328731.82182571,84329468.68764652,84330045.90012094,84326397.56100959,84327689.97043502,84328664.66898865,84329415.18253729,84330005.05803888,84326310.51869796,84327612.26280446,84328598.49451245,84329360.63547379,84329961.42050906,84326228.81359683,84327538.06026256,84328534.05508323,84329306.24072082,84329916.5548369,84326152.03627889,84327467.36462183,84328471.71956131,84329252.68185945,84329871.41300622,84326079.77019045,84327400.05813949,84328411.64066495,84329200.34489991,84329826.58028762,84326011.6194671,84327335.9673379,84328353.84911203,84329149.43785562,84329782.41648725,84325947.21987961,84327274.89689252,84328298.3069387,84329100.06035094,84329739.13938114,84325886.24176338,84327216.64767879,84328244.93843473,84329052.24536783,84329696.8756131,84325828.38921127,84327161.02621648,84328193.64839183,84329005.98489025,84329655.692588,84325773.39763898,84327107.84936126,84328144.33296274,84328961.24595721,84329615.61890842,84325721.03076753,84327056.94634935,84328096.88612345,84328917.98085485,84329576.65771453,84325671.07753313,84327008.15937267,84328051.20347355,84328876.13364996,84329538.7955244,84325623.34916216,84326961.34335302,84328007.18440658,84328835.64439774,84329502.00816311
4,2021-07-05,84323428.82056543,84325050.92487337,84326293.83778967,84327261.02191603,84328026.68118896,84323308.96013358,84324945.52247494,84326207.4740441,84327194.505773,84327979.22335565,84323196.36867175,84324843.48492076,84326120.58961801,84327123.9115482,84327924.52093329,84323090.85449153,84324745.71148688,84326035.0860556,84327052.02193195,84327866.12528515,84322991.97279543,84324652.48875558,84325951.93368435,84326980.41255786,84327806.14078791,84322899.19824545,84324563.79922122,84325871.59852497,84326909.98092937,84327745.84281455,84322812.00177273,84324479.47672386,84325794.26656154,84326841.23001693,84327686.01290533,84322729.88364036,84324399.2871724,84325719.96652508,84326774.42732072,84327627.12927258,84322652.38600631,84324322.97116593,84325648.63928013,84326709.69738787,84327569.47932534,84322579.09583539,84324250.26650903,84325580.17796482,84326647.07722782,84327513.22828437,84322509.64338,84324180.91984914,84325514.45157869,84326586.55029474,84327458.46214567,84322443.69878505,84324114.6923331,84325451.31894939,84326528.06771329,84327405.21518141,84322380.96807095,84324051.3619544,84325390.6369878,84326471.5617181,84327353.48786654,84322321.1890988,84323990.72407974,84325332.26549652,84326416.95423922,84327303.25873856,84322264.12779297,84323932.59099649,84325276.06987508,84326364.16240737,84327254.49233525
5,2021-07-06,84320020.50187497,84321975.64158767,84323511.69927889,84324728.74057949,84325705.33191557,84319883.12838477,84321850.62427676,84323406.7304428,84324646.41127466,84325645.76398246,84319754.27902037,84321729.76435907,84323301.25205965,84324559.11613856,84325577.15113866,84319633.6986466,84321614.10837324,84323197.57044162,84324470.30540338,84325503.96286418,84319520.84695728,84321503.97481947,84323096.85411145,84324381.92714462,84325428.84432265,84319415.09655496,84321399.32295385,84322999.65678604,84324295.08618209,84325353.3954114,84319315.820428,84321299.93806612,84322906.19188622,84324210.39741607,84325278.59364088,84319222.42909089,84321205.52736224,84322816.48261449,84324128.18393484,84325205.03457181,84319134.38426203,84321115.77034193,84322730.44659875,84324048.59215228,84325133.07382417,84319051.20158257,84321030.3452235,84322647.9447316,84323971.66069204,84325062.91363704,84318972.44836815,84320948.94245133,84322568.80977243,84323897.36256354,84324994.65703072,84318897.73931028,84320871.2711316,84322492.863208,84323825.63145316,84324928.34244207,84318826.73154832,84320797.06157725,84322419.92515694,84323756.37832974,84324863.9662735,84318759.119788,84320726.06572895,84322349.82008861,84323689.50201939,84324801.49778731,84318694.63176778,84320658.05644839,84322282.37999597,84323624.89595954,84324740.88905571
6,2021-07-07,84316415.4448486,84318674.75402561,84320492.06580836,84321956.58313972,84323146.87207873,84316264.19877996,84318532.64505024,84320369.9715895,84321859.15908907,84323075.43806879,84316122.50491934,84318395.41968499,84320247.40813984,84321755.94373485,84322993.20907184,84315990.0511751,84318264.24804671,84320127.0528269,84321651.0259225,84322905.55750623,84315866.21592455,84318139.47154216,84320010.25368091,84321546.70845975,84322815.65937933,84315750.28630678,84318021.02468629,84319897.6418304,84321444.29225479,84322725.43216488,84315641.5540136,84317908.6465593,84319789.45272225,84321344.49685574,84322636.04426983,84315539.35549882,84317801.98990637,84319685.7015181,84321247.6961588,84322548.20478497,84315443.08639234,84317700.67821859,84319586.28184584,84321154.05530211,84322462.3346076,84315352.20394364,84317604.33549045,84319491.02264813,84321063.6124796,84322378.67070852,84315266.22409707,84317512.60128374,84319399.72137558,84320976.3289632,84322297.33133183,84315184.7163998,84317425.13777624,84319312.16347574,84320892.12022962,84322218.35765159,84315107.29829076,84317341.63242228,84319228.13377942,84320810.87557556,84322141.74086067,84315033.62950036,84317261.79823482,84319147.42302288,84320732.4705743,84322067.44003837,84314963.40688026,84317185.37281789,84319069.83142011,84320656.7750029,84321995.3940658
7,2021-07-08,84312657.31875426,84315188.33740784,84317270.4952486,84318975.74993688,84320378.65982187,84312495.53813134,84315031.73387146,84317132.9882435,84318864.21362288,84320295.830728,84312344.11273295,84314880.65682001,84316995.0726163,84318746.13280444,84320200.53823663,84312202.68269859,84314736.37749915,84316859.7583875,84318626.19450778,84320099.02473606,84312070.56085756,84314599.2529663,84316728.55272295,84318507.03246874,84319994.9768028,84311946.96636513,84314469.19331168,84316602.15370324,84318390.12935114,84319890.61648853,84311831.12670903,84314345.89544478,84316480.81395952,84318276.30065201,84319787.29450592,84311722.32013758,84314228.96340507,84316364.53901201,84318165.96584141,84319685.82767521,84311619.89053188,84314117.97108246,84316253.19876777,84318059.30573301,84319586.69820012,84311523.24955638,84314012.49474296,84316146.59157714,84317956.35644637,84319490.17504647,84311431.87315358,84313912.12935504,84316044.481537,84317857.06678434,84319396.38979761,84311345.29579656,84313816.49610691,84315946.62031572,84317761.33387907,84319305.38507923,84311263.10414201,84313725.24512146,84315852.75984257,84317669.0256103,84319217.14601645,84311184.93085176,84313638.0555839,84315762.65952414,84317579.9948054,84319131.62095569,84311110.44891381,84313554.63452303,84315676.0901504,84317494.08824675,84319048.73526168
8,2021-07-09,84308769.16012649,84311539.89601745,84313869.07347855,84315806.29844786,84317418.66186929,84308599.54980393,84311371.16409826,84313717.85047317,84315681.71097107,84317325.00945911,84308440.89979829,84311208.51352769,84313566.29039615,84315549.89688596,84317217.31894742,84308292.81289399,84311053.29776391,84313417.69829051,84315416.0972588,84317102.66136318,84308154.55168135,84310905.88451602,84313273.72112599,84315283.25126584,84316985.20885009,84308025.28357723,84310766.16122629,84313135.11455168,84315153.00839576,84316867.4723993,84307904.18740097,84310633.78761588,84313002.14454935,84315026.27137691,84316750.9750225,84307790.49739936,84310508.32537259,84312874.8062989,84314903.50030152,84316636.63478105,84307683.51841477,84310389.3055577,84312752.94705203,84314784.88903885,84316524.99096198,84307582.62778148,84310276.26340826,84312636.33660096,84314670.47047769,84316416.34179728,84307487.27136068,84310168.7556813,84312524.70822112,84314560.18071993,84316310.83048485,84307396.95728372,84310066.36852942,84312417.78255242,84314453.89890404,84316208.5000623,84307311.24911553,84309968.72023246,84312315.28142487,84314351.47220547,84316109.32901914,84307229.75923346,84309875.4611722,84312216.935671,84314252.73163651,84316013.25472839,84307152.14276004,84309786.27238406,84312122.48931022,84314157.50203903,84315920.18902509
9,2021-07-10,84304768.98733288,84307748.07966451,84310305.5997142,84312464.61644559,84314281.72444573,84304593.67233391,84307569.32911658,84310142.28899127,84312328.06422533,84314177.87906532,84304429.75731131,84307397.12798406,84309978.71679805,84312183.67129025,84314058.52073686,84304276.81786641,84307232.89618377,84309818.44741656,84312037.1872471,84313931.50274636,84304134.0800563,84307077.00876871,84309663.24969822,84311891.83078916,84313801.4550062,84304000.67368881,84306929.33316912,84309513.92856678,84311749.40333867,84313671.16030775,84303875.7422163,84306789.49727377,84309370.76036899,84311610.88641007,84313542.30320834,84303758.48791774,84306657.02685796,84309233.72990714,84311476.77614106,84313415.89621688,84303648.18727878,84306531.41684006,84309102.66336043,84311347.27724384,84313292.53143369,84303544.19270143,84306412.16793934,84308977.30440134,84311222.41862346,84313172.53372936,84303445.92820342,84306298.80483742,84308857.35833229,84311102.12382996,84313056.05637553,84303352.88279036,84306190.88432916,84308742.51776186,84310986.25470905,84312943.1420076,84303264.60326277,84306087.99805084,84308632.47741441,84310874.63876177,84312833.76215492,84303180.68727285,84305989.77231432,84308526.94245222,84310767.08640039,84312727.8432224,84303100.77697478,84305895.86645745,84308425.63289054,84310663.40183365,84312625.28374225
