,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333978.2480801,84334142.49544893,84334252.4668019,84334330.31969573,84334387.823464,84333963.00120229,84334131.31876788,84334244.39011472,84334324.64124586,84334384.04100464,84333948.50946058,84334120.39537203,84334236.20397012,84334318.58063248,84334379.66344272,84333934.77713422,84334109.83174364,84334228.08788781,84334312.37257017,84334374.96931867,84333921.77284384,84334099.67057088,84334220.1373354,84334306.1521062,84334370.12477046,84333909.45101897,84334089.92172684,84334212.40167189,84334299.99806711,84334365.23159257,84333897.76196833,84334080.57811734,84334204.90416907,84334293.95632277,84334360.35317183,84333886.65660557,84334071.62409243,84334197.65305929,84334288.05285443,84334355.52919593,84333876.08857872,84334063.04002224,84334190.64784904,84334282.30138591,84334350.78434083,84333866.01511241,84334054.80481763,84334183.88302615,84334276.70798278,84334346.13357754,84333856.39721076,84334046.89731678,84334177.35028084,84334271.27389671,84334341.58550662,84333847.19954908,84334039.29703201,84334171.03985427,84334265.99736118,84334337.1445031,84333838.39022447,84334031.98453073,84334164.94136286,84334260.87474412,84334332.812124,84333829.94045286,84334024.94160558,84334159.04430115,84334255.90129662,84334328.58804694,84333821.82425724,84334018.15132362,84334153.33834508,84334251.07164337,84334324.47070485
1,2021-07-02,84332579.191379,84332993.18091035,84333280.0773998,84333487.98082697,84333644.12549445,84332542.95010038,84332965.32969995,84333259.30629176,84333473.04775038,84333634.01302564,84332508.62522827,84332938.1826439,84333238.29594769,84333457.13305733,84333622.32159288,84332476.20752801,84332911.99785578,84333217.50717846,84333440.85609372,84333609.79901104,84332445.60510835,84332886.87350586,84333197.18248802,84333424.57178557,84333596.89061032,84332416.69488865,84332862.82625653,84333177.4450121,84333408.48604566,84333583.86852065,84332389.34640132,84332839.83122514,84333158.35067004,84333392.71759544,84333570.9015326,84332363.43271415,84332817.84307495,84333139.91688634,84333377.33268173,84333558.09474069,84332338.83515638,84332796.80740026,84333122.13895845,84333362.36533068,84333545.51295972,84332315.44501498,84332776.66693154,84333104.99963184,84333347.82953659,84333533.19502379,84332293.1637555,84332757.36489663,84333088.47480862,84333333.72678424,84333521.16276331,84332271.90254907,84332738.84678859,84333072.53699246,84333320.05078599,84333509.42677319,84332251.58150302,84332721.06122933,84333057.15737668,84333306.79051174,84333497.99019165,84332232.12879765,84332703.96031877,84333042.30710445,84333293.93214965,84333486.85121568,84332213.47982961,84332687.49969286,84333027.95801656,84333281.4603836,84333476.00479746
2,2021-07-03,84330727.8511604,84331432.8955741,84331936.89993538,84332310.03588796,84332594.65004438,84330669.51238982,84331386.0976773,84331900.96798201,84332283.6589236,84332576.50799796,84330614.41639407,84331340.58603297,84331864.6853533,84332255.58452503,84332555.55261342,84330562.52193423,84331296.78349291,84331828.84758261,84332226.9097836,84332533.13045609,84330513.65782951,84331254.84293339,84331793.86938205,84332198.26111749,84332510.04223393,84330467.60628495,84331214.78079031,84331759.95784806,84332169.99993832,84332486.77603664,84330424.14095199,84331176.54484919,84331727.20366926,84332142.33286014,84332463.63351505,84330383.04404458,84331140.04984139,84331695.6312672,84332115.37356791,84332440.80152,84330344.11346507,84331105.19652674,84331665.22729754,84332089.17888016,84332418.39441925,84330307.16510455,84331071.88199389,84331635.95726617,84332063.7704213,84332396.47992758,84330272.03283623,84331040.00516146,84331607.77539219,84332039.14797115,84332375.095311,84330238.56745677,84331009.4696056,84331580.63052565,84332015.29785113,84332354.25778696,84330206.63520738,84330980.18488275,84331554.46970758,84331992.19827214,84332333.97132783,84330176.11619052,84330952.06700423,84331529.24029623,84331969.82278188,84332314.2311815,84330146.90283519,84330925.03843871,84331504.89120954,84331948.14250033,84332295.02691339
3,2021-07-04,84328536.38436255,84329544.07125449,84330285.37203054,84330845.2712911,84331278.61996676,84328457.46816286,84329478.18703917,84330233.38073044,84330806.34255196,84331251.44379091,84328383.11441033,84329414.2376877,84330180.96216542,84330764.95666681,84331220.07960808,84328313.236949,84329352.80482875,84330129.26501454,84330722.73671643,84331186.55118407,84328247.57765377,84329294.08868548,84330078.88295238,84330680.60636035,84331152.06025614,84328185.8195982,84329238.09815769,84330030.10789046,84330639.0957964,84331117.33770204,84328127.63818294,84329184.74700442,84329983.06320502,84330598.50575504,84331082.83371247,84328072.72371425,84329133.90412037,84329937.77685654,84330558.99953046,84331048.82581146,84328020.7904665,84329085.42032063,84329894.22285512,84330520.65657969,84331015.48266308,84327971.57928634,84329039.14267215,84329852.3453592,84330483.5046913,84330982.90300402,84327924.85715982,84328994.92204767,84329812.0729226,84330447.53976564,84330951.14004941,84327880.4154359,84328952.61692452,84329773.32699725,84330412.73821244,84330920.21714066,84327838.06754825,84328912.09508422,84329736.02701283,84330379.06483464,84330890.13796756,84327797.64665136,84328873.23414052,84329700.09338075,84330346.47789219,84330860.89334878,84327759.00336628,84328835.92142405,84329665.4492241,84330314.9323714,84330832.46578512
4,2021-07-05,84326073.07228208,84327379.63436551,84328366.72100088,84329126.33306465,84329722.3931559,84325976.06942596,84327295.57936911,84328298.65964304,84329074.407083,84329685.626222,84325884.85065937,84327214.12707736,84328230.13031803,84329019.26043566,84329643.22529154,84325799.27887982,84327136.00415866,84328162.63366324,84328963.06256855,84329597.93635586,84325719.00969332,84327061.44939858,84328096.93927306,84328907.04433356,84329551.38795157,84325643.6308946,84326990.45845099,84328033.42022668,84328851.90899776,84329504.56845757,84325572.72489454,84326922.90732846,84327972.22892527,84328798.05258788,84329458.08480614,84325505.89585182,84326858.61669463,84327913.39345193,84328745.6875034,84329412.30949141,84325442.78020181,84326797.38592727,84327856.87210001,84328694.91445176,84329367.46740359,84325383.04932594,84326739.01120146,84327802.58497488,84328645.76557003,84329323.68879198,84325326.40857977,84326683.29490761,84327750.4326082,84328598.23089665,84329281.04244319,84325272.59475277,84326630.05029139,84327700.30701405,84328552.27492869,84329239.55693245,84325221.37298325,84326579.10343923,84327652.09825148,84328507.84712343,84329199.23448843,84325172.53362457,84326530.29379518,84327605.69827023,84328464.88862167,84329160.06017548,84325125.88929303,84326483.4738819,84327561.00309488,84328423.33657078,84329122.00804752
5,2021-07-06,84323397.10906242,84324987.56462601,84326219.72107774,84327184.88290949,84327952.21145393,84323285.01263793,84324886.95790951,84326136.23610736,84327120.03684747,84327905.66671966,84323179.76635881,84324789.60366762,84326052.27542251,84327051.2321774,84327852.02635868,84323081.18173316,84324696.35546668,84325969.67609401,84326981.18294244,84327794.77573103,84322988.83480039,84324607.48172568,84325889.37369588,84326911.4247417,84327735.97944245,84322902.22761177,84324522.96094757,84325811.81589986,84326842.8312649,84327676.88811429,84322820.85992841,84324442.63030267,84325737.17969637,84326775.89125307,84327618.26754159,84322744.25995228,84324366.26271258,84325665.49027026,84326710.86382242,84327560.5857946,84322671.99589162,84324293.60749093,84325596.68814121,84326647.86878684,84327504.12373033,84322603.67852631,84324224.41176756,84325530.66797587,84326586.94074126,84327449.04237229,84322538.95965698,84324158.43152626,84325467.30137336,84326528.06221291,84327395.42509246,84322477.52882515,84324095.43693897,84325406.45034048,84326471.18435699,84327343.30460495,84322419.10947299,84324035.21454962,84325347.97524256,84326416.24005146,84327292.68055601,84322363.45510359,84323977.56772837,84325291.7394238,84326363.15225565,84327243.53115633,84322310.34569524,84323922.31619947,84325237.61179681,84326311.83936426,84327195.82096273
6,2021-07-07,84320552.7910456,84322405.5612623,84323875.85623734,84325047.23743299,84325990.26376107,84320428.62623309,84322290.35947548,84323777.99458764,84324969.90291989,84325934.02125217,84320312.19664857,84322179.01579826,84323679.67635335,84324887.91502286,84325869.2448729,84320203.26630263,84322072.49144033,84323583.05095379,84324804.51542544,84325800.15604888,84320101.34218349,84321971.07651834,84323489.20618361,84324721.5336843,84325729.252705,84320005.85334109,84321874.73033379,84323398.6563958,84324640.00674078,84325658.04526284,84319916.22987235,84321783.25224872,84323311.59870714,84324560.51113726,84325587.4561933,84319831.93637875,84321696.37006134,84323228.05303569,84324483.34927104,84325518.0471985,84319752.48422194,84321613.78640032,84323147.94105607,84324408.65762885,84325450.15338917,84319677.43388923,84321535.20303069,84323071.13173725,84324336.47152896,84325383.96506523,84319606.39288594,84321460.33325453,84322997.46799687,84324266.76475161,84325319.57888179,84319539.01178944,84321388.90779874,84322926.78240207,84324199.47423597,84325257.03056376,84319474.97974662,84321320.67712289,84322858.90638408,84324134.51567271,84325196.3162005,84319414.02002329,84321255.41177578,84322793.67555104,84324071.79342945,84325137.40630841,84319355.88587587,84321192.9017177,84322730.93262903,84324011.20688607,84325080.25522281
7,2021-07-08,84317575.57619084,84319664.98976782,84321362.0683421,84322736.40450108,84323856.27730036,84317442.17568497,84319537.2804493,84321251.11933027,84322647.25847219,84323790.61530928,84317317.20941019,84319413.97348382,84321139.75298592,84322552.81799415,84323715.03271125,84317200.40065545,84319296.1189479,84321030.40196079,84322456.8248164,84323634.46831092,84317091.19988462,84319184.02205968,84320924.29049398,84322361.3859454,84323551.84161901,84316988.97728875,84319077.62246975,84320821.99123476,84322267.69140449,84323468.91510528,84316893.1072547,84318976.68436395,84320723.71727546,84322176.39917362,84323386.7625986,84316803.00380217,84318880.89452021,84320629.4815943,84322087.8509376,84323306.03568299,84316718.13326986,84318789.9135939,84320539.18681286,84322002.19738135,84323227.12102534,84316638.01644732,84318703.40284029,84320452.676858,84321919.4730665,84323150.23623422,84316562.22597623,84318621.037631,84320369.76711975,84321839.64220798,84323075.48979965,84316490.38184366,84318542.51376909,84320290.26215325,84321762.62715562,84323002.91938718,84316422.14633256,84318467.54986288,84320213.96601683,84321688.32634026,84322932.51673841,84316357.2190724,84318395.88756497,84320140.68819022,84321616.62566832,84322864.24409425,84316295.33247109,84318327.29069072,84320070.24681318,84321547.40577169,84322798.04514612
8,2021-07-09,84314486.98788236,84316786.37910484,84318696.7158124,84320268.43151125,84321564.19797698,84314346.72751662,84316648.1441496,84318574.02596828,84320168.26319109,84321489.50530916,84314215.43011685,84316514.7865399,84318450.97070073,84320062.21530604,84321403.57127048,84314092.78663202,84316387.4287584,84318330.23584077,84319954.49705432,84321312.02448833,84313978.20381315,84316266.3863044,84318213.16635193,84319847.47384201,84321218.1892267,84313871.0067516,84316151.58008899,84318100.38530008,84319742.47743061,84321124.06931786,84313770.52736625,84316042.7427956,84317992.11828575,84319640.24045673,84321030.8829751,84313676.14125335,84315939.52508263,84317888.37040229,84319541.13990122,84320939.36702743,84313587.28064276,84315841.5509536,84317789.02571723,84319445.33840157,84320849.95658162,84313503.4363155,84315748.4464748,84317693.9044272,84319352.86862843,84320762.89445528,84313424.1546086,84315659.85419297,84317602.79614377,84319263.68481134,84320678.2995681,84313349.03246678,84315575.4397765,84317515.47936948,84319177.69475114,84320596.21060333,84313277.71196768,84315494.89441651,84317431.73282266,84319094.77995433,84320516.61437173,84313209.87498702,84315417.93494344,84317351.34187883,84319014.80838752,84320439.46449718,84313145.2382925,84315344.30275443,84317274.10205826,84318937.64256902,84320364.69385865
9,2021-07-10,84311302.60427363,84313785.22995563,84315894.01621374,84317655.95352088,84319125.12714721,84311157.3649099,84313638.26819701,84315760.91212524,84317545.60210378,84319041.8591867,84311021.47219406,84313496.58767885,84315627.50086372,84317428.84099992,84318946.10300386,84310894.59340045,84313361.36941902,84315496.69211559,84317310.31186926,84318844.14396583,84310776.10342708,84313232.93593857,84315369.93665583,84317192.61840512,84318739.69113377,84310665.29456048,84313111.19126324,84315247.90086223,84317077.22240055,84318634.97727372,84310561.46786267,84312995.84080516,84315130.82007448,84316964.92437725,84318531.35707602,84310463.9710337,84312886.50431384,84315018.69116494,84316856.13282163,84318429.64752515,84310372.21155515,84312782.77461149,84314911.38066734,84316751.02037117,84318330.32888687,84310285.65844606,84312684.24793908,84314808.68680224,84316649.61700016,84318233.66709483,84310203.83897571,84312590.53909703,84314710.37552425,84316551.86686721,84318139.79020034,84310126.33339232,84312501.28833556,84314616.20155592,84316457.66358797,84318048.73714523,84310052.7691374,84312416.16376054,84314525.92057121,84316366.87238392,84317960.48941928,84309982.8152303,84312334.86133367,84314439.29608563,84316279.34408416,84317874.99189304,84309916.17711553,84312257.10362971,84314356.10315141,84316194.92398454,84317792.16667157
