,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333787.48215687,84333987.90519886,84334122.83721343,84334218.71651293,84334289.72337675,84333768.94465858,84333974.22478633,84334112.9072651,84334211.71331537,84334285.04781088,84333751.33595057,84333960.86031419,84334102.84598225,84334204.24052003,84334279.63748951,84333734.65961044,84333947.94157374,84334092.87403087,84334196.58776301,84334273.83694956,84333718.87601846,84333935.52018228,84334083.10857126,84334188.92159107,84334267.85164517,84333703.92850392,84333923.60760291,84334073.61001079,84334181.3391274,84334261.80741024,84333689.75558275,84333912.19458239,84334064.40667014,84334173.8968097,84334255.78255484,84333676.29668072,84333901.26145935,84334055.50839037,84334166.6265328,84334249.82606928,84333663.49469604,84333890.78376535,84334046.91430579,84334159.54507394,84334243.96837631,84333651.29699896,84333880.7353052,84334038.6174056,84334152.65977219,84334238.22789904,84333639.65565698,84333871.08984749,84334030.60726479,84334145.97203954,84334232.61518714,84333628.52728552,84333861.8220319,84334022.8717008,84334139.47957698,84334227.13557093,84333617.87272984,84333852.90782903,84334015.39778477,84334133.17779613,84334221.79090232,84333607.6566847,84333844.32474296,84334008.17245765,84334127.06074214,84334216.58071567,84333597.84730552,84333836.05186653,84334001.18290067,84334121.12169778,84334211.50301234
1,2021-07-02,84332075.34765849,84332574.26015958,84332922.56916077,84333176.29461314,84333367.58555801,84332031.86010015,84332540.54898584,84332897.27538897,84333158.02998371,84333355.17604557,84331990.70233583,84332507.70891823,84332871.70141566,84333138.5709927,84333340.83216669,84331951.85837334,84332476.05049095,84332846.40815508,84333118.67572331,84333325.47245064,84331915.21358056,84332445.69039379,84332821.69011438,84333098.778227,84333309.64369906,84331880.61654986,84332416.6467307,84332797.69623323,84333079.12998502,84333293.67985229,84331847.90762277,84332388.8875126,84332774.49356608,84333059.87569462,84333277.78785996,84331816.9319159,84332362.35621914,84332752.10233921,84333041.09582493,84333262.09641568,84331787.54490575,84332336.98557445,84332730.51591705,84333022.83143935,84333246.68474402,84331759.61438602,84332312.70503779,84332709.71247308,84333005.09912898,84333231.60017757,84331733.0206662,84332289.44484727,84332689.66194062,84332987.9002247,84333216.86919019,84331707.6559488,84332267.13813531,84332670.33020149,84332971.22659492,84333202.50448444,84331683.42336154,84332245.72195166,84332651.68162057,84332955.06435156,84333188.5096333,84331660.23588508,84332225.13766629,84332633.68057153,84332939.39624576,84333174.8821685,84331638.0152959,84332205.33102289,84332616.29233879,84332924.2032272,84333161.61566238
2,2021-07-03,84329841.65703812,84330679.79239927,84331284.1638871,84331734.46048039,84332079.58105645,84329772.62870654,84330623.8687926,84331240.91432676,84331702.53976071,84332057.53457758,84329707.48868981,84330569.51761802,84331197.26509865,84331668.57809141,84332032.07644998,84329646.17942627,84330517.24039294,84331154.17315187,84331633.9042725,84332004.84487684,84329588.49066475,84330467.21560208,84331112.13593218,84331599.27619152,84331976.81354704,84329534.15820841,84330419.45887187,84331071.40059166,84331565.13037743,84331948.5755508,84329482.90885739,84330373.90419918,84331032.07412373,84331531.71574001,84331920.49702744,84329434.4805017,84330330.44654162,84330994.18387726,84331499.16864109,84331892.80441387,84329388.63038993,84330288.96460341,84330957.71192832,84331467.55664119,84331865.63598229,84329345.13770644,84330249.33309974,84330922.61509871,84331436.90477885,84331839.07329528,84329303.80344176,84330211.42927879,84330888.83682287,84331407.21174887,84331813.16093415,84329264.44904071,84330175.1362509,84330856.31425568,84331378.46005785,84331787.91915685,84329226.91457216,84330140.344524,84330824.98253886,84331350.62249476,84331763.35217474,84329191.05679108,84330106.9525318,84330794.77734081,84331323.66629681,84331739.45364901,84329156.74727078,84330074.86660336,84330765.63633372,84331297.55584726,84331716.21038686
3,2021-07-04,84327209.29056357,84328396.37282595,84329277.71351582,84329948.05475406,84330469.69695714,84327116.7004928,84328318.29390922,84329215.62381774,84329901.2873499,84330436.89534959,84327029.5296717,84328242.55828245,84329153.0579797,84329851.58917505,84330399.05068064,84326947.66526085,84328169.84954147,84329091.38671564,84329800.91184737,84330358.60863476,84326870.79417618,84328100.39876808,84329031.31624113,84329750.36462362,84330317.02074333,84326798.53601804,84328034.21064296,84328973.19182436,84329700.58303663,84330275.16905075,84326730.5029076,84327971.17773126,84328917.15742719,84329651.92650309,84330233.596176,84326666.32574694,84327911.14012697,84328863.24326959,84329604.5892049,84330192.63601281,84326605.66462354,84327853.9171589,84328811.41544452,84329558.66464664,84330152.49093328,84326548.21166597,84327799.3243027,84328761.60472079,84329514.18438284,84330113.27888802,84326493.69037034,84327747.18205276,84328713.72354597,84329471.14181547,84330075.06292382,84326441.8533813,84327697.32034801,84328667.6761747,84329429.50709702,84330037.87010193,84326392.4797115,84327649.58051838,84328623.36470349,84329389.23659773,84330001.70384987,84326345.37188153,84327603.81585228,84328580.6926268,84329350.27897835,84329966.55214977,84326300.35320643,84327559.89141059,84328539.56687346,84329312.5791044,84329932.39303233
4,2021-07-05,84324272.09493177,84325798.48940732,84326962.60080619,84327865.1231762,84328577.50191134,84324159.14688563,84325699.64543559,84326881.92700003,84327803.1837576,84328533.42094345,84324053.01046585,84325603.92543101,84326800.74410585,84327737.43213004,84328482.60233147,84323953.51203182,84325512.17645426,84326720.82921673,84327670.45838636,84328428.34260905,84323860.23847505,84325424.67127237,84326643.0906738,84327603.73008342,84328372.59570825,84323772.69976868,84325341.39723454,84326567.96609621,84327538.08402063,84328316.54638147,84323690.40145174,84325262.20185432,84326495.63151887,84327473.98990822,84328260.9211415,84323612.87593135,84325186.86847873,84326426.11592816,84327411.69826333,84328206.16497879,84323539.69446187,84325115.15628733,84326359.36601682,84327351.32644714,84328152.54574291,84323470.47001043,84325046.82145701,84326295.28366739,84327292.91021246,84328100.21779756,84323404.8559255,84324981.62812954,84326233.74799617,84327236.43532565,84328049.26188439,84323342.542818,84324919.35376677,84326174.6284195,84327181.85732704,84327999.7106454,84323283.25484028,84324859.79139653,84326117.79238753,84327129.11404985,84327951.56526493,84323226.74593516,84324802.75014445,84326063.1098983,84327078.13362332,84327904.806483,84323172.79631679,84324748.05484167,84326010.45604536,84327028.83960935,84327859.40197025
5,2021-07-06,84321098.85224536,84322943.74890564,84324386.51505986,84325525.32751949,84326436.34211744,84320969.1257946,84322826.22234716,84324288.21501635,84325448.4745252,84326380.8827885,84320847.40854214,84322712.56805399,84324189.41031143,84325366.9674199,84326316.99126264,84320733.46712157,84322603.77427632,84324092.26183721,84325284.02556698,84326248.825994,84320626.79780142,84322500.14512783,84323997.86631466,84325201.46794704,84326178.84881568,84320526.81348234,84322401.64668256,84323906.74513353,84325120.32726876,84326108.5494806,84320432.92642768,84322308.080952,84323819.10099113,84325041.17927432,84326038.83887129,84320344.5835001,84322219.17599377,84323734.95824645,84324964.32738872,84325970.2725488,84320261.27923383,84322134.63331011,84323654.24211675,84324889.91005561,84325903.18278864,84320182.55853559,84322054.1527514,84323576.82440227,84324817.96497175,84325837.75906938,84320108.01467052,84321977.44527966,84323502.55028632,84324748.46843104,84325774.09844409,84320037.28529052,84321904.23907895,84323431.25415029,84324681.35986218,84325712.23775955,84319970.04784997,84321834.28200059,84323362.76887797,84324616.55733594,84325652.17463848,84319906.01505114,84321767.34200379,84323296.93123923,84324553.96744831,84325593.88134447,84319844.93060657,84321703.20652874,84323233.5848873,84324493.49163878,84325537.3140485
6,2021-07-07,84317735.06297752,84319872.50530168,84321584.09450075,84322958.17326209,84324071.42604123,84317591.9578216,84319738.60086845,84321469.47820081,84322867.00878382,84324004.76230812,84317457.84927191,84319609.25881828,84321354.38989735,84322770.40293752,84323928.01077388,84317332.44990411,84319485.58665101,84321241.3443362,84322672.18028603,84323846.1817473,84317215.17828783,84319367.91127329,84321131.60985868,84322574.4963204,84323762.23810062,84317105.3654828,84319256.17581248,84321025.78226952,84322478.57006095,84323677.969555,84317002.34580904,84319150.13865428,84320924.08588967,84322385.0769446,84323594.4675044,84316905.4950664,84319049.47621818,84320826.53799622,84322294.36905408,84323512.39504126,84316814.2443374,84318953.83679065,84320733.04144913,84322206.60304672,84323432.14643277,84316728.08243917,84318862.86863618,84320643.43804748,84322121.81663284,84323353.94430143,84316646.5532704,84318776.2342654,84320557.53970918,84322039.97535403,84323277.90040445,84316569.25108454,84318693.6171447,84320475.14679787,84321961.00170563,84323204.05447601,84316495.81515853,84318614.72426222,84320396.05884656,84321884.7935007,84323132.3994939,84316425.92455116,84318539.28644352,84320320.08071387,84321811.23554109,84323062.89835215,84316359.29325622,84318467.05748153,84320247.02596802,84321740.20705225,84322995.49498494
7,2021-07-08,84314225.82415007,84316625.07639635,84318590.51796459,84320194.18083398,84321509.30661222,84314072.5710458,84316477.26031993,84318461.1794045,84320089.59733465,84321431.8507662,84313929.08690996,84316334.620087,84318331.42231914,84319978.85230666,84321342.72413012,84313795.03861451,84316198.36081842,84318204.07948993,84319866.33889334,84321247.76028576,84313669.7818337,84316068.8249954,84318080.57174791,84319754.52743787,84321150.4054853,84313552.58232826,84315945.93279424,84317961.55937836,84319644.81014763,84321052.73801805,84313442.71271421,84315829.40254226,84317847.2836207,84319537.95411834,84320956.02218822,84313339.49283017,84315718.86425667,84317737.75299583,84319434.35519487,84320861.02343245,84313242.30399004,84315613.91889922,84317632.84810065,84319334.18534209,84320768.19441341,84313150.59115927,84315514.16915433,84317532.38185096,84319237.48066258,84320677.78838156,84313063.85974766,84315419.23491803,84317436.1345922,84319144.19516529,84320589.93003333,84312981.67025496,84315328.76046546,84317343.87466423,84319054.23418616,84320504.6607576,84312903.63232978,84315242.41707563,84317255.37037592,84318967.47542033,84320421.96803778,84312829.39897324,84315159.90320449,84317170.39683032,84318883.78225473,84320341.80482808,84312758.66120365,84315080.94337812,84317088.7396328,84318803.01223408,84320264.10246095
8,2021-07-09,84310589.77759556,84313220.91380584,84315424.08820361,84317249.88662675,84318764.68591538,84310428.94394922,84313061.4040918,84315281.58994853,84317132.83939569,84318676.93663123,84310278.46386604,84312907.60230887,84315138.73802932,84317008.97563714,84318576.01622754,84310137.96832791,84312760.79329321,84314998.64853826,84316883.21741156,84318468.54573698,84310006.76459526,84312621.33024089,84314862.87686199,84316758.3269284,84318358.43305223,84309884.06851655,84312489.11188765,84314732.13897707,84316635.85604627,84318248.0313666,84309769.1057289,84312363.82104078,84314606.68936735,84316516.6555565,84318138.76909414,84309661.15357943,84312245.0471615,84314486.52702291,84316401.16048977,84318031.50826117,84309559.55567099,84312132.35014537,84314371.51114336,84316289.5556464,84317926.75613964,84309463.72379799,84312025.29330319,84314261.42753431,84316181.8743761,84317824.79412554,84309373.13429807,84311923.45983905,84314156.02721506,84316078.05885276,84317725.7582533,84309287.32220809,84311826.46036951,84314055.04896165,84315977.99748577,84317629.69056994,84309205.87485152,84311733.93557008,84313958.23237732,84315881.54842095,84317536.5724875,84309128.4256153,84311645.55620503,84313865.3252947,84315788.55440453,84317446.34673704,84309054.64824015,84311561.02180298,84313776.08775522,84315698.85219379,84317358.93197201
9,2021-07-10,84306844.62589501,84309677.87802258,84312101.53037994,84314140.45984034,84315851.13855428,84306678.2500809,84309508.67550774,84311947.39251925,84314011.94403079,84315753.65954328,84306522.6539747,84309345.63164632,84311792.97074546,84313876.01994252,84315641.59911595,84306377.44235425,84309190.09590237,84311641.6309922,84313738.09693624,84315522.32445027,84306241.887158,84309042.42890383,84311495.0463554,84313601.20530634,84315400.18027031,84306115.16783437,84308902.51031548,84311353.9806324,84313467.0428416,84315277.77932526,84305996.47577041,84308769.99239324,84311218.69864085,84313336.53619565,84315156.70446387,84305885.05734266,84308644.4300572,84311089.18969336,84313210.15529263,84315037.9081509,84305780.22867356,84308525.34840189,84310965.2929715,84313088.09564637,84314921.94836722,84305681.37738973,84308412.27747817,84310846.76936236,84312970.38707653,84314809.13222389,84305587.95865063,84308304.76956755,84310733.34314565,84312856.95998025,84314699.60563867,84305499.48894647,84308202.4069724,84310624.72627008,84312747.68641329,84314593.410518,84305415.53934121,84308104.80466302,84310520.63237591,84312642.40585479,84314490.52184817,84305335.72893792,84308011.61017464,84310420.7846921,84312540.9414703,84314390.87208399,84305259.71889591,84307922.50209092,84310324.92024164,84312443.11038123,84314294.36735128
