,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334088.1312462,84334230.99736178,84334326.37936161,84334393.77365334,84334443.48402369,84334074.84395148,84334221.29124968,84334319.38153131,84334388.86165132,84334440.21597043,84334062.21072857,84334211.80290923,84334312.28767924,84334383.61844261,84334436.43343595,84334050.23591231,84334202.62501152,84334305.25336146,84334378.24700126,84334432.37699726,84334038.89270432,84334193.79486075,84334298.36137052,84334372.86414842,84334428.19016595,84334028.14186402,84334185.32125962,84334291.65457307,84334367.53810453,84334423.96089104,84334017.94048645,84334177.19825724,84334285.15323834,84334362.3085963,84334419.74395445,84334008.2461291,84334169.41244923,84334278.86460125,84334357.19815157,84334415.57367101,84333999.01867719,84334161.94695136,84334272.78832868,84334352.21869548,84334411.47138941,84333990.22108692,84334154.7835903,84334266.9197302,84334347.37552622,84334407.45007452,84333981.8195699,84334147.90411025,84334261.2516822,84334342.66977422,84334403.51718661,84333973.7835057,84334141.29082395,84334255.77579692,84334338.09995511,84334399.6765338,84333966.0852298,84334134.92694587,84334250.48313728,84334333.6629666,84334395.92948756,84333958.69977409,84334128.79674207,84334245.36465354,84334329.35473637,84334392.27579364,84333951.60459891,84334122.88557468,84334240.41144677,84334325.17064662,84334388.71412028
1,2021-07-02,84332870.01112895,84333233.04247065,84333483.64188159,84333664.74364376,84333800.48542759,84332838.15599263,84333208.67491129,84333465.5269016,84333651.75027429,84333791.70177218,84332807.97352791,84333184.91623116,84333447.19907662,84333637.900457,84333781.54542594,84332779.45751986,84333161.99297316,84333429.06037472,84333623.7328771,84333770.66562286,84332752.52889346,84333139.99183998,84333411.32258758,84333609.55637787,84333759.44905752,84332727.08090912,84333118.92819573,84333394.09348233,84333595.5502621,84333748.13210142,84332703.00009769,84333098.78098361,84333377.42221841,84333581.81801954,84333736.86143185,84332680.17589155,84333079.51116559,84333361.32436527,84333568.41749914,84333725.72843407,84332658.50481161,84333061.07168508,84333345.79616399,84333555.37851346,84333714.78952134,84332637.89198843,84333043.41290331,84333330.82287362,84333542.71343476,84333704.07854393,84332618.25138198,84333026.48554948,84333316.38375017,84333530.4237359,84333693.61458026,84332599.50538711,84333010.24227658,84333302.4550531,84333518.5041106,84333683.40694359,84332581.5841747,84332994.63842556,84333289.01186962,84333506.94510992,84333673.45846273,84332564.42494681,84332979.63233809,84333276.02921697,84333495.73484896,84333663.76766628,84332547.9711954,84332965.18541388,84333263.48269768,84333484.86011976,84333654.33025621
2,2021-07-03,84331251.80617785,84331873.63239796,84332316.13217287,84332642.65078062,84332891.08843236,84331200.23173983,84331832.47393703,84332284.64847837,84332619.60376821,84332875.27068321,84331151.50396225,84331792.43315536,84332252.8490469,84332595.06866941,84332856.99738258,84331105.58979267,84331753.88338593,84332221.43114279,84332570.00364733,84332837.4418966,84331062.34089734,84331716.96068206,84332190.75878072,84332544.9561031,84332817.3021034,84331021.56726678,84331681.68103042,84332161.01421355,84332520.24213195,84332797.00357361,84330983.07089713,84331647.99988686,84332132.27771576,84332496.04268187,84332776.80946845,84330946.66098247,84331615.84346214,84332104.5714554,84332472.45753722,84332756.88292985,84330912.16027702,84331585.12551115,84332077.8844416,84332449.53678943,84332737.32393375,84330879.40718476,84331555.75640869,84332052.1870764,84332427.29975376,84332718.19178657,84330848.25580046,84331527.64800696,84332027.43979834,84332405.74662486,84332699.51923971,84330818.57501231,84331500.71614148,84332003.59827293,84332384.86580154,84332681.32155012,84330790.24722578,84331474.88181138,84331980.61651902,84332364.63856003,84332663.6024087,84330763.16698882,84331450.0716117,84331958.448779,84332345.04206805,84332646.35788068,84330737.23965542,84331426.2177482,84331937.05061421,84332326.051341,84332629.57905789
3,2021-07-04,84329327.86047138,84330221.23632906,84330875.20902556,84331367.3148515,84331747.1047399,84329257.74389945,84330163.01399608,84330829.45206417,84331333.16202186,84331723.32142845,84329191.65389629,84330106.48141596,84330783.30570053,84331296.84533457,84331695.86844775,84329129.51868522,84330052.15482107,84330737.78127798,84331259.78807396,84331666.51575309,84329071.11308752,84330000.21360576,84330693.4023529,84331222.80072255,84331636.31464745,84329016.15900508,84329950.66796365,84330650.42713104,84331186.34897333,84331605.90480231,84328964.37090625,84329903.44376373,84330608.96550955,84331150.69737636,84331575.68048833,84328915.47597891,84329858.42695373,84330569.04333325,84331115.98995642,84331545.88498811,84328869.22227404,84329815.48724334,84330530.63884953,84331082.29717213,84331516.66636479,84328825.38110004,84329774.49079703,84330493.70390804,84331049.64410667,84331488.11149257,84328783.74670532,84329735.3069408,84330458.17650302,84331018.0278077,84331460.26739252,84328744.13475418,84329697.81154917,84330423.98826653,84330987.42816031,84331433.15491489,84328706.38034661,84329661.88857384,84330391.06895085,84330957.81480502,84331406.77767946,84328670.33595291,84329627.43053328,84330359.34908444,84330929.15158425,84331381.12800804,84328635.86943893,84329594.33843035,84330328.76150574,84330901.39941573,84331356.19090962
4,2021-07-05,84327160.0034115,84328323.06598487,84329197.30081652,84329867.40823771,84330391.59749888,84327073.50711748,84328248.51051638,84329137.18607776,84329821.69866496,84330359.31900361,84326992.13693763,84328176.23809478,84329076.63995323,84329773.14246866,84330322.08769813,84326915.77632767,84328106.89623615,84329016.9884926,84329723.64846884,84330282.31269014,84326844.12313853,84328040.69995062,84328958.91294655,84329674.30040513,84330241.42314726,84326776.81392752,84327977.64840424,84328902.74463947,84329625.71815394,84330200.28687464,84326713.47970513,84327917.63430463,84328848.61999255,84329578.25136992,84330159.43714973,84326653.7702445,84327860.5008996,84328796.56550606,84329532.08812663,84330119.20160545,84326597.36358348,84327806.07221228,84328746.5458721,84329487.31814995,84330079.77835847,84326543.96850327,84327754.16911992,84328698.49187593,84329443.97073404,84330041.28244649,84326493.32374299,84327704.61775008,84328652.31684387,84329402.0380258,84330003.77492282,84326445.19580033,84327657.25363627,84328607.92642371,84329361.48959567,84329967.28149651,84326399.37623285,84327611.92351456,84328565.22439827,84329322.28168489,84329931.80469704,84326355.67890564,84327568.48581237,84328524.11609945,84329284.36313005,84329897.33193374,84326313.93739203,84327526.81042643,84328484.51035337,84329247.67917626,84329863.84089945
5,2021-07-06,84324799.07304975,84326219.79957743,84327314.91869538,84328169.23372394,84328846.19858862,84324698.8277804,84326130.27875905,84327240.94582938,84328111.97479142,84328805.21601842,84324604.67463192,84326043.62235889,84327166.52920355,84328051.20560202,84328757.97699897,84324516.45130827,84325960.5934661,84327093.29742418,84327989.32153118,84328707.54820777,84324433.7840677,84325881.4347464,84327022.08140095,84327927.67886795,84328655.74681333,84324356.2320781,84325806.13064577,84326953.2800769,84327867.05015185,84328603.67412929,84324283.35163268,84325734.53943461,84326887.05255057,84327807.8683095,84328552.00504512,84324214.72376539,84325666.46177103,84326823.42325297,84327750.36358157,84328501.15253012,84324149.96472132,84325601.67689332,84326762.34138024,84327694.64316279,84328451.36479867,84324088.72836064,84325539.9617329,84326703.71527283,84327640.73890273,84328402.7845585,84324030.70486166,84325481.10078782,84326647.43261579,84327588.63655642,84328355.48610838,84323975.6178602,84325424.89091817,84326593.37239857,84327538.29405396,84328309.49908398,84323923.22107291,84325371.14333177,84326541.41198274,84327489.653068,84328264.82393672,84323873.29490921,84325319.68402484,84326491.43121819,84327442.64640296,84328221.44217376,84323825.64330098,84325270.35339232,84326443.31475808,84327397.20273311,84328179.32321191
6,2021-07-07,84322284.13722397,84323944.15173812,84325255.0267631,84326295.09112936,84327129.54703328,84322172.84251611,84323841.3642216,84325168.06835844,84326226.6121346,84327079.8900943,84322068.44682674,84323741.9866505,84325080.6785709,84326153.99480702,84327022.6876763,84321970.74511689,84323646.88067318,84324994.7684027,84326080.10833319,84326961.66423595,84321879.30104059,84323556.30940254,84324911.30675289,84326006.5732509,84326899.02435859,84321793.6074225,84323470.24048609,84324830.75335078,84325934.30909719,84326836.10181792,84321713.1571643,84323388.49839094,84324753.28601375,84325863.82807648,84326773.71185361,84321637.47337662,84323310.84323214,84324678.92490686,84325795.39971796,84326712.3514548,84321566.1204987,84323237.01220457,84324607.6026373,84325729.14657938,84326652.3176527,84321498.70653382,84323166.7413269,84324539.20470859,84325665.10151134,84326593.77962697,84321434.88125381,84323099.77656576,84324473.59321988,84325603.2427246,84326536.82382731,84321374.3327374,84323035.879144,84324410.62084228,84325543.51565485,84326481.4828312,84321316.78339395,84322974.82764794,84324350.1390342,84325485.84677638,84326427.75413398,84321261.98602146,84322916.41838615,84324292.00278905,84325430.15240222,84326375.61256315,84321209.72014353,84322860.4648188,84324236.07327305,84325376.34430741,84326325.01857322
7,2021-07-08,84319645.56657454,84321522.63813153,84323040.10394032,84324263.94984913,84325257.73664536,84319525.75479677,84321408.40989675,84322941.25489321,84324184.79990469,84325199.60992889,84319413.4838883,84321298.08526526,84322842.0057128,84324100.92877671,84325132.68825544,84319308.51184286,84321192.60778071,84322744.5249958,84324015.65721416,84325061.3405325,84319210.3506748,84321092.25498284,84322649.90607175,84323930.85656652,84324988.15026177,84319118.43932052,84320996.97709695,84322558.66214758,84323847.58499357,84324914.67793888,84319032.21961622,84320906.56688775,84322470.98604831,84323766.4286581,84324841.87511729,84318951.16827051,84320820.747345,84322386.89207996,84323687.69297405,84324770.31988086,84318874.80839509,84320739.21759768,84322306.29593019,84323611.51369639,84324700.35591157,84318802.71153565,84320661.67687878,84322229.06068724,84323537.92332938,84324632.17723204,84318734.49543262,84320587.83667982,84322155.02372731,84323466.8917429,84324565.88120481,84318669.82004905,84320517.42645854,84322084.01251458,84323398.35145682,84324501.50240119,84318608.38309543,84320450.19581391,84322015.85384345,84323332.21358338,84324439.03463228,84318549.91563186,84320385.91474332,84321950.37914187,84323268.37795782,84324378.44548588,84318494.17800263,84320324.37289041,84321887.42738424,84323206.73959136,84324319.68602495
8,2021-07-09,84316904.61472079,84318974.82642914,84320687.25221138,84322090.51728481,84323243.39501758,84316778.46597968,84318850.93987678,84320577.69627172,84322001.37055479,84323177.11636437,84316660.3453219,84318731.39001906,84320467.78406169,84321906.96876591,84323100.84814943,84316549.98114288,84318617.18726487,84320359.91528706,84321811.05645256,84323019.5814343,84316446.84530202,84318508.61901063,84320255.29375118,84321715.73946995,84322936.26494858,84316350.3352524,84318405.61866273,84320154.47905312,84321622.2048209,84322852.67715402,84316259.85373884,84318307.95039913,84320057.67582107,84321531.10672182,84322769.90014748,84316174.84208366,84318215.30433165,84319964.89152685,84321442.78294432,84322688.58922376,84316094.7919736,84318127.34617507,84319876.02524845,84321357.38040894,84322609.13206652,84316019.24729843,84318043.74305022,84319790.91869965,84321274.93019958,84322531.74572353,84315947.80154952,84317964.17647235,84319709.38597372,84321195.3933913,84322456.53722438,84315880.09344333,84317888.34836441,84319631.2309666,84321118.68953782,84322383.54228987,84315815.80205569,84317815.98326194,84319556.25752401,84321044.71460077,84322312.75048795,84315754.64206992,84317746.82846217,84319484.27522622,84320973.35231698,84322244.1218132,84315696.35940063,84317680.65309986,84319415.10253234,84320904.48141782,84322177.59773245
9,2021-07-10,84314077.28371207,84316316.07244666,84318210.22965358,84319786.8198814,84321096.96276271,84313946.5609507,84316184.18109778,84318091.16359994,84319688.41787468,84321022.92411119,84313824.21899019,84316056.99566172,84317971.79212303,84319584.27646801,84320937.76556364,84313709.96445419,84315935.58045939,84317854.71952158,84319478.53313221,84320847.07202208,84313603.23991479,84315820.229539,84317741.2464977,84319373.51042834,84320754.14031817,84313503.41266407,84315710.86100231,84317631.97249483,84319270.51378484,84320660.95616847,84313409.85707715,84315607.21416497,84317527.11131066,84319170.25939707,84320568.72535893,84313321.98882881,84315508.95091149,84317426.6631553,84319073.11395024,84320478.17594981,84313239.27685246,84315415.70845503,84317330.5113072,84318979.23371382,84320389.73673177,84313161.24503015,84315327.1266384,84317238.477592,84318888.64755549,84320303.64590548,84313087.46932271,84315242.86158961,84317150.3546513,84318801.30760382,84320220.01898271,84313017.57309608,84315162.59196675,84317065.92479211,84318717.12070003,84320138.89211755,84312951.22197011,84315086.02116978,84316984.97092183,84318635.96816033,84320060.2502415,84312888.11880836,84315012.87738527,84316907.28274623,84318557.7182795,84319984.04558672,84312827.99911545,84314942.91250761,84316832.66010611,84318482.23425052,84319910.21001048
