,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334014.43868047,84334171.76865067,84334276.9825899,84334351.40736893,84334406.3473567,84333999.82237278,84334161.06986164,84334269.25870195,84334345.9806332,84334402.73435989,84333985.92813495,84334150.61252101,84334261.42959024,84334340.18838476,84334398.55277799,84333972.76034723,84334140.4986501,84334253.66694039,84334334.25490603,84334394.06863394,84333960.28917935,84334130.7692192,84334246.06208569,84334328.30925883,84334389.44060755,84333948.47116242,84334121.4337847,84334238.66227573,84334322.42679107,84334384.76593193,84333937.25884344,84334112.48565246,84334231.48981485,84334316.65136161,84334380.10516131,84333926.6053196,84334103.90992762,84334224.55262306,84334311.00782481,84334375.4962167,84333916.46628411,84334095.68789463,84334217.8502721,84334305.50932099,84334370.96268182,84333906.80083771,84334087.79943101,84334211.37753008,84334300.16167068,84334366.51887083,84333897.57168674,84334080.22433576,84334205.12648539,84334294.96609215,84334362.1730126,84333888.74504258,84334072.94304544,84334199.08783668,84334289.92091745,84334357.92929919,84333880.29038486,84334065.93699984,84334193.25168142,84334285.02269383,84334353.78923002,84333872.18017317,84334059.18880591,84334187.60799724,84334280.26689936,84334349.75250843,84333864.38954994,84334052.68228556,84334182.14693232,84334275.64841186,84334345.81764787
1,2021-07-02,84332672.71016978,84333070.80301479,84333346.2365233,84333545.60530321,84333695.214468,84332637.82603602,84333044.0459652,84333326.30794092,84333531.29177156,84333685.52857944,84332604.78122872,84333017.96213485,84333306.1479054,84333516.03627576,84333674.32977667,84332573.56771944,84332992.79982357,84333286.19857527,84333500.43236937,84333662.33418392,84332544.09782405,84332968.65371518,84333266.69275509,84333484.8202627,84333649.96829176,84332516.25372346,84332945.54017563,84333247.74875908,84333469.39738873,84333637.49275106,84332489.910381,84332923.43562476,84333229.42041756,84333454.2776307,84333625.06926303,84332464.94606984,84332902.29679275,84333211.72461918,84333439.52458236,84333612.79853535,84332441.24693686,84332882.0716587,84333194.65700887,84333425.17095298,84333600.742702,84332418.7086492,84332862.70541552,84333178.20117252,84333411.2302463,84333588.93901393,84332397.23661846,84332844.14370327,84333162.33411433,84333397.70396869,84333577.40843439,84332376.74555498,84332826.33431174,84333147.02956285,84333384.58616899,84333566.16116238,84332357.15873516,84332809.22801417,84333132.25997593,84333371.86634289,84333555.2002512,84332338.4071769,84332792.77890584,84333117.99775133,84333359.5313126,84333544.52401753,84332320.42882027,84332776.94446294,84333104.21594544,84333347.5664519,84333534.12766634
2,2021-07-03,84330897.89522998,84331576.85505007,84332061.33475883,84332419.53953223,84332692.49082763,84330841.66585706,84331531.84102164,84332026.82398537,84332394.23419687,84332675.1008588,84330788.55335976,84331488.05830897,84331991.97268578,84332367.29820481,84332655.01300235,84330738.51945996,84331445.9142745,84331957.54502498,84332339.78388783,84332633.51769944,84330691.4004595,84331405.55666602,84331923.93959616,84332312.29224397,84332611.38235603,84330646.98752953,84331367.00196132,84331891.35565476,84332285.17013945,84332589.07483454,84330605.06340984,84331330.20053735,84331859.88066038,84332258.61597945,84332566.88435097,84330565.41893251,84331295.07090063,84331829.53840736,84332232.73903027,84332544.99011274,84330527.85991737,84331261.51804516,84331800.31638756,84332207.59399955,84332523.50186251,84330492.20941333,84331229.44336756,84331772.18174629,84332183.20181939,84332502.48462681,84330458.30771233,84331198.74996701,84331745.09075582,84332159.56244978,84332481.97424231,84330426.01134555,84331169.3453734,84331718.99450143,84332136.66292284,84332461.98732184,84330395.1916715,84331141.14282706,84331693.84230386,84332114.48247382,84332442.52777414,84330365.73336084,84331114.06174178,84331669.58376455,84332092.995849,84332423.59113675,84330337.53292571,84331088.02771267,84331646.16996196,84332072.17545189,84332405.16749187
3,2021-07-04,84328791.5848837,84329764.0563457,84330478.03017716,84331016.47748259,84331432.73838,84328715.36266336,84329700.55895354,84330428.00521708,84330979.068878,84331406.64960371,84328643.53525957,84329638.91746944,84330377.56322104,84330939.29543838,84331376.538371,84328576.02155171,84329579.69344375,84330327.80960591,84330898.71656662,84331344.34695697,84328512.57405244,84329523.08093147,84330279.3160698,84330858.21991815,84331311.22883512,84328452.88818376,84329469.08953856,84330232.3640612,84330818.31522962,84331277.88565801,84328396.65168603,84329417.63706692,84330187.07287468,84330779.29180756,84331244.74973114,84328343.56646636,84329368.59795788,84330143.46996272,84330741.30691099,84331212.08765651,84328293.35739207,84329321.82911274,84330101.530816,84330704.43722889,84331180.06155415,84328245.77484128,84329277.18371743,84330061.20214659,84330668.70977877,84331148.76641822,84328200.59431444,84329234.51853672,84330022.41559778,84330634.12090853,84331118.25353609,84328157.61474217,84329193.69758861,84329985.09592988,84330600.64820825,84331088.54550467,84328116.65630431,84329154.59379421,84329949.16591288,84330568.25808683,84331059.64604104,84328077.55816188,84329117.08949682,84329914.54922245,84330536.91063988,84331031.546491,84328040.1762922,84329081.0763594,84329881.1721093,84330506.56279363,84331004.2302003
4,2021-07-05,84326419.02716199,84327682.49666138,84328635.05242379,84329366.90183236,84329940.44102941,84326325.15388413,84327601.33044688,84328569.4444234,84329316.91680571,84329905.0876538,84326236.86402896,84327522.66606541,84328503.37720664,84329263.82629801,84329864.3138995,84326154.0274701,84327447.20654684,84328438.29760121,84329209.71825553,84329820.75943436,84326076.31313398,84327375.18391123,84328374.94814286,84329155.77763268,84329775.98993102,84326003.32395308,84327306.59531668,84328313.68927608,84329102.68177262,84329730.95580874,84325934.65731578,84327241.32223937,84328254.66872557,84329050.81236917,84329686.24086499,84325869.93137497,84327179.19254416,84328197.91432555,84329000.37438074,84329642.20355092,84325808.79528822,84327120.01338692,84328143.38656084,84328951.46523617,84329599.06041941,84325750.93184505,84327063.58869386,84328091.00902459,84328904.11632504,84329556.93702462,84325696.05656266,84327009.72827521,84328040.68636486,84328858.3184717,84329515.89980966,84325643.9152572,84326958.25232358,84327992.31494915,84328814.03787182,84329475.97653307,84325594.28108144,84326908.99334721,84327945.78919813,84328771.22620277,84329437.16959739,84325546.951511,84326861.79668275,84327901.00530058,84328729.82709835,84329399.4648774,84325501.74550211,84326816.5202371,84327857.86332604,84328689.78031379,84329362.83763802
5,2021-07-06,84323842.14930354,84325381.98618028,84326572.53242685,84327503.56984155,84328242.78287983,84323733.57600582,84325284.73370408,84326491.96668138,84327441.07840507,84328197.97963712,84323631.62316895,84325190.6124378,84326410.93212977,84327374.76557176,84328146.34236789,84323536.1109069,84325100.44904704,84326331.201983,84327307.24634577,84328091.22506224,84323446.63088973,84325014.50466286,84326253.67995161,84327240.00072892,84328034.61476348,84323362.70272762,84324932.76005559,84326178.79905397,84327173.87116285,84327977.71536642,84323283.84345824,84324855.05919302,84326106.73108897,84327109.32924818,84327921.26428534,84323209.59736937,84324781.18374315,84326037.50128783,84327046.62532982,84327865.71244918,84323139.54725586,84324710.89237334,84325971.0530817,84326985.8754893,84327811.33061607,84323073.31695142,84324643.94148192,84325907.28555208,84326927.11364025,84327758.27419683,84323010.5698652,84324580.09589073,84325846.07542458,84326870.32346651,84327706.62383944,84322951.00583585,84324519.13402271,84325787.29008172,84326815.45836419,84327656.41140297,84322894.35743684,84324460.85003152,84325730.79524592,84326762.45406333,84327607.63688551,84322840.38627674,84324405.0542565,84325676.459448,84326711.23668669,84327560.27962026,84322788.87954184,84324351.57277943,84325624.15653522,84326661.72791421,84327514.30576703
6,2021-07-07,84321099.0932064,84322895.15944968,84324317.67146836,84325449.10884973,84326358.72650999,84320978.70829341,84322783.66837904,84324223.11728883,84325374.49280259,84326304.52506386,84320865.80832067,84322675.89710334,84324128.11074808,84325295.37912014,84326242.094643,84320760.16728029,84322572.77762036,84324034.72908975,84325214.89496915,84326175.5022965,84320661.30956575,84322474.59255302,84323944.02435377,84325134.80580978,84326107.15492482,84320568.68358615,84322381.30423321,84323856.49468474,84325056.11272322,84326038.50823177,84320481.73839402,84322292.71999745,84323772.33170271,84324979.37272722,84325970.45156004,84320399.95618597,84322208.5777057,84323691.55573112,84324904.87836462,84325903.52669716,84320322.86424333,84322128.59065779,84323614.09205598,84324832.76207314,84325838.05710672,84320250.03727531,84322052.47114143,84323539.81492032,84324763.05862348,84325774.22669762,84320181.09541593,84321979.94245958,84323468.57328433,84324695.7433458,84325712.12910981,84320115.70043068,84321910.74465246,84323400.20600641,84324630.75595675,84325651.79923007,84320053.5513767,84321844.63675208,84323334.55075845,84324568.01560701,84325593.23370904,84319994.38030808,84321781.39714487,84323271.4491708,84324507.4304627,84325536.4045128,84319937.94828928,84321720.82293066,84323210.74968472,84324448.9038241,84325481.2679751
7,2021-07-08,84318225.60600756,84320253.23344098,84321897.06784487,84323226.10889038,84324307.56598656,84318096.16434295,84320129.51601984,84321789.75423872,84323140.00294288,84324244.21871589,84317974.89195532,84320010.04868345,84321682.02469157,84323048.77418609,84324171.29492676,84317861.52314247,84319895.85055067,84321576.23269302,84322956.03614633,84324093.55794975,84317755.52706671,84319787.21926023,84321473.56350343,84322863.82424505,84324013.82395387,84317656.29457757,84319684.09816346,84321374.57231821,84322773.2886151,84323933.79340623,84317563.22022286,84319586.26040699,84321279.46653958,84322685.06565812,84323854.5027036,84317475.73669665,84319493.40391628,84321188.25991228,84322599.48630108,84323776.58102252,84317393.32720773,84319405.2010965,84321100.85931067,84322516.69695042,84323700.4020106,84317315.52759814,84319321.32474717,84321017.1147043,84322436.73178397,84323626.17621559,84317241.92386231,84319241.46118417,84320936.84833582,84322359.55695462,84323554.00888476,84317172.14780642,84319165.31638308,84320859.87185544,84322285.09809916,84323483.9368958,84317105.87217458,84319092.61830126,84320785.99633406,84322213.2576762,84323415.95277436,84317042.80586652,84319023.11712807,84320715.03800091,84322143.92597835,84323350.02053763,84316982.6895212,84318956.58444661,84320646.82138808,84322076.98814185,84323286.08626136
8,2021-07-09,84315242.86185867,84317476.21870936,84319328.48772594,84320850.00987795,84322102.65576294,84315106.68498597,84317342.19707528,84319209.70908621,84320753.1641046,84322030.52581947,84314979.19590642,84317212.88932641,84319090.56371285,84320650.6240349,84321947.53385217,84314860.09729871,84317089.38564739,84318973.65242352,84320546.45859155,84321859.1138368,84314748.8155164,84316971.9939239,84318860.27852927,84320442.95503703,84321768.47552033,84314644.69721645,84316860.63932447,84318751.0466348,84320341.40173507,84321677.55414303,84314547.09531939,84316755.06429431,84318646.17652558,84320242.50797744,84321587.5266108,84314455.40484805,84316654.93151405,84318545.67439856,84320146.63923027,84321499.1051164,84314369.07556444,84316559.87760244,84318449.42914215,84320053.95368518,84321412.7105355,84314287.61388053,84316469.54098718,84318357.26766652,84319964.48380329,84321328.57804814,84314210.57998995,84316383.57591242,84318268.98713744,84319878.18611963,84321246.82315324,84314137.58309573,84316301.6589039,84318184.37384553,84319794.97219267,84321167.48381737,84314068.27611975,84316223.49111988,84318103.21418513,84319714.72807537,84321090.54785988,84314002.3505433,84316148.79848325,84318025.3009045,84319637.32665375,84321015.97099711,84313939.53165919,84316077.33065775,84317950.43649547,84319562.63547795,84320943.68885969
9,2021-07-10,84312166.17365156,84314579.2338066,84316625.70174763,84318332.97633912,84319754.62888697,84312025.10355836,84314436.65902033,84316496.73995465,84318226.19439307,84319674.14713417,84311893.0979687,84314299.1931628,84316367.4672363,84318113.19972731,84319581.58809099,84311769.83637045,84314167.98391509,84316240.70337695,84317998.48318183,84319483.02515042,84311654.71387587,84314043.34616984,84316117.85528043,84317884.5645858,84319382.042778,84311547.04495296,84313925.18865725,84315999.57004194,84317772.85929057,84319280.79921971,84311446.1522371,84313813.22718805,84315886.07710268,84317664.14295349,84319180.60438529,84311351.40336728,84313707.09422709,84315777.37473957,84317558.811909,84319082.24863698,84311262.22380856,84313606.39589606,84315673.33479935,84317457.03422476,84318986.19694048,84311178.09860551,84313510.74144289,84315573.7627915,84317358.83983798,84318892.70709445,84311098.56922823,84313419.75795968,84315478.43282406,84317264.17555156,84318801.9035893,84311023.22848317,84313333.097094,84315387.10799767,84317172.93916531,84318713.82473269,84310951.71491815,84313250.43740582,84315299.55222578,84317085.00091355,84318628.4532418,84310883.70738733,84313171.48438711,84315215.5369254,84317000.21702193,84318545.73637888,84310818.92006172,84313095.96927185,84315134.8446109,84316918.43828864,84318465.59934427
