,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334106.47307462,84334245.80532484,84334338.76585698,84334404.41935323,84334452.82991572,84334093.50875022,84334236.3428389,84334331.94736607,84334399.63506138,84334449.64772516,84334081.18169756,84334227.0921606,84334325.03504223,84334394.52802971,84334445.9644984,84334069.49628289,84334218.14368054,84334318.18045868,84334389.2959412,84334442.01447254,84334058.42648283,84334209.53381975,84334311.46430406,84334384.05258018,84334437.93738124,84334047.93411718,84334201.2712122,84334304.92836966,84334378.86440116,84334433.81886247,84334037.97741397,84334193.35010426,84334298.59242962,84334373.77010909,84334429.71226247,84334028.5150377,84334185.75747046,84334292.46355695,84334368.7916585,84334425.65100022,84334019.50791167,84334178.4768875,84334286.54144879,84334363.94067687,84334421.65587015,84334010.919945,84334171.49067034,84334280.82155456,84334359.2223365,84334417.73950344,84334002.71821459,84334164.78104904,84334275.29695068,84334354.63774948,84334413.90917118,84333994.8728811,84334158.33080418,84334269.95947985,84334350.18548009,84334410.16858795,84333987.35698347,84334152.12359206,84334264.80044772,84334345.86251585,84334406.51909526,84333980.14618662,84334146.14409135,84334259.81104845,84334341.66489856,84334402.96045119,84333973.21852082,84334140.37804686,84334254.98262174,84334337.5881378,84334399.49136409
1,2021-07-02,84332920.1578989,84333274.4914334,84333518.87273255,84333695.37083325,84333827.60106584,84332889.05102463,84333250.72051704,84333501.2139661,84333682.71133576,84333819.04650594,84332859.57499191,84333227.54199816,84333483.34678671,84333669.21687692,84333809.15478699,84332831.72414283,84333205.17702971,84333465.6630581,84333655.41225307,84333798.55813903,84332805.42162572,84333183.71036942,84333448.36930442,84333641.5983762,84333787.63314457,84332780.56352001,84333163.15717751,84333431.5706624,84333627.9499724,84333776.61001025,84332757.0392824,84333143.49706896,84333415.31514004,84333614.56791459,84333765.63160272,84332734.74115846,84333124.69209905,84333399.61799727,84333601.50861152,84333754.78694628,84332713.56827837,84333106.69648236,84333384.47564557,84333588.80115564,84333744.13100879,84332693.42814887,84333089.46189776,84333369.8737832,84333576.45764501,84333733.69678436,84332674.23687337,84333072.94036834,84333355.79224879,84333564.47955501,84333723.50287995,84332655.91877137,84333057.0857811,84333342.20795263,84333552.86175236,84333713.55839077,84332638.40573871,84333041.85463437,84333329.09665579,84333541.59506398,84333703.86609489,84332621.6365234,84333027.20634449,84333316.43404528,84333530.66794,84333694.42458056,84332605.556004,84333013.10330309,84333304.1963736,84333520.06753825,84333685.22968122
2,2021-07-03,84331340.26175344,84331948.32913823,84332380.58377475,84332699.29591629,84332941.651814,84331289.79986717,84331908.10667133,84332349.84301436,84332676.80759865,84332926.22537158,84331242.11871023,84331868.973381,84332318.79202363,84332652.86612564,84332908.40350863,84331197.18671112,84331831.29443856,84332288.11166365,84332628.40633504,84332889.33040576,84331154.85941172,84331795.20316818,84332258.1575075,84332603.96237363,84332869.68661985,84331114.95147173,84331760.71554194,84332229.10769022,84332579.84274608,84332849.88719691,84331077.26963124,84331727.78834254,84332201.04077895,84332556.22411087,84332830.1888247,84331041.62758905,84331696.34973282,84332173.97859554,84332533.20393802,84332810.75066292,84331007.85224195,84331666.31566463,84332147.9105696,84332510.83120792,84332791.67027497,84330975.78574175,84331637.5987521,84332122.8079453,84332489.12486498,84332773.00556234,84330945.28554615,84331610.11302303,84332098.63222134,84332468.08518866,84332754.78852665,84330916.2235494,84331583.77637224,84332075.34022027,84332447.70094001,84332737.03410456,84330888.48484065,84331558.51171887,84332052.88714264,84332427.95392185,84332719.74594852,84330861.96636456,84331534.24743223,84332031.22839473,84332408.82192022,84332702.92026956,84330836.57561818,84331510.91734917,84332010.32065974,84332390.28061374,84332686.54842398
3,2021-07-04,84329461.00639677,84330335.59795938,84330975.11452454,84331455.93597196,84331826.77316192,84329392.3304004,84330278.64026204,84330930.39293107,84331422.58004637,84331803.55806576,84329327.59240158,84330223.33120666,84330885.28777249,84331387.10891786,84331776.75994784,84329266.72313103,84330170.17630823,84330840.78759989,84331350.91251071,84331748.10621665,84329209.50293641,84330119.35160576,84330797.4043627,84331314.78242898,84331718.6229679,84329155.6601865,84330070.86758403,84330755.39071423,84331279.17362222,84331688.93460056,84329104.91583577,84330024.65217976,84330714.85435852,84331244.34462908,84331659.42603093,84329057.00318329,84329980.5942148,84330675.82083143,84331210.43628623,84331630.33482198,84329011.67586912,84329938.56656805,84330638.26912236,84331177.5175773,84331601.80560336,84328968.71023685,84329898.43859887,84330602.152392,84331145.61315873,84331573.92327937,84328927.90503722,84329860.08271503,84330567.41023193,84331114.72029217,84331546.73384994,84328889.07994723,84329823.37769282,84330533.97599044,84331084.8194628,84331520.25776322,84328852.07364003,84329788.21017832,84330501.78115632,84331055.88113637,84331494.49864124,84328816.74176952,84329754.47517154,84330470.7579573,84331027.87010273,84331469.44907017,84328782.95504232,84329722.0759501,84330440.84086181,84331000.74828339,84331445.09449056
4,2021-07-05,84327337.79895416,84328478.29116748,84329334.54846758,84329990.26729617,84330502.82417952,84327252.93427269,84328405.23533207,84329275.70247358,84329945.55842575,84330471.27273509,84327173.09171471,84328334.41072892,84329216.43001391,84329898.06256787,84330434.87849416,84327098.15825555,84328266.45253764,84329158.0292971,84329849.64654349,84330395.9959135,84327027.83858967,84328201.57218616,84329101.16754748,84329801.37042367,84330356.02183944,84326961.77708265,84328139.7695555,84329046.16951582,84329753.84070194,84330315.8045513,84326899.6124853,84328080.94013117,84328993.1691651,84329707.39962077,84330275.8654181,84326841.00181143,84328024.93084897,84328942.19282973,84329662.23139344,84330236.52483687,84326785.629687,84327971.56972699,84328893.20630151,84329618.4240322,84330197.97662158,84326733.21080476,84327920.68163015,84328846.1421397,84329576.0064239,84330160.33338031,84326683.48917252,84327872.09650739,84328800.91577353,84329534.97110079,84330123.65494682,84326636.23597029,84327825.65347303,84328757.43507959,84329495.28849113,84330087.96659678,84326591.24691483,84327781.2025754,84328715.60607682,84329456.91596477,84330053.27093683,84326548.33956872,84327738.60528283,84328675.33627252,84329419.80362944,84330019.5557819,84326507.35079789,84327697.73427199,84328636.53657012,84329383.89806235,84329986.7994376
5,2021-07-06,84325026.1626356,84326420.51294905,84327494.08344403,84328330.81118062,84328993.33874571,84324927.74072519,84326332.72148098,84327421.61007532,84328274.75800261,84328953.24575078,84324835.29282723,84326247.73258089,84327348.69698986,84328215.26515223,84328907.03012063,84324748.66095825,84326166.29538846,84327276.9399734,84328154.67731406,84328857.69147378,84324667.47934408,84326088.64872582,84327207.15352614,84328094.32229972,84328807.00737447,84324591.31613895,84326014.77812734,84327139.72901402,84328034.95662445,84328756.05526532,84324519.7364949,84325944.54529658,84327074.82281856,84327977.00440824,84328705.49552605,84324452.32970403,84325877.75533958,84327012.45934762,84327920.69136913,84328655.73235257,84324388.71950656,84325814.192265,84326952.58925065,84327866.12276034,84328607.0087814,84324328.56647475,84325753.63773881,84326895.12309863,84327813.33005434,84328559.46463375,84324271.56675935,84325695.8807788,84326839.95117736,84327762.2995727,84328513.17279816,84324217.44929653,84325640.72246806,84326786.95520948,84327712.99037006,84328468.162456,84324165.9725053,84325587.97791174,84326736.01528397,84327665.34555896,84328424.43422222,84324116.92097081,84325537.47667734,84326687.01389395,84327619.2995456,84328381.97016272,84324070.10233973,84325489.06241924,84326639.83820927,84327574.7826706,84328340.74049976
6,2021-07-07,84322562.45249581,84324192.80792083,84325478.87660563,84326498.32562408,84327315.61647794,84322453.12198146,84324091.93849398,84325393.61962675,84326431.23954327,84327267.00206769,84322350.5615286,84323994.40846716,84325307.93414356,84326360.09539825,84327210.9981833,84322254.5710802,84323901.0642735,84325223.69400232,84326287.70373341,84327151.25049679,84322164.72315836,84323812.16502912,84325141.84964743,84326215.65223274,84327089.91712238,84322080.52050138,84323727.67983295,84325062.85239759,84326144.84202504,84327028.3038807,84322001.46574186,84323647.43717256,84324986.87717009,84326075.77526742,84326967.20907146,84321927.09103705,84323571.20227668,84324913.94427107,84326008.71639438,84326907.11948602,84321856.96902078,84323498.71778224,84324843.988105,84325943.78584494,84326848.32617795,84321790.71502349,84323429.72508499,84324776.89683528,84325881.01614816,84326790.99503379,84321727.98532827,84323363.97526886,84324712.53562312,84325820.38627174,84326735.2109356,84321668.47378615,84323301.23432712,84324650.76033592,84325761.8430412,84326681.00600688,84321611.90792248,84323241.28524064,84324591.42560789,84325705.31467406,84326628.37800612,84321558.04507442,84323183.92833862,84324534.38950066,84325650.7194036,84326577.30247967,84321506.6688004,84323128.98074596,84324479.51609492,84325597.97099058,84326527.74088353
7,2021-07-08,84319979.68299976,84321823.68873186,84323312.9988513,84324513.10541864,84325486.89273982,84319861.99203022,84321711.57260881,84323216.05556448,84324435.53807703,84325429.96462488,84319751.70213196,84321603.28125903,84323118.71413128,84324353.33972444,84325364.42020547,84319648.57680114,84321499.74163496,84323023.10159956,84324269.76441994,84325294.53764346,84319552.13772862,84321401.22704089,84322930.29075395,84324186.64622587,84325222.84696643,84319461.8346356,84321307.68945006,84322840.78552127,84324105.02247491,84325150.87655509,84319377.11992855,84321218.92618312,84322754.77561405,84324025.46801975,84325079.55854584,84319297.48013364,84321134.66596895,84322672.27561983,84323948.28259328,84325009.45937338,84319222.44724919,84321054.61401877,84322593.20334786,84323873.5996451,84324940.9159273,84319151.60076258,84320978.4755604,84322517.4249595,84323801.45140718,84324874.11852306,84319084.56546834,84320905.96778108,84322444.78134088,84323731.80869254,84324809.16279522,84319021.00758061,84320836.82544146,84322375.10360456,84323664.60567345,84324746.08286163,84318960.63034834,84320770.80302054,84322308.22215994,84323599.75550678,84324684.87289771,84318903.16974407,84320707.67497672,84322243.97192061,84323537.16026531,84324625.50137329,84318848.39047758,84320647.23501678,84322182.19516686,84323476.71726479,84324567.92055196
8,2021-07-09,84317296.75752239,84319330.88244937,84321012.03733525,84322388.57181312,84323518.67931828,84317172.85223761,84319209.2737198,84320904.57040395,84322301.18340859,84323453.7473221,84317056.82642125,84319091.91552904,84320796.74818175,84322208.6391235,84323379.02577871,84316948.41443083,84318979.80054736,84320690.92489539,84322114.60933706,84323299.40362939,84316847.09848192,84318873.21176209,84320588.28194802,84322021.15851715,84323217.76947899,84316752.28753445,84318772.0846095,84320489.36890088,84321929.45061319,84323135.86573099,84316663.39559413,84318676.18830636,84320394.38710077,84321840.12737876,84323054.75272603,84316579.87443233,84318585.21925993,84320303.3444468,84321753.5203788,84322975.07274619,84316501.22518739,84318498.84983292,84320216.14244711,84321669.77407219,84322897.20592403,84316427.00019105,84318416.75368474,84320132.62627454,84321588.91933128,84322821.36522108,84316356.80042972,84318338.61853401,84320052.61394732,84321510.91836022,84322747.65579979,84316290.27125907,84318264.15207288,84319975.91342658,84321435.6926202,84322676.1129397,84316227.09763521,84318193.08414131,84319902.33257672,84321363.14040717,84322606.72667971,84316166.99945554,84318125.16688201,84319831.68484639,84321293.14799842,84322539.45806053,84316109.7272668,84318060.17384017,84319763.79235877,84321225.59673299,84322474.24994703
9,2021-07-10,84314529.30924265,84316729.36883296,84318589.38930388,84320136.41453853,84321421.10699053,84314400.9252452,84316599.89497265,84318472.57452135,84320039.93166696,84321348.55377229,84314280.76647706,84316475.03455335,84318355.4542565,84319937.81668365,84321265.1005951,84314168.54589987,84316355.83320759,84318240.58385652,84319834.1260652,84321176.21955597,84314063.71698636,84316242.58044669,84318129.23999487,84319731.13723873,84321085.1411224,84313965.65911022,84316135.19665696,84318022.01142228,84319630.13055351,84320993.8112605,84313873.75845546,84316033.426615,84317919.10852128,84319531.80870105,84320903.41181655,84313787.44164579,84315936.93898256,84317820.53207259,84319436.53169267,84320814.65657125,84313706.1875128,84315845.37810843,84317726.16807075,84319344.45320624,84320727.96606474,84313629.52877533,84315758.39084156,84317635.84215313,84319255.60196535,84320643.57406755,84313557.04923694,84315675.63994886,84317549.35126323,84319169.93140842,84320561.59410457,84313488.37920846,84315596.81025702,84317466.4821504,84319087.35052684,84320482.06190978,84313423.19045901,84315521.61083363,84317387.02210504,84319007.74324432,84320404.96299435,84313361.19130331,84315449.77503923,84317310.76504603,84318930.98068029,84320330.25079817,84313302.12208764,84315381.05947512,84317237.51480034,84318856.92891888,84320257.85876836
