,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333840.4988495,84334031.04384828,84334159.10890211,84334250.00404307,84334317.26413879,84333822.8553476,84334018.04997584,84334149.6901973,84334243.36782266,84334312.83673291,84333806.09274192,84334005.354459,84334140.14596868,84334236.28610478,84334307.71331505,84333790.21491277,84333993.0807361,84334130.68553534,84334229.03330018,84334302.2200683,84333775.1845798,84333981.27802044,84334121.42008871,84334221.76723039,84334296.5515163,84333760.9481743,84333969.95738241,84334112.40700798,84334214.5799569,84334290.8268131,84333747.44748856,84333959.11020033,84334103.67324156,84334207.52499945,84334285.12012541,84333734.62512979,84333948.7179477,84334095.22820637,84334200.63262524,84334279.47786361,84333722.42696689,84333938.75751325,84334087.07115749,84334193.91877614,84334273.92885934,84333710.80308911,84333929.20412807,84334079.19551386,84334187.39044839,84334268.49058238,84333699.70802657,84333920.03297338,84334071.59144846,84334181.04901886,84334263.17304663,84333689.10061339,84333911.22004427,84334064.24746013,84334174.89234452,84334257.98132248,84333678.94368929,84333902.7425884,84334057.15133344,84334168.91610952,84334252.91718504,84333669.20374104,84333894.5793,84334050.29072364,84334163.11469993,84334247.98021324,84333659.85053535,84333886.71037392,84334043.6535088,84334157.48177642,84334243.16853268
1,2021-07-02,84332217.5938344,84332693.08025256,84333024.30088012,84333265.19843136,84333446.60633232,84332176.09687552,84332660.99517725,84333000.27086373,84333247.86941066,84333434.84433553,84332136.81449065,84332629.7338155,84332975.97144751,84333229.40540497,84333421.24796188,84332099.73282282,84332599.59226696,84332951.93559006,84333210.52550347,84333406.68756749,84332064.74373315,84332570.68220717,84332928.44331591,84333191.64154121,84333391.68133189,84332031.70380381,84332543.02145971,84332905.63641457,84333172.99222527,84333376.54577246,84332000.46156809,84332516.58011533,84332883.57889076,84333154.71498914,84333361.4770936,84331970.86996341,84332491.30485135,84332862.29024628,84333136.88634144,84333346.59735343,84331942.79168522,84332467.13204451,84332841.76443912,84333119.54540251,84333331.98173362,84331916.10107729,84332443.99490613,84332821.98096786,84333102.70806557,84333317.67519078,84331890.6843401,84332421.82733801,84332802.91147575,84333086.37573361,84333303.7029089,84331866.43895252,84332400.56595284,84332784.52373174,84333070.54081906,84333290.07701452,84331843.2727609,84332380.15105431,84332766.78404091,84333055.19025998,84333276.80097479,84331821.10296644,84332360.52702627,84332749.65869655,84333040.30779368,84333263.87252434,84331799.85512473,84332341.6423885,84332733.11483951,84333025.87543721,84333251.28563845
2,2021-07-03,84330083.28662676,84330886.65010229,84331464.3935935,84331893.99947606,84332222.76857826,84330017.01991603,84330833.12890317,84331423.09518513,84331863.57050002,84332201.77990846,84329954.47073637,84330781.10206977,84331381.4084469,84331831.19198954,84332177.54113464,84329895.58644354,84330731.05071309,84331340.24734005,84331798.13031131,84332151.6113075,84329840.16749215,84330683.14690833,84331300.08738822,84331765.10799393,84332124.91720212,84329787.96218659,84330637.40681013,84331261.16523024,84331732.541421,84332098.02346651,84329738.7098541,84330593.76832706,84331223.58368157,84331700.66821037,84332071.27880335,84329692.16018204,84330552.13186704,84331187.36947,84331669.61871727,84332044.89897437,84329648.0812047,84330512.38215004,84331152.5060372,84331639.45770535,84332019.01583128,84329606.2618207,84330474.39995919,84331118.9526488,84331610.20938236,84331993.7072417,84329566.51170503,84330438.0683983,84331086.65572748,84331581.87281555,84331969.01586002,84329528.66004087,84330403.27609286,84331055.55564468,84331554.43161063,84331944.96117215,84329492.55378659,84330369.91867334,84331025.59080026,84331527.86008042,84331921.54737243,84329458.05583455,84330337.89929216,84330996.70005354,84331502.12721787,84331898.76859555,84329425.04323342,84330307.12860464,84330968.82413943,84331477.19927004,84331876.61243549
3,2021-07-04,84327570.53317977,84328710.94568388,84329555.33836445,84330196.23480919,84330694.149616,84327481.47759584,84328636.06788161,84329495.93028681,84330151.5673268,84330662.86534038,84327397.61586334,84328563.42304157,84329436.05686596,84330104.09456885,84330626.76784316,84327318.84276478,84328493.66836512,84329377.02993523,84330055.68003444,84330588.18880847,84327244.86004673,84328427.02723247,84329319.5260125,84330007.38329224,84330548.51232608,84327175.3042346,84328363.50580534,84329263.87641892,84329959.81175576,84330508.57967868,84327109.80422907,84328303.00254278,84329210.21987173,84329913.30924714,84330468.90860906,84327048.00662994,84328245.36538345,84329158.58619764,84329868.06180781,84330429.81788127,84326989.58580847,84328190.42216279,84329108.9437779,84329824.15930949,84330391.50085816,84326934.24671051,84328137.99685271,84329061.22710074,84329781.63241936,84330354.07039121,84326881.72425582,84328087.9180929,84329015.3530336,84329740.47531924,84330317.58695556,84326831.78124158,84328040.02345717,84328971.23052152,84329700.659937,84330282.07668407,84326784.20569852,84327994.16133943,84328928.76637062,84329662.14499001,84330247.54314394,84326738.80816431,84327950.19151472,84328887.86865969,84329624.88178845,84330213.97514498,84326695.41909301,84327907.98497488,84328848.44869716,84329588.81797774,84330181.35198008
4,2021-07-05,84324755.52792972,84326226.23028344,84327344.71733308,84328209.93589589,84328891.65630656,84324646.583033,84326131.17144509,84327267.31793776,84328150.62442371,84328849.51106207,84324544.18632132,84326039.09872617,84327189.4169367,84328087.65390716,84328800.91904739,84324448.17434311,84325950.8289143,84327112.71977754,84328023.50389034,84328749.03079018,84324358.15211497,84325866.62665483,84327038.09906255,84327959.57986303,84328695.71400739,84324273.64987116,84325786.48195925,84326965.97598574,84327896.68373431,84328642.10150197,84324194.19303936,84325710.25010858,84326896.52077514,84327835.26607183,84328588.88822545,84324119.33251747,84325637.72440706,84326829.76248781,84327775.5675935,84328536.50009921,84324048.65630946,84325568.67466661,84326765.65110165,84327717.70148778,84328485.1937325,84323981.79235952,84325502.86759055,84326704.09347042,84327661.70274228,84328435.11723661,84323918.40732545,84325440.07735243,84326644.97447903,84327607.55841115,84328386.34831345,84323858.20361687,84325380.09077565,84326588.169591,84327555.2265343,84328338.9186445,84323800.91584305,84325322.7095191,84326533.5522814,84327504.6481276,84328292.82979652,84323746.30722441,84325267.75061063,84326480.9983808,84327455.7548514,84328248.06375016,84323694.16622156,84325215.04608837,84326430.38853142,84327408.47393528,84328204.58995196
5,2021-07-06,84321707.52348351,84323489.56585404,84324879.2852999,84325973.7166664,84326847.59364115,84321582.10726993,84323376.26597749,84324784.74681781,84325899.95059134,84326794.44878344,84321464.41059627,84323266.67811368,84324689.7069352,84325821.70645663,84326733.21708228,84321354.21225749,84323161.75754844,84324596.24450214,84325742.07351558,84326667.88183394,84321251.02904363,84323061.80019693,84324505.4156972,84325662.7979733,84326600.80161475,84321154.29649127,84322966.77590407,84324417.72362518,84325584.87186727,84326533.40412879,84321063.4489373,84322876.49604909,84324333.36488365,84325508.84883642,84326466.56271297,84320977.95368037,84322790.70039691,84324252.36443597,84325435.02118951,84326400.8103776,84320897.32370952,84322709.10281509,84324174.65173703,84325363.52284576,84326336.46622756,84320821.1203932,84322631.41531813,84324100.10470136,84325294.39094974,84326273.71253258,84320748.95159568,84322557.36040993,84324028.57548645,84325227.6036196,84326212.64296438,84320680.46788825,84322486.67700973,84323959.90571795,84325163.10349642,84326153.29345526,84320615.35815789,84322419.12284009,84323893.9354547,84325100.81263235,84326095.6622981,84320553.34523594,84322354.47487785,84323830.50838302,84325040.64198376,84326039.72343136,84320494.1818269,84322292.52877162,84323769.47471438,84324982.49748369,84325985.43532066
6,2021-07-07,84318475.45076926,84320543.53191818,84322195.20268366,84323518.19219236,84324588.03260554,84318336.92820147,84320414.24106444,84322084.78502563,84323430.53748257,84324524.04060046,84318207.09124334,84320289.33334428,84321973.89477864,84323337.63822788,84324450.35721858,84318085.6660393,84320169.88088576,84321864.95534818,84323243.17085585,84324371.7900465,84317972.0935084,84320056.2022676,84321759.19025151,84323149.20824435,84324291.18261422,84317865.72920406,84319948.24529587,84321657.17536297,84323056.9234568,84324210.25308779,84317765.93125366,84319845.7790661,84321559.12865883,84322966.9671418,84324130.04970556,84317672.09745188,84319748.49318418,84321465.06851238,84322879.67909268,84324051.20976579,84317583.67871316,84319656.04977196,84321374.90288447,84322795.21115433,84323974.11258535,84317500.18152294,84319568.11065058,84321288.48071957,84322713.60071237,84323898.97271468,84317421.16543306,84319484.35115865,84321205.62199457,84322634.81565343,84323825.89824311,84317346.238537,84319404.46666911,84321126.13539252,84322558.78236414,84323754.92806573,84317275.05234934,84319328.1751001,84321049.82865317,84322485.40339346,84323686.05612992,84317207.2967637,84319255.21724787,84320976.51452287,84322414.56868285,84323619.24743882,84317142.69538622,84319185.35597016,84320906.01403196,84322346.16272473,84323554.44873175
7,2021-07-08,84315098.74889114,84317423.69469377,84319323.51880555,84320870.23024203,84322136.25801483,84314950.2304514,84317280.76595147,84319198.72220439,84320769.50993334,84322061.7854145,84314811.15671372,84317142.81920253,84319073.50248614,84320662.84150583,84321976.08244509,84314681.20915754,84317011.02264775,84318950.59384575,84320554.45486027,84321884.75580858,84314559.76704374,84316885.71050844,84318831.36902899,84320446.72953981,84321791.11835894,84314446.12184261,84316766.80842775,84318716.46721114,84320341.00744733,84321697.16856317,84314339.57109077,84316654.04651894,84318606.1232031,84320238.02872847,84321604.12272687,84314239.45760928,84316547.06913899,84318500.34710643,84320138.1760411,84321512.71772426,84314145.18340737,84316445.49221471,84318399.02538309,84320041.6163749,84321423.38977897,84314056.21186896,84316348.93304661,84318301.97897832,84319948.38576846,84321336.3833779,84313972.06470744,84316257.02533025,84318208.99721186,84319858.44107361,84321251.81935698,84313892.31682682,84316169.42612708,84318119.85764115,84319771.69214,84321169.73838381,84313816.59060389,84316085.81843747,84318034.33763759,84319688.02207679,84321090.12921931,84313744.5503021,84316005.91139743,84317952.2209932,84319607.30010305,84321012.94734693,84313675.89692594,84315929.43923295,84317873.3015179,84319529.3897125,84320938.12738626
8,2021-07-09,84311600.67232096,84314152.81907871,84316285.02390593,84318048.31579943,84319508.55933583,84311444.73566422,84313998.45115781,84316147.38170855,84317935.45793977,84319424.08484297,84311298.81640367,84313849.58497295,84316009.37812266,84317816.01240392,84319326.92078753,84311162.56080921,84313707.46685258,84315874.02401204,84317694.72408685,84319223.43871164,84311035.30068271,84313572.44163789,84315742.8236546,84317574.2568488,84319117.39996117,84310916.27857898,84313444.41411622,84315616.4707879,84317456.10822994,84319011.07017992,84310804.7459999,84313323.07975061,84315495.21333928,84317341.10007042,84318905.82526147,84310700.00413254,84313208.0433023,84315379.05227399,84317229.65337701,84318802.49608919,84310601.41803841,84313098.88058692,84315267.8533113,84317121.94781491,84318701.5721114,84310508.41860351,84312995.17043644,84315161.41105522,84317018.01690014,84318603.32532087,84310420.49906033,84312896.51069054,84315059.48630153,84316917.80609891,84318507.88771716,84310337.20936882,84312802.52551383,84314961.82783478,84316821.20889881,84318415.3007409,84310258.1500364,84312712.86799173,84314868.18507674,84316728.0894763,84318325.5473734,84310182.9661135,84312627.22018854,84314778.31525867,84316638.29704016,84318238.57327075,84310111.341681,84312545.29188994,84314691.9872852,84316551.67491795,84318154.30082637
9,2021-07-10,84307997.9309364,84310747.9357768,84313095.6756115,84315066.88984993,84316717.8204647,84307836.60247281,84310584.10248826,84312946.6760691,84314942.86085027,84316623.88633429,84307685.70704713,84310426.2111028,84312797.38232057,84314811.666552,84316515.89040174,84307544.86524092,84310275.571089,84312651.049092,84314678.52646227,84316400.9293998,84307413.37432425,84310132.5345654,84312509.29563114,84314546.36564527,84316283.18932673,84307290.4413,84309996.98770799,84312372.86245571,84314416.82391123,84316165.18823034,84307175.28423552,84309868.59615178,84312242.00768588,84314290.79713584,84316048.45225829,84307067.17409538,84309746.93092962,84312116.7229398,84314168.74045315,84315933.90035054,84306965.4491317,84309631.53387202,84311996.85448542,84314050.84409231,84315822.07138987,84306869.51665801,84309521.95132901,84311882.17268027,84313937.1382456,84315713.26249865,84306778.8492542,84309417.75093952,84311772.41228512,84313827.5570083,84315607.61540447,84306692.97879696,84309318.52921389,84311667.2959537,84313721.97802529,84315505.17151918,84306611.4899428,84309223.91413069,84311566.54781206,84313620.247365,84315405.90767273,84306534.01381929,84309133.56506528,84311469.90111504,84313522.19522695,84315309.75961536,84306460.2222454,84309047.17134492,84311377.10233204,84313427.64586614,84315216.63763511
