,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334123.60728943,84334259.40224579,84334350.00985666,84334414.00544201,84334461.19570555,84334110.97268064,84334250.17960073,84334343.3637372,84334409.3418519,84334458.09367038,84334098.95922124,84334241.16345218,84334336.62619199,84334404.36368433,84334454.50322996,84334087.57115205,84334232.44189379,84334329.9449618,84334399.26363674,84334450.65272403,84334076.78309879,84334224.05041678,84334323.39869286,84334394.15262267,84334446.67836754,84334066.55784154,84334215.99742994,84334317.0281168,84334389.09541889,84334442.66364135,84334056.85466176,84334208.27731963,84334310.8525046,84334384.12975223,84334438.66054738,84334047.6332679,84334200.8773855,84334304.87874728,84334379.27702154,84334434.70166193,84334038.85557096,84334193.78161612,84334299.10654679,84334374.54855919,84334430.8072547,84334030.48639303,84334186.97277097,84334293.53146495,84334369.94940531,84334426.98963763,84334022.49364424,84334180.4335273,84334288.14675099,84334365.48064235,84334423.25589764,84334014.84824075,84334174.14709942,84334282.9444518,84334361.14086944,84334419.60965478,84334007.52390441,84334168.09755553,84334277.91609101,84334356.9271488,84334416.0522159,84334000.49691671,84334162.26996067,84334273.05308391,84334352.83562094,84334412.58334431,84333993.74586478,84334156.65041928,84334268.34698778,84334348.86190775,84334409.2017802
1,2021-07-02,84332965.47968274,84333311.14007874,84333549.55057842,84333721.74453282,84333850.75561322,84332935.13353801,84333287.94969182,84333532.32232283,84333709.39315225,84333842.40895262,84332906.3784154,84333265.33731994,84333514.89080429,84333696.2271786,84333832.7576567,84332879.2087801,84333243.51870407,84333497.63833046,84333682.75863898,84333822.4185974,84332853.54964723,84333222.57652037,84333480.76638453,84333669.28112052,84333811.75920764,84332829.2996277,84333202.52554807,84333464.37753299,84333655.9650935,84333801.00409901,84332806.35087378,84333183.34589061,84333448.51860629,84333642.90897144,84333790.29266441,84332784.59826015,84333165.00052185,84333433.20448573,84333630.16778575,84333779.71176206,84332763.94337915,84333147.4447678,84333418.43166433,84333617.76991646,84333769.31502117,84332744.29599586,84333130.63148177,84333404.18618375,84333605.72716308,84333759.1346312,84332725.5742627,84333114.51385379,84333390.44836959,84333594.04096135,84333749.18874419,84332707.70434782,84333099.04689313,84333377.19569114,84333582.70629965,84333739.4862317,84332690.619811,84333084.18815729,84333364.40449692,84333571.71422516,84333730.02980196,84332674.26089698,84333069.898051,84333352.0510638,84333561.0534665,84333720.81807539,84332658.57383147,84333056.1398821,84333340.11222067,84333550.7114917,84333711.8469847
2,2021-07-03,84331423.52687584,84332016.76455103,84332438.49154113,84332749.4553298,84332985.9298717,84331374.29429415,84331977.5212299,84332408.49795204,84332727.51265691,84332970.87710413,84331327.77473935,84331939.34068918,84332378.20179051,84332704.15217562,84332953.48699597,84331283.93739355,84331902.5791928,84332348.26736297,84332680.28604744,84332934.87602597,84331242.64130607,84331867.36680135,84332319.04158857,84332656.43545626,84332915.70827028,84331203.70564316,84331833.71908179,84332290.69825962,84332632.90141444,84332896.3887201,84331166.94184676,84331801.59385498,84332263.3140208,84332609.85628553,84332877.16784137,84331132.1681499,84331770.92102087,84332236.91015181,84332587.39516564,84332858.20093302,84331099.21566345,84331741.61856776,84332211.47632876,84332565.56583814,84332839.58318917,84331067.93038267,84331713.60122915,84332186.98448569,84332544.38677983,84332821.37110274,84331038.17323658,84331686.78511935,84332163.39704928,84332523.85825618,84332803.59589447,84331009.81923957,84331661.09012668,84332140.67188485,84332503.96929455,84332786.27213378,84330982.75627987,84331636.44104247,84332118.76527613,84332484.70213364,84332769.40337986,84330956.88381274,84331612.76797633,84332097.63370848,84332466.03509347,84332752.98593101,84330932.11158888,84331590.00637299,84332077.23491378,84332447.94443849,84332737.01134893
3,2021-07-04,84329588.79951885,84330442.23302528,84331066.27678636,84331535.47611059,84331897.361782,84329521.7805064,84330386.65118486,84331022.63504544,84331502.92473981,84331874.7059109,84329458.60432506,84330332.67819382,84330978.61909962,84331468.30928326,84331848.55339988,84329399.2033916,84330280.80734389,84330935.19362216,84331432.9861452,84331820.59006284,84329343.36336876,84330231.21041135,84330892.85818848,84331397.72783144,84331791.8172827,84329290.81919399,84330183.89761958,84330851.85933824,84331362.97830898,84331762.84441508,84329241.29856794,84330138.79863982,84330812.3021625,84331328.98986986,84331734.04709813,84329194.54123665,84330095.80497502,84330774.21156964,84331295.899943,84331705.65716457,84329150.30679499,84330054.79257165,84330737.56704703,84331263.77583799,84331677.81575195,84329108.37699223,84330015.6339426,84330702.32287847,84331232.64160739,84331650.60571131,84329068.55544303,84329978.20457637,84330668.42010753,84331202.4945707,84331624.07192688,84329030.66618234,84329942.38617669,84330635.79368645,84331173.31567669,84331598.23434728,84328994.551782,84329908.06812748,84330604.37675375,84331145.07609722,84331573.09650095,84328960.07138418,84329875.14796506,84330574.1031699,84331117.74146605,84331548.65114701,84328927.0988198,84329843.53130364,84330544.90898262,84331091.27461848,84331524.88407163
4,2021-07-05,84327518.66777839,84328631.16544867,84329466.41579762,84330106.06819625,84330606.08659217,84327435.8886994,84328559.90370002,84329409.01299249,84330062.4539713,84330575.3062845,84327358.0084022,84328490.81855544,84329351.19437663,84330016.12116557,84330539.80166127,84327284.91661628,84328424.52956781,84329294.2263072,84329968.89090277,84330501.86966312,84327216.32527521,84328361.24294543,84329238.75962307,84329921.79729189,84330462.87300438,84327151.88747093,84328300.95854823,84329185.11108677,84329875.43196192,84330423.6392279,84327091.25082207,84328243.57440825,84329133.41135317,84329830.12875788,84330384.67695005,84327034.08076414,84328188.94120368,84329083.68609042,84329786.06736445,84330346.29872425,84326980.06966834,84328136.89116283,84329035.90191159,84329743.3336217,84330308.69361377,84326928.9392352,84328087.25344084,84328989.99301471,84329701.95569347,84330271.97146094,84326880.43976094,84328039.86215422,84328945.87689027,84329661.9262808,84330236.19062437,84326834.34804714,84327994.56036146,84328903.46366338,84329623.21652366,84330201.37575026,84326790.46482962,84327951.201788,84328862.66164877,84329585.78482494,84330167.52937087,84326748.61215371,84327909.6512999,84328823.38061453,84329549.5825046,84330134.63958946,84326708.63089395,84327869.78469726,84328785.53364286,84329514.55743977,84330102.68523338
5,2021-07-06,84325263.28015213,84326623.50069216,84327670.75755356,84328486.9766974,84329133.27733469,84325167.26642004,84326537.86082155,84327600.06083941,84328432.29684454,84329094.16562894,84325077.08020818,84326454.95473701,84327528.93524158,84328374.26170036,84329049.08124101,84324992.56744385,84326375.51321717,84327458.93741459,84328315.15850629,84329000.95039466,84324913.37134491,84326299.76923415,84327390.86187892,84328256.28253368,84328951.50715207,84324839.07066911,84326227.70868215,84327325.09039482,84328198.37175009,84328901.80257976,84324769.24124035,84326159.19666056,84327261.77550042,84328141.83987044,84328852.4808843,84324703.48242709,84326094.04305868,84327200.94099736,84328086.90706918,84328803.9363566,84324641.42719877,84326032.0371855,84327142.53873873,84328033.67600857,84328756.4060723,84324582.74445212,84325972.96606447,84327086.4814831,84327982.17737927,84328710.02641836,84324527.13778877,84325916.62389028,84327032.66220246,84327932.39782873,84328664.86848821,84324474.34279107,84325862.8166268,84326980.96551642,84327884.29740688,84328620.96073896,84324424.12380062,84325811.36391588,84326931.27445179,84327837.82061341,84328578.30376154,84324376.27068326,84325762.09950675,84326883.47438115,84327792.90345606,84328536.88005292,84324330.5958005,84325714.8708899,84326837.45523971,84327749.47797747,84328496.6605573
6,2021-07-07,84322860.14712799,84324450.5668318,84325705.06818083,84326699.47611797,84327496.69456981,84322753.4958697,84324352.17379095,84325621.90598497,84326634.03828822,84327449.27387701,84322653.44841713,84324257.03797185,84325538.32578354,84326564.64215884,84327394.64523867,84322559.8096716,84324165.98503979,84325456.15537341,84326494.02921927,84327336.3648245,84322472.16268118,84324079.26776654,84325376.32184073,84326423.74813712,84327276.5377584,84322390.0224132,84323996.85602783,84325299.26541194,84326354.67789084,84327216.43779077,84322312.903725,84323918.58253954,84325225.15670529,84326287.30828963,84327156.8436093,84322240.35026899,84323844.21831046,84325154.01552807,84326221.89726171,84327098.23004118,84322171.9451771,84323773.51231061,84325085.7778975,84326158.56227894,84327040.88098198,84322107.31322718,84323706.21229765,84325020.33472656,84326097.33506441,84326984.95823446,84322046.11914277,84323642.07547812,84324957.55449156,84326038.19509704,84326930.54458685,84321988.06429166,84323580.87360047,84324897.29660368,84325981.09050435,84326877.67136551,84321932.8828884,84323522.39498241,84324839.41927126,84325925.95126398,84326826.33637652,84321880.3382268,84323466.44486298,84324783.78404593,84325872.69761536,84326776.51576035,84321830.21917774,84323412.84486361,84324730.2583504,84325821.245436,84326728.17191394
7,2021-07-08,84320339.43319598,84322138.55864303,84323591.49177924,84324762.22782129,84325712.16391577,84320224.60251121,84322029.17748725,84323496.91881008,84324686.55920084,84325656.62975404,84320116.99236713,84321923.52732567,84323401.95718691,84324606.37285718,84325592.69028042,84320016.37212151,84321822.51254593,84323308.68194954,84324524.84318253,84325524.51889934,84319922.27518971,84321726.39983954,84323218.13966526,84324443.75933868,84325454.5836829,84319834.16475081,84321635.14240398,84323130.8219582,84324364.13326488,84325384.37558174,84319751.50658932,84321548.54255205,84323046.9139228,84324286.52574396,84325314.80390209,84319673.79976775,84321466.33567236,84322966.42981029,84324211.22917514,84325246.42120364,84319600.5877053,84321388.23420386,84322889.28945883,84324138.37374578,84325179.55612256,84319531.4601476,84321313.95059668,84322815.36231995,84324067.99090372,84325114.39431079,84319466.05103941,84321243.20896398,84322744.49318635,84324000.05218153,84325051.02905852,84319404.03473291,84321175.75055976,84322676.51731442,84323934.49336793,84324989.49364628,84319345.1217104,84321111.33587201,84322611.2692731,84323871.22975062,84324929.78239083,84319289.05437888,84321049.74487785,84322548.58802393,84323810.16580425,84324871.86453317,84319235.60318103,84320990.77633081,84322488.31971374,84323751.2013627,84324815.69350539
8,2021-07-09,84317720.46886499,84319705.39617242,84321345.70769063,84322688.70292734,84323791.23064768,84317599.55259268,84319586.73483625,84321240.8540666,84322603.44393794,84323727.88259242,84317486.32496439,84319472.2203829,84321135.65338553,84322513.15450889,84323654.9837342,84317380.52687928,84319362.821494,84321032.40263358,84322421.41556102,84323577.30373463,84317281.6531596,84319258.8143757,84320932.2545142,84322330.24125478,84323497.66072376,84317189.12712005,84319160.13610287,84320835.7452616,84322240.76718555,84323417.75459653,84317102.37698203,84319066.56155182,84320743.07136455,84322153.61948267,84323338.61982717,84317020.86780687,84318977.79454537,84320654.24056672,84322069.12164734,84323260.88303182,84316944.11281991,84318893.51543635,84320569.15680496,84321987.41463459,84323184.91507357,84316871.67519508,84318813.40583552,84320487.66904733,84321908.52858031,84323110.92372331,84316803.1655794,84318737.16106567,84320409.59976418,84321832.42662464,84323039.011583,84316738.23791233,84318664.49593355,84320334.76161021,84321759.03215648,84322969.21307662,84316676.58477338,84318595.14685233,84320262.96714272,84321688.24596284,84322901.51849113,84316617.93283628,84318528.8719935,84320194.03436492,84321619.95710371,84322835.88982259,84316562.03868124,84318465.45040898,84320127.78974134,84321554.04982017,84322772.27133441
9,2021-07-10,84315018.44063547,84317165.62566222,84318980.71552972,84320490.23590684,84321743.7112485,84314893.13105473,84317039.26880348,84318866.72444694,84320396.09180515,84321672.91984858,84314775.84897603,84316917.4135926,84318752.43473518,84320296.45181227,84321591.49304155,84314666.31437244,84316801.08057398,84318640.33998808,84320195.27404663,84321504.77000766,84314563.99392357,84316690.55238083,84318531.68606098,84320094.7807321,84321415.9027527,84314468.28196447,84316585.75140244,84318427.04752454,84319996.22119948,84321326.78998588,84314378.57945935,84316486.42863648,84318326.62972815,84319900.28113154,84321238.58485958,84314294.32682855,84316392.2607877,84318230.43348302,84319807.31183991,84321151.98383091,84314215.01543757,84316302.90082337,84318138.34758425,84319717.4633044,84321067.39723943,84314140.18923874,84316218.00414205,84318050.20192382,84319630.76357818,84320985.05319133,84314069.44203755,84316137.24166948,84317965.79838862,84319547.16725226,84320905.0624672,84314002.41302666,84316060.30585375,84317884.92891333,84319466.58554593,84320827.45994537,84313938.78185886,84315986.91279495,84317807.38595659,84319388.90521638,84320752.23150034,84313878.26385318,84315916.80229671,84317732.96844181,84319314.00052477,84320679.33171341,84313820.6055897,84315849.73684026,84317661.48495793,84319241.74081725,84320608.69565782
