,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333634.86195712,84333863.90771094,84334018.68619719,84334128.94430412,84334210.7458855,84333613.7296844,84333848.24079666,84334007.28012386,84334120.88315803,84334205.35573103,84333593.66454928,84333832.94029996,84333995.72570366,84334112.282806,84334199.11919034,84333574.66935919,84333818.15443479,84333984.27636953,84334103.47676525,84334192.43363367,84333556.69780108,84333803.9418205,84333973.06653261,84334094.65673733,84334185.53598368,84333539.68428287,84333790.31510088,84333962.16536476,84334085.93444525,84334178.571309,84333523.55787961,84333777.26323569,84333951.60517092,84334077.37474935,84334171.6298545,84333508.24883968,84333764.76331526,84333941.39703761,84334069.01424842,84334164.7680451,84333493.69148575,84333752.78697492,84333931.53976965,84334060.87213942,84334158.02089162,84333479.82533503,84333741.3039188,84333922.0251327,84334052.95676048,84334151.40956883,84333466.59533934,84333730.28385063,84333912.8409904,84334045.26963504,84334144.94617574,84333453.95170088,84333719.6975074,84333903.97320612,84334037.80802365,84334138.63679722,84333441.84949821,84333709.51718105,84333895.40680303,84334030.56656043,84334132.48351201,84333430.24824311,84333699.71694598,84333887.12666987,84334023.53831513,84334126.48573147,84333419.11142977,84333690.27271841,84333879.11798482,84334016.71548776,84334120.64110392
1,2021-07-02,84331682.8239644,84332246.5677066,84332642.14676559,84332931.33631465,84333149.93475151,84331633.8373812,84332208.364142,84332613.36276628,84332910.48879948,84333135.73840481,84331587.49885647,84332171.16244324,84332584.26856622,84332888.28288299,84333119.33169332,84331543.7865186,84332135.31304792,84332555.50229503,84332865.58428812,84333101.76606269,84331502.56781225,84332100.94652446,84332527.39847341,84332842.8884011,84333083.6672917,84331463.66926803,84332068.08177474,84332500.12580651,84332820.48197727,84333065.4174009,84331426.90860462,84332036.68108395,84332473.75978956,84332798.52977821,84333047.25299685,84331392.10933815,84332006.67911455,84332448.32266606,84332777.12321863,84333029.32109115,84331359.10700542,84331977.99851373,84332423.80617623,84332756.30873777,84333011.71207258,84331327.7513072,84331950.5583864,84332400.1848466,84332736.10486427,84332994.47983842,84331297.90627955,84331924.27885868,84332377.42389934,84332716.51273984,84332977.65442944,84331269.44954918,84331899.08345577,84332355.48401399,84332697.5227399,84332961.25014511,84331242.27120793,84331874.90024404,84332334.3242052,84332679.11870362,84332945.27085686,84331216.27257653,84331851.66227217,84332313.90355211,84332661.28066647,84332929.71354254,84331191.36499071,84331829.30761863,84332294.18221812,84332643.98663771,84332914.57066797
2,2021-07-03,84329148.70275888,84330088.69578493,84330770.4764266,84331280.6075262,84331672.83420649,84329071.51989728,84330025.75046724,84330721.56222135,84331244.37639016,84331647.74187379,84328998.72322977,84329964.60157073,84330672.21284193,84331205.8386452,84331618.77192545,84328930.24179243,84329905.81072173,84330623.51012018,84331166.50336994,84331587.79026963,84328865.83469892,84329849.57564849,84330576.01535517,84331127.23064926,84331555.90560739,84328805.2016582,84329795.91091704,84330530.00647298,84331088.51532364,84331523.79293346,84328748.0331558,84329744.73952325,84330485.6028517,84331050.63906436,84331491.86864649,84328694.03279954,84329695.94086982,84330442.83388308,84331013.75573146,84331460.38999511,84328642.92644177,84329649.37639919,84330401.67789564,84330977.94110642,84331429.51382153,84328594.46495168,84329604.90336381,84330362.08480872,84330943.22275905,84331399.33241153,84328548.42397879,84329562.38212807,84330323.98955022,84330909.59842744,84331369.89597608,84328504.60236631,84329521.67987753,84330287.32008383,84330877.04755013,84331341.2270726,84328462.82004437,84329482.67231332,84330252.00221999,84330845.53860907,84331313.3300318,84328422.91581438,84329445.24421696,84330217.96247381,84330815.03385378,84331286.19721586,84328384.74522169,84329409.28939117,84330185.12972187,84330785.49235757,84331259.8132247
3,2021-07-04,84326187.19193208,84327508.19051501,84328495.2092737,84329249.52818617,84329838.67927375,84326084.45948757,84327420.95180696,84328425.4677261,84329196.78350873,84329801.56771685,84325987.79121855,84327336.37001608,84328355.2175213,84329140.74964967,84329758.75951232,84325897.05280916,84327255.2045424,84328285.99746561,84329083.62896718,84329713.02398175,84325811.88894778,84327177.70879343,84328218.59867704,84329026.672188,84329666.00416763,84325731.87093382,84327103.88347621,84328153.40640613,84328970.59497808,84329618.69791295,84325656.5629502,84327033.60452068,84328090.57976225,84328915.801259,84329571.71855149,84325585.55102074,84326966.68976851,84328030.15025517,84328862.5085047,84329525.44302529,84325518.45437682,84326902.93437031,84327972.07759756,84328810.82067657,84329480.09937634,84325454.92847084,84326842.1296256,84327916.2820751,84328760.7719623,84329435.82011826,84325394.66410033,84326784.0728336,84327862.66363609,84328712.35364103,84329392.6756783,84325337.38484152,84326728.57217933,84327811.11324754,84328665.53089802,84329350.69582488,84325282.84388041,84326675.44885622,84327761.5196499,84328620.25349864,84329309.88365312,84325230.82077275,84326624.53765506,84327713.77332689,84328576.46262908,84329270.22485206,84325181.1183798,84326575.68671826,84327667.76877037,84328534.09530067,84329231.69391917
4,2021-07-05,84322884.98199745,84324575.40500988,84325872.8994311,84326883.88189748,84327685.02192056,84322760.1654145,84324465.44437057,84325782.67282635,84326814.31396557,84327635.34371622,84322642.93354692,84324359.00644636,84325691.91099018,84326740.48640823,84327578.08514866,84322533.08401719,84324257.02795544,84325602.6002129,84326665.31002188,84327516.96453178,84322430.15124603,84324159.80631235,84325515.75348699,84326590.43261208,84327454.18496595,84322333.58618517,84324067.3217873,84325431.85680078,84326516.79247099,84327391.08145155,84322242.83626296,84323979.39973302,84325351.10357706,84326444.9151427,84327328.47188234,84322157.37975748,84323895.79481189,84325273.52300979,84326375.07986766,84327266.85654937,84322076.73882361,84323816.23544955,84325199.05257773,84326307.4163879,84327206.53598058,84322000.48247764,84323740.44730479,84325127.57998498,84326241.96292582,84327147.68279526,84321928.2249759,84323668.16538914,84325058.9678002,84326178.70173442,84327090.38669337,84321859.62224737,84323599.13994858,84324993.06804076,84326117.58129877,84327034.68325135,84321794.36768527,84323533.13889508,84324929.73078853,84326058.53039087,84326980.57269101,84321732.18792525,84323469.94834107,84324868.80920504,84326001.46704583,84326928.03229506,84321672.83889559,84323409.37211494,84324810.16234992,84325946.30431606,84326877.02471562
5,2021-07-06,84319317.43946812,84321353.7927779,84322956.30399467,84324227.66108294,84325248.89138396,84319174.40635587,84321223.41603692,84322846.6888445,84324141.59475112,84325186.56547652,84319040.26393719,84321097.38846964,84322736.55176054,84324050.34393816,84325114.77986296,84318914.74371529,84320976.79984203,84322628.30075155,84323957.51599546,84325038.21194738,84318797.28066964,84320861.98055924,84322523.15517831,84323865.14725955,84324959.6296874,84318687.21952066,84320752.8864963,84322421.69222477,84323774.39220896,84324880.70698927,84318583.9057663,84320649.29229493,84322324.13371834,84323685.89302991,84324802.46634512,84318486.72429188,84320550.89136837,84322230.50292109,84323599.98681812,84324725.5305105,84318395.11355332,84320457.348425,84322140.71294643,84323516.82599498,84324650.271152,84318308.5683582,84320368.32700321,84322054.61776507,84323436.45034328,84324576.89945105,84318226.63748376,84320283.50353411,84321972.04206829,84323358.83110756,84324505.52279323,84318148.91916841,84320202.57403074,84321892.79886542,84323283.8984808,84324436.18101738,84318075.05595447,84320125.25672264,84321816.69981652,84323211.55896154,84324368.87001267,84318004.72958468,84320051.29247832,84321743.56119409,84323141.70640455,84324303.55730355,84317937.65626541,84319980.44405417,84321673.20718691,84323074.22907679,84324240.19245945
6,2021-07-07,84315548.84412767,84317899.81876047,84319794.00722027,84321322.54799327,84322566.22698462,84315391.47770438,84317751.73253833,84319666.60752979,84321220.77767101,84322491.53830044,84315244.06660363,84317608.75065714,84319538.7302047,84321112.96591383,84322405.56776345,84315106.28299959,84317472.0905603,84319413.1684652,84321003.38457958,84322313.93379557,84314977.47744861,84317342.10600866,84319291.32784915,84320894.43898873,84322219.9575014,84314856.90603863,84317218.72689585,84319173.86566101,84320787.48747107,84322125.64362384,84314743.83000562,84317101.67968372,84319061.02633822,84320683.28090008,84322032.21344778,84314637.55750279,84316990.60110262,84318952.82455145,84320582.20904066,84321940.40788826,84314537.45853402,84316885.0976161,84318849.1482772,84320484.44361338,84321850.6664895,84314442.96744128,84316784.77640326,84318749.81812154,84320390.02378802,84321763.23648742,84314353.57981698,84316689.26102823,84318654.62194899,84320298.90844907,84321678.24100462,84314268.84716986,84316598.19875957,84318563.33520676,84320211.00871296,84321595.72261702,84314188.37095422,84316511.26332006,84318475.73279336,84320126.20841564,84321515.67168202,84314111.79672046,84316428.15516157,84318391.5958516,84320044.37711945,84321438.0450211,84314038.80871774,84316348.60044082,84318310.7154848,84319965.37838791,84321362.77837682
7,2021-07-08,84311617.52079155,84314249.9213022,84316418.89005798,84318197.63280801,84319662.62920588,84311449.20930147,84314086.7836527,84316275.46751204,84318081.17219792,84319576.06422512,84311291.68708043,84313929.41889355,84316131.63182707,84317957.88748343,84319476.47952238,84311144.57669795,84313779.14931387,84315990.5219447,84317832.6732807,84319370.40046103,84311007.16063926,84313636.34476338,84315853.70867202,84317708.2793313,84319261.68033837,84310878.62439126,84313500.9096299,84315721.91873574,84317586.25304058,84319152.64130235,84310758.16251478,84313372.52646503,84315595.41426624,84317467.44501375,84319044.69455633,84310645.02271791,84313250.78132465,84315474.199757,84317352.29230744,84318938.69318558,84310538.52126507,84313135.22908679,84315358.13839056,84317240.98281953,84318835.1405144,84310438.0451601,84313025.42730534,84315247.01885502,84317133.55343294,84318734.31701174,84310343.04845546,84312920.95318763,84315140.59424362,84317029.94993897,84318636.35959633,84310253.04623733,84312821.41139786,84315038.60480554,84316930.06425864,84318541.31225938,84310167.60799447,84312726.43686147,84314940.79116668,84316833.75784701,84318449.15894611,84310086.35116823,84312635.69487791,84314846.90184253,84316740.87651381,84318359.84521309,84310008.93522684,84312548.87983428,84314756.6972997,84316651.25982128,84318273.29264565
8,2021-07-09,84307553.50665292,84310433.4405589,84312858.04490082,84314877.34298596,84316559.92866354,84307377.10640793,84310257.75408238,84312700.40386295,84314747.32912397,84316462.10680684,84307212.12142238,84310088.41607119,84312542.42559336,84314609.7843606,84316349.62856245,84307058.13549055,84309926.83365716,84312387.55475615,84314470.17875251,84316229.88138762,84306914.37904303,84309773.3874904,84312237.50689752,84314331.57916337,84316107.22366597,84306779.98399284,84309627.95832787,84312093.06821692,84314195.70610207,84315984.2780184,84306654.094524,84309490.19007461,84311954.51448815,84314063.5005966,84315862.63475196,84306535.91280976,84309359.62482569,84311821.83930857,84313935.44172244,84315743.25212614,84306424.71472296,84309235.77302963,84311694.88222082,84313811.73077857,84315626.69270554,84306319.85175318,84309118.1496939,84311573.40217578,84313692.40115064,84315513.26727064,84306220.7468381,84309006.2924121,84311457.12020327,84313577.3853138,84315403.12470075,84306126.88782032,84308899.76953496,84311345.74429184,84313466.55639206,84315296.30930626,84306037.82030885,84308798.18298936,84311238.98378506,84313359.754243,84315192.79803249,84305953.14077035,84308701.16823076,84311136.55751008,84313256.80193828,84315092.52493499,84305872.49020125,84308608.3927175,84311038.1981253,84313157.51618329,84314995.39744946
9,2021-07-10,84303363.32406573,84306460.03901123,84309121.9578723,84311371.90981932,84313267.64244604,84303180.86723682,84306273.86804855,84308951.7043921,84311229.41623318,84313159.18446486,84303010.28939606,84306094.53384784,84308781.1923369,84311078.75161213,84313034.53165388,84302851.1460526,84305923.51325494,84308614.136841,84310925.91644518,84312901.88785025,84302702.62934229,84305761.19478826,84308452.38061623,84310774.26910675,84312766.08912933,84302563.83165526,84305607.43843687,84308296.76127858,84310625.68852556,84312630.04169889,84302433.85995656,84305461.85495014,84308147.56542568,84310481.19785066,84312495.5043795,84302311.88274574,84305323.94897762,84308004.77583908,84310341.31370129,84312363.53391898,84302197.14600414,84305193.19326186,84307868.21008833,84310206.24863853,84312234.74792427,84302088.97492415,84305069.0667878,84307737.59988567,84310076.03185156,84312109.48490861,84301986.76939231,84304951.07366727,84307612.6370886,84309950.58268835,84311987.90420401,84301889.99705912,84304838.75160043,84307493.00045216,84309829.75620651,84311870.04964817,84301798.18582715,84304731.6746931,84307378.37105168,84309713.37171794,84311755.89087662,84301710.9166046,84304629.45326361,84307268.44094296,84309601.23078744,84311645.35045877,84301627.81668085,84304531.73210815,84307162.91775075,84309493.12858273,84311538.32191312
