,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333977.42446086,84334141.6916825,84334251.7180687,84334329.63024972,84334387.18865885,84333962.17951398,84334130.51128608,84334243.63619684,84334323.94690464,84334383.40232168,84333947.69020027,84334119.58459333,84334235.44498233,84334317.88116579,84334379.02032173,84333933.96070738,84334109.01809072,84334227.32405742,84334311.66795945,84334374.3214982,84333920.95957786,84334098.85444462,84334219.36893865,84334305.44244891,84334369.47216445,84333908.64117642,84334089.10349602,84334211.62900077,84334299.28352325,84334364.5742195,84333896.95575847,84334079.75811604,84334204.12751377,84334293.2370841,84334359.6911126,84333885.8541942,84334070.80262087,84334196.87269922,84334287.32912664,84334354.86256818,84333875.29009597,84334062.21734914,84334189.86404845,84334281.5733779,84334350.11328284,84333865.22065936,84334053.98118311,84334183.09603237,84334275.97590053,84334345.45823814,84333855.60686451,84334046.07293531,84334176.56032391,84334270.53793967,84334340.9060387,84333846.4133671,84334038.47209525,84334170.24714746,84334265.25772034,84334336.46105954,84333837.60824798,84334031.15921018,84334164.14610343,84334260.13160104,84334332.12485504,84333829.16270967,84334024.11605482,84334158.2466715,84334255.15482312,84334327.89709862,84333821.05076408,84334017.32568042,84334152.53851376,84334250.32200162,84334323.77621801
1,2021-07-02,84332576.91047415,84332990.7951075,84333277.75739978,84333485.7811409,84333642.05699894,84332540.68779811,84332962.94266808,84333256.97707814,84333470.83701696,84333631.93476151,84332506.38214609,84332935.79543409,84333235.95802793,84333454.91089922,84333620.23221825,84332473.98402521,84332909.6114267,84333215.16125098,84333438.62262288,84333607.69795403,84332443.40135813,84332884.48870361,84333194.82931414,84333422.32737292,84333594.77774686,84332414.51092918,84332860.44381516,84333175.08535174,84333406.23119356,84333581.74398911,84332387.1821725,84332837.45177555,84333155.98525016,84333390.45286532,84333568.76562408,84332361.28808446,84332815.46715645,84333137.54638669,84333375.05865274,84333555.94783229,84332336.70994245,84332794.4354724,84333119.76400635,84333360.08257613,84333543.35547347,84332313.33899616,84332774.29938494,84333102.6208019,84333345.53861071,84333531.02740097,84332291.07668483,84332755.00206272,84333086.09262495,84333331.42821527,84333518.9854485,84332269.83416139,84332736.48894806,84333070.1519319,84333317.7450728,84333507.24020433,84332249.53152117,84332718.70861937,84333054.76987267,84333304.47812292,84333495.79479404,84332230.09693713,84332701.6131392,84333039.91755086,84333291.6135237,84333484.64739844,84332211.46580216,84332685.15811141,84333025.56677136,84333279.13593002,84333473.79295175
2,2021-07-03,84330726.2683473,84331430.42796673,84331934.07918853,84332307.10977021,84332591.73529884,84330668.01974083,84331383.6732761,84331898.16355133,84332280.73528023,84332573.58983542,84330613.01157746,84331338.20555118,84331861.8986289,84332252.6642532,84332552.63090761,84330561.20221877,84331294.44704619,84331826.07955886,84332223.99373959,84332530.20543754,84330512.42034265,84331252.55026779,84331791.12076887,84332195.35008743,84332507.11432053,84330466.4481495,84331212.53141901,84331757.2291437,84332167.09462678,84332483.84573527,84330423.05935866,84331174.3381385,84331724.49521106,84332139.43388869,84332460.70136464,84330382.03628951,84331137.88506654,84331692.94326848,84332112.48147911,84332437.868059,84330343.1769676,84331103.07290885,84331662.55987506,84332086.29414405,84332415.46016733,84330306.29741377,84331069.7987251,84331633.310461,84332060.8934426,84332393.5453761,84330271.2316309,84331037.96142195,84331605.14918594,84332036.27909657,84332372.1609184,84330237.8305418,84331007.46457545,84331578.02485299,84332012.43737617,84332351.32397737,84330205.9605083,84330978.21774995,84331551.88446617,84331989.34644744,84332331.03849131,84330175.50174692,84330950.13697024,84331526.67535459,84331966.9798187,84332311.29967542,84330146.34679386,84330923.14472203,84331502.34641331,84331945.30857556,84332292.09706426
3,2021-07-04,84328536.06636266,84329541.92960213,84330282.3029224,84330841.7483399,84331274.89747773,84328457.31168576,84329476.14082178,84330230.36210184,84330802.84255545,84331247.7289834,84328383.11342178,84329412.28670062,84330177.99624014,84330761.48221724,84331216.37431668,84328313.38499735,84329350.94772558,84330126.35284081,84330719.28954005,84331182.8568353,84328247.86830044,84329292.32350542,84330076.02485235,84330677.1876159,84331148.3779927,84328186.24662352,84329236.42262118,84330027.30372348,84330635.70625141,84331113.66845228,84328128.19567922,84329183.15868482,84329980.31252989,84330595.14589739,84331079.17823482,84328073.40612069,84329132.40054576,84329935.07903571,84330555.66964301,84331045.18472601,84328021.59257388,84329083.99903466,84329891.57712343,84330517.35679224,84331011.85647553,84327972.49622607,84329037.80127032,84329849.75087056,84330480.2350179,84330979.29212448,84327925.88438566,84328993.65819836,84329809.52878195,84330444.30013202,84330947.54480769,84327881.54870227,84328951.42838049,84329770.83228303,84330409.52847663,84330916.63779873,84327839.302888,84328910.97968814,84329733.58079265,84330375.8848027,84330886.5747299,84327798.98035379,84328872.18982658,84329697.69472252,84330343.32733029,84330857.3463711,84327760.43195646,84328834.94621727,84329663.09720379,84330311.81101528,84330828.93518153
4,2021-07-05,84326073.49858595,84327377.40028599,84328362.99837217,84329121.7961653,84329717.43050082,84325976.70550895,84327293.4827067,84328295.01761581,84329069.91217509,84329680.68184094,84325885.68752094,84327212.16661263,84328226.5717111,84329014.81162989,84329638.30287592,84325800.3071666,84327134.17711915,84328159.15943265,84328958.6623354,84329593.03845389,84325720.22023751,84327059.75223093,84328093.5492673,84328902.69411205,84329546.51637493,84325645.01495624,84326988.88724372,84328030.11362095,84328847.60954934,84329499.72451228,84325574.27425876,84326921.45805003,84327969.00448309,84328793.80421482,84329453.2694349,84325507.6028536,84326857.2853291,84327910.24968842,84328741.49018976,84329407.52336708,84325444.63771477,84326796.1685513,84327853.80738644,84328690.76795802,84329362.71099372,84325385.05073403,84326737.90402663,84327799.597607,84328641.66949832,84329318.96240522,84325328.5477416,84326682.29430218,84327747.52085128,84328594.18473691,84329276.3462635,84325274.86596422,84326629.15278937,84327697.46913297,84328548.27809174,84329234.8910451,84325223.77094042,84326578.30574186,84327649.33253068,84328503.8989653,84329194.59889992,84325175.0533891,84326529.59276797,84327603.00302684,84328460.98846145,84329155.45482932,84325128.52625982,84326482.86654878,84327558.37668715,84328419.48370391,84329117.43283655
5,2021-07-06,84323399.18220715,84324985.96060519,84326215.89632544,84327179.73878832,84327946.29912034,84323287.3509614,84324885.54297765,84326132.53195286,84327114.9621263,84327899.78940211,84323182.35743284,84324788.37517379,84326048.69526765,84327046.23297167,84327846.1905426,84323084.01286611,84324695.3087278,84325966.22057532,84326976.26259965,84327788.98556206,84322991.89369489,84324606.61110032,84325886.04185554,84326906.58491513,84327730.23760298,84322905.50264552,84324522.26041241,84325808.60585006,84326838.07253203,84327671.19632357,84322824.34025367,84324442.09376885,84325734.08901228,84326771.21349098,84327612.62686001,84322747.93550713,84324365.88419959,84325662.51623012,84326706.26644528,84327554.99681863,84322675.8573693,84324293.38122027,84325593.827876,84326643.35090126,84327498.58672264,84322607.7173258,84324224.33221014,84325527.91856408,84326582.50125049,84327443.55735162,84322543.16782716,84324158.49342252,84325464.65990135,84326523.69988826,84327389.99189731,84322481.8990084,84324095.63530333,84325403.91394062,84326466.8978874,84327337.9229398,84322423.63485141,84324035.5446655,84325345.54111718,84326412.02807859,84327287.35002545,84322368.12934913,84323978.0251382,84325289.40485948,84326359.01339863,84327238.2512906,84322315.16292419,84323922.89669184,84325235.37417243,84326307.7722374,84327190.59123714
6,2021-07-07,84320557.15389128,84322405.18583234,84323872.43234023,84325041.88630985,84325983.70865135,84320433.30397817,84322290.2258171,84323774.73569012,84324964.65378678,84325927.52235824,84320317.17355236,84322179.11956047,84323676.58630198,84324882.77622737,84325862.81211539,84320208.52648512,84322072.82578091,84323580.12983577,84324799.49119484,84325793.79546793,84320106.87038405,84321971.63348714,84323486.45196916,84324716.6257673,84325722.96794893,84320011.63522731,84321875.50160377,84323396.06586096,84324635.21534774,84325651.83843917,84319922.25213563,84321784.2295086,84323309.16797271,84324555.83550538,84325581.32838358,84319838.18672872,84321697.54522482,84323225.77789094,84324478.78801739,84325511.99878441,84319758.9513342,84321615.15171342,84323145.81715657,84324404.2089774,84325444.1842667,84319684.10733406,84321536.7511211,84323069.15472703,84324332.13346021,84325378.07478972,84319613.26305154,84321462.05714782,84322995.63358349,84324262.53510273,84325313.76676838,84319546.06980667,84321390.80091567,84322925.08640225,84324195.35076882,84325251.29575872,84319482.21741837,84321322.73326631,84322857.34475027,84324130.4961205,84325190.6577323,84319421.42975976,84321257.62511183,84322792.24438569,84324067.87552851,84325131.82312506,84319363.46063611,84321195.26675458,84322729.62819102,84324007.3883978,84325074.74621937
7,2021-07-08,84317582.87865914,84319666.50234154,84321359.6429577,84322731.35942872,84323849.50712678,84317449.83463372,84319539.08560482,84321248.90560871,84322642.35190208,84323783.92642571,84317325.20613706,84319416.06501816,84321137.75505577,84322548.06063417,84323708.43900697,84317208.71645933,84319298.48775111,84321028.61915444,84322452.22172892,84323627.97794916,84317099.81690347,84319186.65779786,84320922.71949452,84322356.93883933,84323545.45926553,84316997.87882613,84319080.5144633,84320820.62727313,84322263.39994282,84323462.64320359,84316902.27786738,84318979.82205035,84320722.55482243,84322172.26175395,84323380.60213897,84316812.42927621,84318884.26769413,84320628.51477067,84322083.86517517,84323299.98668596,84316727.80054721,84318793.5125245,84320538.40963608,84321998.36041605,84323221.1828562,84316647.91353334,84318707.21831988,84320452.0833909,84321915.78176217,84323144.40781331,84316572.34184349,84318625.06098504,84320369.3515595,84321836.09328382,84323069.76974607,84316500.70633915,84318546.73684485,84320290.01888292,84321759.21727347,84322997.30611876,84316432.67009169,84318471.96500668,84320213.88963327,84321685.05216303,84322927.0085424,84316367.93344076,84318400.4875938,84320140.77351719,84321613.48389876,84322858.83917771,84316306.22943424,84318332.06886163,84320070.4889048,84321544.3931779,84322792.74167216
8,2021-07-09,84314496.89263834,84316789.67196473,84318695.27681081,84320263.7077891,84321557.223394,84314357.0057048,84316651.76408727,84318572.83629088,84320163.71031527,84321482.63562311,84314226.0614445,84316518.72580187,84318450.03449896,84320057.8459449,84321396.82403228,84314103.75093521,84316391.67643693,84318329.55164066,84319950.3168694,84321305.40976644,84313989.48191719,84316270.93022667,84318212.72961801,84319843.48436914,84321211.71254465,84313882.58079447,84316156.40779264,84318100.18985724,84319738.6777192,84321117.73333631,84313782.38087374,84316047.84203528,84317992.15713479,84319636.6280438,84321024.68850403,84313688.25909996,84315944.88408658,84317888.63619855,84319537.71141021,84320933.31365986,84313599.64896314,84315847.15854381,84317789.5110545,84319442.08991987,84320844.04310343,84313516.04239848,84315754.29211152,84317694.60200608,84319349.79594998,84320757.11911693,84313436.98678878,84315665.92797755,84317603.69886965,84319260.78359461,84320672.66026883,84313362.08002143,84315581.7324315,84317516.58040714,84319174.96062253,84320590.70501779,84313290.96502164,84315501.39725433,84317433.02562386,84319092.20857592,84320511.24003842,84313223.32442698,84315424.63982949,84317352.82019281,84319012.3955011,84320434.21888053,84313158.87569018,84315351.20206876,84317275.75993176,84318935.384024,84320359.57439306
9,2021-07-10,84311313.60395353,84313789.21011381,84315892.716866,84317650.84956609,84319117.33305739,84311168.7195158,84313642.58174875,84315759.88022839,84317540.68889724,84319034.18628274,84311033.16202755,84313501.22610983,84315626.74032222,84317424.13228062,84318938.57129972,84310906.59896046,84313366.32107109,84315496.20081772,84317305.81352036,84318836.76476434,84310788.40621734,84313238.18794104,84315369.70925127,84317188.33171098,84318732.47046389,84310677.87738606,84313116.73052269,84315247.93029614,84317073.14589679,84318627.91785939,84310574.31489156,84313001.65451352,84315131.09846294,84316961.05494688,84318524.45951977,84310477.06775138,84312892.58020127,84315019.21030477,84316852.46636593,84318422.91104731,84310385.54467371,84312789.10106042,84314912.13233575,84316747.55223039,84318323.75180188,84310299.21579798,84312690.81402244,84314809.66293198,84316646.34222214,84318227.2471257,84310217.6094065,84312597.33457471,84314711.5683037,84316548.78038062,84318133.52469046,84310140.30665898,84312508.30362898,84314617.60348292,84316454.76031469,84318042.6232033,84310066.93581526,84312423.38991599,84314527.52447844,84316364.14731152,84317954.52401944,84309997.16662914,84312342.28998123,84314441.09514825,84316276.79231213,84317869.1719447,84309930.70520484,84312264.72694091,84314358.09088396,84316192.54075281,84317786.48906825
