,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334050.83395068,84334201.19204117,84334301.61586587,84334372.59118068,84334424.95256582,84334036.8536179,84334190.97463599,84334294.24707702,84334367.41766629,84334421.50998197,84334023.56207629,84334180.98679349,84334286.77734567,84334361.89540003,84334417.52548434,84334010.96379714,84334171.32603802,84334279.37047195,84334356.23817076,84334413.25250952,84333999.03050293,84334162.03160544,84334272.11362657,84334350.56901896,84334408.84223786,84333987.72083591,84334153.11272916,84334265.05193432,84334344.95979251,84334404.38731556,84333976.98959349,84334144.56311448,84334258.20672393,84334339.45232645,84334399.9454481,84333966.79206927,84334136.36862385,84334251.58559935,84334334.07034056,84334395.55277951,84333957.0860141,84334128.51145996,84334245.18819639,84334328.82638736,84334391.23179466,84333947.83241683,84334120.97247165,84334239.00956382,84334323.72603995,84334386.99614666,84333938.9956972,84334113.73242368,84334233.04218954,84334318.77048224,84334382.85369018,84333930.54361282,84334106.77268174,84334227.27723151,84334313.9581447,84334378.80843277,84333922.44703534,84334100.0755629,84334221.7052704,84334309.28575431,84334374.86181554,84333914.6796766,84334093.62449297,84334216.31676918,84334304.74901696,84334371.01356728,84333907.2178063,84334087.40405314,84334211.10235062,84334300.34306444,84334367.26228201
1,2021-07-02,84332764.31805202,84333146.86173466,84333411.07503901,84333602.0863832,84333745.29395203,84332730.75896911,84333121.17425454,84333391.97063051,84333588.37918092,84333736.02567796,84332698.96384163,84333096.12969154,84333372.64234842,84333573.7688031,84333725.30914229,84332668.92583734,84333071.96675861,84333353.51410598,84333558.82355952,84333713.82944235,84332640.56139603,84333048.77673857,84333334.80922198,84333543.86925891,84333701.99462423,84332613.75784975,84333026.57571447,84333316.64129741,84333529.09503642,84333690.05410105,84332588.395476,84333005.34138556,84333299.0621222,84333514.61004178,84333678.16263415,84332564.35763974,84332985.03250787,84333282.08806384,84333500.47527382,84333666.41663738,84332541.53519961,84332965.59939645,84333265.71510988,84333486.72215472,84333654.87562108,84332519.82810588,84332946.98965532,84333249.92767091,84333473.36370957,84333643.57528716,84332499.14562835,84332929.15128595,84333234.70383127,84333460.40146722,84333632.53575091,84332479.40593739,84332912.03432624,84333220.01851971,84333447.8298071,84333621.76682451,84332460.53540729,84332895.59165484,84333205.84543276,84333435.63874063,84333611.27147889,84332442.46782963,84332879.77931973,84333192.1581968,84333423.81571154,84333601.04814862,84332425.1436303,84332864.5565978,84333178.93105876,84333412.34676968,84333591.09228674
2,2021-07-03,84331070.50283432,84331722.68722205,84332187.22091642,84332530.21850759,84332791.31585924,84331016.45187189,84331679.50298682,84332154.16190384,84332506.00487207,84332774.69058326,84330965.3889126,84331637.49438994,84332120.773116,84332480.2288172,84332755.4849134,84330917.27854592,84331597.05283603,84332087.78666526,84332453.89709525,84332734.93225266,84330871.96463305,84331558.32073417,84332055.5846506,84332427.58480552,84332713.76615651,84330829.24746215,84331521.31453016,84332024.35828234,84332401.6239835,84332692.43392028,84330788.91904023,84331485.9871914,84331994.19168518,84332376.20465435,84332671.21211043,84330750.7790017,84331452.26103738,84331965.10797821,84332351.43156403,84332650.2721536,84330714.64126238,84331420.04535416,84331937.09547608,84332327.357251,84332629.71907939,84330680.33619682,84331389.2459135,84331910.12297055,84332304.00192441,84332609.61517027,84330647.7106709,84331359.7700655,84331884.14880638,84332281.36571148,84332589.99479924,84330616.62709261,84331331.52936377,84331859.1263304,84332259.43635362,84332570.87395446,84330586.96206759,84331304.44080026,84331835.00717305,84332238.19411623,84332552.25647095,84330558.60495271,84331278.42725576,84331811.74321057,84332217.61495489,84332534.13817234,84330531.45645076,84331253.41751261,84331789.28771396,84332197.67257008,84332516.50965865
3,2021-07-04,84329050.0217048,84329986.52996643,84330672.68034099,84331189.33210382,84331588.25819142,84328976.55683121,84329925.4671324,84330624.65608303,84331153.46740949,84331563.272334,84328907.31580886,84329866.18014619,84330576.22551517,84331115.33182839,84331534.4320397,84328842.22255841,84329809.21002279,84330528.4500253,84331076.42010483,84331503.59695669,84328781.04038358,84329754.74446583,84330481.87892461,84331037.5833233,84331471.87161507,84328723.47726484,84329702.79374525,84330436.78298402,84330999.31042594,84331439.9280239,84328669.23350687,84329653.27973661,84330393.27731322,84330961.87909938,84331408.18034124,84328618.02283727,84329606.08249569,84330351.38881801,84330925.4404547,84331376.88408153,84328569.5809224,84329561.06509493,84330311.09446862,84330890.06835163,84331346.19471642,84328523.66786121,84329518.08693062,84330272.3435515,84330855.78900772,84331316.20343319,84328480.06784052,84329477.01075119,84330235.07083263,84330822.59921008,84331286.95955323,84328438.587528,84329437.70620416,84330199.20442033,84330790.47773378,84331258.48490836,84328399.05398957,84329400.0514345,84330164.67046773,84330759.39260653,84331230.78323413,84328361.31251878,84329363.93359406,84330131.39595813,84330729.30577734,84331203.84640263,84328325.22456267,84329329.24875161,84330099.31031287,84330700.1761331,84331177.65860902
4,2021-07-05,84326782.24147739,84327999.21581487,84328914.90031321,84329617.3076009,84330167.07705382,84326691.79521225,84327921.16622244,84328851.9143202,84329569.38371502,84330133.21791297,84326606.71596305,84327845.51192011,84328788.47990894,84329518.47751746,84330094.16466339,84326526.88064933,84327772.93017316,84328725.9863504,84329466.59047583,84330052.44469687,84326451.97226861,84327703.64541873,84328665.14714213,84329414.85878783,84330009.55727352,84326381.60989945,84327637.65617003,84328606.30908228,84329363.93220882,84329966.41268075,84326315.40697789,84327574.84955955,84328549.61475341,84329314.17713588,84329923.5702305,84326252.99669303,84327515.06101531,84328495.09158894,84329265.79054461,84329881.373487,84326194.04189925,84327458.105909,84328442.70229395,84329218.8663032,84329840.03014278,84326138.23768733,84327403.79638064,84328392.37408136,84329173.43493344,84329799.6607411,84326085.31054607,84327351.95011988,84328344.01590443,84329129.48802686,84329760.32920162,84326035.0160485,84327302.39470838,84328297.52870138,84329086.99352224,84329722.06237645,84325987.13601887,84327254.96949339,84328252.81148332,84329045.9054004,84329684.86281206,84325941.47564574,84327209.5260935,84328209.76490816,84329006.1698946,84329648.71720369,84325897.8607568,84327165.92816094,84328168.2933154,84328967.7294871,84329613.60206358
5,2021-07-06,84324314.81735559,84325799.36705321,84326944.88639852,84327839.24015266,84328548.3743518,84324210.13835438,84325705.77830942,84326867.4823786,84327779.28331576,84328505.43712403,84324111.82835475,84325615.19039336,84326789.61853026,84327715.65374257,84328455.94672738,84324019.71652229,84325528.40033096,84326712.99883874,84327650.85989873,84328403.11652462,84323933.41141054,84325445.66102067,84326638.49237084,84327586.32191373,84328348.85049435,84323852.45171398,84325366.95545667,84326566.51611862,84327522.84852126,84328294.30245341,84323776.37330385,84325292.134809,84326497.23610361,84327460.8927811,84328240.17936657,84323704.73803647,84325220.99010868,84326430.67746404,84327400.69550183,84328186.91374238,84323637.14465953,84325153.29007904,84326366.78665619,84327342.36865585,84328134.76545936,84323573.23129855,84325088.80110711,84326305.4674306,84327285.9453386,84328083.88385548,84323512.67408334,84325027.29755537,84326246.60196756,84327231.41040193,84328034.34660359,84323455.18414499,84324968.56676477,84326190.06338754,84327178.71958546,84327986.18459417,84323400.50407754,84324912.41112202,84326135.72314253,84327127.81162834,84327939.39815418,84323348.40438999,84324858.64851268,84326083.45531856,84327078.61600497,84327893.96777606,84323298.68018796,84324807.11190748,84326033.13905403,84327031.05788444,84327849.86129802
6,2021-07-07,84321684.77229208,84323418.21045855,84324788.42172368,84325876.42841868,84326749.90169923,84321568.60770495,84323310.81769547,84324697.49076337,84325804.77206212,84326697.91196148,84321459.65072562,84323206.99399567,84324606.11365609,84325728.78872043,84326638.02428338,84321357.68608093,84323107.63883343,84324516.28850806,84325651.48095717,84326574.1385883,84321262.25724913,84323013.02628228,84324429.02804403,84325574.5444156,84326508.56319061,84321172.83396816,84322923.12176926,84324344.81248342,84325498.94105078,84326442.69448695,84321088.88622385,84322837.74121784,84324263.82725771,84325425.20651904,84326377.3858736,84321009.91567257,84322756.6334129,84324186.09298052,84325353.6225259,84326313.15749402,84320935.46722154,84322679.52328213,84324111.53875686,84325284.31699656,84326250.32012066,84320865.13133954,84322606.13460304,84324040.04448755,84325217.32400931,84326189.05066705,84320798.54216474,84322536.20161408,84323971.4656485,84325152.62049487,84326129.43943915,84320735.37387693,84322469.47455013,84323905.64790091,84325090.14911653,84326071.52035353,84320675.33653569,84322405.72183476,84323842.43567674,84325029.83272368,84326015.29061258,84320618.17195666,84322344.7304473,84323781.67713825,84324971.58355808,84325960.72370209,84320563.64988099,84322286.30531994,84323723.22693166,84324915.3091358,84325907.7780756
7,2021-07-08,84318927.06503096,84320885.93366939,84322471.02188697,84323750.41238594,84324789.97016108,84318802.07023203,84320766.6571055,84322367.72170326,84323667.64263462,84324729.15118918,84318684.9489224,84320651.46313854,84322264.00870846,84323579.93957375,84324659.1322467,84318575.44741163,84320541.33619902,84322162.1489225,84323490.77609329,84324584.4851703,84318473.05556428,84320436.56523457,84322063.28442226,84323402.10901932,84324507.91330306,84318377.18718818,84320337.0974749,84321967.9509614,84323315.04461725,84324431.04937015,84318287.25927804,84320242.71582723,84321876.34949067,84323230.1954964,84324354.88882723,84318202.72534436,84320153.13044146,84321788.49444526,84323147.88066189,84324280.03630339,84318123.08741738,84320068.02664569,84321704.29725628,84323068.241714,84324206.8511476,84318047.89814435,84319987.08995831,84321623.61444385,84322991.31230712,84324135.5361175,84317976.7584357,84319910.01876754,84321546.2757119,84322917.06062883,84324066.19284466,84317909.31330705,84319836.53028029,84321472.10045438,84322845.41584137,84323998.85727799,84317845.2471993,84319766.36278345,84321400.90740788,84322776.28475162,84323933.52273737,84317784.27938157,84319699.27590431,84321332.52018805,84322709.56240268,84323870.15512422,84317726.15970317,84319635.0498183,84321266.7703286,84322645.13881892,84323808.7030685
8,2021-07-09,84316061.50025648,84318221.15034515,84320009.0949064,84321475.34954673,84322680.74152692,84315929.91059741,84318091.82650438,84319894.64883919,84321382.16455202,84322611.42291124,84315806.70093645,84317967.03587086,84319779.83602841,84321283.49048695,84322531.65913218,84315691.5868699,84317847.83240673,84319667.16304633,84321183.24178894,84322446.67080119,84315584.01655215,84317734.51529057,84319557.88692345,84321083.61958255,84322359.5420884,84315483.36068638,84317627.0142382,84319452.59165514,84320985.86432533,84322272.1329675,84315388.99564053,84317525.08240551,84319351.49043007,84320890.6594778,84322185.57497257,84315300.33814447,84317428.39573066,84319254.59052558,84320798.3577061,84322100.55319591,84315216.8575622,84317336.60477506,84319161.78604475,84320709.11219567,84322017.47282189,84315138.07779048,84317249.36164697,84319072.91122529,84320622.95507798,84321936.56057325,84315063.5745293,84317166.33354814,84318987.77150722,84320539.84533957,84321857.92812164,84314992.9707041,84317087.20903997,84318906.16172807,84320459.69860053,84321781.61257851,84314925.9313801,84317011.70033564,84318827.87671667,84320382.40585424,84321707.60280724,84314862.15879776,84316939.54344785,84318752.7173303,84320307.84534675,84321635.85676338,84314801.38780144,84316870.49721746,84318680.49373391,84320235.89011988,84321566.31304602
9,2021-07-10,84313104.26597674,84315439.43478507,84317416.61578119,84319063.46373515,84320432.8273023,84312967.8845598,84315301.76293355,84317292.25664559,84318960.62827317,84320355.41330801,84312840.25153774,84315169.00886871,84317167.5837832,84318851.79894505,84320266.3752075,84312721.05990481,84315042.28282297,84317045.31701413,84318741.29990864,84320171.5531715,84312609.7273111,84314921.89096533,84316926.81436074,84318631.55823068,84320074.39452794,84312505.59300959,84314807.74710228,84316812.70134078,84318523.93782495,84319976.97545002,84312408.00376737,84314699.57850844,84316703.20069344,84318419.18674877,84319880.55648218,84312316.34954241,84314597.03172567,84316598.3121213,84318317.68778887,84319785.89859773,84312230.0759403,84314499.72762749,84316497.91325507,84318219.60385373,84319693.44983433,84312148.6859607,84314407.28990537,84316401.81759968,84318124.96474181,84319603.45895274,84312071.73698974,84314319.35931158,84316309.80823372,84318033.72009204,84319516.04644646,84311998.83591315,84314235.60016757,84316221.65749103,84317945.77225293,84319431.24985464,84311929.63373354,84314155.70266405,84316137.13837552,84317860.99693328,84319349.05318215,84311863.8203366,84314079.3829,84316056.03102888,84317779.25626613,84319269.40626758,84311801.11968385,84314006.38175075,84315978.12621017,84317700.40708177,84319192.23766838
