,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334070.54777913,84334217.00159892,84334314.78173386,84334383.87155792,84334434.8330229,84334056.9271208,84334207.05156763,84334307.60789631,84334378.835952,84334431.4827098,84334043.97699885,84334197.32480332,84334300.33563161,84334373.46080925,84334427.60496725,84334031.70184964,84334187.91630436,84334293.12440838,84334367.95421174,84334423.44642836,84334020.07419573,84334178.86431034,84334286.05910106,84334362.43592034,84334419.15421718,84334009.05380608,84334170.17784306,84334279.1836538,84334356.97587201,84334414.8184966,84333998.59669416,84334161.8508001,84334272.51884486,84334351.61479285,84334410.49542736,84333988.65934822,84334153.86943838,84334266.07209034,84334346.37577732,84334406.22018792,84333979.20064336,84334146.21644776,84334259.84304807,84334341.27105026,84334402.01466422,84333970.18260314,84334138.87319681,84334253.82690892,84334336.30604288,84334397.89214729,84333961.5705888,84334131.82096964,84334248.01636955,84334331.48191379,84334393.86028506,84333953.33320934,84334125.04163346,84334242.40283066,84334326.79714094,84334389.92298134,84333945.44210424,84334118.51797992,84334236.97712989,84334322.24854374,84334386.08164197,84333937.87167723,84334112.23387885,84334231.72998948,84334317.83194718,84334382.33600621,84333930.59882173,84334106.17432378,84334226.65228623,84334313.54261698,84334378.68470861
1,2021-07-02,84332818.95790017,84333191.6357018,84333448.90464464,84333634.8301859,84333774.18909545,84332786.25537115,84333166.61877473,84333430.30652468,84333621.49014182,84333765.17104535,84332755.27018438,84333142.22702697,84333411.48991296,84333607.27081044,84333754.74367745,84332725.99593581,84333118.69303352,84333392.86749883,84333592.7252511,84333743.57355198,84332698.35142477,84333096.10580093,84333374.65672153,84333578.17054771,84333732.05768327,84332672.22705266,84333074.481096,84333356.96822049,84333563.79078683,84333720.4387507,84332647.50631502,84333053.79729423,84333339.85246408,84333549.69221894,84333708.8673458,84332624.07568862,84333034.01431133,84333323.32543474,84333535.93423577,84333697.43729232,84332601.8289295,84333015.08383134,84333307.38327113,84333522.54744446,84333686.20650879,84332580.66863419,84332996.95488799,84333292.01083712,84333509.54454663,84333675.20974854,84332560.50646514,84332979.57689326,84333277.18683359,84333496.92705368,84333664.46659881,84332541.26274535,84332962.90123475,84333262.8868851,84333484.68951695,84333653.98662114,84332522.86578175,84332946.88206007,84333249.08541286,84333472.82223472,84333643.77271953,84332505.25110056,84332931.47659792,84333235.75676641,84333461.31300436,84333633.82338306,84332488.36068581,84332916.64521687,84333222.87589626,84333450.14826484,84333624.13419871
2,2021-07-03,84331167.91400221,84331804.11421542,84332256.96851736,84332591.18676257,84332845.51320003,84331115.16838183,84331762.00458385,84332224.74938065,84332567.5975607,84332829.32149386,84331065.33558764,84331721.03934354,84332192.20762187,84332542.48552561,84332810.61631277,84331018.38157037,84331681.6003677,84332160.05678356,84332516.83138533,84332790.5987971,84330974.15440868,84331643.8267545,84332128.66934901,84332491.19541676,84332769.9833367,84330932.45959167,84331607.73476388,84332098.23178457,84332465.90113635,84332749.20556344,84330893.09446321,84331573.27873495,84332068.82619448,84332441.13372797,84332728.53485307,84330855.8637552,84331540.38309644,84332040.47522126,84332416.99530043,84332708.13819383,84330820.58609001,84331508.95954353,84332013.16757745,84332393.5371007,84332688.1179129,84330787.09611365,84331478.91632257,84331986.87293798,84332370.77887669,84332668.53470615,84330755.24453433,84331450.16319974,84331961.55078557,84332348.72080751,84332649.42208679,84330724.89720206,84331422.61402361,84331937.15572216,84332327.35100073,84332630.79566067,84330695.93380113,84331396.18793182,84331913.64066803,84332306.65027557,84332612.65919496,84330668.24644251,84331370.80979237,84331890.95877527,84332286.59524782,84332595.0086517,84330641.73829535,84331346.41021799,84331869.06454836,84332267.16033185,84332577.83490288
3,2021-07-04,84329197.89047128,84330112.15431593,84330781.53533721,84331285.29620427,84331674.11374286,84329126.14653178,84330052.56837517,84330734.69994044,84331250.33485427,84331649.76558645,84329058.523499,84329994.71240565,84330687.46636793,84331213.1586518,84331621.66072808,84328994.94777533,84329939.11466065,84330640.8697887,84331175.22459552,84331591.61118995,84328935.18882039,84329885.95865907,84330595.4460679,84331137.36235218,84331560.6932545,84328878.96196795,84329835.25475983,84330551.4594589,84331100.04862498,84331529.56178473,84328825.9749658,84329786.92702986,84330509.02241014,84331063.5542074,84331498.62040815,84328775.94859338,84329740.85868828,84330468.16133875,84331028.02651277,84331468.11817488,84328728.62499161,84329696.916344,84330428.85394597,84330993.53764692,84331438.2066528,84328683.77011,84329654.96298496,84330391.0509167,84330960.11326718,84331408.97476727,84328641.17337981,84329614.86484104,84330354.68875746,84330927.75033323,84331380.47064434,84328600.6461527,84329576.49484941,84330319.6974659,84330896.42823759,84331352.71561831,84328562.01967326,84329539.73421817,84330286.00511849,84330866.11588731,84331325.71338464,84328525.14296442,84329504.47292669,84330253.54058889,84330836.77625574,84331299.45607331,84328489.88080606,84329470.60964078,84330222.23511733,84330808.36932367,84331273.92832863
4,2021-07-05,84326983.71854587,84328172.94656348,84329067.0714841,84329752.5403694,84330288.80941759,84326895.30302116,84328096.71252236,84329005.59006724,84329705.7845843,84330255.78854315,84326812.12904517,84328022.81412888,84328943.66821565,84329656.11746107,84330217.70117974,84326734.0771936,84327951.91334628,84328882.66210492,84329605.49154663,84330177.01190208,84326660.83835594,84327884.22988103,84328823.26841462,84329555.01537906,84330135.18276876,84326592.04080927,84327819.76274295,84328765.82592928,84329505.3229945,84330093.10154237,84326527.30719857,84327758.40210092,84328710.47409797,84329456.77201304,84330051.31375141,84326466.27938,84327699.98756647,84328657.23995398,84329409.55477236,84330010.15454379,84326408.6281282,84327644.33910887,84328606.08732365,84329363.76301223,84329969.82656981,84326354.05566509,84327591.27349438,84328556.94536246,84329319.42665967,84329930.4474895,84326302.29485273,84327540.61286965,84328509.7253769,84329276.53764741,84329892.07973757,84326253.10694201,84327492.1890092,84328464.33082657,84329235.06481823,84329854.74959289,84326206.27881125,84327445.84515087,84328420.6632692,84329194.96338387,84329818.45962317,84326161.62015066,84327401.43649434,84328378.62585188,84329156.18098494,84329783.19692998,84326118.9608037,84327358.82997283,84328338.12529953,84329118.66159129,84329748.9386765
5,2021-07-06,84324575.4850595,84326026.86416228,84327145.96061943,84328019.16833219,84328711.20933777,84324473.12236807,84325935.41438523,84327070.37244204,84327960.647408,84328669.31744489,84324376.98279649,84325846.89249651,84326994.33197305,84327898.53955601,84328621.03066099,84324286.90020834,84325762.07782938,84326919.50334525,84327835.29300255,84328569.48380269,84324202.4926092,84325681.2180623,84326846.73551844,84327772.29391682,84328516.53439106,84324123.30955617,84325604.297102,84326776.43603383,84327710.33181863,84328463.3081722,84324048.89772445,84325531.16998309,84326708.76734953,84327649.8491151,84328410.49498615,84323978.82909785,84325461.63291085,84326643.7543225,84327591.08105618,84328358.51693133,84323912.71165241,84325395.46023226,84326581.34494229,84327534.1371352,84328307.62769149,84323850.19180389,84325332.42395817,84326521.44546159,84327479.04984368,84328257.97310211,84323790.95307781,84325272.30384687,84326463.94103737,84327425.80456787,84328209.62907305,84323734.71318358,84325214.8923,84326408.70795089,84327374.35826121,84328162.62586246,84323681.22056276,84325159.99638882,84326355.62082864,84327324.65126662,84328116.96389922,84323630.25092633,84325107.43830223,84326304.55684744,84327276.6148683,84328072.62425059,84323581.60401516,84325057.05494708,84326255.39809892,84327230.17613383,84328029.57562788
6,2021-07-07,84322008.81481144,84323704.0093016,84325043.06084104,84326105.70664825,84326958.41208197,84321895.20691125,84323599.04683821,84324954.23866004,84326035.74620901,84326907.67345499,84321788.64328216,84323497.56813414,84324864.97706285,84325961.55868497,84326849.22542208,84321688.91427867,84323400.45287128,84324777.22796589,84325886.07539354,84326786.87368046,84321595.57418887,84323307.96951717,84324691.980931,84325810.95191337,84326722.87087524,84321508.10505031,84323220.0848357,84324609.70541811,84325737.12761965,84326658.57982813,84321425.98902471,84323136.61940376,84324530.58293298,84325665.12572724,84326594.83350803,84321348.73914865,84323057.32810912,84324454.6339583,84325595.22152172,84326532.13968942,84321275.91067748,84322981.94245729,84324381.78955387,84325527.54013975,84326470.80182855,84321207.103361,84322910.19277295,84324311.9326784,84325462.11507496,84326410.99274461,84321141.9596058,84322841.81955649,84324244.92239623,84325398.92400515,84326352.80072643,84321080.16093767,84322776.57890204,84324180.60815214,84325337.9111303,84326296.25901985,84321021.42393948,84322714.2446468,84324118.83816157,84325279.00128488,84326241.36502771,84320965.49622476,84322654.60873552,84324059.46425888,84325222.10892801,84326188.09299463,84320912.15269661,84322597.48063593,84324002.34459063,84325167.14388768,84326136.40248248
7,2021-07-08,84319319.4356033,84321235.12365708,84322784.32509053,84324034.06675498,84325049.0608254,84319197.22051094,84321118.55371003,84322683.41827078,84323953.25070146,84324989.70041019,84319082.69977544,84321005.96939841,84322582.10449462,84323867.6150722,84324921.35894275,84318975.62612724,84320898.3333666,84322482.59744531,84323780.55059269,84324848.49819972,84318875.50143988,84320795.92858559,84322386.01308148,84323693.96798043,84324773.7565626,84318781.75310326,84320698.70401889,84322292.87513936,84323608.94759798,84324698.72763829,84318693.81151894,84320606.44796976,84322203.38030428,84323526.0878556,84324624.38313693,84318611.14270557,84320518.87756608,84322117.54303704,84323445.70050023,84324551.31335765,84318533.26005256,84320435.68561375,84322035.27714181,84323367.92405125,84324479.869217,84318459.72638449,84320356.56504932,84321956.44274376,84323292.79161045,84324410.24879542,84318390.15167111,84320281.22134018,84321880.8737354,84323220.2723347,84324342.55146402,84318324.18897092,84320209.37830603,84321808.3939041,84323150.29725283,84324276.81247382,84318261.5298624,84320140.78033546,84321738.82636534,84323082.77554336,84324213.02545497,84318201.899955,84320075.19264607,84321671.99897468,84323017.60487776,84324151.15726225,84318145.05473982,84320012.40051472,84321607.74730016,84322954.6780085,84324091.15787935
8,2021-07-09,84316524.47142653,84318636.67040053,84320384.3763968,84321816.88862002,84322994.00296101,84316395.82232992,84318510.28047669,84320272.57419017,84321725.89393862,84322926.33890519,84316275.3620593,84318388.31663491,84320160.4098635,84321629.53628135,84322848.47709234,84316162.81331953,84318271.80948155,84320050.33226326,84321531.63787776,84322765.51306163,84316057.63723919,84318161.0519884,84319943.56974342,84321434.34820813,84322680.45722723,84315959.219112,84318055.97600102,84319840.6932241,84321338.87880461,84322595.12521374,84315866.9496692,84317956.34074324,84319741.91137782,84321245.89734888,84322510.6216927,84315780.25901814,84317861.82990341,84319647.2316898,84321155.74851395,84322427.61559667,84315698.62865655,84317772.10230513,84319556.55104385,84321068.58216888,84322346.50264768,84315621.59334193,84317686.81822851,84319469.70779882,84320984.42995201,84322267.50436488,84315548.73843424,84317605.6526578,84319386.5121413,84320903.25205016,84322190.7299524,84315479.69542904,84317528.301413,84319306.76386462,84320824.96627678,84322116.21581937,84315414.13699251,84317454.48339684,84319230.26272228,84320749.46637252,84322043.95126224,84315351.7721132,84317383.94074455,84319156.81433006,84320676.63360755,84321973.89539097,84315292.34163725,84317316.43787932,84319086.23337312,84320606.34414972,84321905.98840542
9,2021-07-10,84313639.61813137,84315923.70460679,84317856.69260257,84319465.93767866,84320803.4337888,84313506.28993733,84315789.14989993,84317735.1942013,84319365.50648634,84320727.85692275,84313381.51026982,84315659.39731306,84317613.38530137,84319259.21843526,84320640.92970975,84313264.97976542,84315535.53250422,84317493.92334893,84319151.29637809,84320548.35322247,84313156.12976849,84315417.85529812,84317378.13550782,84319044.11074245,84320453.49283004,84313054.31486502,84315306.28199433,84317266.63334145,84318938.9938063,84320358.37549081,84312958.89688423,84315200.54651524,84317159.63489157,84318836.67644694,84320264.23199886,84312869.2797938,84315100.30380781,84317057.14025904,84318737.53282098,84320171.80548327,84312784.92189397,84315005.1836673,84316959.03023697,84318641.72233377,84320081.53358085,84312705.33753878,84314914.81858706,84316865.12292312,84318549.27436836,84319993.65937899,84312630.09420678,84314828.85768749,84316775.20664704,84318460.13999408,84319908.30073011,84312558.80773276,84314746.97308484,84316689.0592034,84318374.22406699,84319825.49448444,84312491.1370524,84314668.86214593,84316606.45900893,84318291.40539931,84319745.22521031,84312426.77909133,84314594.24753208,84316527.19142579,84318211.54952028,84319667.44410214,84312365.46406995,84314522.87609729,84316451.05216514,84318134.51675837,84319592.08156085
