,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334750.12454167,84334758.01195757,84334763.17346895,84334766.77156028,84334769.40011941,84334749.38119896,84334757.48209673,84334762.79756412,84334766.51066189,84334769.22796825,84334748.67287901,84334756.96328926,84334762.4160561,84334766.23193926,84334769.02860111,84334748.00005771,84334756.46066876,84334762.03730632,84334765.94615074,84334768.81466036,84334747.3614477,84334755.97635937,84334761.66579068,84334765.65950167,84334768.59369384,84334746.75503707,84334755.51092806,84334761.3038493,84334765.37562776,84334768.37033373,84334746.17858087,84334755.06412952,84334760.95261046,84334765.09665674,84334768.1474714,84334745.62983516,84334754.63530274,84334760.61250095,84334764.82380486,84334767.92692338,84334745.106665,84334754.22358793,84334760.28353819,84334764.5577253,84334767.70982474,84334744.60708939,84334753.8280467,84334759.96550222,84334764.29871847,84334767.49686934,84334744.12929472,84334753.44772886,84334759.6580389,84334764.04686208,84334767.28846097,84334743.67163241,84334753.08170888,84334759.360723,84334763.80209348,84334767.08481053,84334743.2326091,84334752.72910495,84334759.07309684,84334763.56426255,84334766.88599987,84334742.81087388,84334752.38908793,84334758.79469396,84334763.33316623,84334766.69202456,84334742.40520474,84334752.06088452,84334758.52505372,84334763.10857111,84334766.5028226
1,2021-07-02,84334682.32195625,84334703.5532457,84334717.80760999,84334727.91024259,84334735.3753964,84334680.42761377,84334702.15097255,84334716.78852901,84334727.19116585,84334734.89522567,84334678.62775044,84334700.7807979,84334715.7557993,84334726.42377661,84334734.339548,84334676.92278701,84334699.45604342,84334714.73206428,84334725.63780229,84334733.7437322,84334675.30872825,84334698.18202469,84334713.72935456,84334724.85034107,84334733.12887122,84334673.77983159,84334696.95994294,84334712.75388084,84334724.07136807,84334732.50788599,84334672.32985678,84334695.78887524,84334711.80856268,84334723.30668366,84334731.8888198,84334670.95265076,84334694.66682988,84334710.89442345,84334722.55956951,84334731.27670656,84334669.64241008,84334693.59132023,84334710.01138727,84334721.83175558,84334730.67467427,84334668.39378372,84334692.55968033,84334709.15874681,84334721.12400277,84334730.08461908,84334667.20189667,84334691.56923832,84334708.33544342,84334720.43646312,84334729.50762863,84334666.06233527,84334690.61740966,84334707.54023705,84334719.76890731,84334728.94425465,84334664.97111526,84334689.70174444,84334706.7718101,84334719.12087043,84334728.39469138,84334663.92464326,84334688.81994832,84334706.02883069,84334718.49174684,84334727.85889494,84334662.91967747,84334687.96988843,84334705.30999078,84334717.88085213,84334727.33666375
2,2021-07-03,84334590.43726635,84334628.15843521,84334654.14885898,84334672.88176943,84334686.88600133,84334587.25713784,84334625.71176663,84334652.32634953,84334671.57380243,84334686.00182699,84334584.24376665,84334623.32582256,84334650.48208757,84334670.17939675,84334684.97934578,84334581.39657585,84334621.02338704,84334648.65651679,84334668.75275528,84334683.88387485,84334578.70771089,84334618.81321071,84334646.87096594,84334667.32496649,84334682.75432467,84334576.16655013,84334616.69688122,84334645.13630563,84334665.91409059,84334681.61448681,84334573.7617946,84334614.67232609,84334643.45751216,84334664.53056183,84334680.47913149,84334571.48243004,84334612.73566303,84334641.83618173,84334663.18022248,84334679.35746723,84334569.31814559,84334610.88220008,84334640.27196409,84334661.8660929,84334678.25518422,84334567.25948626,84334609.10698166,84334638.76340161,84334660.5894373,84334677.17570218,84334565.2978755,84334607.40508531,84334637.30843014,84334659.35042158,84334676.12095387,84334563.42557636,84334605.77177823,84334635.90468158,84334658.14852786,84334675.09188864,84334561.63562611,84334604.20259456,84334634.54966754,84334656.98281984,84334674.08880246,84334559.92176229,84334602.69336715,84334633.24089052,84334655.8521146,84334673.1115577,84334558.27834898,84334601.24023367,84334631.97591001,84334654.75509477,84334672.15973143
3,2021-07-04,84334477.10459203,84334533.35509206,84334573.10485196,84334602.23170404,84334624.25686546,84334472.62129542,84334529.7732299,84334570.3711136,84334600.2366385,84334622.8917592,84334468.38311909,84334526.28650747,84334567.60841666,84334598.11177382,84334621.31417593,84334464.38761123,84334522.92764454,84334564.87734222,84334595.9399661,84334619.6252344,84334460.62224607,84334519.7087373,84334562.20961398,84334593.76861168,84334617.88510911,84334457.07081573,84334516.63142225,84334559.62120178,84334591.62513332,84334616.1305286,84334453.71636282,84334513.69204368,84334557.1192247,84334589.52527687,84334614.38423572,84334450.54250902,84334510.88437283,84334554.70574905,84334587.47776952,84334612.66035725,84334447.53401613,84334508.20107001,84334552.37994972,84334585.48703621,84334610.96757554,84334444.67697483,84334505.63447697,84334550.13937229,84334583.55483308,84334609.31106475,84334441.95881423,84334503.17704275,84334547.9806837,84334581.68125461,84334607.6937061,84334439.36822867,84334500.8215448,84334545.9001239,84334579.86536707,84334606.11686818,84334436.89507082,84334498.56119439,84334543.89377849,84334578.1056131,84334604.5809178,84334434.53023523,84334496.38967668,84334541.95774248,84334576.40007296,84334603.0855598,84334432.26554476,84334494.30115406,84334540.08821657,84334574.74663441,84334601.63006587
4,2021-07-05,84334347.24696223,84334422.60738468,84334477.23373067,84334517.9338385,84334549.06873833,84334341.57431613,84334417.89956932,84334473.55102964,84334515.2001127,84334547.1749994,84334336.2232078,84334413.3244252,84334469.83399983,84334512.29121824,84334544.98792183,84334331.188616,84334408.92415075,84334466.16413015,84334509.3209171,84334542.64814574,84334326.453003,84334404.71374844,84334462.58380027,84334506.35411616,84334540.23927754,84334321.99443537,84334400.69451222,84334459.1140847,84334503.42822114,84334537.81225969,84334317.7902749,84334396.86086665,84334455.76412556,84334500.56457974,84334535.39855663,84334313.81882522,84334393.20395221,84334452.53628251,84334497.7749048,84334533.0176416,84334310.06000629,84334389.71354324,84334449.4290582,84334495.06501754,84334530.68141906,84334306.4955618,84334386.37908006,84334446.43880224,84334492.43709628,84334528.3969237,84334303.10904472,84334383.19021764,84334443.56072155,84334489.89106111,84334526.16801354,84334299.88570315,84334380.13710572,84334440.78948562,84334487.42544317,84334523.99645612,84334296.81232744,84334377.21051769,84334438.11958995,84334485.0379387,84334521.88263904,84334293.87708889,84334374.40189508,84334435.54557258,84334482.72576585,84334519.82604185,84334291.06938457,84334371.70334466,84334433.06214009,84334480.48589593,84334517.8255534
5,2021-07-06,84334202.81271677,84334297.23395014,84334367.4234418,84334420.5926384,84334461.73817429,84334196.09621818,84334291.44789957,84334362.78530328,84334417.09078163,84334459.28224139,84334189.77189182,84334285.83331229,84334358.10936306,84334413.36775966,84334456.44762748,84334183.83180028,84334280.44112782,84334353.49809305,84334409.56956606,84334453.41716683,84334178.25343803,84334275.28877062,84334349.0044391,84334405.7792918,84334450.29944059,84334173.00937499,84334270.37686777,84334344.65442188,84334402.04464152,84334447.16049887,84334168.07160288,84334265.69770518,84334340.45902622,84334398.39268176,84334444.04103796,84334163.41344664,84334261.23964518,84334336.42072587,84334394.83811727,84334440.9661566,84334159.0103251,84334256.98947844,84334332.53718336,84334391.38811131,84334437.95111871,84334154.83996312,84334252.93368104,84334328.80339995,84334388.04517858,84334435.0048698,84334150.8823467,84334249.05907601,84334325.21298659,84334384.80896421,84334432.13224122,84334147.1195651,84334245.35316525,84334321.75892222,84334381.67735878,84334429.33536363,84334143.53561166,84334241.80427712,84334318.4340068,84334378.64720751,84334426.61459036,84334140.11617823,84334238.40161148,84334315.23112911,84334375.7147658,84334423.9691101,84334136.84845981,84334235.13522829,84334312.1434209,84334372.87599339,84334421.39735821
6,2021-07-07,84334046.69651294,84334159.37856027,84334245.28213052,84334311.44574583,84334363.2442565,84334039.1177093,84334152.60550253,84334239.71874642,84334307.17321171,84334360.21044421,84334031.99229448,84334146.04198126,84334234.11604461,84334302.63453747,84334356.71089277,84334025.30937327,84334139.74662325,84334228.5967452,84334298.00814341,84334352.97197297,84334019.04186776,84334133.73873594,84334223.22386508,84334293.39533629,84334349.12799151,84334013.15742163,84334128.01802506,84334218.02802515,84334288.85406873,84334345.26051682,84334007.6232781,84334122.57454479,84334213.02180587,84334284.41703665,84334341.41968854,84334002.40839791,84334117.39387941,84334208.20761602,84334280.10183276,84334337.63632463,84333997.48427951,84334112.45988962,84334203.5821471,84334275.91685623,84334333.92907268,84333992.82516535,84334107.75617099,84334199.13895622,84334271.86485644,84334330.30877215,84333988.40796371,84334103.26681435,84334194.86998826,84334267.94510922,84334326.78118768,84333984.21204858,84334098.9767807,84334190.76648091,84334264.15477891,84334323.34876038,84333980.21901698,84334094.8720622,84334186.81950235,84334260.48978263,84334320.01175074,84333976.41244298,84334090.93972458,84334183.02026698,84334256.94534428,84334316.76899613,84333972.7776459,84334087.16788524,84334179.36031498,84334253.51635098,84334313.61841865
7,2021-07-08,84333881.32572646,84334010.92072865,84334112.2568934,84334191.6251277,84334254.4919928,84333873.0754719,84334003.2784565,84334105.82509133,84334186.60054563,84334250.87933695,84333865.32838377,84333995.88143417,84334099.3542403,84334181.26705909,84334246.71439411,84333858.0708459,84333988.7947793,84334092.98599267,84334175.83481218,84334242.26730533,84333851.27186626,84333982.03916499,84334086.79266419,84334170.42285612,84334237.69819699,84333844.89496374,84333975.61321494,84334080.80901536,84334165.0990592,84334233.10416888,84333838.90345159,84333969.5047811,84334075.04894805,84334159.90150443,84334228.54477248,84333833.2627064,84333963.69679922,84334069.51464714,84334154.85049163,84334224.05649078,84333827.94102545,84333958.17037953,84334064.20174745,84334149.95551893,84334219.66129081,84333822.90982082,84333952.90643877,84334059.10232314,84334145.21946545,84334215.37183928,84333818.14350936,84333947.88654298,84334054.20664507,84334140.64115691,84334211.1947688,84333813.6192744,84333943.09331682,84334049.50422142,84334136.21696873,84334207.13276912,84333809.31678574,84333938.51061279,84334044.98441333,84334131.94184144,84334203.18595082,84333805.21791893,84333934.12354858,84334040.63679355,84334127.80992986,84334199.3527478,84333801.30649291,84333929.91847362,84334036.45134853,84334123.8150197,84334195.63052164
8,2021-07-09,84333708.03944509,84333852.96049522,84333969.19932227,84334061.78330815,84334135.98468946,84333699.28519101,84333844.57010151,84333961.96714933,84334056.03661981,84334131.80092329,84333691.07249346,84333836.45726681,84333954.69756451,84334049.94095378,84334126.98008059,84333683.38547157,84333828.692482,84333947.54960199,84334043.73698224,84334121.83563404,84333676.19001107,84333821.2973755,84333940.60401517,84334037.56076312,84334116.5532295,84333669.44638696,84333814.26943877,84333933.89922853,84334031.48960757,84334111.24527648,84333663.1148459,84333807.59445395,84333927.45021352,84334025.566675,84334105.98056717,84333657.1579823,84333801.25292967,84333921.25881264,84334019.81476481,84334100.80111367,84333651.54161863,84333795.22348577,84333915.31956597,84334014.24433465,84334095.73209272,84333646.23498599,84333789.48463105,84333909.6230758,84334008.85829999,84334090.78790867,84333641.2105866,84333784.01567401,84333904.1579793,84334003.6549748,84334085.97598839,84333636.44392464,84333778.79715854,84333898.91211297,84333998.6299063,84334081.29920948,84333631.9131958,84333773.8110378,84333893.87319818,84333993.77703498,84334076.75748205,84333627.5989791,84333769.04070513,84333889.02923806,84333989.08943458,84334072.34879453,84333623.48395021,84333764.47094876,84333884.36873873,84333984.55978534,84334068.06991297
9,2021-07-10,84333528.00567283,84333686.49785778,84333816.9042099,84333922.5404039,84334008.20701757,84333518.88597552,84333677.47760285,84333808.94656566,84333916.11015728,84334003.46704115,84333510.33583058,84333668.76313484,84333800.95409445,84333909.29385148,84333998.00795595,84333502.3376599,84333660.42931902,84333793.1015266,84333902.36111188,84333992.18556644,84333494.85504355,84333652.49843717,84333785.47715327,84333895.46406479,84333986.21041065,84333487.84587379,84333644.96689117,84333778.1225962,84333888.68889008,84333980.2097937,84333481.26815155,84333637.81860362,84333771.05367607,84333882.08346716,84333974.26146445,84333475.08243836,84333631.03194185,84333764.27181537,84333875.67287385,84333968.41276386,84333469.25275137,84333624.58334792,84333757.77046521,84333869.4683924,84333962.69193438,84333463.74673276,84333618.44923681,84333751.53880991,84333863.47289588,84333957.11501276,84333458.5354917,84333612.60696182,84333745.56393397,84333857.6841449,84333951.69014277,84333453.59331174,84333607.03527035,84333739.8320974,84333852.0968416,84333946.42033246,84333448.89731802,84333601.71447997,84333734.32948318,84333846.70392631,84333941.30524908,84333444.42714873,84333596.62650238,84333729.0426275,84333841.49740241,84333936.34240428,84333440.16465054,84333591.75478694,84333723.95865723,84333836.46886297,84333931.52794577
