,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333594.02117942,84333831.0261458,84333991.23379801,84334105.38239855,84334190.08203305,84333572.15939513,84333814.81188154,84333979.42632249,84334097.0361919,84334184.50062078,84333551.40237567,84333798.97723849,84333967.46548758,84334088.13181798,84334178.04284172,84333531.7529097,84333783.67557344,84333955.61364283,84334079.0145984,84334171.12017965,84333513.16297998,84333768.96751206,84333944.00991651,84334069.8830136,84334163.97796935,84333495.5646387,84333754.86609863,84333932.72589752,84334060.85273199,84334156.76642725,84333478.88443488,84333741.35986918,84333921.79500942,84334051.99089952,84334149.57899792,84333463.05014364,84333728.42507976,84333911.22871117,84334043.33540025,84334142.47410443,84333447.99376562,84333716.03234501,84333901.0257491,84334034.90610105,84334135.48799525,84333433.65268417,84333704.15028483,84333891.17758423,84334026.71162625,84334128.64259157,84333419.96991214,84333692.7475221,84333881.67163976,84334018.75354509,84334121.9504169,84333406.8939002,84333681.79375221,84333872.49326974,84334011.02901393,84334115.4177674,84333394.3781487,84333671.26028238,84333863.6269598,84334003.5324704,84334109.04679129,84333382.38074848,84333661.12026681,84333855.05705768,84333996.25673313,84334102.83687496,84333370.86391374,84333651.34876788,84333846.7682118,84333989.1937209,84334096.7855797
1,2021-07-02,84331566.24659884,84332150.57671644,84332560.78559597,84332860.75677481,84333087.54977725,84331515.48069581,84332110.96410245,84332530.92992249,84332839.128211,84333072.81923057,84331467.46145785,84332072.39163621,84332500.7532162,84332816.0907288,84333055.7953293,84331422.1658449,84332035.22255687,84332470.91735514,84332792.54252121,84333037.56913339,84331379.45614998,84331999.59210512,84332441.76926745,84332768.99753283,84333018.78998837,84331339.15231322,84331965.5197394,84332413.483878,84332745.75324206,84332999.85429096,84331301.06518827,84331932.96622518,84332386.13942826,84332722.98055431,84332981.00754188,84331265.01167709,84331901.86370093,84332359.75892778,84332700.77427702,84332962.40227011,84331230.82117294,84331872.13186133,84332334.3337518,84332679.18255697,84332944.13224871,84331198.33777595,84331843.68674162,84332309.83742659,84332658.22458617,84332926.25338532,84331167.42046562,84331816.44544779,84332286.23383324,84332637.90152037,84332908.79683368,84331137.94232509,84331790.32862073,84332263.48214641,84332618.20334822,84332891.77741463,84331109.78937128,84331765.2616189,84332241.53981873,84332599.11327958,84332875.1991297,84331082.85927103,84331741.17497443,84332220.36437403,84332580.61058061,84332859.05882859,84331057.06008083,84331718.00444132,84332199.91446464,84332562.67241746,84332843.3486804
2,2021-07-03,84328965.62757547,84329933.96780147,84330636.96151187,84331163.2916304,84331568.1497609,84328886.18745226,84329869.10499151,84330586.5180718,84331125.90768543,84331542.24897604,84328811.26876253,84329806.09770687,84330535.62843236,84331086.14517467,84331512.34638178,84328740.79730174,84329745.52422857,84330485.40818752,84331045.56131949,84331480.36819577,84328674.52410975,84329687.5877997,84330436.4359941,84331005.04355532,84331447.45891072,84328612.1392425,84329632.30294128,84330388.9982295,84330965.1023804,84331414.31526707,84328553.32341012,84329579.58986235,84330343.21775974,84330926.0283093,84331381.36703722,84328497.77095585,84329529.32390563,84330299.1246633,84330887.97996837,84331348.87969537,84328445.19922377,84329481.36195955,84330256.6963791,84330851.03542227,84331317.01506533,84328395.35139336,84329435.55664301,84330215.88107112,84330815.2229968,84331285.86833261,84328347.99621995,84329391.76382364,84330176.61146526,84330780.54024643,84331255.49125403,84328302.92638868,84329349.84643412,84330138.813126,84330746.96585402,84331225.90704575,84328259.9563353,84329309.67621274,84330102.40941577,84330714.46720755,84331197.12011483,84328218.91995728,84329271.13428086,84330067.32444002,84330683.00527388,84331169.12251931,84328179.66841717,84329234.1110778,84330033.48475389,84330652.53775157,84331141.8983101
3,2021-07-04,84325914.64901353,84327274.49806786,84328291.38879372,84329068.99235594,84329676.58758967,84325808.95692126,84327184.66077577,84328219.52107517,84329014.61286017,84329638.3116985,84325709.51039079,84327097.56442325,84328147.13234729,84328956.84410189,84329594.16143814,84325616.17005908,84327013.99048932,84328075.80823767,84328897.95685749,84329546.99327132,84325528.56935124,84326934.19933598,84328006.36373363,84328839.24059051,84329498.5018801,84325446.2663559,84326858.1911276,84327939.19552717,84328781.43302749,84329449.71640626,84325368.81199245,84326785.83759429,84327874.46726993,84328724.95044822,84329401.2693647,84325295.77977969,84326716.95071377,84327812.21114184,84328670.016894,84329353.54943466,84325226.77750733,84326651.31915979,84327752.38536367,84328616.7393782,84329306.79171254,84325161.45031646,84326588.7276966,84327694.90755656,84328565.1529879,84329261.13276708,84325099.47978176,84326528.96731563,84327639.67441264,84328515.24858502,84329216.6451359,84325040.58125764,84326471.84026,84327586.57339521,84328466.99014302,84329173.35942781,84324984.50060739,84326417.16220379,84327535.48969647,84328420.32575147,84329131.27874857,84324931.01086095,84326364.76285306,84327486.31032568,84328375.19466788,84329090.38825907,84324879.9090557,84326314.48568806,84327438.9264404,84328331.53185746,84329050.6615848
4,2021-07-05,84322527.7780233,84324264.06174901,84325598.09727328,84326638.29831515,84327463.02494879,84322399.67901754,84324151.07650584,84325505.31055816,84326566.71227781,84327411.88201043,84322279.37376902,84324041.71816885,84325411.97831361,84326490.74602212,84327352.93684098,84322166.65286493,84323936.94838911,84325320.14303246,84326413.39502491,84327290.01780073,84322061.0369944,84323837.07185702,84325230.84605081,84326336.35483772,84327225.39309031,84321961.96142818,84323742.0674456,84325144.58666596,84326260.59077087,84327160.43705487,84321868.85804377,84323651.75494288,84325061.56330365,84326186.64335084,84327095.99159871,84321781.19056825,84323565.88160421,84324981.80553108,84326114.79963806,84327032.57161534,84321698.46791421,84323484.16782328,84324905.24864155,84326045.19286361,84326970.4863277,84321620.24721378,84323406.33123665,84324831.77678832,84325977.86210133,84326909.91327597,84321546.13213016,84323332.09916502,84324761.2483212,84325912.78885406,84326850.94464192,84321475.76917695,84323261.21464553,84324693.51078081,84325849.91990058,84326793.61689773,84321408.84338327,84323193.43892024,84324628.40975423,84325789.18175742,84326737.93013045,84321345.07394837,84323128.5519768,84324565.79402798,84325730.48991401,84326683.86082403,84321284.21017803,84323066.35204343,84324505.51848213,84325673.75475198,84326631.37041262
5,2021-07-06,84318855.26400201,84320946.60608141,84322593.88527721,84323901.65365486,84324952.67439051,84318708.43171898,84320812.64134386,84322481.17048225,84323813.10333289,84324888.52155264,84318570.73457092,84320683.1526794,84322367.92424844,84323719.2222794,84324814.63365196,84318441.89539945,84320559.25898561,84322256.62248676,84323623.72222117,84324735.82568315,84318321.33285739,84320441.29883887,84322148.5185905,84323528.69819155,84324654.94690219,84318208.37316594,84320329.22603652,84322044.20553349,84323435.33775026,84324573.72025533,84318102.34354584,84320222.80825414,84321943.9108835,84323344.30131046,84324493.19807704,84318002.61182061,84320121.72980967,84321847.6580638,84323255.93537168,84324414.0211973,84317908.60094525,84320025.64562547,84321755.35728405,84323170.3964377,84324336.5719773,84317819.79183465,84319934.20950943,84321666.85799144,84323087.72514391,84324261.06758654,84317735.72089635,84319847.0885921,84321581.97957605,84323007.89163576,84324187.6183637,84317655.97538461,84319763.97018841,84321500.52946152,84322930.82384987,84324116.26513304,84317580.18809208,84319684.56449446,84321422.31372458,84322856.42537116,84324047.00349553,84317508.03209975,84319608.60501288,84321347.14322028,84322784.58680065,84323979.799871,84317439.21590523,84319535.84777375,84321274.83697452,84322715.19301276,84323914.60221277
6,2021-07-07,84314978.3083627,84317391.69494464,84319337.93306452,84320909.59040684,84322189.05181192,84314816.80526659,84317239.58382167,84319206.97558902,84320804.91738424,84322112.19769034,84314665.52787383,84317092.72378975,84319075.53328785,84320694.03472316,84322023.73703961,84314524.1381213,84316952.3644041,84318946.47714543,84320581.3364325,84321929.45177633,84314391.96810107,84316818.86799917,84318821.25141199,84320469.2963364,84321832.75949031,84314268.25319338,84316692.16159168,84318700.53111465,84320359.31120767,84321735.72300817,84314152.23427597,84316571.96335202,84318584.56688598,84320252.15295506,84321639.59885558,84314043.2005564,84316457.89940153,84318473.37321979,84320148.22205938,84321545.1491987,84313940.50486477,84316349.56488483,84318366.83443822,84320047.69475004,84321452.82607146,84313843.56617819,84316246.55578072,84318264.76567484,84319950.61095212,84321362.88362214,84313751.86642852,84316148.48498312,84318166.94846743,84319856.92804873,84321275.44829747,84313664.94500934,84316054.98980598,84318073.15164432,84319766.55432683,84321190.56367844,84313582.39263336,84315965.7347963,84317983.14351787,84319679.37004787,84321108.21963234,84313503.84531745,84315880.41200645,84317896.69886108,84319595.24082322,84321028.37153758,84313428.97883393,84315798.73993373,84317813.60272188,84319514.02612203,84320950.95310138
7,2021-07-08,84310927.68926491,84313630.2992504,84315858.87657627,84317687.72209284,84319194.79386084,84310754.85996649,84313462.68232791,84315711.42750756,84317567.92946754,84319105.71374282,84310593.11638981,84313301.00410944,84315563.55985074,84317441.12187101,84319003.23830262,84310442.0696586,84313146.62226443,84315418.5004077,84317312.33427215,84318894.08315803,84310300.98187584,84312999.9158223,84315277.86352496,84317184.3949622,84318782.21377353,84310169.01574133,84312860.78564227,84315142.39568184,84317058.89528735,84318670.01971391,84310045.34344818,84312728.90476735,84315012.36572468,84316936.70977303,84318558.95299043,84309929.1919093,84312603.84721094,84314887.77767856,84316818.28754582,84318449.8912122,84309819.85855258,84312485.15505886,84314768.49035403,84316703.8214599,84318343.35204005,84309716.7135389,84312372.37323934,84314654.28604156,84316593.3490648,84318239.62380382,84309619.19595322,84312265.06695266,84314544.91049947,84316486.81424898,84318138.84712471,84309526.8076128,84312162.82967623,84314440.09633735,84316384.10552733,84318041.06701547,84309439.10624608,84312065.28603478,84314339.57660128,84316285.0801132,84317946.26671992,84309355.69885996,84311972.09190692,84314243.092491,84316189.57916038,84317854.39000006,84309276.23564745,84311882.93309572,84314150.39752957,84316097.43742643,84317765.35597159
8,2021-07-09,84306740.22153227,84309697.10912734,84312188.24027285,84314264.25837146,84315995.02602386,84306559.01921123,84309516.56633796,84312026.1602217,84314130.51991473,84315894.36028464,84306389.54917479,84309342.55449198,84311863.73968984,84313989.03947748,84315778.61503726,84306231.38268395,84309176.51871687,84311704.52005568,84313845.44414465,84315655.3932316,84306083.728192,84309018.84924088,84311550.26459096,84313702.88849655,84315529.18018252,84305945.69313464,84308869.42265327,84311401.78096318,84313563.14196728,84315402.67468934,84305816.39771315,84308727.8722533,84311259.35205108,84313427.1720916,84315277.51307046,84305695.02183045,84308593.72682859,84311122.97066306,84313295.4712003,84315154.68114786,84305580.82120356,84308466.48274882,84310992.47128153,84313168.24590792,84315034.75751866,84305473.12931158,84308345.64115861,84310867.6055961,84313045.5301397,84314918.06167652,84305371.35309598,84308230.72648937,84310748.08637166,84312927.25406015,84314804.74652195,84305274.96622537,84308121.29484375,84310633.61302228,84312813.2868237,84314694.85736845,84305183.50175148,84308016.93688187,84310523.88640569,84312703.46340458,84314588.37023076,84305096.54500367,84307917.27776328,84310418.61717394,84312597.60154626,84314485.21701208,84305013.72708185,84307821.97557154,84310317.53023735,84312495.51247603,84314385.30224602
9,2021-07-10,84302422.98573531,84305602.54542689,84308337.32373688,84310650.23482159,84312600.032123,84302235.50314157,84305411.20170404,84308162.26850933,84310503.65972564,84312488.42381597,84302060.23261656,84305226.89137836,84307986.95368011,84310348.68443651,84312360.15350056,84301896.71629551,84305051.13145925,84307815.19886504,84310191.48164701,84312223.66408622,84301744.1230965,84304884.32035089,84307648.89815107,84310035.50576757,84312083.93235472,84301601.51961546,84304726.31331444,84307488.91209659,84309882.68915571,84311943.94884878,84301467.98757587,84304576.70955245,84307335.53471345,84309734.08378647,84311805.52322848,84301342.67205633,84304434.99932864,84307188.74768314,84309590.22057973,84311669.74260943,84301224.79785329,84304300.64021312,84307048.36288422,84309451.3177085,84311537.24218364,84301113.67123768,84304173.09627847,84306914.1039864,84309317.40475899,84311408.3699445,84301008.67529716,84304051.85749587,84306785.6537459,84309188.39837357,84311283.28951675,84300909.26280177,84303936.44841942,84306662.68150553,84309064.14910701,84311162.04570086,84300814.94847482,84303826.4310714,84306544.85904498,84308944.4707863,84311044.60696733,84300725.30153859,84303721.40473507,84306431.86947824,84308829.15902133,84310930.89338127,84300639.93890087,84303621.00416437,84306323.41196527,84308718.00287594,84310820.79513977
