,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,4045030.956073515,4045036.710740793,4045040.552643834,4045043.267173454,4045045.2693938166,4045030.420851507,4045036.319782513,4045040.2707803003,4045043.0693277824,4045045.137764906,4045029.911974853,4045035.9375952007,4045039.9850486484,4045042.8581414856,4045044.9854138484,4045029.4296183586,4045035.567911691,4045039.701714485,4045042.64178993,4045044.8220304386,4045028.972702737,4045035.2122346736,4045039.4241126226,4045042.4249784416,4045044.653394945,4045028.539647494,4045034.870918806,4045039.1539697195,4045042.2104548207,4045044.4830497312,4045028.128724507,4045034.5437244684,4045038.8921022387,4045041.999819202,4045044.313201284,4045027.73822426,4045034.230111807,4045038.638801637,4045041.7939789887,4045044.145231729,4045027.366530982,4045033.929400792,4045038.3940545376,4045041.593414525,4045043.980000951,4045027.012152585,4045033.6408594614,4045038.157672051,4045041.398339235,4045043.8180311574,4045026.6737281056,4045033.3637525216,4045037.9293672796,4045041.2087986735,4045043.6596228434,4045026.3500241735,4045033.097367575,4045037.7088024025,4045041.024733071,4045043.504929403,4045026.0399264796,4045032.8410285385,4045037.4956174707,4045040.846017492,4045043.354006089,4045025.7424293207,4045032.5941016837,4045037.2894479935,4045040.6724879276,4045043.2068426716,4045025.456624808,4045032.3559974255,4045037.0899355514,4045040.503958395,4045043.063385522
1,2021-07-02,4044981.966575873,4044996.5744153047,4045006.658396223,4045013.9458976276,4045019.408138718,4044980.684851502,4044995.593919525,4045005.929476074,4045013.4230588586,4045019.054692753,4044979.4704333907,4044994.637925475,4045005.1919920077,4045012.8657577867,4045018.646011055,4044978.3230708404,4044993.7155486033,4045004.4621186396,4045012.2956705336,4045018.2082182006,4044977.239581599,4044992.8302774657,4045003.748378129,4045011.7252246183,4045017.756874423,4044976.2156703747,4044991.9827301134,4045003.0551068247,4045011.161634984,4045017.3014910915,4044975.246771177,4044991.1720591085,4045002.3842827817,4045010.6090659355,4045016.847970365,4044974.3284348287,4044990.396693505,4045001.7365324437,4045010.0698452387,4045016.399989498,4044973.456497425,4044989.6547397217,4045001.1117045092,4045009.545172503,4045015.959818507,4044972.6271415274,4044988.9442002936,4045000.509205782,4045009.035545562,4045015.5288194944,4044971.8369050003,4044988.2630925747,4044999.9282015124,4045008.5410236684,4045015.107760153,4044971.0826651272,4044987.6095113396,4044999.3677363815,4045008.06139329,4045014.6970152375,4044970.361612098,4044986.9816595325,4044998.8268079,4045007.5962741985,4045014.296698575,4044969.671219034,4044986.3778608493,4044998.304410769,4045007.145188149,4045013.9067509538,4044969.0092121544,4044985.7965620407,4044997.7995632435,4045006.7076036558,4045013.526999422
2,2021-07-03,4044917.290745739,4044942.223693963,4044959.9702874967,4044973.067237079,4044983.033206648,4044915.223741146,4044940.5735681644,4044958.7077768464,4044972.142913875,4044982.3987595416,4044913.2708753585,4044938.968280666,4044957.4326204816,4044971.1589176618,4044981.6658247365,4044911.430815632,4044937.422796336,4044956.172778714,4044970.1536772544,4044980.8814667915,4044909.6976098567,4044935.942566644,4044954.9428476007,4044969.149146645,4044980.0736778667,4044908.063636701,4044934.5282294485,4044953.750134177,4044968.158002668,4044979.259527521,4044906.5209554383,4044933.177996091,4044952.5978560504,4044967.1875017616,4044978.4495708826,4044905.0619146926,4044931.8889057566,4044951.4869008004,4044966.241645153,4044977.65035121,4044903.679407286,4044930.6574985757,4044950.416826431,4044965.3224410913,4044976.8658781364,4044902.366953857,4044929.4801794644,4044949.3864449244,4044964.4306635535,4044976.0985300345,4044901.1187043944,4044928.353412835,4044948.394168848,4044963.5663197166,4044975.3496201695,4044899.9294021884,4044927.2738230242,4044947.4382194905,4044962.7289437316,4044974.6197601277,4044898.794332603,4044926.2382415845,4044946.516752216,4044961.917784147,4044973.909097609,4044897.709267927,4044925.2437245827,4044945.6279314477,4044961.131924791,4044973.217474475,4044896.6704137563,4044924.2875531698,4044944.7699745856,4044960.3703632173,4044972.5445331335
3,2021-07-04,4044840.7305053077,4044876.4335103477,4044902.57999464,4044922.2601474025,4044937.451347737,4044837.9307998824,4044874.107205779,4044900.7510097837,4044920.894631411,4044936.500250576,4044835.291989396,4044871.8484873394,4044898.906501079,4044919.442621664,4044935.402414571,4044832.8111883923,4044869.677973936,4044897.086892645,4044917.961026609,4044934.2286234107,4044830.4793884642,4044867.602825072,4044895.313108838,4044916.4822510844,4044933.020919892,4044828.285470813,4044865.6234400887,4044893.5954667563,4044915.024913251,4044931.804884487,4044826.218022288,4044863.7368498803,4044891.938355253,4044913.5995885776,4044930.5962834368,4044824.2661397317,4044861.9384911656,4044890.3428036696,4044912.2120334753,4044929.4048446333,4044822.4197548055,4044860.223152731,4044888.8079391294,4044910.8650630205,4044928.236487999,4044820.6697292663,4044858.585482497,4044887.331833951,4044909.559678179,4044927.094686478,4044819.007842032,4044857.020255385,4044885.912006989,4044908.295759143,4044925.9813193134,4044817.4267280996,4044855.5225085537,4044884.5457231193,4044907.072500065,4044924.897219238,4044815.9197993074,4044854.0876023853,4044883.2301723766,4044905.888685661,4044923.842530015,4044814.481161716,4044852.7112399735,4044881.962576085,4044904.742868979,4044922.8169436846,4044813.1055366453,4044851.389463767,4044880.7402481297,4044903.633486271,4044921.819859927
4,2021-07-05,4044755.139720372,4044801.406454829,4044836.2114067813,4044862.903267134,4044883.7901465716,4044751.7047745106,4044798.4419139707,4044833.8191924696,4044861.0833418546,4044882.5045047235,4044748.473659735,4044795.5683208024,4044831.4099117955,4044859.1501350994,4044881.0216237525,4044745.441703214,4044792.8114044056,4044829.03633097,4044857.1796512315,4044879.4374651923,4044742.596866804,4044790.179694295,4044826.7255519815,4044855.2150384234,4044877.8089549835,4044739.924684435,4044787.673138337,4044824.4907500613,4044853.2809733623,4044876.170657285,4044737.410475448,4044785.287453261,4044822.3373442716,4044851.3913726527,4044874.543810532,4044735.040309157,4044783.0163913234,4044820.2663800176,4044849.5537191965,4044872.9414616036,4044732.8013813663,4044780.8529424514,4044818.276443942,4044847.771580276,4044871.371498462,4044730.6821120596,4044778.7899733647,4044816.3647743077,4044846.046117391,4044869.8385000033,4044728.6721135955,4044776.8205611864,4044814.52791551,4044844.377013429,4044868.344895037,4044726.762102861,4044774.9381584437,4044812.7621072023,4044842.7630528277,4044866.891704793,4044724.9437936936,4044773.1366642904,4044811.0635155584,4044841.2024897407,4044865.4790274757,4044723.209787253,4044771.410443761,4044809.4283690453,4044839.6932839034,4044864.1063592746,4044721.5534685347,4044769.754318782,4044807.853035742,4044838.2332524178,4044862.7728095935
5,2021-07-06,4044662.9013780933,4044719.074048397,4044762.4324262375,4044796.2864881395,4044823.1287717414,4044658.9500815524,4044715.5374769876,4044759.5060432474,4044794.019229194,4044821.50494903,4044655.2394088646,4044712.1143966326,4044756.562310074,4044791.6130950795,4044819.63329507,4044651.762877179,4044708.8349169362,4044753.665648457,4044789.162944183,4044817.635334662,4044648.5056800465,4044705.7085844073,4044750.848912916,4044786.7224787744,4044815.5830736877,4044645.4503786042,4044702.734746523,4044748.127865834,4044784.322280814,4044813.52014803,4044642.5794317005,4044699.90777018,4044745.5087810573,4044781.97948226,4044811.473294272,4044639.8762827525,4044697.219750751,4044742.992606174,4044779.703188703,4044809.4588694414,4044637.3257708214,4044694.661941666,4044740.5773142595,4044777.497633764,4044807.486701922,4044634.9142239275,4044692.2255090186,4044738.2592640603,4044775.364068338,4044805.562439587,4044632.6294067344,4044689.9019211167,4044736.0339990575,4044773.301919012,4044803.689020011,4044630.4604068194,4044687.6831374327,4044733.8967204476,4044771.3095115265,4044801.8676115046,4044628.3975007925,4044685.561686618,4044731.842566553,4044769.384528787,4044800.098226488,4044626.4320201264,4044683.530683535,4044729.866775474,4044767.5243033897,4044798.3801272507,4044624.556225692,4044681.5838135467,4044727.9647764983,4044765.7260051635,4044796.712097503
6,2021-07-07,4044565.606547989,4044630.8017549515,4044682.389625516,4044723.373214385,4044756.2840861436,4044561.256211972,4044626.7702591266,4044678.9718768853,4044720.678043331,4044754.3277982734,4044557.176289925,4044622.8730324423,4044675.537512235,4044717.820199547,4044752.074358449,4044553.3586363164,4044619.143810305,4044672.161628872,4044714.9126233603,4044749.670523235,4044549.7860811944,4044615.592847459,4044668.882279715,4044712.019091128,4044747.2031539236,4044546.4387046555,4044612.21881369,4044665.7175001386,4044709.175779661,4044744.7247944907,4044543.2966067493,4044609.0147697614,4044662.6742452523,4044706.402829991,4044742.2675548485,4044540.3410827047,4044605.97125979,4044659.7532760752,4044703.710830929,4044739.8510042094,4044537.5550550367,4044603.077935861,4044656.951915402,4044701.1045873147,4044737.4868331044,4044534.9231587,4044600.3244100846,4044654.265637983,4044698.5853745565,4044735.181695087,4044532.4316690713,4044597.7006900506,4044651.6890018564,4044696.1523191133,4044732.9389849016,4044530.06836514,4044595.197386228,4044649.2161973887,4044693.803259113,4044730.7599756382,4044527.8223728896,4044592.8057938996,4044646.841369842,4044691.5352879753,4044728.644559116,4044525.6840102547,4044590.5179066244,4044644.558805655,4044689.345100655,4044726.591734982,4044523.644643177,4044588.326393342,4044642.363035822,4044687.2292148266,4044724.5999374823
7,2021-07-08,4044464.639121652,4044537.813105276,4044597.135879912,4044645.066103041,4044684.034306963,4044460.000024293,4044533.3689740347,4044593.2788253836,4044641.971696245,4044681.7586978427,4044455.6539124176,4044529.077469132,4044589.406661933,4044638.6930213883,4044679.1389457383,4044451.5912360116,4044524.9752120804,4044585.603989452,4044635.359928532,4044676.346132238,4044447.792944662,4044521.072906177,4044581.9134266465,4044632.045571995,4044673.481413249,4044444.237184273,4044517.368526026,4044578.354948065,4044628.7912991275,4044670.605878122,4044440.9022364058,4044513.853930147,4044574.936026976,4044625.6199981174,4044667.756767577,4044437.7677526134,4044510.518273218,4044571.657174308,4044622.5435795775,4044664.956696898,4044434.8151973607,4044507.3497917387,4044568.5150576676,4044619.5673220456,4044662.2191030527,4044432.0279235835,4044504.3367352244,4044565.504297261,4044616.692469391,4044659.551563841,4044429.3910834407,4044501.4678378217,4044562.618514798,4044613.9178191884,4044656.9578736126,4044426.891472465,4044498.732539191,4044559.8509495747,4044611.240711322,4044654.4393696366,4044424.5173546397,4044496.121068079,4044557.1948186103,4044608.657651169,4044651.995794776,4044422.258290807,4044493.624451437,4044554.6435230826,4044606.1647054907,4044649.6258666334,4044420.1049802136,4044491.234484402,4044552.190761546,4044603.757754492,4044647.3276572023
8,2021-07-09,4044360.702876412,4044440.8040298726,4044507.3035320602,4044561.9231817946,4044606.867900212,4044355.8648921987,4044436.0234531327,4044503.059904689,4044558.461387955,4044604.289548856,4044351.335983634,4044431.4111820525,4044498.8031471204,4044554.795949475,4044601.322826708,4044347.1055189995,4044427.0060926564,4044494.6261861157,4044551.0723077296,4044598.161953806,4044343.1530573443,4044422.8191529736,4044490.575592853,4044547.3722279556,4044594.9216599064,4044339.4553355146,4044418.84767896,4044486.672975079,4044543.741773735,4044591.6711259317,4044335.9893214805,4044415.0824695276,4044482.92619097,4044540.206310866,4044588.4524303908,4044332.733486424,4044411.511479584,4044479.335466659,4044536.778914819,4044585.291042366,4044329.6682524653,4044408.121735743,4044475.8968361462,4044533.4652511007,4044582.202018136,4044326.7760594497,4044404.900330459,4044472.604118239,4044530.2664897917,4044579.193775839,4044324.041262111,4044401.834921574,4044469.4500683313,4044527.1810857663,4044576.270454784,4044321.4499597643,4044398.913962811,4044466.427052687,4044524.205885048,4044573.4334218926,4044318.989807722,4044396.126787499,4044463.527440799,4044521.3368209046,4044570.682250554,4044316.649833494,4044393.4636131735,4044460.743828799,4044518.5693550175,4044568.0153656425,4044314.4202677007,4044390.9155049454,4044458.0691606333,4044515.8987575206,4044565.430473149
9,2021-07-10,4044254.3577391445,4044340.3432042394,4044413.419502264,4044474.41628878,4044525.202451386,4044249.3910371275,4044335.294729115,4044408.8407495813,4044470.620438547,4044522.3401516364,4044244.744029808,4044330.4275084785,4044404.251074105,4044466.603726551,4044519.0482726432,4044240.4053368852,4044325.7821460175,4044399.750592829,4044462.5257944674,4044515.5428004293,4044236.3535780567,4044321.369752391,4044395.3892524852,4044458.476220671,4044511.951213206,4044232.5645472044,4044317.1870576777,4044391.1900201757,4044454.505322169,4044508.35027174,4044229.014338063,4044313.2239643913,4044387.16103329,4044450.6406759718,4044504.786568744,4044225.680639289,4044309.467428004,4044383.302221705,4044446.89637444,4044501.2882204764,4044222.5431840816,4044305.903475276,4044379.6090268013,4044443.2783949296,4044497.871770723,4044219.583810318,4044302.518247369,4044376.074535263,4044439.787803964,4044494.546395096,4044216.7863481687,4044299.298520545,4044372.6907195398,4044436.4227122925,4044491.3165275715,4044214.136439845,4044296.231943356,4044369.4491619444,4044433.1794882547,4044488.1835363926,4044211.6213417375,4044293.3071196913,4044366.3414742947,4044430.053519918,4044485.1468120664,4044209.2297323663,4044290.513609111,4044363.3595354217,4044427.0396970604,4044482.2044835123,4044206.95153616,4044287.841884404,4044360.495618714,4044424.1327162725,4044479.3538944293
