,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333916.90080331,84334093.08344476,84334211.19940203,84334294.89115044,84334356.74596384,84333900.56012833,84334081.08583577,84334202.52042006,84334288.78479925,84334352.67630905,84333885.03101254,84334069.36134216,84334193.72448231,84334282.26783694,84334347.96654092,84333870.3177026,84334058.02415562,84334185.00448678,84334275.5926987,84334342.91639523,84333856.38626069,84334047.11996941,84334176.46297704,84334268.90460725,84334337.70464242,84333843.18758188,84334036.65925364,84334168.15293635,84334262.28831044,84334332.44080693,84333830.66818582,84334026.63427542,84334160.0993126,84334255.79310766,84334327.19307974,84333818.7752768,84334017.02813081,84334152.31089474,84334249.44690812,84334322.00414824,84333807.45902058,84334007.81965686,84334144.78709954,84334243.26443972,84334316.90054592,84333796.67344199,84333998.9861364,84334137.5219559,84334237.25219639,84334311.89836384,84333786.3766378,84333990.50478506,84334130.50649169,84334231.41149734,84334307.00683907,84333776.53065705,84333982.3535516,84334123.73018251,84334225.74041852,84334302.23066317,84333767.10123073,84333974.51152553,84334117.18183708,84334220.23503195,84334297.57149664,84333758.05744436,84333966.95911856,84334110.85013719,84334214.89021096,84334293.0289791,84333749.37140208,84333959.67811637,84334104.72396304,84334209.70015727,84334288.60141198
1,2021-07-02,84332412.60782544,84332855.84687231,84333163.56024797,84333386.82601723,84333554.66051152,84332373.84502107,84332825.99533577,84333141.26519762,84333370.78067288,84333543.78639379,84332337.1385461,84332796.9025345,84333118.71569335,84333353.68189456,84333531.21505788,84332302.47746354,84332768.84472364,84333096.40630892,84333336.19527707,84333517.7508174,84332269.76254392,84332741.92667335,84333074.59717517,84333318.7021718,84333503.8726093,84332238.86133727,84332716.16580577,84333053.42025265,84333301.42375302,84333489.87305963,84332209.63362442,84332691.53505433,84333032.93534659,84333284.48748003,84333475.93363518,84332181.94308233,84332667.98547682,84333013.16095272,84333267.96441911,84333462.16729037,84332155.66232061,84332645.45845729,84332994.09183338,84333251.89101651,84333448.64365785,84332130.67467912,84332623.8923528,84332975.70929748,84333236.28220029,84333435.40443058,84332106.87444985,84332603.22609088,84332957.98732787,84333221.1394655,84333422.47301865,84332084.16635925,84332583.40105923,84332940.8962776,84333206.45596476,84333409.86075366,84332062.46473561,84332564.36202677,84332924.40510972,84333192.2197641,84333397.57095312,84332041.69257797,84332546.05751356,84332908.48274794,84333178.41594914,84333385.60162568,84332021.78063357,84332528.43984964,84332893.09887756,84333165.02799709,84333373.94729546
2,2021-07-03,84330438.67092422,84331189.26574484,84331727.0563287,84332125.85909905,84332430.42253388,84330376.65015705,84331139.38188322,84331688.68231821,84332097.6500704,84332410.99976854,84330318.08921166,84331090.87737851,84331649.93894482,84332067.6286995,84332388.56665787,84330262.94215313,84331044.20209,84331611.6756787,84332036.96853633,84332364.56523792,84330211.02515279,84330999.51799944,84331574.33502753,84332006.33946913,84332339.85289009,84330162.10511237,84330956.84169237,84331538.13768087,84331976.1278249,84332314.95215239,84330115.94010597,84330916.11667031,84331503.17999767,84331946.55431587,84332290.18587582,84330072.29753913,84330877.25130717,84331469.4875921,84331917.74025027,84332265.7539633,84330030.96168597,84330840.13918643,84331437.04578714,84331889.74612355,84332241.77869917,84329991.73610045,84330804.6700706,84331405.81736447,84331862.59480762,84332218.3324175,84329954.44358037,84330770.73575327,84331375.75309679,84331836.28583303,84332195.4548584,84329918.92501825,84330738.23306167,84331346.79806441,84331810.80435912,84332173.16430691,84329885.03780994,84330707.06525624,84331318.89545311,84331786.12689324,84332151.46487862,84329852.65415595,84330677.14252743,84331291.98882046,84331762.22497606,84332130.35136032,84329821.65941747,84330648.38199057,84331266.02341856,84331739.06757082,84332109.81246644
3,2021-07-04,84328098.94051458,84329169.53623664,84329958.9655402,84330556.26754172,84331019.18937121,84328015.19016832,84329099.43592973,84329903.53921662,84330514.70473339,84330990.1404869,84327936.29700966,84329031.40571354,84329847.66502674,84330470.52318846,84330956.61759184,84327862.16691177,84328966.06315818,84329792.56730919,84330425.45619464,84330920.78456761,84327792.52358985,84328903.61990176,84329738.87834965,84330380.48982815,84330883.92619221,84327727.02873775,84328844.08408889,84329686.9086041,84330336.18985133,84330846.82368371,84327665.33625461,84328787.362777,84329636.78884871,84330292.87693378,84330809.95809165,84327607.1161542,84328733.31544465,84329588.54818484,84330250.72498111,84330773.62583071,84327552.06413057,84328681.78248245,84329542.15826547,84330209.81839746,84330738.00692582,84327499.9042761,84328632.60042569,84329497.55899179,84330170.18644878,84330703.20665118,84327450.38858438,84328585.60997371,84329454.67369898,84330131.8243893,84330669.28163111,84327403.29503389,84328540.66001476,84329413.41821513,84330094.70669997,84330636.25657302,84327358.42514579,84328497.60941912,84329373.70626964,84330058.795505,84330604.135197,84327315.60145517,84328456.3275878,84329335.4526887,84330024.04597603,84330572.9074846,84327274.66510317,84328416.69431879,84329298.57523292,84329990.40981972,84330542.55454536
4,2021-07-05,84325480.28960526,84326864.36723612,84327912.63048573,84328720.87888366,84329356.05963483,84325377.64398028,84326775.18430455,84327840.26520461,84328665.57828417,84329316.85201941,84325281.13752456,84326688.77784933,84327767.41294102,84328606.85445045,84329271.64026417,84325190.62179106,84326605.91712524,84327695.6688623,84328547.0183485,84329223.35361446,84325105.72943401,84326526.85359985,84327625.85034338,84328487.38068072,84329173.72904027,84325026.0218395,84326451.5808879,84327558.35299852,84328428.68994954,84329123.8204812,84324951.0551368,84326379.96586257,84327493.3378038,84328371.36731151,84329074.27490306,84324880.40883945,84326311.81688647,84327430.83362488,84328315.63832542,84329025.48916945,84324813.69691986,84326246.91993992,84327370.79522222,84328261.60961513,84328977.70270169,84324750.57057583,84326185.05778436,84327313.13685755,84328209.31481905,84328931.05399297,84324690.71715416,84326126.01992998,84327257.75208081,84328158.74279277,84328885.61600828,84324633.85742399,84326069.60753495,84327204.52547699,84328109.85524487,84328841.41885638,84324579.74228121,84326015.63549149,84327153.33963326,84328062.5979194,84328798.46457934,84324528.14940794,84325963.93295637,84327104.07921785,84328016.90775238,84328756.73694547,84324478.8801288,84325914.34303972,84327056.63329284,84327972.71747135,84328716.208011
5,2021-07-06,84322640.67280108,84324321.5259341,84325627.00059286,84326651.65362631,84327467.58927538,84322522.3140587,84324215.02288146,84325538.43419027,84326582.74194685,84327418.05724896,84322411.20811774,84324111.98037101,84325449.37616704,84326509.63214265,84327360.97931367,84322307.1522553,84324013.29989022,84325361.774912,84326435.20907201,84327300.06579635,84322209.69563991,84323919.26334064,84325276.62180984,84326361.10440016,84327237.51422824,84322118.30986448,84323829.84586343,84325194.39044401,84326288.24596502,84327174.65541255,84322032.46459192,84323744.87322909,84325115.26724379,84326217.15234786,84327112.30393788,84321951.65992405,84323664.10345455,84325039.27768615,84326148.09806632,84327050.95742771,84321875.43853782,84323587.26980814,84324966.35755654,84326081.2096268,84326990.91422637,84321803.38832913,84323514.10346048,84324896.3941297,84326016.52303076,84326932.34515001,84321735.14072214,84323444.3451381,84324829.25033568,84325954.01901723,84326875.33840117,84321670.36716343,84323377.75074185,84324764.77904335,84325893.6450585,84326819.92830764,84321608.77503332,84323314.09363344,84324702.831482,84325835.32927336,84326766.11404695,84321550.10356452,84323253.16509502,84324643.26212977,84325778.98930453,84326713.87202638,84321494.1200347,84323194.77381137,84324585.93144865,84325724.5380022,84326663.16416296
6,2021-07-07,84319622.75895143,84321577.82328193,84323133.03765558,84324374.5606468,84325375.6987338,84319491.80690011,84321456.0427634,84323029.37711047,84324292.50352563,84325315.93686382,84319369.0322659,84321338.35909846,84322925.24758402,84324205.51904382,84325247.11334485,84319254.18250005,84321225.78609554,84322822.9252515,84324117.04758377,84325173.71528776,84319146.73450653,84321118.6280124,84322723.56104805,84324029.03014942,84325098.39741094,84319046.08353893,84321016.83957192,84322627.6982701,84323942.56623867,84325022.76452765,84318951.62644121,84320920.20669627,84322535.54419255,84323858.26663743,84324947.79638171,84318862.7968538,84320828.43994224,84322447.11850418,84323776.45120126,84324874.08921592,84318779.07806283,84320741.2235237,84322362.33697811,84323697.26377775,84324801.99844494,84318700.00543003,84320658.24097255,84322281.0597134,84323620.74093899,84324731.7256097,84318625.16411686,84320579.18821351,84322203.1193603,84323546.85404642,84324663.37277548,84318554.1848805,84320503.77975674,84322128.33773734,84323475.5354581,84324596.9773088,84318486.73929144,84320431.75111002,84322056.53557599,84323406.69506997,84324532.53451073,84318422.53501314,84320362.85913248,84321987.5381331,84323340.2308405,84324470.01256059,84318361.31142692,84320296.88129884,84321921.17829217,84323276.03550561,84324409.36249362
7,2021-07-08,84316467.26549298,84318669.0490563,84320461.49100834,84321915.92842127,84323103.0423911,84316326.71247771,84318534.21543343,84320344.12739947,84321821.47009538,84323033.36812328,84316195.06473836,84318404.0487355,84320226.33823195,84321721.4133269,84322953.1742992,84316072.0271343,84318279.65520474,84320110.69609746,84321619.72364396,84322867.70327522,84315957.01759471,84318161.35454835,84319998.49454838,84321518.63326716,84322780.05350499,84315849.3700143,84318049.08070228,84319890.33764854,84321419.4022434,84322692.09499119,84315748.42318784,84317942.5826395,84319786.44913894,84321322.72665319,84322604.96663702,84315653.55806662,84317841.5279083,84319686.84120637,84321228.96738946,84322519.35911953,84315564.21104938,84317745.55675414,84319591.40946816,84321138.28300683,84322435.68194704,84315479.8761642,84317654.3102977,84319499.98762558,84321050.70910092,84322354.16524059,84315400.1022782,84317567.44476889,84319412.37935512,84320966.2068281,84322274.92337146,84315324.48830757,84317484.63814093,84319328.37701742,84320884.69308616,84322197.99561228,84315252.67786413,84317405.5926079,84319247.77257527,84320806.05952506,84322123.37256588,84315184.35401472,84317330.03481264,84319170.36383694,84320730.18461254,84322051.01359305,84315119.23444739,84317257.71489578,84319095.95786636,84320656.94130713,84321980.85843056
8,2021-07-09,84313193.77784124,84315614.56122759,84317629.97589588,84319291.30155112,84320663.19929512,84313046.06612316,84315468.73306124,84317500.32073048,84319185.27741855,84320584.0293988,84312907.81114079,84315328.068841,84317370.29586416,84319073.0424115,84320492.95236644,84312778.6840383,84315193.75028831,84317242.7388361,84318959.05263516,84320395.93616469,84312658.05716224,84315066.107703,84317119.06941193,84318845.81137612,84320296.50490743,84312545.21737517,84314945.05531923,84316999.94424993,84318734.7272643,84320196.78233895,84312439.45918292,84314830.30909821,84316885.60000908,84318626.57455039,84320098.05907367,84312340.12346512,84314721.49877335,84316776.04046358,84318521.75099558,84320001.11528978,84312246.61104806,84314618.22623633,84316671.14166963,84318420.42753881,84319906.41128981,84312158.38466343,84314520.09579594,84316570.71236888,84318322.63764901,84319814.20356566,84312074.96574448,84314426.72935103,84316474.52915202,84318228.33187875,84319724.6173279,84311995.9291757,84314337.77336296,84316382.35702293,84318137.41174933,84319637.69280304,84311920.89749585,84314252.9013598,84316293.96134719,84318049.75105639,84319553.41530474,84311849.53525539,84314171.81403477,84316209.11464104,84317965.20936103,84319471.73504007,84311781.54383007,84314094.23809469,84316127.60024033,84317883.64054431,84319392.5802944
9,2021-07-10,84309817.6103468,84312429.80498046,84314652.78250393,84316513.4533957,84318067.435111,84309664.65908319,84312274.83616412,84314512.21336429,84316396.74109237,84317979.24940206,84309521.56702414,84312125.45417762,84314371.33629628,84316273.2625458,84317877.8465838,84309387.98063596,84311982.9020431,84314233.2233675,84316147.92781655,84317769.88530779,84309263.2389487,84311847.51741455,84314099.40513474,84316023.4902364,84317659.29429941,84309146.59447242,84311719.19684546,84313970.58354588,84315901.49480988,84317548.43795371,84309037.30937938,84311597.6277414,84313847.00537416,84315782.78691925,84317438.75028384,84308934.69530539,84311482.40747194,84313728.66569786,84315667.79727475,84317331.0956326,84308838.12712419,84311373.10528028,84313615.42213003,84315556.70720099,84317225.98166862,84308747.04474038,84311269.29424721,84313507.06032504,84315449.54723811,84317123.68907832,84308660.94958161,84311170.5672208,84313403.3320349,84315346.2572817,84317024.35257168,84308579.39901091,84311076.5440497,84313303.97730418,84315246.72388946,84316928.01255517,84308502.00020498,84310986.87409198,84313208.73731722,84315150.80369993,84316834.64866598,84308428.40421775,84310901.236192,84313117.36165614,84315058.33823179,84316744.20183551,84308358.3005362,84310819.33735017,84313029.61218628,84314969.16324258,84316656.58895779
