,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333935.92571692,84334108.25639549,84334223.7883594,84334305.64893728,84334366.15040496,84333919.94208471,84334096.52120505,84334215.29926698,84334299.67619325,84334362.16978845,84333904.75223584,84334085.05314423,84334206.69577537,84334293.30182263,84334357.5630641,84333890.36032903,84334073.96390747,84334198.16656183,84334286.7727372,84334352.62341006,84333876.73317274,84334063.29818931,84334189.81192623,84334280.2309821,84334347.52568552,84333863.82273938,84334053.06623167,84334181.68369259,84334273.7594507,84334342.37701865,84333851.57672092,84334043.26047169,84334173.80626297,84334267.40636367,84334337.24410836,84333839.94347864,84334033.864376,84334166.18823414,84334261.19901939,84334332.16870806,84333828.87427007,84334024.85724531,84334158.82903567,84334255.15182346,84334327.17677054,84333818.32412712,84334016.21686006,84334151.72282727,84334249.27112763,84334322.28403473,84333808.25206432,84334007.92093487,84334144.86083318,84334243.5582222,84334317.49953555,84333798.62096184,84333999.94790144,84334138.23275945,84334238.01122516,84334312.82786179,84333789.39730108,84333992.27730718,84334131.82765971,84334232.62629448,84334308.27063754,84333780.55084448,84333984.88999273,84334125.63446356,84334227.3984156,84334303.82751027,84333772.05430692,84333977.7681426,84334119.64229459,84334222.32191712,84334299.49681853
1,2021-07-02,84332466.73054288,84332899.87926267,84333200.57578775,84333418.74697654,84333582.75089031,84332428.85044584,84332870.70898382,84333178.78996432,84333403.06820397,84333572.12520026,84332392.97963282,84332842.28004341,84333156.75547281,84333386.36005855,84333559.84106681,84332359.10744469,84332814.86239669,84333134.95558964,84333369.2729276,84333546.68442824,84332327.13693862,84332788.55842935,84333113.64450452,84333352.17944942,84333533.12327942,84332296.93870483,84332763.38517295,84333092.95116514,84333335.29574496,84333519.44356072,84332268.375738,84332739.31618547,84333072.93401226,84333318.7463614,84333505.82259277,84332241.31483726,84332716.30364795,84333053.61112086,84333302.60074157,84333492.37074909,84332215.63152832,84332694.29028787,84333034.97737466,84333286.89449912,84333479.15607117,84332191.2118205,84332673.21587424,84333017.01451108,84333271.64222138,84333466.21929929,84332167.95242402,84332653.02073292,84332999.69710882,84333256.84536949,84333453.58330843,84332145.76024424,84332633.64759335,84332982.99619958,84333242.49725282,84333441.25917122,84332124.55156839,84332615.04248844,84332966.88145663,84333228.58621043,84333429.25012924,84332104.25115581,84332597.15511633,84332951.32251477,84333215.09766896,84333417.55423659,84332084.79133667,84332579.93889777,84332936.28975289,84333202.01548347,84333406.16614242
2,2021-07-03,84330524.61073366,84331260.7862355,84331788.1022581,84332179.07114536,84332477.6183278,84330463.75564529,84331211.85901032,84331750.4731766,84332151.41406566,84332458.57766062,84330406.29365946,84331164.2837054,84331712.48135869,84332121.97981833,84332436.585729,84330352.17998046,84331118.50165106,84331674.95979501,84332091.91896503,84332413.05616336,84330301.23447974,84331074.67183389,84331638.3424415,84332061.88828887,84332388.82946421,84330253.22864848,84331032.81062895,84331602.8457522,84332032.2665743,84332364.41788968,84330207.92528161,84330992.86271884,84331568.56426589,84332003.27023797,84332340.13794693,84330165.09630023,84330954.73832041,84331535.52314763,84331975.01823975,84332316.18561782,84330124.53015189,84330918.33313225,84331503.70804948,84331947.5699165,84332292.68079425,84330086.03418095,84330883.53909478,84331473.0825152,84331920.94771646,84332269.69440107,84330049.43459703,84330850.25013128,84331443.5983083,84331895.15120143,84332247.26541007,84330014.57535054,84330818.36509429,84331415.20160614,84331870.16584122,84332225.4117593,84329981.31657372,84330787.78913932,84331387.83672453,84331845.96862099,84332204.1374954,84329949.53291596,84330758.43421328,84331361.44834054,84331822.5316545,84332183.43751864,84329919.11193232,84330730.21905029,84331335.98278984,84331799.82452679,84332163.30077551
3,2021-07-04,84328230.01632147,84329279.98410012,84330054.07997999,84330639.71925075,84331093.57043865,84328147.8626765,84329211.23361526,84329999.72813003,84330598.96587262,84331065.08909719,84328070.47277375,84329144.51274122,84329944.93671244,84330555.64454322,84331032.22104771,84327997.7544298,84329080.42722352,84329890.90634096,84330511.45477585,84330997.08786678,84327929.43675709,84329019.18469924,84329838.25707301,84330467.36344545,84330960.94922064,84327865.18800797,84328960.79322684,84329787.29338211,84330423.92530927,84330924.57106444,84327804.66876945,84328905.16171682,84329738.14354593,84330381.4548097,84330888.4250553,84327747.55541958,84328852.15240884,84329690.83613648,84330340.12248491,84330852.8018258,84327693.54951364,84328801.60881428,84329645.34338799,84330300.01111437,84330817.87789401,84327642.38045278,84328753.37065649,84329601.606395,84330261.14941223,84330783.7564881,84327593.80499865,84328707.28173651,84329559.55000387,84330223.5327418,84330750.49313651,84327547.60539512,84328663.19388142,84329519.09169626,84330187.13609615,84330718.11207391,84327503.58697413,84328620.96870372,84329480.14689308,84330151.92235075,84330686.61695693,84327461.57567622,84328580.47814015,84329442.6320883,84330117.84756239,84330655.99797133,84327421.41568936,84328541.60432102,84329406.46665128,84330084.86438912,84330626.23660347
4,2021-07-05,84325652.55196807,84327011.78729129,84328040.96889924,84328834.37053666,84329457.81250668,84325551.70493412,84326924.19854675,84327969.9138101,84328780.07976505,84329419.32511866,84325456.8875101,84326839.335263,84327898.37969719,84328722.42778327,84329374.9436338,84325367.95419568,84326757.95309567,84327827.93287061,84328663.68331605,84329327.54342403,84325284.54438373,84326680.29918404,84327759.37597321,84328605.13313831,84329278.82952869,84325206.22739935,84326606.36741562,84327693.09753816,84328547.51211518,84329229.83652829,84325132.56735831,84326536.02718534,84327629.25571012,84328491.233754,84329181.19951893,84325063.15131319,84326469.09040496,84327567.87891063,84328436.51953931,84329133.3080957,84324997.60014032,84326405.34698644,84327508.92279048,84328383.47419193,84329086.39730646,84324935.57126364,84326344.58366458,84327452.30322714,84328332.13077745,84329040.60312554,84324876.75760208,84326286.59378855,84327397.91575374,84328282.47839302,84328995.9972021,84324820.88489455,84326231.1821357,84327345.64709362,84328234.47948088,84328952.60911496,84324767.70846531,84326178.166962,84327295.38200223,84328188.08080672,84328910.44089012,84324717.0099444,84326127.38052462,84327247.00727288,84328143.22048566,84328869.4766137,84324668.59418115,84326078.66877769,84327200.41400826,84328099.83249812,84328829.68887319
5,2021-07-06,84322855.39602877,84324507.64912254,84325790.53822115,84326797.26789203,84327598.82361606,84322738.98821321,84324402.94410136,84325703.49077137,84326729.55084823,84327550.15679389,84322629.71150458,84324301.63951822,84325615.95900984,84326657.70778783,84327494.07551421,84322527.36690846,84324204.62183498,84325529.85794616,84326584.57350373,84327434.22520274,84322431.51135945,84324112.16840377,84325446.16205435,84326511.75138727,84327372.76497363,84322341.62543926,84324024.25498304,84325365.33690614,84326440.15323666,84327311.00238755,84322257.1877808,84323940.7104603,84325287.56584492,84326370.28870216,84327249.73782676,84322177.70691164,84323861.29708962,84325212.87401517,84326302.42760535,84327189.46025458,84322102.73319776,84323785.75277175,84325141.19839796,84326236.69432119,84327130.46284,84322031.86145052,84323713.8133253,84325072.42828491,84326173.12428473,84327072.91345207,84321964.72926927,84323645.22394632,84325006.42902997,84326111.6986217,84327016.89878806,84321901.01359783,84323579.74473445,84324943.05608903,84326052.36576255,84326962.4526095,84321840.42670664,84323517.15294321,84324882.16329803,84325995.05511464,84326909.574139,84321782.71218154,84323457.24343376,84324823.60767858,84325939.68578611,84326858.24022412,84321727.64118144,84323399.82816753,84324767.25212713,84325886.17217132,84326808.4134725
6,2021-07-07,84319885.50184998,84321807.78387947,84323336.56329344,84324556.78192893,84325540.62583384,84319756.68957996,84321688.02874401,84323234.64897522,84324476.11987764,84325481.88678542,84319635.92003083,84321572.30117263,84323132.27268413,84324390.61365929,84325414.24085397,84319522.94498712,84321461.59825458,84323031.67228602,84324303.64512129,84325342.09827247,84319417.25007632,84321356.21933791,84322933.97940524,84324217.1222813,84325268.06829666,84319318.2405783,84321256.1200386,84322839.72827736,84324132.12598549,84325193.72827776,84319225.32330969,84321161.0899625,84322749.12277654,84324049.25668834,84325120.04121293,84319137.9412594,84321070.84458596,84322662.18234454,84323968.82886311,84325047.5931703,84319055.5862323,84320985.07346411,84322578.82424924,84323890.98396592,84324976.73351501,84318977.80124314,84320903.46546724,84322498.91101329,84323815.7579975,84324907.66037235,84318904.17828083,84320825.7216401,84322422.27816422,84323743.12285203,84324840.47409324,84318834.3541755,84320751.56129345,84322348.75057247,84323673.01207875,84324775.21143515,84318768.00589626,84320680.72437799,84322278.15203285,84323605.33714205,84324711.86780757,84318704.84590933,84320612.97183342,84322210.31078319,84323539.99776763,84324650.41195987,84318644.6178757,84320548.08486629,84322145.06255437,84323476.88854347,84324590.79578844
7,2021-07-08,84316779.81707813,84318945.1430885,84320707.53816473,84322137.37969555,84323304.29286733,84316641.53827211,84318812.5241246,84320592.12429206,84322044.50378701,84323235.79303989,84316512.0199781,84318684.49454819,84320476.29117599,84321946.12270673,84323156.95067576,84316390.97195734,84318562.14254074,84320362.56870048,84321846.13551123,84323072.91969047,84316277.82166535,84318445.78267397,84320252.22899507,84321746.73703834,84322986.74628484,84316171.91386381,84318335.35007638,84320145.8661664,84321649.16626346,84322900.26894489,84316072.59811845,84318230.59793854,84320043.70031601,84321554.1076537,84322814.60739662,84315979.26545545,84318131.19935013,84319945.74350014,84321461.91610637,84322730.44070305,84315891.36143994,84318036.80053395,84319851.8931346,84321372.7475686,84322648.17150085,84315808.38832481,84317947.04856256,84319761.98573989,84321286.63708504,84322568.02606355,84315729.90230748,84317861.60536024,84319675.82830316,84321203.5465039,84322490.11686474,84315655.50881872,84317780.15422964,84319593.21667695,84321123.39415206,84322414.48254329,84315584.8572572,84317702.4022898,84319513.94631669,84321046.0735273,84322341.11388642,84315517.63583441,84317628.08070153,84319437.81842105,84320971.46516228,84322269.97096352,84315453.56681983,84317556.94373296,84319364.64328615,84320899.4441692,84322200.99454847
8,2021-07-09,84313559.34217341,84315940.15299955,84317921.94709645,84319555.34810646,84320904.05901052,84313414.0282307,84315796.71709687,84317794.43791237,84319451.09100857,84320826.21549872,84313278.01740344,84315658.35995093,84317666.56463295,84319340.72615972,84320736.66410232,84313150.98619421,84315526.24395727,84317541.11785328,84319228.63536923,84320641.27274375,84313032.31715554,84315400.69406027,84317419.49388587,84319117.28021288,84320543.50647557,84312921.30874062,84315281.62595943,84317302.33857387,84319008.04587235,84320445.45346518,84312817.26691921,84315168.76032673,84317189.88471232,84318901.6937306,84320348.38272057,84312719.54327992,84315061.73301342,84317082.13606212,84318798.6149575,84320253.06137136,84312627.54838309,84314960.15247889,84316978.97077483,84318698.97767985,84320159.94203289,84312540.75368811,84314863.62955406,84316880.20079626,84318602.81484292,84320069.27692468,84312458.68840191,84314771.79236622,84316785.60644834,84318510.0778544,84319981.18918347,84312380.934314,84314684.29319797,84316694.95665327,84318420.6699046,84319895.71838409,84312307.12009387,84314600.81095104,84316608.02068505,84318334.46691714,84319812.85010675,84312236.9157401,84314521.05124375,84316524.57484633,84318251.33081543,84319732.53541137,84312170.02747834,84314444.74527882,84316444.40607743,84318171.11793488,84319654.70380165
9,2021-07-10,84310240.35586192,84312809.054711,84314994.76574947,84316824.06943531,84318351.74281909,84310089.93533564,84312656.65819232,84314856.54115929,84316709.31242499,84318265.03982347,84309949.2115589,84312509.75590655,84314718.01366203,84316587.9023699,84318165.3418314,84309817.83672146,84312369.57022764,84314582.20409176,84316464.66706012,84318059.19551033,84309695.16068178,84312236.433188,84314450.61748798,84316342.31370446,84317950.46352004,84309580.44822875,84312110.24304235,84314323.94410324,84316222.36143525,84317841.47050294,84309472.97367024,84311990.6923707,84314202.42660706,84316105.64148651,84317733.62636872,84309372.05997324,84311877.38521355,84314086.06017102,84315992.57736813,84317627.78093788,84309277.09230763,84311769.89795369,84313974.70479307,84315883.34738173,84317524.43335488,84309187.51980723,84311667.81074937,84313868.14971133,84315777.98156969,84317423.8595986,84309102.85211825,84311570.72319941,84313766.15082584,84315676.42084712,84317326.1921254,84309022.65390255,84311478.26145619,84313668.4525235,84315578.5536834,84317231.47067305,84308946.53881608,84311390.08069272,84313574.80031094,84315484.23912889,84317139.67523098,84308874.16366981,84311305.86507963,84313484.94795173,84315393.32136609,84317050.7477327,84308805.22307488,84311225.32647699,84313398.66128711,84315305.63891193,84316964.60647768
