,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,4045032.648830497,4045038.0627751723,4045041.675585585,4045044.2274958272,4045046.109381031,4045032.145145046,4045037.6950582215,4045041.4105723803,4045044.041523108,4045045.9856730993,4045031.6662279596,4045037.335577871,4045041.1419154545,4045043.8430068023,4045045.842488267,4045031.2122473894,4045036.9878461985,4045040.8755059238,4045043.6396313165,4045045.6889327653,4045030.782190957,4045036.6532779145,4045040.614479672,4045043.4358196096,4045045.5304388446,4045030.374574167,4045036.3322079293,4045040.3604607075,4045043.234154767,4045045.3703356893,4045029.9877731567,4045036.0244120983,4045040.114217288,4045043.036141166,4045045.210697091,4045029.620181186,4045035.7293837555,4045039.876024031,4045042.8426320544,4045045.052822139,4045029.2702794042,4045035.4464842565,4045039.645868901,4045042.6540792524,4045044.897519132,4045028.9366650796,4045035.175025985,4045039.4235747918,4045042.470683666,4045044.745279018,4045028.6180586433,4045034.914318079,4045039.208872396,4045042.2924883836,4045044.596384372,4045028.313300414,4045034.6636911123,4045039.0014444776,4045042.119437471,4045044.450979514,4045028.021342596,4045034.4225097294,4045038.80095295,4045041.951413714,4045044.3091165186,4045027.741239469,4045034.190178338,4045038.607055415,4045041.788263147,4045044.1707859063,4045027.4721372533,4045033.9661428044,4045038.4194151484,4045041.6298111314,4045044.0359374
1,2021-07-02,4044986.6238009077,4045000.3710413305,4045009.8547434453,4045016.705399495,4045021.8385858233,4044985.4171491866,4044999.4486939567,4045009.169407474,4045016.2140018097,4045021.506483217,4044984.273783654,4044998.5493499483,4045008.4759941255,4045015.6902003996,4045021.1224733666,4044983.193480545,4044997.6815885035,4045007.7897113245,4045015.1543666,4045020.711101436,4044982.173254977,4044996.8486962747,4045007.1185734128,4045014.618180678,4045020.2869873303,4044981.2090726444,4044996.051259519,4045006.4666596954,4045014.08842448,4045019.859068043,4044980.296642892,4044995.2884854875,4045005.8358322885,4045013.5690129837,4045019.432889691,4044979.4317837153,4044994.558900313,4045005.226682417,4045013.0621351777,4045019.0119080404,4044978.6105805566,4044993.8607261176,4045004.6390698873,4045012.568919738,4045018.598256686,4044977.8294441067,4044993.1920868303,4045004.0724388263,4045012.0898357066,4045018.193216158,4044977.085118788,4044992.5511199054,4045003.5260060467,4045011.624939838,4045017.7975084614,4044976.374667935,4044991.9360352694,4045002.9988748054,4045011.17403241,4045017.4114863575,4044975.6954489453,4044991.345144294,4045002.4901038357,4045010.736756937,4045017.035257391,4044975.045085154,4044990.77687168,4045001.998749071,4045010.31266472,4045016.668766476,4044974.4214378186,4044990.229757661,4045001.5238884515,4045009.9012569385,4045016.3118516044
2,2021-07-03,4044925.782740047,4044949.2735641957,4044965.9795719916,4044978.301282448,4044987.6733064163,4044923.8344363626,4044947.7197221206,4044964.791535392,4044977.4319098964,4044987.0767948995,4044921.9935688325,4044946.208007049,4044963.5915419906,4044976.506379601,4044986.387667706,4044920.2589057824,4044944.7525203987,4044962.405904028,4044975.5608329326,4044985.650170876,4044918.6248586318,4044943.3584065037,4044961.248360729,4044974.61591906,4044984.8906212165,4044917.0842621406,4044942.026276552,4044960.12579332,4044973.683563129,4044984.125067678,4044915.6296469253,4044940.754455788,4044959.041234988,4044972.770592846,4044983.3634352186,4044914.253813667,4044939.5401645196,4044957.9955260726,4044971.880774464,4044982.6118772808,4044912.950073765,4044938.380151979,4044956.9882553346,4044971.015999716,4044981.874165378,4044911.7123285457,4044937.2710390394,4044956.018309028,4044970.176999287,4044981.1525373505,4044910.5350710475,4044936.209501692,4044955.084197068,4044969.3637824412,4044980.4482295774,4044909.413352314,4044935.192365743,4044954.1842489233,4044968.5759133026,4044979.761818627,4044908.3427333366,4044934.2166514588,4044953.3167316196,4044967.812687146,4044979.0934448102,4044907.319233251,4044933.2795899576,4044952.479920347,4044967.0732440995,4044978.4429607685,4044906.339278945,4044932.378623831,4044951.672139831,4044966.3566429485,4044977.8100314997
3,2021-07-04,4044853.624510173,4044887.3129599523,4044911.95933557,4044930.4969202112,4044944.7984600053,4044850.981411507,4044885.119280748,4044910.23604046,4044929.211093609,4044943.9032801827,4044848.4899894283,4044882.989180748,4044908.4980204063,4044927.843762938,4044942.8699574037,4044846.147557594,4044880.942120019,4044906.783366253,4044926.448510635,4044941.7651057965,4044843.9456445505,4044878.9848683095,4044905.1118008206,4044925.0558512844,4044940.6282934956,4044841.873781254,4044877.117819751,4044903.493054347,4044923.683320222,4044939.483597229,4044839.9212159403,4044875.338190264,4044901.931271579,4044922.3408807046,4044938.3458581874,4044838.077674184,4044873.6416904484,4044900.4274313585,4044921.033958545,4044937.2242350755,4044836.333666257,4044872.023417969,4044898.9807194145,4044919.7652097954,4044936.124302868,4044834.6805777107,4044870.4783359086,4044897.5893267337,4044918.5355819627,4044935.049333492,4044833.110657684,4044869.0015255967,4044896.2509219465,4044917.344966781,4044934.0010987846,4044831.6169616734,4044867.5883143526,4044894.962933578,4044916.1926095467,4044932.9803854227,4044830.1932770656,4044866.234333195,4044893.7227189154,4044915.0773695875,4044931.987331407,4044828.834045423,4044864.9355353876,4044892.52766409,4044913.9978876784,4044931.0216493444,4044827.5342881596,4044863.688193424,4044891.3752418915,4044912.952694249,4044930.082776447
4,2021-07-05,4044772.7902009166,4044816.5170116615,4044849.3742077905,4044874.5512230885,4044894.2402058896,4044769.5419002473,4044813.7170652007,4044847.1169322855,4044872.835176431,4044893.028611574,4044766.486078957,4044811.002804956,4044844.843409533,4044871.0122258477,4044891.631089125,4044763.61836735,4044808.3985555605,4044842.6034338684,4044869.1540303007,4044890.1380606396,4044760.9274242055,4044805.912399164,4044840.422590185,4044867.3012767443,4044888.6031690505,4044758.39960526,4044803.544311296,4044838.313324601,4044865.4772392986,4044887.058988263,4044756.0210569324,4044801.2902685762,4044836.2807647204,4044863.6950480286,4044885.525536603,4044753.778629446,4044799.144389269,4044834.325910329,4044861.9617670444,4044884.0151139544,4044751.6602338473,4044797.1000688416,4044832.4474398685,4044860.2807681663,4044882.5351589518,4044749.6549352296,4044795.150583906,4044830.6427580896,4044858.65315424,4044881.0899918317,4044747.752923348,4044793.289407649,4044828.908613691,4044857.0786332455,4044879.681906415,4044745.9454301135,4044791.5103659914,4044827.2414666065,4044855.5560653005,4044878.3118697186,4044744.2246283107,4044789.8077051467,4044825.6377063533,4044854.0838098354,4044876.9799785395,4044742.583528287,4044788.1761100483,4044824.093780278,4044852.659948034,4044875.6857619653,4044741.015880379,4044786.6106960713,4044822.606266641,4044851.282426016,4044874.428384209
5,2021-07-06,4044685.6408902006,4044738.788844856,4044779.765224729,4044811.730928009,4044837.058441849,4044681.9004505463,4044735.445080107,4044777.001055226,4044809.590968231,4044835.5267071887,4044678.3875024947,4044732.2083719545,4044774.2203183463,4044807.319815218,4044833.761129522,4044675.09596267,4044729.107217735,4044771.4838712364,4044805.006992388,4044831.8763252525,4044672.011860955,4044726.150674945,4044768.8227624255,4044802.7031893255,4044829.940211172,4044669.118727459,4044723.3381561334,4044766.2518986063,4044800.4372790433,4044827.993949457,4044666.399988433,4044720.6643614345,4044763.7772239447,4044798.2254420784,4044826.062764897,4044663.8399962415,4044718.1218396868,4044761.399650386,4044796.076283865,4044824.162093097,4044661.424419584,4044715.702340305,4044759.1172785615,4044793.9938111277,4044822.3012119457,4044659.1403327603,4044713.397527136,4044756.9266824713,4044791.979214614,4044820.4854559763,4044656.97616691,4044711.1993472003,4044754.8236643393,4044790.0319622937,4044818.7176028676,4044654.9216029714,4044709.100209733,4044752.803701519,4044788.1504821647,4044816.9987609456,4044652.9674454373,4044707.093060297,4044750.8622106006,4044786.33259457,4044815.328947695,4044651.1054957323,4044705.1713971826,4044748.994701215,4044784.575788371,4044813.7074724925,4044649.328433757,4044703.3292568047,4044747.1968625393,4044782.8773980327,4044812.1331927674
6,2021-07-07,4044593.6964340652,4044655.4296096815,4044704.2230059206,4044742.9513499015,4044774.0286971973,4044589.575703009,4044651.6151371445,4044700.992288409,4044740.405625311,4044772.1820338387,4044585.7108309614,4044647.927442125,4044697.745660134,4044737.7061101305,4044770.0547878137,4044582.09415537,4044644.39847627,4044694.554116859,4044734.959471877,4044767.7854715055,4044578.709458044,4044641.0379766375,4044691.453647073,4044732.22595399,4044765.456072118,4044575.5379080796,4044637.844716633,4044688.4613202647,4044729.539737397,4044763.116190625,4044572.5606864425,4044634.8121587927,4044685.5837319205,4044726.919859158,4044760.796143352,4044569.7601003186,4044631.9313804726,4044682.8216209025,4044724.3763344353,4044758.514410784,4044567.1199935116,4044629.1926112953,4044680.17247398,4044721.913714724,4044756.2820370183,4044564.625828038,4044626.58603979,4044677.6320289033,4044719.5332168746,4044754.105311486,4044562.2646166766,4044624.1022258834,4044675.1951548723,4044717.2340268246,4044751.987447068,4044560.0247939946,4044621.732297574,4044672.8563717203,4044715.014112458,4044749.9296533233,4044557.896068483,4044619.4680288425,4044670.6101550455,4044712.8707371308,4044747.931835299,4044555.8692760817,4044617.3018527166,4044668.4511125013,4044710.800786796,4044745.9930552,4044553.9362441394,4044615.226839882,4044666.3740817113,4044708.8009790257,4044744.111840872
7,2021-07-08,4044498.3617427005,4044567.672085504,4044623.8048489527,4044669.117906937,4044705.9316670834,4044493.9675426623,4044563.466281463,4044620.157709305,4044666.1940384465,4044703.7827831265,4044489.850618117,4044559.4046651907,4044616.4960710583,4044663.0959059843,4044701.3088273285,4044486.0019698394,4044555.521926365,4044612.8999389866,4044659.946192515,4044698.6713310275,4044482.403592915,4044551.8282280928,4044609.409631643,4044656.8140249616,4044695.9658096544,4044479.0348197003,4044548.321684906,4044606.044058888,4044653.738483442,4044693.2499524886,4044475.875104814,4044544.9946193984,4044602.8103094287,4044650.7412091414,4044690.5589331975,4044472.905195367,4044541.8367913202,4044599.7088868674,4044647.833471296,4044687.9141168413,4044470.1075514816,4044538.8370877937,4044596.73665846,4044645.020272042,4044685.3282021484,4044467.466418696,4044535.9844050393,4044593.8885532194,4044642.302800134,4044682.8083549826,4044464.967744108,4044533.2680951785,4044591.158553866,4044639.6799315694,4044680.3581680097,4044462.5990292933,4044530.6781757157,4044588.5402795966,4044637.1491636834,4044677.9789129742,4044460.3491650494,4044528.20540901,4044586.027326845,4044634.7072040415,4044675.6703552445,4044458.208269196,4044525.841311228,4044583.6134647173,4044632.350344612,4044673.4312912463,4044456.167536757,4044523.5781242084,4044581.292742246,4044630.0747000505,4044671.2599069993
8,2021-07-09,4044400.229073208,4044476.1188088167,4044539.0636153338,4044590.7201750115,4044633.1962077986,4044395.646804316,4044471.5939906915,4044535.049992426,4044587.4482438145,4044630.7607129947,4044391.357056352,4044467.228231065,4044531.0237349435,4044583.983675277,4044627.9582618587,4044387.3498016666,4044463.058357468,4044527.072742903,4044580.4639228573,4044624.9722882314,4044383.6057156413,4044459.0947839785,4044523.2410835186,4044576.9662723425,4044621.911157382,4044380.1027942216,4044455.335000445,4044519.549216613,4044573.5342735914,4044618.840219572,4044376.8192466237,4044451.77032453,4044516.004597309,4044570.1919168923,4044615.7992297085,4044373.734701138,4044448.389378118,4044512.607460534,4044566.9515768676,4044612.8122561025,4044370.8306300873,4044445.1799008674,4044509.354073983,4044563.8186239433,4044609.8935320987,4044368.090413841,4044442.129691626,4044506.2386078504,4044560.7941784714,4044607.05102067,4044365.4992440287,4044439.2270817254,4044503.2542243316,4044557.876793104,4044604.2886425033,4044363.0439627217,4044436.4611535775,4044500.39371559,4044555.063498441,4044601.607698733,4044360.712884209,4044433.8218202973,4044497.649875094,4044552.350461025,4044599.007795465,4044358.4956212146,4044431.2998303715,4044495.015709156,4044549.733400422,4044596.4874530444,4044356.3829249903,4044428.8867332484,4044492.484551754,4044547.207854035,4044594.044511917
9,2021-07-10,4044299.819445001,4044381.299259149,4044450.4894046807,4044508.196421066,4044556.209668537,4044295.115699267,4044376.520433436,4044446.157977863,4044504.607877179,4044553.505239018,4044290.714517697,4044371.9129484496,4044441.81600117,4044500.8103643036,4044550.394811447,4044286.6051619574,4044367.515269549,4044437.55819407,4044496.954794117,4044547.082432051,4044282.7674173415,4044363.337945663,4044433.4318260583,4044493.125858346,4044543.688539853,4044279.17838695,4044359.377910717,4044429.458647274,4044489.37113955,4044540.285664729,4044275.815452579,4044355.6256320314,4044425.6463787374,4044485.71672533,4044536.917838258,4044272.657502122,4044352.068783484,4044421.994975399,4044482.175955645,4044533.6116373693,4044269.6853562226,4044348.6941563613,4044418.500143778,4044478.7544979188,4044530.382705731,4044266.8818259295,4044345.4886472174,4044415.155360461,4044475.453375639,4044527.239725161,4044264.2316068434,4044342.4397512246,4044411.9530457216,4044472.2708164235,4044524.186896756,4044261.721108863,4044339.5357871167,4044408.8852487397,4044469.2033991083,4044521.2255241047,4044259.338269163,4044336.765976164,4044405.944044835,4044466.2467743396,4044518.355041177,4044257.0723705995,4044334.1204427932,4044403.121760387,4044463.3961203597,4044515.5736889658,4044254.9138750425,4044331.590174668,4044400.41109371,4044460.646431585,4044512.878965622
