,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334123.58471197,84334259.3399739,84334349.9335671,84334413.92533778,84334461.11604197,84334110.95492466,84334250.11931822,84334343.28813358,84334409.26185444,84334458.01389267,84334098.94622663,84334241.10521452,84334336.55133922,84334404.28383058,84334454.42333513,84334087.56282987,84334232.38572818,84334329.87090874,84334399.18396209,84334450.57272148,84334076.77934532,84334223.99633195,84334323.32547654,84334394.07315984,84334446.59827317,84334066.55854625,84334215.94542222,84334316.95576528,84334389.01619747,84334442.58347419,84334056.85971184,84334208.22737691,84334310.78103891,84334384.05079867,84334438.58032763,84334047.64255108,84334200.82948986,84334304.80818295,84334379.19835919,84334434.62140982,84334038.86897716,84334193.73574558,84334299.03689493,84334374.47020859,84334430.72698975,84334030.50381526,84334186.92890081,84334293.46273313,84334369.87138441,84334426.9093784,84334022.51497912,84334180.39163099,84334288.0789439,84334365.40296686,84334423.17566153,84334014.87338884,84334174.10714924,84334282.87757173,84334361.06355293,84334419.52945797,84334007.55277023,84334168.05952312,84334277.85013841,84334356.8502031,84334415.97207335,84334000.52940874,84334162.23381732,84334272.98805764,84334352.75905623,84334412.50326978,84333993.78189534,84334156.61613622,84334268.28288543,84334348.78573279,84334409.12178634
1,2021-07-02,84332966.94727857,84333312.16354968,84333550.3105865,84333722.3367734,84333851.2348319,84332936.64402263,84333289.00102277,84333533.1003971,84333709.99694064,84333842.89524816,84332907.93003134,84333266.41613233,84333515.6873489,84333696.8433854,84333833.25219266,84332880.79969665,84333244.6243278,84333498.4533444,84333683.38766569,84333822.92202926,84332855.17806791,84333223.70814964,84333481.59964149,84333669.92309302,84333812.27188475,84332830.9638383,84333203.68232433,84333465.22868158,84333656.61997168,84333801.52618021,84332808.0492618,84333184.52694753,84333449.38722801,84333643.5766142,84333790.82418701,84332786.3293197,84333166.20500983,84333434.09012935,84333630.84799069,84333780.25268489,84332765.70570886,84333148.67186694,84333419.33386657,84333618.46244499,84333769.86525203,84332746.08829337,84333131.88040824,84333405.10448198,84333606.43175635,84333759.69404489,84332727.39531778,84333115.78386249,84333391.38230938,84333594.75735071,84333749.75719449,84332709.55303508,84333100.33727805,84333378.14483076,84333583.4342134,84333740.06355962,84332692.4950827,84333085.49825063,84333365.36840999,84333572.45339306,84333730.6158413,84332676.1617764,84333071.2272217,84333353.02934045,84333561.80362266,84333721.41265659,84332660.49940653,84333057.48753385,84333341.10446805,84333551.47237644,84333712.44993757
2,2021-07-03,84331424.33554196,84332017.15930729,84332438.65221243,84332749.47858654,84332985.86992432,84331375.13801615,84331977.93835142,84332408.67222132,84332727.54379845,84332970.821421,84331328.65211141,84331939.77997057,84332378.39006539,84332704.19187818,84332953.43633221,84331284.84693941,84331903.04018123,84332348.469742,84332680.33467336,84332934.83084421,84331243.58156915,84331867.84892115,84332319.25799158,84332656.49317783,84332915.6688533,84331204.67522795,84331834.22170214,84332290.92850152,84332632.96828489,84332896.35523523,84331167.93943633,84331802.11632773,84332263.55785526,84332609.93228164,84332877.14037922,84331133.19251116,84331771.46270189,84332237.16729791,84332587.48021452,84332858.1795319,84331100.26564635,84331742.17882882,84332211.7464876,84332565.65983443,84332839.56785108,84331069.00491644,84331714.17946449,84332187.26735094,84332544.48959717,84332821.3618042,84331039.27132463,84331687.38074882,84332163.69231401,84332523.969755,84332803.59259388,84331010.93995391,84331661.70259704,84332140.97924578,84332504.0893273,84332786.27477676,84330983.89875561,84331637.06982748,84332119.0844364,84332484.83054854,84332769.41190295,84330958.04724272,84331613.41257618,84332097.96437931,84332466.1717371,84332753.00026451,84330933.2952188,84331590.66631323,84332077.57681547,84332448.08915757,84332737.03141882
3,2021-07-04,84329590.37185954,84330443.04796551,84331066.64538088,84331535.57356057,84331897.28998786,84329523.41500549,84330387.50771284,84331023.02997027,84331503.03802183,84331874.64298275,84329460.29831265,84330333.57579716,84330979.0410595,84331468.43970373,84331848.50087836,84329400.95410153,84330281.7450623,84330935.64272428,84331433.13437511,84331820.54887241,84329345.16809532,84330232.18707044,84330893.33419937,84331397.89416017,84331791.78797081,84329292.67536166,84330184.91195627,84330852.36182843,84331363.16278936,84331762.82728873,84329243.20375876,84330139.84937158,84330812.83059147,84331329.19240509,84331734.04230614,84329196.4931965,84330096.89083807,84330774.76533715,84331296.12034076,84331705.66474926,84329152.30342956,84330055.9123417,84330738.14552486,84331264.0138452,84331677.8356828,84329110.41635816,84330016.7864456,84330702.92543016,84331232.89693302,84331650.63790748,84329070.63573712,84329979.3886933,84330669.04610094,84331202.76690105,84331624.11627273,84329032.78573018,84329943.60084487,84330636.4425014,84331173.60468572,84331598.29070316,84328996.70902699,84329909.31233984,84330605.04778677,84331145.38145366,84331573.16471091,84328962.2648771,84329876.42076829,84330574.79583703,84331118.0628383,84331548.7310443,84328929.32720932,84329844.83179565,84330545.6227208,84331091.61167789,84331524.97548278
4,2021-07-05,84327519.18566021,84328630.95446333,84329465.77618602,84330105.17959909,84330605.0558453,84327436.4562702,84328559.72707096,84329408.39447811,84330061.57697394,84330574.28103395,84327358.62348135,84328490.67593648,84329350.59765543,84330015.25685996,84330538.78297198,84327285.57694612,84328424.42022848,84329293.6515888,84329968.03992432,84330500.85824494,84327217.02864818,84328361.1659646,84329238.20683053,84329920.95999208,84330461.86934185,84327152.63178603,84328300.91291966,84329184.57997091,84329874.60850808,84330422.64365424,84327092.03410724,84328243.55909958,84329132.90156114,84329829.3191944,84330383.68969226,84327034.90118146,84328188.95519002,84329083.19720815,84329785.271652,84330345.31993245,84326980.92551072,84328136.93344538,84329035.4334908,84329742.55166319,84330307.72338104,84326929.82891919,84328087.32305717,84328989.54459038,84329701.18735188,84330271.00983734,84326881.36181791,84328039.9581833,84328945.4479921,84329661.17139152,84330235.23762703,84326835.30111401,84327994.68192562,84328903.05382329,84329622.47490333,84330200.43137085,84326791.44763988,84327951.34805298,84328862.27040584,84329585.05627775,84330166.59358135,84326749.62352885,84327909.82147393,84328823.00751816,84329548.86682701,84330133.71234636,84326709.66973571,84327869.97802939,84328785.1782547,84329513.85442382,84330101.7664812
5,2021-07-06,84325262.71985865,84326622.17014545,84327668.97397897,84328484.93978624,84329131.10877429,84325166.75084323,84326536.56173193,84327598.29579271,84328430.2688932,84329092.00006099,84325076.60748385,84326453.68691503,84327527.18949272,84328372.24372254,84329046.91940959,84324992.13561858,84326374.27610359,84327457.21129835,84328313.15117462,84328998.79289062,84324912.97849351,84326298.56207682,84327389.15546286,84328254.28629598,84328949.3544561,84324838.71494874,84326226.53063434,84327323.40357758,84328196.38689844,84328899.6550866,84324768.92091325,84326158.0468373,84327260.10807237,84328139.86658528,84328850.33891864,84324703.19586746,84326092.92056963,84327199.29267935,84328084.945449,84328801.80018505,84324641.1728917,84326030.94115426,84327140.90920763,84328031.72609065,84328754.27591258,84324582.5209885,84325971.89563954,84327084.87038898,84327980.23915476,84328707.90244703,84324526.94385836,84325915.57825126,84327031.06918031,84327930.47125371,84328662.75084697,84324474.17717516,84325861.7949873,84326979.39019428,84327882.38241069,84328618.84953989,84324423.98536463,84325810.36552471,84326929.71645643,84327835.917105,84328576.19909161,84324376.15836956,84325761.12364778,84326881.93334192,84327791.01132892,84328534.7819777,84324330.50862187,84325713.91688126,84326835.93079129,84327747.59711346,84328494.56912412
6,2021-07-07,84322859.68100892,84324449.02095142,84325702.85524867,84326696.86736467,84327493.8617689,84322753.09351029,84324350.67478992,84325619.72266886,84326631.44562352,84327446.4481006,84322653.10704054,84324255.58537176,84325536.1730955,84326562.06717026,84327391.82793932,84322559.52639802,84324164.57783505,84325454.03363782,84326491.47286409,84327333.55702212,84322471.9346915,84324077.9046896,84325374.23097344,84326421.21097425,84327273.74019049,84322389.84702235,84323995.53569399,84325297.2050811,84326352.16021618,84327213.65099797,84322312.77841127,84323917.30352822,84325223.12642822,84326284.81021999,84327154.0679885,84322240.27268098,84323842.9792112,84325152.01473175,84326219.41878922,84327095.46588087,84322171.91313,84323772.311749,84325083.80595732,84326156.10330789,84327038.12848714,84322107.32469383,84323705.04894942,84325018.39099151,84326094.89543666,84326982.21754454,84322046.17224243,84323640.94807607,84324955.63830106,84326035.77461009,84326927.81578949,84321988.15727842,84323579.78093724,84324895.40729845,84325978.6889244,84326874.95450681,84321933.01413964,84323521.3359106,84324837.55620071,84325923.56833549,84326823.63146928,84321880.50623246,84323465.41829386,84324781.94657297,84325870.33306819,84326773.82279046,84321830.42253031,84323411.84976484,84324728.44585446,84325818.89899063,84326725.4908455
7,2021-07-08,84320341.385675,84322138.71042243,84323590.45431167,84324760.41733211,84325709.85533372,84320226.67182872,84322029.41970146,84323495.94423206,84324684.78851144,84325654.34374599,84320119.17288388,84321923.85838427,84323401.04693612,84324604.64517933,84325590.43078744,84320018.65811501,84321822.92992492,84323307.83603291,84324523.16011703,84325522.28829369,84319924.66113895,84321726.9005978,84323217.35728626,84324442.12152052,84325452.383373,84319836.64545491,84321635.72345637,84323130.1018688,84324362.54073243,84325382.20635812,84319754.07720691,84321549.20081632,84323046.25462869,84324284.97816026,84325312.66614634,84319676.4558183,84321467.06814754,84322965.82969387,84324209.72596595,84325244.31502044,84319603.3250526,84321389.0380107,84322888.74685423,84324136.91418792,84325177.48142615,84319534.27497569,84321314.8229963,84322814.87555918,84324066.5741831,84325112.35088314,84319468.93982606,84321244.14736421,84322744.06062755,84323998.6774319,84325049.01658961,84319406.99422334,84321176.75251436,84322676.13735889,84323933.15969695,84324987.51176232,84319348.14889239,84321112.39907593,84322610.94037522,84323869.93625765,84324927.83067447,84319292.14645982,84321050.86716045,84322548.30869637,84323808.91159247,84324869.94253816,84319238.75756718,84320991.95564805,84322488.08852968,84323749.98554729,84324813.80076726
8,2021-07-09,84317725.86588123,84319708.22926998,84321346.7474339,84322688.50463568,84323790.17864373,84317605.11586915,84319589.70436352,84321241.9949482,84322603.31450394,84323726.87325008,84317492.04579352,84319475.32328124,84321136.8971298,84322513.09900236,84323654.02412903,84317386.39655726,84319366.05337422,84321033.74868625,84322421.43622841,84323576.39788553,84317287.66337553,84319262.17030306,84320933.70107983,84322330.33868398,84323496.81079873,84317195.2701072,84319163.61100401,84320837.28987871,84322240.94096793,84323416.96160276,84317108.64555801,84319070.15042736,84320744.71123564,84322153.86860572,84323337.88402574,84317027.25536199,84318981.4925786,84320655.97275183,84322069.44473563,84323260.20419666,84316950.61328264,84318897.31804517,84320570.97833663,84321987.81010123,84323184.29265828,84316878.28298886,84318817.30869268,84320489.5769988,84321908.99472408,84323110.3569714,84316809.87557763,84318741.16010146,84320411.59128925,84321832.961693,84323038.49960212,84316745.04539517,84318668.5873288,84320336.83396536,84321759.63438663,84322968.75488946,84316683.48538753,84318599.32702653,84320265.11769846,84321688.91360855,84322901.11307056,84316624.92255864,84318533.13759035,84320196.26061027,84321620.68845262,84322835.53611632,84316569.11378615,84318469.79828136,84320130.08928384,84321554.84320466,84322771.96828222
9,2021-07-10,84315026.89427806,84317170.99726225,84318983.81272715,84320491.69008769,84321743.9835115,84314901.77304757,84317044.80539584,84318869.95078897,84320397.63831775,84321673.25209674,84314784.6688233,84316923.11089759,84318755.79195207,84320298.09710486,84321591.894987,84314675.30169511,84316806.93277015,84318643.82691717,84320197.02075465,84321505.24700591,84314573.13888553,84316696.55305979,84318535.29999456,84320096.62927504,84321416.45753732,84314477.57542771,84316591.89405674,84318430.78495187,84319998.17068549,84321327.4236621,84314388.01301487,84316492.70690903,84318330.48675692,84319902.32989101,84321239.29749987,84314303.8927708,84316398.66859494,84318234.40608346,84319809.45775041,84321152.77484526,84314224.70671521,84316309.4324103,84318142.43173152,84319719.70399283,84321068.26561223,84314149.99939734,84316224.65409973,84318054.39368033,84319633.09654877,84320985.99763657,84314079.36516207,84316144.00493234,84317970.09395044,84319549.58996826,84320906.08153187,84314012.44368698,84316067.17768615,84317889.32463442,84319469.09548193,84320828.55207936,84313948.91506,84315993.88877244,84317811.87835966,84319391.49989137,84320753.39510418,84313888.49499054,84315923.87828515,84317737.55422078,84319316.67752282,84320680.5651709,84313830.93040915,84315856.90897451,84317666.16097534,84319244.49779977,84320609.99735849
