,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333769.32000768,84333973.22322617,84334110.54725051,84334208.14912741,84334280.44355763,84333750.46519066,84333959.30245215,84334100.43997094,84334201.01948194,84334275.68290517,84333732.55579758,84333945.70356001,84334090.19921911,84334193.41186787,84334270.17417926,84333715.59535736,84333932.55858634,84334080.04959917,84334185.62116137,84334264.26820092,84333699.54347241,84333919.92001426,84334070.11035034,84334177.81691612,84334258.17416869,84333684.34241574,84333907.79946767,84334060.44294125,84334170.09800321,84334252.02020673,84333669.92957789,84333896.18749349,84334051.0761799,84334162.5218711,84334245.8860476,84333656.24328648,84333885.06405178,84334042.02006528,84334155.1209814,84334239.82156901,84333643.22541104,84333874.40421519,84334033.27369972,84334147.91240503,84334233.85774244,84333630.8223781,84333864.18130316,84334024.8299323,84334140.9036047,84334228.01332119,84333618.98539877,84333854.36860165,84334016.67813851,84334134.09600967,84334222.29904193,84333607.67031564,84333844.94028609,84334008.80590641,84334127.48727193,84334216.72032718,84333596.83727837,84333835.87188871,84334001.20006582,84334121.07271338,84334211.27905807,84333586.45035587,84333827.14050445,84333993.84731528,84334114.84626551,84334205.97475636,84333576.47714029,84333818.72484677,84333986.73459898,84334108.80108428,84334200.80538325
1,2021-07-02,84332030.19103518,84332536.7526173,84332890.5916773,84333148.4397689,84333342.88976246,84331986.052853,84332502.51482444,84332864.89160132,84333129.87605472,84333330.27419944,84331944.28163768,84332469.1631275,84332838.90761472,84333110.09885512,84333315.69237296,84331904.86078599,84332437.0127756,84332813.20962669,84333089.87870665,84333300.07812184,84331867.67361912,84332406.18212655,84332788.09681949,84333069.65676503,84333283.98734869,84331832.56618123,84332376.68941683,84332763.72045456,84333049.68860438,84333267.75953875,84331799.37618832,84332348.50202106,84332740.14859018,84333030.12125653,84333251.60506591,84331767.94624321,84332321.56241573,84332717.40170738,84333011.03646994,84333235.65474233,84331738.12949735,84332295.80216974,84332695.47299974,84332992.47594231,84333219.98908699,84331709.7916317,84332271.14955068,84332674.34023225,84332974.45650017,84333204.65619661,84331682.81105316,84332247.53363006,84332653.97280402,84332956.97946267,84333189.68296331,84331657.07825847,84332224.88643,84332634.33600365,84332940.03653449,84333175.08228035,84331632.49484837,84332203.1439606,84332615.39358394,84332923.61357261,84333160.85776114,84331608.97243671,84332182.24662775,84332597.10931157,84332907.69302104,84333147.00687908,84331586.43157518,84332162.13928628,84332579.44788294,84332892.25549546,84333133.52308394
2,2021-07-03,84329747.9349394,84330600.82039554,84331216.13215299,84331674.74142757,84332026.32423432,84329677.69429371,84330543.88504666,84331172.08374201,84331642.22221214,84332003.85975605,84329611.41327842,84330488.55257966,84331127.62950929,84331607.62448603,84331977.9193175,84329549.03281523,84330435.33337751,84331083.74405085,84331572.30202575,84331950.17227878,84329490.33851343,84330384.40892124,84331040.93390986,84331537.02692106,84331921.61082533,84329435.06115752,84330335.79489629,84330999.45069006,84331502.2438426,84331892.8392913,84329382.92243472,84330289.4239034,84330959.40324454,84331468.20630848,84331864.23073666,84329333.65537205,84330245.18882291,84330920.81931658,84331435.05317354,84331836.0158598,84329287.01274109,84330202.966012,84330883.68054996,84331402.8532019,84331808.33551832,84329242.76967214,84330162.62778863,84330847.94287841,84331371.63184182,84331781.272784,84329200.72351556,84330124.0490689,84330813.54861154,84331341.38770854,84331754.87304701,84329160.69246027,84330087.11075357,84330780.43367326,84331312.10293071,84331729.15691504,84329122.51366693,84330051.70128895,84330748.53194596,84331283.74974215,84331704.12864727,84329086.04129207,84330017.71720243,84330717.77785617,84331256.2947256,84331679.78175537,84329051.14458457,84329985.06306964,84330688.1078782,84331229.70156074,84331656.10276963
3,2021-07-04,84327066.50291947,84328273.52187262,84329170.30647667,84329852.74545294,84330384.00429471,84326972.37676246,84328194.08493406,84329107.10109091,84329805.11784694,84330350.58883575,84326883.7656199,84328117.03611973,84329043.41360357,84329754.50709446,84330312.03676449,84326800.55376913,84328043.07047243,84328980.6392877,84329702.90083955,84330270.8397457,84326722.42204534,84327972.42260408,84328919.49684745,84329651.42871928,84330228.4765503,84326648.98299216,84327905.09681062,84328860.33750817,84329600.73785782,84330185.845724,84326579.84167936,84327840.9833704,84328803.30756687,84329551.19415152,84330143.49999042,84326514.62238008,84327779.91923186,84328748.4375488,84329502.9952127,84330101.7794193,84326452.97912872,84327721.72026879,84328695.69272155,84329456.23612665,84330060.890088,84326394.59860727,84327666.19848111,84328645.00241746,84329410.94889726,84330020.9520706,84326339.19944656,84327613.17101507,84328596.27734159,84329367.12668481,84329982.02951239,84326286.52995886,84327562.46466015,84328549.41988008,84329324.738984,84329944.14990425,84326236.36530192,84327513.91782407,84328504.33024131,84329283.74126509,84329907.31666677,84326188.5045641,84327467.3811056,84328460.91007358,84329244.08115762,84329871.51749206,84326142.76799987,84327422.71710151,84328419.06453598,84329205.70243599,84329836.72994053
4,2021-07-05,84324068.71519963,84325621.03015807,84326805.78520043,84327724.82688625,84328450.55553843,84323953.84978499,84325520.4344568,84326723.6344746,84327661.7254437,84328405.63197188,84323845.91816206,84325423.02321056,84326640.96886481,84327594.74246652,84328353.84320237,84323744.74256717,84325329.65790394,84326559.5978836,84327526.51681636,84328298.54908736,84323649.90185872,84325240.61549966,84326480.44621223,84327458.54354085,84328241.74101521,84323560.89684002,84325155.88252017,84326403.95913368,84327391.67498937,84328184.62637147,84323477.22395822,84325075.30324018,84326330.3155546,84327326.38948944,84328127.9454769,84323398.40711415,84324998.65670301,84326259.54466291,84327262.94205049,84328072.15171587,84323324.0098217,84324925.69742437,84326191.59187792,84327201.45203222,84328017.51793253,84323253.638102,84324856.17692485,84326126.35702242,84327141.95566788,84327964.20131396,84323186.93911253,84324789.85488333,84326063.7167689,84327084.43828282,84327912.28402211,84323123.59796196,84324726.50457926,84326003.53794236,84327028.85442656,84327861.79920746,84323063.33391505,84324665.9151714,84325945.68539229,84326975.1406262,84327812.7479703,84323005.89656937,84324607.89223298,84325890.02658617,84326923.22353858,84327765.11058533,84322951.06226967,84324552.25734738,84325836.43420066,84326873.02518183,84327718.8540171
5,2021-07-06,84320831.87371165,84322707.6417899,84324175.71276404,84325335.22158743,84326263.24607942,84320699.96442132,84322588.0486609,84324075.62240379,84325256.93010361,84326206.72632067,84320576.20672964,84322472.40232955,84323975.02287489,84325173.90043466,84326141.61489165,84320460.36193888,84322361.70765722,84323876.11425543,84325089.41243719,84326072.15019949,84320351.91662945,84322256.27328236,84323780.01284094,84325005.31907056,84326000.8412967,84320250.27281676,84322156.06391113,84323687.24904284,84324922.67215772,84325929.20639658,84320154.83205278,84322060.87739055,84323598.02877498,84324842.05794008,84325858.17367981,84320065.03122628,84321970.4364081,84323512.37639673,84324763.78522892,84325788.30916557,84319980.35582659,84321884.43671751,84323430.21536456,84324687.99477392,84325719.95130011,84319900.34266561,84321802.57246995,84323351.414792,84324614.72471125,84325653.29300046,84319824.57780972,84321724.54919073,84323275.81673576,84324543.95064873,84325588.4329978,84319752.69252504,84321650.08998689,84323203.25229478,84324475.61066379,84325525.40867716,84319684.35860312,84321578.93802616,84323133.55107942,84324409.62110022,84325464.2174629,84319619.28371947,84321510.8569776,84323066.54668851,84324345.88663453,84325404.83094916,84319557.20711645,84321445.63036707,84323002.07975696,84324284.30671056,84325347.20434321
6,2021-07-07,84317402.50971107,84319574.8717197,84321315.8565527,84322714.47691639,84323848.22702429,84317257.04015785,84319438.65491042,84321199.18550569,84322621.62819667,84323780.30181281,84317120.72424896,84319307.08683635,84321082.03979133,84322523.2414964,84323702.1002436,84316993.26823896,84319181.29319547,84320966.97900759,84322423.21232723,84323618.72801384,84316874.0797404,84319061.60555337,84320855.29372156,84322323.73590265,84323533.20424981,84316762.47764371,84318947.96513584,84320747.58981873,84322226.05347593,84323447.3524987,84316657.78436156,84318840.12534569,84320644.09504399,84322130.85259685,84323362.28464238,84316559.36464597,84318737.75631922,84320544.82642938,84322038.49146885,84323278.6760966,84316466.63958685,84318640.4996808,84320449.68459626,84321949.1292715,84323196.92834225,84316379.08907665,84318547.99712636,84320358.50807054,84321862.80406614,84323117.26796615,84316296.2490909,84318459.90492426,84320271.10501839,84321779.480444,84323039.80860214,84316217.70686507,84318375.90072814,84320187.27189627,84321699.07918788,84322964.59051406,84316143.09546076,84318295.68617605,84320106.80436076,84321621.4959741,84322891.60634305,84316072.08842592,84318218.98720223,84320029.50352913,84321546.61325665,84322820.81809612,84316004.394859,84318145.55314417,84319955.17941877,84321474.3078367,84322752.16847996
7,2021-07-08,84313826.31850255,84316263.80539133,84318262.20075212,84319893.89496072,84321232.78450693,84313670.57629439,84316113.48684424,84318130.58772092,84319787.41272391,84321153.88528721,84313524.77027942,84315968.44000614,84317998.5554756,84319674.66179183,84321063.1006869,84313388.56028987,84315829.8893621,84317868.98632663,84319560.1154017,84320966.37370418,84313261.29014142,84315698.18209629,84317743.32548332,84319446.28861281,84320867.21503472,84313142.2125209,84315573.23601829,84317622.24413739,84319334.59855056,84320767.74163657,84313030.58729884,84315454.76379548,84317505.987073,84319225.82578921,84320669.2411622,84312925.72251612,84315342.38841951,84317394.56231616,84319120.37289265,84320572.49302743,84312826.98883408,84315235.70345414,84317287.84778829,84319018.4144967,84320477.95801929,84312733.8217171,84315134.30431925,84317185.6526109,84318919.98694175,84320385.89379618,84312645.71814963,84315037.80402657,84317087.75282964,84318825.04302388,84320296.42708081,84312562.23117593,84314945.84045418,84316993.91233411,84318733.48602343,84320209.5997567,84312482.96384752,84314858.07900336,84316903.89503564,84318645.191117,84320125.398821,84312407.56332076,84314774.21276402,84316817.4718055,84318560.01894914,84320043.77612227,84312335.71542566,84314693.96138051,84316734.4242417,84318477.82424839,84319964.66150771
8,2021-07-09,84310122.36124697,84312794.43020745,84315033.63120495,84316890.59778176,84318432.1853429,84309958.95560457,84312632.27319358,84314888.67829649,84316771.46713193,84318342.83045113,84309806.07759807,84312475.92742103,84314743.37292822,84316645.40396993,84318240.0668372,84309663.35067597,84312326.6979465,84314600.88453618,84316517.41833596,84318130.63750832,84309530.06962776,84312184.94267145,84314462.79461795,84316390.3214402,84318018.52211504,84309405.43661639,84312050.55758308,84314329.83069937,84316265.69234447,84317906.11682875,84309288.66396816,84311923.21929005,84314202.25087595,84316144.39646411,84317794.87594281,84309179.0167276,84311802.50964372,84314080.05340941,84316026.87603384,84317685.67691538,84309075.8274013,84311687.9805657,84313963.09444116,84315913.31862515,84317579.03592966,84308978.49789545,84311579.18755978,84313851.15553439,84315803.75770299,84317475.2391611,84308886.49578542,84311475.70644669,84313743.98294175,84315698.13398047,84317374.4247813,84308799.34835921,84311377.1409929,84313641.31052916,84315596.33349687,84317276.63528019,84308716.63608746,84311283.1255878,84313542.87306297,84315498.21153444,84317181.85143198,84308637.98628879,84311193.32526287,84313448.41373177,84315403.60774325,84317090.01465096,84308563.06731953,84311107.43433604,84313357.688187,84315312.35571504,84317001.0418612
9,2021-07-10,84306312.81812304,84309188.37803899,84311650.14341214,84313722.6436036,84315462.59100164,84306143.89063798,84309016.4750662,84311493.44574852,84313591.91625799,84315363.38289681,84305985.91746312,84308850.83835448,84311336.4675637,84313453.65925093,84315249.33869773,84305838.49553943,84308692.83769806,84311182.63030571,84313313.37543721,84315127.95721862,84305700.88412346,84308542.83821848,84311033.63408689,84313174.1470564,84315003.66053672,84305572.24883187,84308400.71649656,84310890.25450958,84313037.70062485,84314879.10764438,84305451.76764011,84308266.11822172,84310752.75992587,84312904.97814168,84314755.90915886,84305338.67455365,84308138.5903452,84310621.13867754,84312776.45699684,84314635.03403527,84305232.27455308,84308017.649655,84310495.22657076,84312652.33547392,84314517.0497145,84305131.94534773,84307902.81809491,84310374.7799071,84312532.64335808,84314402.26832052,84305037.13331752,84307793.640296,84310259.5178573,84312417.30935583,84314290.83794633,84304947.34719509,84307689.69147456,84310149.14713164,84312306.20288351,84314182.80085948,84304862.15118892,84307590.58010697,84310043.37622619,84312199.16027267,84314078.13125451,84304781.15833561,84307495.94781293,84309941.9234419,84312096.00130837,84313976.76007457,84304704.02441496,84307405.46780458,84309844.52115169,84311996.53967027,84313878.59149969
