,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334066.97127222,84334214.01591352,84334312.23081584,84334381.64724265,84334432.85988943,84334053.29935355,84334204.02344754,84334305.023986,84334376.58729027,84334429.49279548,84334040.3010776,84334194.25552373,84334297.71845314,84334371.18625344,84334425.59567736,84334027.9808089,84334184.80751587,84334290.47441679,84334365.65322924,84334421.41641589,84334016.31088655,84334175.71779214,84334283.37713015,84334360.10855724,84334417.1028769,84334005.25085911,84334166.99537891,84334276.47072431,84334354.62250747,84334412.74567503,84333994.75651625,84334158.63411665,84334269.77605723,84334349.23599567,84334408.40125002,84333984.78413369,84334150.62017609,84334263.30056383,84334343.97221988,84334404.10495275,84333975.29239102,84334142.93614918,84334257.04388624,84334338.84345601,84334399.87877448,84333966.24313495,84334135.56330417,84334251.00118047,84334333.85515381,84334395.73606826,84333957.60156791,84334128.48282743,84334245.1650982,84334329.00847025,84334391.68451591,84333949.33615698,84334121.67649333,84334239.52699052,84334324.3018694,84334387.72803652,84333941.41841485,84334115.12700686,84334234.07764405,84334319.73214933,84334383.86803906,84333933.8226321,84334108.81815758,84334228.80773053,84334315.29510948,84334380.10425773,84333926.52560087,84334102.73486516,84334223.70807798,84334310.98598792,84334376.43531696
1,2021-07-02,84332814.84151281,84333187.74253839,84333445.31501046,84333631.53673558,84333771.1602178,84332782.13352732,84333162.70403236,84333426.69176456,84333618.17390582,84333762.12433049,84332751.14493269,84333138.29234454,84333407.85038336,84333603.93065327,84333751.67652877,84332721.86903661,84333114.74013975,84333389.20409997,84333589.36101472,84333740.48474099,84332694.22436969,84333092.13637617,84333370.97060037,84333574.78261223,84333728.9467851,84332668.101098,84333070.49671322,84333353.26061438,84333560.379825,84333717.30582027,84332643.38251643,84333049.79939821,84333336.12461753,84333546.25905499,84333705.71272518,84332619.95493278,84333030.00421603,84333319.57855569,84333532.47976266,84333694.26149312,84332597.71196146,84333011.06272578,84333303.61850902,84333519.07257499,84333683.01013881,84332576.55608037,84332992.92384575,84333288.22927324,84333506.05018449,84333671.99346542,84332556.39885247,84332975.53688325,84333273.38947815,84333493.41407669,84333661.23108044,84332537.1605171,84332958.85313176,84333259.07467821,84333481.1587678,84333650.73254679,84332518.76931073,84332942.8266548,84333245.25922756,84333469.27451625,84333640.50075795,84332501.16069989,84332927.41460617,84333231.9174126,84333457.74907777,84333630.53418498,84332484.27661808,84332912.5772876,84333219.02412516,84333446.56884955,84333620.82839252
2,2021-07-03,84331150.68304175,84331789.0852512,84332243.69483675,84332579.31746727,84332834.77792494,84331097.75195774,84331746.81108184,84332211.33939451,84332555.62233543,84332818.51011932,84331047.7455455,84331705.68699662,84332178.66078497,84332530.39803346,84332799.71730353,84331000.62935519,84331666.09622684,84332146.37554638,84332504.62973572,84332779.60633431,84330956.25068578,84331628.17826656,84332114.85767369,84332478.88022755,84332758.8949844,84330914.41413638,84331591.9492987,84332084.29434367,84332453.47444579,84332738.02093112,84330874.91616829,84331557.36335808,84332054.76792805,84332428.59836271,84332717.2547994,84330837.56068777,84331524.34446858,84332026.30108973,84332404.35449922,84332696.76433772,84330802.1655658,84331492.80388644,84331998.8824251,84332380.79428673,84332676.65232657,84330768.56477417,84331462.64941956,84331972.4814198,84332357.93751875,84332656.97971873,84330736.60842013,84331433.79041377,84331947.05733155,84332335.78433573,84332637.7801575,84330706.16181967,84331406.14032365,84331922.56452344,84332314.3227561,84332619.06929618,84330677.10418274,84331379.61792229,84331898.95567583,84332293.53348097,84332600.85089567,84330649.3271986,84331354.1477429,84331876.18370718,84332273.39299263,84332583.12087709,84330622.73366095,84331329.6600921,84331854.20289879,84332253.87556529,84332565.87004958
3,2021-07-04,84329174.04175387,84330090.49059318,84330761.8687463,84331267.36237532,84331657.65583014,84329102.13817468,84330030.73410605,84330714.87630978,84331232.27039994,84331633.20930046,84329034.36815082,84329972.71509986,84330667.48607278,84331194.95634903,84331604.99147825,84328970.6573131,84329916.9630551,84330620.73662354,84331156.88275139,84331574.821856,84328910.77407698,84329863.66170402,84330575.16548702,84331118.88235532,84331543.78111662,84328854.43269725,84329812.82113919,84330531.03763661,84331081.4335751,84331512.52676332,84328801.339904,84329764.36494564,84330488.4657295,84331044.80812375,84331481.46401724,84328751.2155547,84329718.17577851,84330447.47611313,84331009.15386678,84331450.84288177,84328703.80097093,84329674.1196683,84330408.04627058,84330974.54308268,84331420.81547774,84328658.86138068,84329632.0590438,84330370.12659407,84330941.00143383,84331391.47102939,84328616.18558234,84329591.85961059,84330333.6532655,84330908.52578549,84331362.85779873,84328575.58437286,84329553.39382258,84330298.55595042,84330877.09537816,84331334.99715124,84328536.88851029,84329516.54244676,84330264.76239957,84330846.67893578,84331307.89274651,84328499.94658993,84329481.19506201,84330232.2011747,84330817.23923382,84331281.53663635,84328464.6230149,84329447.24997146,84330200.803222,84330788.73605083,84331255.913361
4,2021-07-05,84326943.61711591,84328136.73433912,84329034.22405519,84329722.55664614,84330261.24927941,84326854.89582695,84328060.20487952,84328972.48064114,84329675.58610876,84330228.06753549,84326771.43711635,84327986.02269743,84328910.29684488,84329625.69213974,84330189.79537225,84326693.12060733,84327914.8520137,84328849.03455122,84329574.83635306,84330148.9095594,84326619.63565564,84327846.91305606,84328789.39324376,84329524.13234979,84330106.87934126,84326550.60886753,84327782.20452102,84328731.71295527,84329474.21698764,84330064.59679464,84326485.66126879,84327720.61587791,84328676.13353324,84329425.4494126,84330022.6100548,84326424.43322264,84327661.98588084,84328622.68194349,84329378.02272248,84329981.2558319,84326366.5941595,84327606.13360113,84328571.3216938,84329332.02895834,84329940.73768528,84326311.8451051,84327552.87492605,84328521.98149273,84329287.49807265,84329901.17376913,84326259.91786294,84327502.03117114,84328474.5721423,84329244.42185909,84329862.6267463,84326210.57274874,84327453.4333399,84328428.99658106,84329202.76892576,84329825.12295243,84326163.59581469,84327406.92396267,84328385.15585254,84329162.49419728,84329788.66490233,84326118.7960202,84327362.35759394,84328342.95260939,84329123.54500176,84329753.23957509,84326076.00256081,84327319.60058068,84328302.2931087,84329085.86498815,84329718.82396893
5,2021-07-06,84324517.82997915,84325974.47716062,84327098.16032061,84327975.3094041,84328670.71834077,84324415.05825941,84325882.63066651,84327022.21731222,84327916.49481718,84328628.60442856,84324318.53769296,84325793.72774544,84326945.8222414,84327854.07692702,84328580.06272033,84324228.1008831,84325708.55074565,84326870.6469598,84327790.51636629,84328528.24489106,84324143.36379702,84325627.34803067,84326797.54420494,84327727.20621893,84328475.01838571,84324063.87376863,84325550.10307439,84326726.92318764,84327664.93984722,84328421.51489939,84323989.17531759,84325476.6699625,84326658.94688624,84327604.16172676,84328368.4278587,84323918.83843939,84325406.84374155,84326593.64004922,84327545.10812874,84328316.18150423,84323852.46931943,84325340.39754726,84326530.95022011,84327487.88894166,84328265.03075987,84323789.7127797,84325277.10220613,84326470.78303409,84327432.53667668,84328215.122129,84323730.25093499,84325216.73635742,84326413.0229547,84327379.03651647,84328166.53182314,84323673.80024824,84325159.09136534,84326357.54554908,84327327.34508201,84328119.29016681,84323620.10805963,84325103.97334963,84326304.2247404,84327277.40231353,84328073.39750507,84323568.94910571,84325051.20363192,84326252.93703015,84327229.13905926,84328028.83472665,84323520.12226333,84325000.61833112,84326203.56387168,84327182.48194067,84327985.57030661
6,2021-07-07,84321934.43040957,84323635.66455497,84324980.13219184,84326047.54144566,84326904.39244314,84321820.37009278,84323530.24781547,84324890.89276989,84325977.22835971,84326853.38266902,84321713.38598153,84323428.33356816,84324801.21481465,84325902.66896519,84326794.62358259,84321613.26686409,84323330.80484763,84324713.05928873,84325826.80950585,84326731.94153625,84321519.5646261,84323237.93080187,84324627.42013708,84325751.31384824,84326667.60131411,84321431.75872399,84323149.67760324,84324544.76871581,84325677.12594552,84326602.972995,84321349.32883587,84323065.86465836,84324465.28707676,84325604.77145234,84326538.8939054,84321271.78571883,84322986.24545686,84324388.99551496,84325534.52683538,84326475.87440683,84321198.68258274,84322910.55005743,84324315.82451256,84325466.51766257,84326414.21943876,84321129.61736216,84322838.50737858,84324245.6562558,84325400.77741148,84326354.10260515,84321064.23086078,84322769.85659777,84324178.34895377,84325337.28347991,84326295.61253394,84321002.2031912,84322704.35258654,84324113.75117742,84325275.97963713,84326238.7825251,84320943.24969003,84322641.76806383,84324051.71028602,84325216.7902064,84326183.60985461,84320887.11686991,84322581.89395724,84323992.0772951,84325159.62909913,84326130.068527,84320833.57865947,84322524.53881234,84323934.70957953,84325104.40558662,84326078.11779611
7,2021-07-08,84319227.72208977,84321150.09349307,84322705.41605118,84323960.64724976,84324980.49820744,84319105.01822557,84321033.0224332,84322604.03966227,84323879.42722584,84324920.82246062,84318990.04360078,84320919.95817305,84322502.25780867,84323793.36600947,84324852.11952932,84318882.5491716,84320811.86698237,84322402.29432452,84323705.87144798,84324778.87527576,84318782.034148,84320709.03250901,84322305.27004878,84323618.86373553,84324703.7422156,84318687.92307684,84320611.4029977,84322211.71079376,84323533.42844304,84324628.3223856,84318599.6436335,84320518.76540393,84322121.81380361,84323450.16673315,84324553.59253962,84318516.65934007,84320430.83526582,84322035.5932776,84323369.39166264,84324480.1459553,84318438.48134953,84320347.3037539,84321952.96232563,84323291.2422043,84324408.33524211,84318364.67050453,84320267.86222146,84321873.78016561,84323215.75140443,84324338.35936183,84318294.8350267,84320192.21465015,84321797.87969516,84323142.88806623,84324270.31805052,84318228.62643488,84320120.08348945,84321725.08369085,84323072.58269615,84324204.24659517,84318165.73495093,84320051.21187674,84321655.21428142,84323004.74386181,84324140.138454,84318105.88498694,84319985.36389321,84321588.09838144,84322939.26858537,84324077.96018092,84318048.83097488,84319922.32378669,84321523.57067403,84322876.04896265,84324017.66138203
8,2021-07-09,84316417.59468386,84318536.50811149,84320290.58304931,84321728.96830706,84322911.39377111,84316288.47366907,84318409.6140729,84320178.2935044,84321637.5438889,84322843.38756609,84316167.57627918,84318287.16837534,84320065.64418752,84321540.73409575,84322765.13393919,84316054.62329465,84318170.20514478,84319955.0944383,84321442.37940742,84322681.75465536,84315949.07309176,84318059.01790163,84319847.87759672,84321344.6393622,84322596.2754902,84315850.3080705,84317953.53764698,84319744.56664848,84321248.73098211,84322510.5212022,84315757.71620917,84317853.52214308,84319645.37075955,84321155.3248159,84322425.60190286,84315670.72510746,84317758.65338935,84319550.2970647,84321064.76686782,84322342.18971483,84315588.81402545,84317668.58848915,84319459.2416575,84320977.2074302,84322260.6821526,84315511.51574394,84317582.98606722,84319372.04189466,84320892.67802845,84322181.3016479,84315438.41388401,84317501.51956122,84319288.50687835,84320811.1384249,84322104.1577597,84315369.13841334,84317423.88336971,84319208.43530849,84320732.50583471,84322029.2868983,84315303.36065468,84317349.79510093,84319131.62587692,84320656.67331147,84321956.67813936,84315240.7884132,84317278.99571726,84319057.88319066,84320583.52140221,84321886.29023579,84315181.16149008,84317211.24858192,84318987.0209894,84320512.92554799,84321818.06295043
9,2021-07-10,84313519.54723501,84315809.96953414,84317749.22316259,84319364.43644519,84320707.46674739,84313385.79341607,84315674.93676403,84317627.24548893,84319263.57053877,84320631.53595677,84313260.62078543,84315544.72831248,84317504.96052289,84319156.8257868,84320544.20388873,84313143.72800146,84315420.4330313,84317385.03598264,84319048.44354394,84320451.19884796,84313034.5437191,84315302.3511162,84317268.80384631,84318940.80438557,84320355.90212175,84312932.41974398,84315190.39792894,84317156.87760858,84318835.24608561,84320260.35010158,84312836.7152844,84315084.3058867,84317049.47569914,84318732.50235255,84320165.77917098,84312746.8319351,84314983.72823371,84316946.59778543,84318632.9486194,84320072.93571115,84312662.22588874,84314888.29304914,84316848.12380509,84318536.74465299,84319982.25916235,84312582.40964447,84314797.63118611,84316753.87080249,84318443.91966125,84319893.99350618,84312506.94905445,84314711.39023983,84316663.6259825,84318354.42422979,84319808.25691517,84312435.45852841,84314629.24093007,84316577.16601484,84318268.16256146,84319725.08619784,84312367.59575221,84314550.8793558,84316494.26822987,84318185.01273163,84319644.46565522,84312303.05655317,84314476.0270327,84316414.71696194,84318104.8395015,84319566.3460777,84312241.57018392,84314404.42978182,84316338.3069619,84318027.50243275,84319490.65738325
