,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334148.80326016,84334279.63193777,84334366.86998332,84334428.45908079,84334473.86083555,84334136.62555727,84334270.74977666,84334360.47252768,84334423.97159852,84334470.87672965,84334125.04571927,84334262.06604105,84334353.98682478,84334419.18129018,84334467.42272253,84334114.06795728,84334253.66561294,84334347.55509084,84334414.27356428,84334463.71845636,84334103.66792667,84334245.58272077,84334341.25304529,84334409.35514635,84334459.89496107,84334093.80985025,84334237.82550955,84334335.11991636,84334404.48837382,84334456.03254353,84334084.45456375,84334230.38861576,84334329.17427559,84334399.7095587,84334452.18123187,84334075.5633013,84334223.25984605,84334323.42277709,84334395.03930266,84334448.37236898,84334067.09940866,84334216.42381334,84334317.86515321,84334390.48852105,84334444.62545973,84334059.02902792,84334209.86394247,84334312.49714929,84334386.0620742,84334440.95235415,84334051.3212698,84334203.5635751,84334307.3122827,84334381.76101339,84334437.35987572,84334043.94813588,84334197.50656664,84334302.30291167,84334377.58399956,84334433.85151258,84334036.88432665,84334191.67759198,84334297.46088916,84334373.52821395,84334430.42852727,84334030.10700524,84334186.06228341,84334292.77796237,84334369.5899501,84334427.09069702,84334023.59555338,84334180.64727214,84334288.24601388,84334365.76500174,84334423.83681445
1,2021-07-02,84333035.42135736,84333368.53194891,84333598.08857216,84333763.78741626,84333887.87719032,84333006.16353232,84333346.19579677,84333581.50651464,84333751.90531668,84333879.8506968,84332978.43727663,84333324.4149144,84333564.72797224,84333739.23910435,84333870.56936969,84332952.23763755,84333303.39723891,84333548.12092936,84333726.28130947,84333860.62635517,84332927.49266182,84333283.22256407,84333531.87937151,84333713.31436832,84333850.37496813,84332904.10488863,84333263.90528277,84333516.10209371,84333700.50230147,84333840.03120428,84332881.97058268,84333245.42637503,84333500.8342483,84333687.9398212,84333829.72912279,84332860.98859185,84333227.75030519,84333486.09023336,84333675.67990948,84333819.55227016,84332841.06420594,84333210.83415456,84333471.8667422,84333663.74990942,84333809.5522415,84332822.11056545,84333194.6326075,84333458.15040183,84333652.16121143,84333799.76001538,84332804.04887375,84333179.10065918,84333444.9223306,84333640.91523305,84333790.19307087,84332786.80804305,84333164.19504532,84333432.16089113,84333630.00718608,84333780.85996139,84332770.32409611,84333149.87494597,84333419.84336144,84333619.4284877,84333771.76331192,84332754.53948788,84333136.10227509,84333407.94694528,84333609.16832149,84333762.90181477,84332739.40242893,84333122.84173562,84333396.4493731,84333599.21465549,84333754.27157605
2,2021-07-03,84331550.79495367,84332123.23357715,84332529.74838693,84332829.2670523,84333056.90797243,84331503.26414755,84332085.39180952,84332500.85088563,84332808.13980147,84333042.42169674,84331458.34827347,84332048.57197525,84332471.66007374,84332785.64638658,84333025.68548587,84331416.0183054,84332013.11791818,84332442.81602558,84332762.66498128,84333007.77365759,84331376.13880555,84331979.15539275,84332414.65311752,84332739.69741452,84332989.32524425,84331338.53573264,84331946.69973484,84332387.33895813,84332717.03357744,84332970.72999817,84331303.02749595,84331915.7105644,84332360.94756275,84332694.839516,84332952.22899202,84331269.4389819,84331886.12054096,84332335.4995961,84332673.20688735,84332933.97172828,84331237.60744356,84331857.85080221,84332310.98525989,84332652.181793,84332916.04987323,84331207.3844498,84331830.81931528,84332287.37764627,84332631.78211178,84332898.51784979,84331178.6359429,84331804.94535083,84332264.6406719,84332612.00818087,84332881.40575826,84331151.2414278,84331780.15179469,84332242.73384425,84332592.84950933,84332864.72767136,84331125.09280896,84331756.3662403,84332221.6151341,84332574.28906228,84332848.48706211,84331100.09313418,84331733.52139215,84332201.2426949,84332556.30602466,84332832.68041202,84331076.15537123,84331711.55508475,84332181.57587107,84332538.87759566,84332817.29964027
3,2021-07-04,84329783.79297242,84330608.03223407,84331210.04538551,84331662.29320653,84332010.87493616,84329719.0383895,84330554.39439034,84331167.96944433,84331630.93233646,84331989.05996774,84329657.99101861,84330502.30485708,84331125.52989173,84331597.58114524,84331963.87718783,84329600.58657253,84330452.24014647,84331083.65687369,84331563.54628651,84331936.94959618,84329546.61884026,84330404.36654638,84331042.8322668,84331529.57204194,84331909.24132288,84329495.8324567,84330358.69441575,84331003.29403885,84331496.08625494,84331881.33911468,84329447.964934,84330315.15632667,84330965.14378819,84331463.33214071,84331853.604727,84329402.76531155,84330273.64795996,84330928.405791,84331431.44226295,84331826.26147313,84329360.00171511,84330234.04992896,84330893.06050771,84331400.48162763,84331799.44534801,84329319.46360159,84330196.23948427,84330859.06407301,84331370.47355612,84331773.23622529,84329280.96149403,84330160.0967053,84330826.35983072,84331341.41560203,84331747.67741798,84329244.3255967,84330125.507633,84330794.88522822,84331313.28953367,84331722.78822337,84329209.4039849,84330092.36568905,84330764.57594317,84331286.06768706,84331698.57212128,84329176.06071202,84330060.57213664,84330735.36833075,84331259.71705051,84331675.02221489,84329144.17399769,84330030.03601247,84330707.20083867,84331234.20190507,84331652.12488618
4,2021-07-05,84327787.37327853,84328862.99498554,84329669.5877572,84330286.71457407,84330768.76943491,84327707.30680017,84328794.15542008,84329614.19164723,84330244.65839826,84330739.10749003,84327631.97152618,84328727.41283228,84329558.39029823,84330199.97824192,84330704.89144576,84327561.26207012,84328663.36636896,84329503.40593119,84330154.42997223,84330668.33442493,84327494.90090713,84328602.21593603,84329449.86696205,84330109.01080725,84330630.74950643,84327432.55341552,84328543.96206395,84329398.079474,84330064.29141454,84330592.93418308,84327373.879514,84328488.5068424,84329348.1699512,84330020.59393868,84330555.37868565,84327318.55621429,84328435.70653664,84329300.16353585,84329978.09188506,84330518.38434373,84327266.28646617,84328385.39951333,84329254.0283433,84329936.8682613,84330482.13349865,84327216.8014946,84328337.42110342,84329209.70116837,84329896.95044406,84330446.73215115,84327169.86010809,84328291.61137268,84329167.10264519,84329858.33159488,84330412.23668359,84327125.24669151,84328247.81897593,84329126.14626606,84329820.98406442,84330378.67098181,84327082.76873085,84328205.90283108,84329086.74374592,84329784.8679016,84330346.03761059,84327042.25428379,84328165.73258339,84329048.80817586,84329749.93630739,84330314.32521883,84327003.5495882,84328127.1884116,84329012.25582226,84329716.13914628,84330283.51350579
5,2021-07-06,84325610.87626609,84326927.2087347,84327939.44571072,84328727.59778865,84329351.18253301,84325517.93464445,84326844.40972322,84327871.16359517,84328674.82933141,84329313.46358097,84325430.62644348,84326764.2471691,84327802.46229547,84328618.81959233,84329269.98270078,84325348.80393146,84326687.4284059,84327734.84548481,84328561.77561006,84329223.56143355,84325272.12295818,84326614.17953035,84327669.08097443,84328504.94745556,84329175.87193346,84325200.17676832,84326544.48770274,84327605.53799035,84328449.0475356,84329127.92786923,84325132.55558062,84326478.22320305,84327544.36436506,84328394.47540484,84329080.35064028,84325068.87224916,84326415.20283414,84327485.58355689,84328341.44385926,84329033.52067992,84325008.77202643,84326355.22340924,84327429.14948528,84328290.05228138,84328987.66682367,84324951.93483998,84326298.07945059,84327374.97826022,84328240.33057679,84328942.92080557,84324898.07412928,84326243.57234445,84327322.96683306,84328192.26612136,84328899.35138321,84324846.93422511,84326191.51479699,84327273.00404464,84328145.82059604,84328856.98618332,84324798.28724408,84326141.73268944,84327224.97715892,84328100.94064897,84328815.82594381,84324751.92996739,84326094.06550145,84327178.77567199,84328057.56470892,84328775.85393764,84324707.68091741,84326048.3659637,84327134.29345769,84328015.62735623,84328737.04228139
6,2021-07-07,84323290.71620932,84324830.96450046,84326044.45412323,84327005.39845237,84327775.15872055,84323187.41700932,84324735.77036662,84325964.07541594,84326942.20396818,84327729.39582503,84323090.50630532,84324643.72029367,84325883.28696743,84326875.18292663,84327676.67456377,84322999.79658848,84324555.61400026,84325803.85563044,84326806.98254348,84327620.42619202,84322914.88526236,84324471.69699201,84325726.6779716,84326739.0984998,84327562.6820498,84322835.30357198,84324391.94100975,84325652.18007919,84326672.37993565,84327504.67140327,84322760.58246265,84324316.18498775,84325580.52745327,84326607.30024074,84327447.14588991,84322690.28060804,84324244.20804787,84325511.73978744,84326544.10889077,84327390.5639705,84322623.99478917,84324175.76788634,84325445.7557321,84326482.91970754,84327335.19987185,84322561.36201851,84324110.62093586,84325382.47028309,84326423.76367646,84327281.20999701,84322502.05791412,84324048.53269343,84325321.75669381,84326366.62129712,84327228.67448606,84322445.79351903,84323989.28266011,84325263.4794046,84326311.44275875,84327177.62379926,84322392.31163634,84323932.66631325,84325207.50164798,84326258.16069059,84327128.05602938,84322341.38319087,84323878.49545605,84325153.68984856,84326206.69828767,84327079.9483412,84322292.80384539,84323826.59770392,84325101.91607162,84326156.9745057,84327033.26461741
7,2021-07-08,84320857.20858496,84322600.42614897,84324006.65396944,84325138.65526606,84326056.40503864,84320745.95948537,84322494.55734253,84323915.20192438,84325065.54333898,84326002.78485695,84320641.69836342,84322392.29231235,84323823.36785676,84324988.06186351,84325941.0462432,84320544.20317425,84322294.50734453,84323733.15860109,84324909.27766031,84325875.21808004,84320453.02308564,84322201.46155566,84323645.58675636,84324830.91956995,84325807.683164,84320367.639008,84322113.11056174,84323561.12838072,84324753.9656842,84325739.88112134,84320287.53418873,84322029.26382644,84323479.96311016,84324678.95826717,84325672.69012737,84320212.2239595,84321949.66592102,84323402.10532548,84324606.1802853,84325606.64397623,84320141.26649888,84321874.03909609,84323327.47804518,84324535.75795749,84325542.06028108,84320074.26476566,84321802.10551882,84323255.95549724,84324467.722067,84325479.11859865,84320010.86445841,84321733.5985649,84323187.38800164,84324402.04546793,84325417.90929326,84319950.7503582,84321668.26813318,84323121.61660028,84324338.66643906,84325358.46476734,84319893.64219773,84321605.88268293,84323058.4816206,84324277.50341353,84325300.77977909,84319839.29059719,84321546.22949037,84322997.82759471,84324218.46434247,84325244.82485172,84319787.47330466,84321489.11396654,84322939.50596593,84324161.45266224,84325190.55522162
8,2021-07-09,84318329.33562371,84320253.146468,84321841.36814682,84323140.51001315,84324206.17050819,84318212.18961999,84320138.27134277,84321739.94285965,84323058.1018219,84324144.98232646,84318102.48571019,84320027.40352455,84321638.1754565,84322970.82656808,84324074.56584696,84317999.97418413,84319921.4817252,84321538.28811803,84322882.14510924,84323999.52734986,84317904.16673446,84319820.77431993,84321441.3964611,84322794.00441192,84323922.58865018,84317814.50557683,84319725.22129734,84321348.01987827,84322707.50248237,84323845.39176087,84317730.4375051,84319634.60550879,84321258.34911361,84322623.24498536,84323768.936125,84317651.4448585,84319548.6409019,84321172.39228298,84322541.54509352,84323693.82731047,84317577.0565207,84319467.01859549,84321090.05702025,84322462.53951734,84323620.4238787,84317506.84967202,84319389.43083255,84321011.19771706,84322386.25781713,84323548.92685804,84317440.44741037,84319315.58305125,84320935.64306755,84322312.66475494,84323479.43567713,84317377.51471631,84319245.19948561,84320863.21221174,84322241.6866274,84323411.9838874,84317317.75395757,84319178.02523158,84320793.72414349,84322173.22784403,84323346.56238143,84317260.9004946,84319113.82640333,84320727.0030796,84322107.18144183,84323283.13469861,84317206.71863101,84319052.38929151,84320662.88138296,84322043.43576631,84323221.6472245
9,2021-07-10,84315720.41602738,84317802.09582956,84319560.23651007,84321021.10715996,84322233.2187423,84315599.00527279,84317679.74319735,84319449.93751377,84320930.07771337,84322164.81459768,84315485.36557049,84317561.74237038,84319339.3429842,84320833.72907297,84322086.13027145,84315379.22689216,84317449.08249107,84319230.86606745,84320735.88806817,84322002.32407096,84315280.0736078,84317342.03821528,84319125.71289569,84320638.70357613,84321916.44146514,84315187.31979854,84317240.53529324,84319024.44014724,84320543.38400915,84321830.31722541,84315100.38579646,84317144.33340015,84318927.24722368,84320450.5928726,84321745.06588575,84315018.73001927,84317053.12015492,84318834.13555531,84320360.6703792,84321661.3607685,84314941.86012915,84316966.56008373,84318744.99811184,84320273.7620481,84321579.59875473,84314869.33464634,84316884.3199736,84318659.6707938,84320189.8954654,84321500.00063469,84314800.76031941,84316806.0815677,84318577.96233481,84320109.02713913,84321422.67381036,84314735.78781304,84316731.54738349,84318499.6717771,84320031.07159367,84321347.65231419,84314674.10694617,84316660.44278611,84318424.5986161,84319955.91965637,84321274.92279752,84314615.44205661,84316592.51604778,84318352.54855624,84319883.45003153,84321204.44164377,84314559.54774019,84316527.53736211,84318283.33661464,84319813.536635,84321136.14635758
