,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334314.65973456,84334412.43394475,84334477.35345858,84334523.05435391,84334556.67480734,84334305.53304891,84334405.81178576,84334472.6001467,84334519.72816013,84334554.46683373,84334296.8503363,84334399.33534205,84334467.78006822,84334516.17687592,84334551.9108617,84334288.61536826,84334393.06809886,84334462.99890533,84334512.5378683,84334549.16932383,84334280.81045723,84334387.03581056,84334458.31299508,84334508.89024554,84334546.33913828,84334273.40927157,84334381.24478109,84334453.7515856,84334505.28024666,84334543.47972327,84334266.38286711,84334375.69122426,84334449.32858242,84334501.73483501,84334540.6281107,84334259.70253243,84334370.36623815,84334445.0490326,84334498.26933457,84334537.8075161,84334253.34108263,84334365.25851597,84334440.91283268,84334494.89188996,84334535.0324001,84334247.27338175,84334360.35584313,84334436.91690774,84334491.60615535,84334532.3115606,84334241.47647975,84334355.64592345,84334433.05651818,84334488.41295809,84334529.65007591,84334235.92956114,84334351.11682667,84334429.32605441,84334485.31134962,84334527.05055514,84334230.6138065,84334346.75721878,84334425.71952339,84334482.29928051,84334524.51395881,84334225.51222011,84334342.55646701,84334422.2308463,84334479.37403938,84334522.04014648,84334220.60945074,84334338.50467248,84334418.8540386,84334476.53254071,84334519.62824717
1,2021-07-02,84333481.80455117,84333733.69022898,84333906.25866929,84334030.31132767,84334122.93360761,84333459.60330473,84333716.85805671,84333893.82232516,84334021.43067542,84334116.95016973,84333438.5519229,84333700.43688726,84333881.23430695,84334011.96159242,84334110.03007282,84333418.64861763,84333684.5841498,84333868.77068117,84334002.27197659,84334102.61516266,84333399.84054847,84333669.36080866,84333856.57723765,84333992.57293868,84334094.96870105,84333382.0552623,84333654.77851826,84333844.72845648,84333982.98720543,84334087.25170395,84333365.21530052,84333640.82368001,84333833.25860067,84333973.58575685,84334079.56417403,84333349.24495162,84333627.47016205,84333822.17885025,84333964.40840213,84334071.96849354,84333334.07321301,84333614.68618277,84333811.48707573,84333955.47578733,84334064.5032415,84333319.6348911,84333602.43807577,84333801.17356229,84333946.796625,84334057.19163202,84333305.87078866,84333590.69233982,84333791.2244282,84333938.37215914,84334050.04681335,84333292.72745824,84333579.41672565,84333781.6236917,84333930.19897902,84334043.07527408,84333280.15676606,84333568.58077495,84333772.35452746,84333922.27082138,84334036.27907565,84333268.11539187,84333558.15604621,84333763.40002763,84333914.57973784,84334029.65733954,84333256.56432731,84333548.11616275,84333754.74365582,84333907.11685702,84334023.20725097
2,2021-07-03,84332362.15587531,84332799.2267237,84333107.48312703,84333333.47191483,84333504.58509408,84332325.73215078,84332770.45446853,84333085.63587363,84333317.56661941,84333493.71462658,84332291.29076742,84332742.44486095,84333063.55798012,84333300.62767705,84333481.15306605,84332258.81309934,84332715.46084112,84333041.73357688,84333283.3157577,84333467.70586918,84332228.1985497,84332689.59970433,84333020.41612768,84333266.00871831,84333453.85230714,84332199.31644659,84332664.87472267,84332999.73317632,84333248.92511776,84333439.8848606,84332172.02987473,84332641.25664656,84332979.74152859,84333232.19039342,84333425.9845906,84332146.20648786,84332618.69554545,84332960.45761205,84333215.874016,84333412.26391996,84332121.72308798,84332597.1325524,84332941.87475291,84333200.01115528,84333398.79190369,84332098.46717803,84332576.50623086,84332923.97326364,84333184.61570844,84333385.60965642,84332076.33705577,84332556.75599666,84332906.72644283,84333169.68833198,84333372.74003404,84332055.24123342,84332537.82389542,84332890.1041842,84333155.22149296,84333360.19385055,84332035.09757937,84332519.65545093,84332874.07515535,84333141.20269471,84333347.97394767,84332015.8323822,84332502.19998753,84332858.60810518,84333127.61655957,84333336.07790123,84331997.37943472,84332485.41065772,84332843.67263328,84333114.44618261,84333324.49984396
3,2021-07-04,84331019.99719226,84331654.62698223,84332114.69301943,84332458.36320241,84332722.1117917,84330969.96690089,84331613.52551503,84332082.65164942,84332434.59555313,84332705.64049745,84330922.77147643,84331573.58897053,84332050.31920306,84332409.31089185,84332686.62161697,84330878.36638123,84331535.18486607,84332018.40441266,84332383.49878554,84332666.2793821,84330836.59677863,84331498.4432345,84331987.2753558,84332357.723448,84332645.34133074,84330797.26913324,84331463.37449358,84331957.1146147,84332332.30969484,84332624.25052255,84330760.18374594,84331429.92919368,84331928.00094545,84332307.44259965,84332603.28039375,84330725.14926064,84331398.02932607,84331899.95414184,84332283.22342962,84332582.59997845,84330691.9886026,84331367.58505942,84331872.96051006,84332259.70223758,84332562.31243412,84330660.54079884,84331338.50373806,84331846.98769999,84332236.8974373,84332542.47855338,84330630.66084526,84331310.6946595,84331821.99349292,84332214.80785209,84332523.13150896,84330602.21869524,84331284.07150646,84331797.93106209,84332193.42027606,84332504.28631306,84330575.09790796,84331258.5534628,84331774.75212757,84332172.71429037,84332485.94600168,84330549.19422378,84331234.06559086,84331752.40883264,84332152.6653628,84332468.10574082,84330524.41419445,84331210.53880021,84331730.85483326,84332133.24685419,84332450.75558701
4,2021-07-05,84329494.42682603,84330328.61883631,84330949.32569592,84331421.36521038,84331788.34001897,84329432.14848511,84330275.51080652,84330906.86639792,84331389.29614837,84331765.81469008,84329373.51540442,84330223.99270827,84330864.0770085,84331355.21389149,84331739.82395495,84329318.45188172,84330174.52997912,84330821.89497012,84331320.45635775,84331712.0466948,84329266.7474882,84330127.28032063,84330780.80355635,84331285.78420131,84331683.47946128,84329218.1464795,84330082.24742126,84330741.03930351,84331251.63342075,84331654.72795565,84329172.3880472,84330039.35866183,84330702.70110501,84331218.25076395,84331626.16491947,84329129.22398752,84329998.50567584,84330665.81005527,84331185.76970646,84331598.01982807,84329088.42570487,84329959.5659162,84330630.34336214,84331154.25468962,84331570.43187103,84329049.78613749,84329922.41416325,84330596.25403765,84331123.72766076,84331543.48227452,84329013.11930847,84329886.92856541,84330563.48252492,84331094.18438376,84331517.21455897,84328978.25883639,84329852.9936558,84330531.96362631,84331065.60465534,84331491.64752322,84328945.05606765,84329820.50168185,84330501.63063368,84331037.95879626,84331466.78372307,84328913.37815492,84329789.35299651,84330472.4177638,84331011.21181647,84331442.61509264,84328883.10623352,84329759.45593615,84330444.26155443,84330985.32610087,84331419.12671682
5,2021-07-06,84327826.80117425,84328853.24826498,84329636.50869733,84330242.58605601,84330719.71525122,84327754.18227643,84328789.05114213,84329583.90850636,84330202.15127125,84330690.93709609,84327685.92795727,84328726.8658858,84329530.9613899,84330159.21692201,84330657.75347662,84327621.92962426,84328667.24477954,84329478.82657376,84330115.47297882,84330622.31479831,84327561.9242719,84328610.36726232,84329428.09759742,84330071.87770064,84330585.89608313,84327505.59897406,84328556.22725259,84329379.06133273,84330028.97811963,84330549.27086607,84327452.63754049,84328504.72760001,84329331.8341041,84329987.08185886,84330512.91389091,84327402.74071097,84328455.72921368,84329286.43625876,84329946.35351428,84330477.1162955,84327355.63392243,84328409.07705767,84329242.83434524,84329906.87073371,84330442.05364738,84327311.06920697,84328364.61392619,84329200.9655433,84329868.657825,84330407.82743765,84327268.8243812,84328322.1875979,84329160.75204255,84329831.70638093,84330374.49107063,84327228.7010775,84328281.65434326,84329122.10957423,84329795.98817417,84330342.06650767,84327190.52238038,84328242.880409,84329084.95246857,84329761.4633318,84330310.55512331,84327154.13043767,84328205.74238555,84329049.19661272,84329728.0855655,84330279.94489287,84327119.384216,84328170.12697081,84329014.76112558,84329695.80553187,84330250.21520764
6,2021-07-07,84326043.35053678,84327249.93143293,84328193.46439324,84328935.96070744,84329527.66448341,84325962.35414788,84327175.81372006,84328131.27303928,84328887.32457367,84329492.6003401,84325886.32944945,84327104.10874207,84328068.73693085,84328835.72431149,84329452.19301601,84325815.1364609,84327035.4434947,84328007.22425413,84328783.19588242,84329409.06872466,84325748.46555303,84326970.01373446,84327947.43117331,84328730.89090289,84329364.782986,84325685.95417236,84326907.80174792,84327889.69024728,84328679.46431184,84329320.27789408,84325627.23859663,84326848.68590729,84327834.13239276,84328629.28223573,84329276.13018921,84325571.97606494,84326792.49747592,84327780.77550386,84328580.5385573,84329232.69227107,84325519.85306127,84326739.0505354,84327729.57449137,84328533.32269569,84329190.17548674,84325470.5871046,84326688.15774478,84327680.45019983,84328487.66018671,84329148.70091009,84325423.92557564,84326639.63844618,84327633.30637684,84328443.53755341,84329108.33112924,84325379.6433046,84326593.32257015,84327588.03970309,84328400.91782877,84329069.09058653,84325337.53976232,84326549.05222291,84327544.54570605,84328359.75037536,84329030.97883154,84325297.43625866,84326506.68200271,84327502.7221929,84328319.97715116,84328993.97928397,84325259.17332998,84326466.0786365,84327462.47117129,84328281.53672165,84328958.06509496
7,2021-07-08,84324170.05511525,84325540.45195949,84326638.17824022,84327516.40325266,84328224.69759503,84324082.6329709,84325457.76558237,84326567.17021018,84327459.92959078,84328183.4641778,84324000.66591883,84325377.85746711,84326495.83528475,84327400.05901676,84328135.97414893,84323923.98636642,84325301.41661002,84326425.73298526,84327339.15888476,84328085.32235213,84323852.24593623,84325228.65022938,84326357.65231238,84327278.56522743,84328033.34009369,84323785.04157464,84325159.52814628,84326291.96610722,84327219.03521521,84327981.13472255,84323721.97114582,84325093.90548289,84326228.81701739,84327160.98978943,84327929.38255131,84323662.6569614,84325031.58610575,84326168.21913636,84327104.64969057,84327878.4954073,84323606.75438246,84324972.35592037,84326110.11530432,84327050.11450443,84327828.71899952,84323553.95346172,84324916.00030585,84326054.41015308,84326997.40994363,84327780.19287269,84323503.97744018,84324862.31300308,84326000.9894451,84326946.51678908,84327732.9879172,84323456.57995322,84324811.10032889,84325949.73146336,84326897.38892503,84327687.13035242,84323411.54184783,84324762.18282196,84325900.51369391,84326849.96472535,84327642.61733775,84323368.66803898,84324715.39548968,84325853.2166777,84326804.17430086,84327599.4272822,84323327.78459494,84324670.58731404,84325807.72614141,84326759.94412531,84327557.52672957
8,2021-07-09,84322220.83258463,84323737.5319685,84324981.55262864,84325993.08761796,84326818.52683781,84322128.63773674,84323647.58810985,84324902.56583448,84325929.22981119,84326771.32061869,84322042.2651952,84323560.74536099,84324823.28071754,84325861.57669729,84326716.97945626,84321961.52508357,84323477.7433982,84324745.42930399,84325792.80844727,84326659.05333096,84321886.0387748,84323398.79726942,84324669.88338389,84325724.43450373,84326599.64096494,84321815.37195691,84323323.86452857,84324597.050872,84325657.30758156,84326540.00952546,84321749.09303306,84323252.77912773,84324527.08368853,84325591.8993278,84326480.93124418,84321686.79764281,84323185.32048249,84324459.99126098,84325528.45482427,84326422.8748594,84321628.11745857,84323121.24959585,84324395.70442261,84325467.08231775,84326366.11867796,84321572.72168383,84323060.32788223,84324334.11219312,84325407.80684611,84326310.81946486,84321520.31527756,84323002.32668988,84324275.08325173,84325350.60302587,84326257.05552168,84321470.63585581,84322947.0317509,84324218.47854276,84325295.4154542,84326204.85421011,84321423.45021497,84322894.24485484,84324164.15863867,84325242.1715661,84326154.20985092,84321378.5509215,84322843.78401849,84324111.98795639,84325190.78979905,84326105.0955306,84321335.7531629,84322795.48286611,84324061.83706546,84325141.18478909,84326057.47097541
9,2021-07-10,84320208.67754753,84321853.15668547,84323233.99604715,84324374.888475,84325316.70458959,84320113.07546376,84321757.20197389,84323147.90468521,84324304.16806085,84325263.78755252,84320023.55965252,84321664.624586,84323061.55016157,84324229.28995453,84325202.9010455,84319939.92380738,84321576.20489189,84322976.81756203,84324153.22552708,84325138.03146642,84319861.76729888,84321492.1631298,84322894.6514038,84324077.64507505,84325071.53357038,84319788.63319118,84321412.44552657,84322815.48972696,84324003.4894388,84325004.8271649,84319720.06862509,84321336.86749914,84322739.49163908,84323931.2765844,84324938.77575648,84319655.65002884,84321265.18737334,84322666.6614416,84323861.27339424,84324873.90193926,84319594.99203876,84321197.14483325,84322596.91842192,84323793.59538457,84324810.51459159,84319537.74888325,84321132.48087463,84322530.1369599,84323728.26625372,84324748.78635605,84319483.61240426,84321070.94783191,84322466.16989149,84323665.25425233,84324688.80206615,84319432.30873519,84321012.3140054,84322404.86218476,84323604.49478465,84324630.58966617,84319383.59460945,84320956.36534266,84322346.05889615,84323545.90462774,84324574.14030135,84319337.25375621,84320902.90553178,84322289.60969952,84323489.39094208,84324519.42155556,84319293.09358154,84320851.75526707,84322235.3713416,84323434.8569905,84324466.38626839
