,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334284.75024742,84334388.45071204,84334457.38205604,84334505.94378948,84334541.68813218,84334275.07751457,84334381.4227682,84334452.33292758,84334502.4083591,84334539.3401748,84334265.87645154,84334374.55008651,84334447.21321197,84334498.63385531,84334536.62224399,84334257.15088534,84334367.89998649,84334442.13516407,84334494.76630338,84334533.70709372,84334248.88191594,84334361.49973528,84334437.15860537,84334490.88978742,84334530.69779578,84334241.04150304,84334355.35595877,84334432.31457587,84334487.05344582,84334527.65753593,84334233.598858,84334349.46457963,84334427.61781666,84334483.28592451,84334524.6256895,84334226.52345702,84334343.81609792,84334423.07366014,84334479.60349645,84334521.626937,84334219.78640974,84334338.3984681,84334418.68196978,84334476.01480348,84334518.67664778,84334213.36101015,84334333.1986873,84334414.43945523,84334472.5237152,84334515.78416912,84334207.2228798,84334328.20367151,84334410.34106041,84334469.13109753,84334512.95489304,84334201.34991132,84334323.40072984,84334406.38080758,84334465.83592993,84334510.1915861,84334195.72212023,84334318.77780823,84334402.55231394,84334462.63602291,84334507.49526237,84334190.32146089,84334314.3236004,84334398.84910756,84334459.52848446,84334504.86576568,84334185.13163559,84334310.02758186,84334395.26481843,84334456.51002596,84334502.30216351
1,2021-07-02,84333402.93119018,84333669.00823303,84333851.58002466,84333982.96601723,84334081.14171676,84333379.50149491,84333651.21233332,84333838.41500726,84333973.55640481,84334074.79751688,84333357.28868778,84333633.85303716,84333825.09063415,84333963.52398229,84334067.46052943,84333336.2903376,84333617.09658387,84333811.89912401,84333953.25862186,84334059.59933096,84333316.45019442,84333601.0071965,84333798.99472402,84333942.98400342,84334051.49309015,84333297.6913815,84333585.59697197,84333786.45617056,84333932.83012494,84334043.31253128,84333279.93180712,84333570.85132876,84333774.31962255,84333922.87214024,84334035.16366768,84333263.09128226,84333556.74245882,84333762.5968084,84333913.15217058,84334027.11261426,84333247.09463683,84333543.23660481,84333751.28537588,84333903.69203284,84334019.2002432,84333231.8728721,84333530.29803854,84333740.37495299,84333894.50090265,84334011.4511343,84333217.36335118,84333517.89122562,84333729.85076655,84333885.58004628,84334003.87919526,84333203.50953265,84333505.98197195,84333719.6958297,84333876.92580277,84333996.49127428,84333190.2605054,84333494.53799108,84333709.89227092,84333868.53149329,84333989.28952771,84333177.57045674,84333483.52914096,84333700.42213888,84333860.38865793,84333982.27299695,84333165.39813983,84333472.92747284,84333691.26788203,84333852.48786293,84333975.43867275
2,2021-07-03,84332219.56529221,84332680.08800547,84333005.46006207,84333244.30567569,84333425.33011717,84332181.22402357,84332649.7398784,84332982.38235465,84333227.4861009,84333413.8250724,84332144.97524284,84332620.20006652,84332959.06344679,84333209.57487799,84333400.5309725,84332110.7983706,84332591.74550238,84332936.01467569,84333191.27077708,84333386.30048913,84332078.58665583,84332564.47835377,84332913.50359797,84333172.9733577,84333371.64094236,84332048.20182161,84332538.41218205,84332891.66471449,84333154.91365436,84333356.8618836,84332019.49914235,84332513.5157412,84332870.55779837,84333137.22419593,84333342.1548991,84331992.33880803,84332489.73602109,84332850.19998248,84333119.97831783,84333327.63890931,84331966.59072696,84332467.01063351,84332830.58401646,84333103.21308425,84333313.38692614,84331942.13614415,84332445.27452312,84332811.68892482,84333086.94307101,84333299.4423883,84331918.86772689,84332424.4635713,84332793.48634419,84333071.1688617,84333285.82941176,84331896.68894269,84332404.51646554,84332775.9443341,84333055.88239014,84333272.55937178,84331875.51314703,84332385.3755895,84332759.02967651,84333041.07035123,84333259.63521104,84331855.26259084,84332366.98735875,84332742.70925477,84333026.71640301,84333247.05430415,84331835.86745064,84332349.30224632,84332726.95086443,84333012.80259731,84333234.81038722
3,2021-07-04,84330804.94040114,84331471.91746873,84331956.37039891,84332318.78733423,84332597.23645233,84330752.41056925,84331428.67000383,84331922.60123618,84332293.70669855,84332579.83820668,84330702.8651903,84331386.6541445,84331888.52918454,84332267.02761124,84332559.75031185,84330656.25611268,84331346.25594956,84331854.90108024,84332239.79450186,84332538.26622851,84330612.41955017,84331307.6115302,84331822.10454161,84332212.60271406,84332516.15455505,84330571.15127964,84331270.7311727,84331790.33162205,84332185.79485206,84332493.88327426,84330532.24078505,84331235.56224123,84331759.6649445,84332159.566008,84332471.74112909,84330495.48646261,84331202.02212879,84331730.12501214,84332134.02282313,84332449.90654972,84330460.7018292,84331170.01586387,84331701.69706805,84332109.21789904,84332428.48836781,84330427.7174105,84331139.44557053,84331674.34672906,84332085.17046347,84332407.5506635,84330396.38058197,84331110.21548645,84331648.02924646,84332061.8790884,84332387.12834676,84330366.55449116,84331082.23451331,84331622.6950472,84332039.32967027,84332367.2371527,84330338.11662567,84331055.41738324,84331598.29305565,84332017.50051183,84332347.88017537,84330310.9573072,84331029.68504922,84331574.77266754,84331996.36559182,84332329.05220567,84330284.97824517,84331004.96464664,84331552.08489504,84331975.89668085,84332310.74264711
4,2021-07-05,84329200.0314512,84330074.86510901,84330727.11919238,84331223.92713372,84331610.63393773,84329134.77585967,84330019.09886822,84330682.45889501,84331190.15028556,84331586.88354355,84329073.34918742,84329965.00968713,84330637.4567062,84331154.25640897,84331559.48120071,84329015.67042245,84329913.0854293,84330593.09848598,84331117.65493928,84331530.19758385,84328961.51760958,84329863.49074644,84330549.89211997,84331081.14697048,84331500.08360861,84328910.62155546,84329816.22862265,84330508.08587903,84331045.19148731,84331469.77789482,84328862.70798093,84329771.22201331,84330467.78325221,84331010.04807574,84331439.67332964,84328817.51600026,84329728.35644436,84330429.00593047,84330975.85699828,84331410.01169135,84328774.80542628,84329687.50265229,84330391.72949147,84330942.6858144,84331380.93954182,84328734.358759,84329648.52865684,84330355.90411457,84330910.5573468,84331352.54232447,84328695.9806911,84329611.30609164,84330321.46680832,84330879.46686602,84331324.86573331,84328659.49652809,84329575.71336,84330288.3486936,84330849.39285189,84331297.92940827,84328624.75021577,84329541.6370209,84330256.47934282,84330820.30383,84331271.73587708,84328591.60231444,84329508.97219066,84330225.78933667,84330792.16275659,84331246.27648298,84328559.92807823,84329477.62240738,84330196.21172789,84330764.92984518,84331221.53536195
5,2021-07-06,84327445.93275136,84328520.93141998,84329342.84434555,84329979.8405745,84330481.95391558,84327369.9233632,84328453.60488325,84329287.58870365,84329937.30671655,84330451.64808503,84327298.49201122,84328388.39682885,84329231.97503482,84329892.14780326,84330416.70544949,84327231.52324282,84328325.88543835,84329177.22084759,84329846.14186127,84330379.39119595,84327168.74023078,84328266.25780116,84329123.94909266,84329800.29679528,84330341.04823795,84327109.81416003,84328209.50651306,84329072.46047084,84329755.1877288,84330302.49113403,84327054.41303477,84328155.52878039,84329022.87652598,84329711.13786228,84330264.21965644,84327002.2227776,84328104.17795123,84328975.21802424,84329668.31992261,84330226.5401594,84326952.95532292,84328055.29076971,84328929.44927883,84329626.81518658,84330189.63726676,84326906.35057229,84328008.70180863,84328885.5038165,84329586.64884946,84330153.61759132,84326862.17552015,84327964.25095761,84328843.29947896,84329547.81172712,84330118.5371169,84326820.2221726,84327921.78708753,84328802.74737987,84329510.27382162,84330084.41873185,84326780.30505691,84327881.1695951,84328763.75721088,84329473.99291891,84330051.26366434,84326742.25870809,84327842.26877783,84328726.24034262,84329438.92008801,84330019.05905196,84326705.93530923,84327804.96557748,84328690.1115782,84329405.00321285,84329987.78301226
6,2021-07-07,84325572.05683185,84326834.16613759,84327822.98345712,84328602.3525624,84329224.2580919,84325487.36034133,84326756.5235638,84327757.73031984,84328551.2526574,84329187.37573731,84325407.87242348,84326681.41772977,84327692.1228046,84328497.0435681,84329144.87624586,84325333.44486788,84326609.50430755,84327627.59615763,84328441.8647665,84329099.52277729,84325263.7523261,84326540.98715107,84327564.88016236,84328386.92607231,84329052.9517576,84325198.41438155,84326475.84657608,84327504.32298562,84328332.91522291,84329006.15407424,84325137.0496387,84326413.95417689,84327446.06122966,84328280.2164128,84328959.73615192,84325079.2988243,84326355.13234052,84327390.11296517,84328229.03284447,84328914.0683626,84325024.83341132,84326299.18558668,84327336.43025243,84328179.45798126,84328869.37268212,84324973.3574584,84326245.91706035,84327284.92948525,84328131.51820195,84328825.77613087,84324924.6063565,84326195.13700591,84327235.50919147,84328085.19893834,84328783.34422477,84324878.3442852,84326146.66684258,84327188.06054986,84328040.4609856,84328742.10237761,84324834.36125867,84326100.3408136,84327142.47358726,84327997.2508176,84328702.0498444,84324792.47018264,84326056.006306,84327098.64077282,84327955.50716692,84328663.16893928,84324752.5041121,84326013.52346027,84327056.45902644,84327915.16523644,84328625.43120003
7,2021-07-08,84323604.34273262,84325036.519659,84326185.75896142,84327106.62398764,84327850.28812319,84323512.97829033,84324949.97052164,84326111.32314849,84327047.34610435,84327806.95811866,84323427.32427096,84324866.33891352,84326036.5526131,84326984.5083881,84327757.05699556,84323347.2037461,84324786.3448199,84325963.0818136,84326920.59615219,84327703.83784577,84323272.25110784,84324710.20387724,84325891.73711038,84326857.0116034,84327649.22536832,84323202.04387438,84324637.88332748,84325822.90849997,84326794.54906856,84327594.38313964,84323136.16076009,84324569.23049892,84325756.74468307,84326733.64983985,84327540.02159311,84323074.20622654,84324504.03921926,84325693.2596641,84326674.5450445,84327486.57313804,84323015.81943521,84324442.08465382,84325632.39283755,84326617.33865997,84327434.29558632,84322960.67593187,84324383.14153713,84325574.04363048,84326562.05716379,84327383.3351875,84322908.48604976,84324326.99345842,84325518.09177023,84326508.67991976,84327333.76606369,84322858.9919689,84324273.43725613,84325464.40921596,84326457.15810978,84327285.6154209,84322811.96437359,84324222.28472644,84325412.8671552,84326407.42668311,84327238.87995748,84322767.19915403,84324173.36286949,84325363.34003289,84326359.41195975,84327193.53669824,84322724.51434998,84324126.51336214,84325315.70777752,84326313.03648162,84327149.55022876
8,2021-07-09,84321558.15708272,84323142.00134893,84324443.21524586,84325502.84153451,84326368.65684976,84321461.84933975,84323047.92113486,84324360.4830558,84325435.87113029,84326319.0942972,84321371.632614,84322957.09415019,84324277.4467556,84325364.92670915,84326262.04473068,84321287.30683918,84322870.29286528,84324195.92011683,84325292.81951109,84326201.23631841,84321208.47502969,84322787.74093676,84324116.81548591,84325221.13235593,84326138.87284276,84321134.68229099,84322709.39278385,84324040.55922139,84325150.75902776,84326076.284625,84321065.47679439,84322635.07368766,84323967.30956262,84325082.1935512,84326014.2821332,84321000.43535353,84322564.55203763,84323897.07556981,84325015.69231975,84325953.35709289,84320939.17257701,84322497.57710408,84323829.78407183,84324951.36824735,84325893.8012576,84320881.34240264,84322433.89870976,84323765.31819315,84324889.24703035,84325835.77877396,84320826.63621753,84322373.27717167,84323703.5398392,84324829.30154131,84325779.37142988,84320774.77960168,84322315.48793872,84323644.30289091,84324771.47322638,84325724.60756142,84320725.52868013,84322260.3233279,84323587.46090744,84324715.6855862,84325671.48084904,84320678.6665482,84322207.5926894,84323532.87153308,84324661.85273415,84325619.96271378,84320633.99997215,84322157.12174812,84323480.39890665,84324609.8848406,84325570.01058301
9,2021-07-10,84319444.62957843,84321161.25556187,84322604.7358724,84323799.05347195,84324786.22024891,84319344.75510359,84321060.91462736,84322514.60352615,84323724.92767023,84324730.69601165,84319251.24700294,84320964.11439681,84322424.20400524,84323646.4505126,84324666.81403562,84319163.88818346,84320871.66973421,84322335.51047517,84323566.7368833,84324598.75818068,84319082.25877677,84320783.8097174,84322249.51098965,84323487.53728841,84324528.9995325,84319005.8803302,84320700.47698534,84322166.6632398,84323409.83734484,84324459.02773619,84318934.27885991,84320621.47753161,84322087.13290974,84323334.17931329,84324389.74849983,84318867.01115242,84320546.55779667,84322010.92368451,84323260.84225966,84324321.70971668,84318803.67405069,84320475.44486198,84321937.95033677,84323189.9466236,84324255.2349987,84318743.90587175,84320407.86729765,84321868.08071734,84323121.51665665,84324190.5050134,84318687.38431689,84320343.56562988,84321801.16020928,84323055.51855181,84324127.6083172,84318633.82298286,84320282.29716323,84321737.02603643,84322991.8841337,84324066.5738087,84318582.96749097,84320223.83772486,84321675.5155834,84322930.52575907,84324007.39181241,84318534.59171054,84320167.9817502,84321616.47112773,84322871.3457566,84323950.02796899,84318488.49428268,84320114.54150526,84321559.74240224,84322814.24241564,84323894.4324848
