,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333887.75835158,84334069.25011002,84334191.09516157,84334277.51118295,84334341.42298113,84333870.94070335,84334056.8813232,84334182.13755338,84334271.20376901,84334337.21685512,84333854.96074003,84334044.79545918,84334173.05998088,84334264.47262163,84334332.34934965,84333839.8224599,84334033.11011687,84334164.06152393,84334257.57852562,84334327.13030453,84333825.49059853,84334021.87225729,84334155.24796881,84334250.67148393,84334321.74450538,84333811.91432832,84334011.0925314,84334146.67393562,84334243.83901323,84334316.30515026,84333799.0383636,84334000.76283602,84334138.36510597,84334237.13200535,84334310.88270675,84333786.80816343,84333990.86562806,84334130.3304863,84334230.57925425,84334305.52127783,84333775.17226858,84333981.37898846,84334122.56941491,84334224.1959385,84334300.24826832,84333764.08321984,84333972.27940953,84334115.07567511,84334217.98873308,84334295.08028965,84333753.49777214,84333963.54332648,84334107.83995865,84334211.95897025,84334290.02686976,84333743.3767674,84333955.1479409,84334100.85136078,84334206.10463475,84334285.09283951,84333733.68485276,84333947.07163951,84334094.09829345,84334200.4216441,84334280.27989827,84333724.3901411,84333939.29417984,84334087.56904216,84334194.90468016,84334275.587658,84333715.46386279,84333931.79674262,84334081.25210117,84334189.54773347,84334271.01434898
1,2021-07-02,84332341.07728858,84332795.46326303,84333111.50236756,84333341.11306727,84333513.88665201,84332301.38507636,84332764.82909308,84333088.58757035,84333324.60311128,84333502.68811698,84332263.80535562,84332734.97785878,84333065.41381256,84333307.01066682,84333489.74248679,84332228.3258057,84332706.19262207,84333042.48936051,84333289.02073123,84333475.87826781,84332194.84382194,84332678.58040775,84333020.08139022,84333271.02568409,84333461.5887583,84332163.22293198,84332652.15861979,84332998.32529686,84333253.25301749,84333447.1753132,84332133.31884828,84332626.89905186,84332977.28230718,84333235.83376251,84333432.82477058,84332104.9913947,84332602.75110088,84332956.9712015,84333218.84091367,84333418.65339091,84332078.10964383,84332579.65428759,84332937.38638651,84333202.31184383,84333404.73281123,84332052.55373983,84332557.54507278,84332918.5084633,84333186.26179138,84333391.10589318,84332028.21511048,84332536.36054344,84332900.31052488,84333170.69218208,84333377.7966718,84332004.99592434,84332516.04034628,84332882.76195379,84333155.59586796,84333364.81674714,84331982.80822806,84332496.52762783,84332865.83072208,84333140.96047746,84333352.16947098,84331961.5729846,84332477.76940946,84332849.4847776,84333126.77058192,84333339.8527331,84331941.21912196,84332459.71664396,84332833.6928651,84333113.00910668,84333327.86084
2,2021-07-03,84330300.55807362,84331070.66322322,84331623.48719354,84332034.0246251,84332347.8932741,84330236.97019032,84331019.41223088,84331583.9996577,84332004.96220848,84332327.86419158,84330176.93961844,84330969.58549182,84331544.13661098,84331974.0353513,84332304.73227857,84330120.41753188,84330921.6444268,84331504.77204826,84331942.45333715,84332279.98496811,84330067.2139385,84330875.75460832,84331466.36096346,84331910.90627953,84332254.506542,84330017.0885717,84330831.93226719,84331429.13001539,84331879.79201762,84332228.83584027,84329969.79233547,84330790.11863032,84331393.17791611,84331849.33770666,84332203.30570187,84329925.08589046,84330750.21892764,84331358.53060465,84331819.66807291,84332178.12213904,84329882.74734916,84330712.12328278,84331325.17259766,84331790.84519382,84332153.41110545,84329842.57471937,84330675.71797417,84331293.06525803,84331762.89239964,84332129.24704199,84329804.38584325,84330640.89143686,84331262.1576319,84331735.8089922,84332105.67078245,84329768.01719943,84330607.53733717,84331232.39294535,84331709.57948795,84332082.70104422,84329733.32225561,84330575.55600157,84331203.71250853,84331684.17950977,84332060.3419432,84329700.16971427,84330544.85491917,84331176.05804385,84331659.57958263,84332038.58798608,84329668.4418168,84330515.34872971,84331149.37304337,84331635.74759339,84332017.42742845
3,2021-07-04,84327892.9308337,84328988.89797008,84329798.79169327,84330412.59965947,84330888.93269742,84327807.2625146,84328917.02436605,84329741.86040369,84330369.84797584,84330859.01942298,84327726.57731153,84328847.28431128,84329684.47660965,84330324.40731801,84330824.50163078,84327650.77633989,84328780.309744,84329627.89765574,84330278.06093128,84330787.60825554,84327579.57472141,84328716.31628855,84329572.77238438,84330231.82301103,84330749.66253443,84327512.62450625,84328655.31100193,84329519.41894373,84330186.27518752,84330711.46890387,84327449.57010825,84328597.19743674,84329467.97091554,84330141.74688968,84330673.52255896,84327390.07271105,84328541.83051686,84329418.45749167,84330098.41655706,84330636.1284959,84327333.82000224,84328489.04574117,84329370.84892258,84330056.37057671,84330599.47182956,84327280.52890961,84328438.67478547,84329325.0829166,84330015.63864751,84330563.66069554,84327229.94505592,84328390.55370706,84329281.08023566,84329976.21551833,84330528.75314102,84327181.840769,84328344.52705476,84329238.7539944,84329938.07460724,84330494.77436247,84327136.01255961,84328300.44969225,84329198.01520847,84329901.17665789,84330461.7279636,84327092.27851583,84328258.18734801,84329158.77606982,84329865.4752958,84330429.60342067,84327050.47582465,84328217.61646707,84329120.95182781,84329830.92061295,84330398.38109353
4,2021-07-05,84325191.25813398,84326607.54452686,84327682.47812818,84328512.70437257,84329166.0516974,84325086.2560825,84326516.12173066,84327608.1651725,84328455.8340545,84329125.68403317,84324987.55005515,84326427.55846979,84327533.36182411,84328395.4496629,84329079.13827495,84324894.98527944,84326342.64174062,84327459.70583244,84328333.92824925,84329029.43125923,84324808.18345687,84326261.62762958,84327388.03574489,84328272.61757776,84328978.35165538,84324726.69381094,84326184.50799952,84327318.75684264,84328212.28694765,84328926.98453204,84324650.06057066,84326111.14497018,84327252.03345172,84328153.36889215,84328875.99574618,84324577.85220845,84326041.3408762,84327187.89429817,84328096.0947619,84328825.79355638,84324509.6727102,84325974.87529047,84327126.2921001,84328040.573613,84328776.62408338,84324445.16435464,84325911.5246475,84327067.13808407,84327986.8394845,84328728.62952988,84324384.0065706,84325851.0724386,84327010.32230031,84327934.8804111,84328681.88464627,84324325.91311409,84325793.3142128,84326955.72567724,84327884.65656184,84328636.4200829,84324270.62867017,84325738.05969636,84326903.22716665,84327836.11173812,84328592.23762107,84324217.92541452,84325685.13332063,84326852.70792286,84327789.18072985,84328549.3202569,84324167.5997805,84325634.37388942,84326804.05366884,84327743.7940412,84328507.63895631
5,2021-07-06,84322266.60805573,84323984.78356373,84325322.08491948,84326373.5750319,84327212.09897137,84322145.62600435,84323875.70052576,84325231.21330637,84326302.76489113,84327161.13943934,84322032.07514386,84323770.17759058,84325139.84931512,84326227.64914085,84327102.42143865,84321925.74496692,84323669.13616368,84325049.99157077,84326151.19272041,84327039.76344162,84321826.17182055,84323572.86293083,84324962.65620033,84326075.0720367,84326975.42670454,84321732.81324466,84323481.330524,84324878.32786892,84326000.23988652,84326910.78029588,84321645.12524143,84323394.35881124,84324797.19661902,84325927.22837412,84326846.66193266,84321562.59529103,84323311.69850406,84324719.28744021,84325856.31877859,84326783.5831063,84321484.75468928,84323233.07518734,84324644.5334154,84325787.64031544,84326721.85023887,84321411.18119198,84323158.21249205,84324572.81797881,84325721.2292569,84326661.63854645,84321341.4972396,84323086.84400298,84324503.9997047,84325657.06515723,84326603.0382723,84321275.36633557,84323018.71898694,84324437.9269514,84325595.0934565,84326546.08426616,84321212.48883665,84322953.6047119,84324374.44648957,84325535.2397745,84326490.77525339,84321152.59775718,84322891.28689809,84324313.40850557,84325477.4190275,84326437.08657281,84321095.45485833,84322831.5691714,84324254.66939646,84325421.54126261,84326384.97869408
6,2021-07-07,84319162.12045458,84321158.37891954,84322749.68065846,84324022.29693297,84325050.06070442,84319028.37921776,84321033.77062038,84322643.42934561,84323938.06226231,84324988.63413551,84318903.0081447,84320913.37182653,84322536.71138926,84323848.77937533,84324917.89962904,84318785.7457916,84320798.21769427,84322431.85925403,84323757.98065884,84324842.47078735,84318676.05490977,84320688.61722876,84322330.05136435,84323667.65834405,84324765.07674877,84318573.31538804,84320584.52195059,84322231.84311382,84323578.94035244,84324687.3669013,84318476.90920703,84320485.71092124,84322137.44549108,84323492.45273425,84324610.34782998,84318386.25631744,84320391.88636012,84322046.87732078,84323408.52284804,84324534.63178253,84318300.82768969,84320302.72378427,84321960.05105962,84323327.29740866,84324460.58341445,84318220.14773323,84320217.89823373,84321876.82224864,84323248.81307913,84324388.40922101,84318143.79192108,84320137.0976171,84321797.01843534,84323173.03966524,84324318.2134804,84318071.38245566,84320060.0290179,84321720.45619214,84323099.90702036,84324250.03401409,84318002.58335222,84319986.4211365,84321646.95108928,84323029.32202174,84324183.86545655,84317937.09559219,84319916.0246299,84321576.32343268,84322961.17936796,84324119.67461607,84317874.65263484,84319848.61134046,84321508.40142913,84322895.3684644,84324057.41072872
7,2021-07-08,84315920.00389485,84318165.74398014,84319997.63873461,84321486.75575432,84322704.05381346,84315776.57430251,84318027.91623646,84319877.4689846,84321389.89373063,84322632.51292811,84315642.25103621,84317894.87766688,84319756.87912253,84321287.30220436,84322550.17792287,84315516.72931662,84317767.75669873,84319638.50254303,84321183.0484013,84322462.43336228,84315399.41208775,84317646.87763985,84319523.66227382,84321079.42099333,84322372.46124814,84315289.61708343,84317532.1706495,84319412.97514857,84320977.71119906,84322282.18151008,84315186.66751833,84317423.37710395,84319306.66860923,84320878.63170542,84322192.76301269,84315089.93002602,84317320.15544404,84319204.75361495,84320782.55144033,84322104.91420735,84314998.82814589,84317222.1364748,84319107.12193462,84320689.63188937,84322019.05478129,84314912.8444854,84317128.95213401,84319013.60211131,84320599.90853508,84321935.42023133,84314831.5178203,84317040.25000633,84318923.99210548,84320513.34062625,84321854.12724112,84314754.43816474,84316955.70007193,84318838.07843488,84320429.84212822,84321775.21543834,84314681.24127536,84316874.99721052,84318755.64733598,84320349.30121237,84321698.67453825,84314611.60327703,84316797.8614104,84318676.49113941,84320271.59262072,84321624.46223906,84314545.23570979,84316724.0367763,84318600.41174637,84320196.58552516,84321552.51614863
8,2021-07-09,84312559.28672907,84315026.12117875,84317083.71947497,84318782.78349683,84320188.01577266,84312408.64571728,84314877.18110783,84316951.09170774,84318674.17031266,84320106.80659996,84312267.66745546,84314733.53416988,84316818.10238035,84318559.20715299,84320013.39181422,84312136.0130034,84314596.38483362,84316687.65329666,84318442.4597767,84319913.89508668,84312013.03922424,84314466.06786782,84316561.19519407,84318326.4921824,84319811.93189576,84311898.01634376,84314342.49330013,84316439.39798103,84318212.7463897,84319709.68047479,84311790.22285964,84314225.3689553,84316322.50197126,84318102.01431733,84319608.46404037,84311688.98495892,84314114.31489971,84316210.50939862,84317994.70216005,84319509.08202565,84311593.69028427,84314008.92304683,84316103.29203296,84317890.98380563,84319412.00568126,84311503.78986752,84313908.78802478,84316000.65297152,84317790.89241225,84319317.49720362,84311418.7948103,84313813.52263528,84315902.36259659,84317694.3763099,84319225.68417166,84311338.27088809,84313722.76494071,84315808.17959283,84317601.33371408,84319136.60705537,84311261.83260567,84313636.18079223,84315717.8631504,84317511.63454546,84319050.25006866,84311189.13741672,84313553.4639055,84315631.17989087,84317425.13424121,84318966.56148627,84311119.88041426,84313474.33466391,84315547.90760365,84317341.68250793,84318885.46716505
9,2021-07-10,84309099.6548628,84311758.66370162,84314025.47286834,84315926.07460023,84317515.86091378,84308943.81954594,84311600.55717234,84313881.84511732,84315806.65215027,84317425.50942795,84308798.04838692,84311448.17019302,84313737.92031571,84315680.3199904,84317321.62538308,84308661.97751734,84311302.76838404,84313596.83651006,84315552.10308316,84317211.0331496,84308534.93037732,84311164.6935593,84313460.15586603,84315424.81821814,84317097.75857641,84308416.14281332,84311033.83771612,84313328.59367812,84315300.04516035,84316984.22386876,84308304.86100721,84310909.87978396,84313202.40020351,84315178.64756103,84316871.89752834,84308200.38194461,84310792.40715557,84313081.56868525,84315061.06473057,84316761.66417736,84308102.06737107,84310680.97882201,84312965.95210634,84314947.4808655,84316654.04293235,84308009.34555288,84310575.15794472,84312855.33012415,84314837.92598559,84316549.32036304,84307921.70764957,84310474.52806842,84312749.447941,84314732.33748645,84316447.63353066,84307838.70197828,84310378.70046522,84312648.0389623,84314630.59831294,84316349.0229503,84307759.92774287,84310287.31666355,84312550.83790228,84314532.5609149,84316253.46695623,84307685.028959,84310200.04839872,84312457.5881798,84314438.0623792,84316160.90430725,84307613.68888636,84310116.59623441,84312368.04587048,84314346.93399446,84316071.24921171
