,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333737.72742337,84333947.6140269,84334089.06901924,84334189.6553773,84334264.18596709,84333718.32858258,84333933.27899499,84334078.6549623,84334182.30637437,84334259.27739885,84333699.90391451,84333919.27623145,84334068.10382183,84334174.46493022,84334253.59763041,84333682.45682625,84333905.74162777,84334057.64701298,84334166.43501568,84334247.50841372,84333665.94555257,84333892.72914234,84334047.4073652,84334158.39140022,84334241.2254591,84333650.31052677,84333880.25066012,84334037.44817515,84334150.43598431,84334234.88087215,84333635.48718584,84333868.29636894,84334027.7990857,84334142.62796593,84334228.55685684,84333621.4119549,84333856.84556346,84334018.47036128,84334135.0007854,84334222.30483143,84333608.02492352,84333845.8725143,84334009.46104181,84334127.57201883,84334216.15671895,84333595.27088673,84333835.34969476,84334000.76372756,84334120.3493394,84334210.1318442,84333583.09957631,84333825.24955097,84333992.36744325,84334113.3342025,84334204.2412664,84333571.4655007,84333815.54545113,84333984.25937513,84334106.5241716,84334198.4905661,84333560.32760929,84333806.21216615,84333976.4259312,84334099.91440995,84334192.88167305,84333549.64889173,84333797.22608063,84333968.85338683,84334093.49864903,84334187.4140851,84333539.39596912,84333788.56524989,84333961.52827288,84334087.26982237,84334182.08569178
1,2021-07-02,84331947.65949266,84332468.08371553,84332831.96269958,84333097.30919354,84333297.51442231,84331902.3400749,84332432.8888197,84332805.5230395,84333078.20022753,84333284.52269834,84331859.45519604,84332398.60739541,84332778.79283026,84333057.84299026,84333269.50652719,84331818.98712127,84332365.56324288,84332752.35834959,84333037.03072743,84333253.42770788,84331780.81543806,84332333.87773247,84332726.5272794,84333016.21754433,84333236.85876149,84331744.78155018,84332303.56932434,84332701.45509543,84332995.6664711,84333220.14929527,84331710.71839622,84332274.60422175,84332677.21167113,84332975.52878812,84333203.51593105,84331678.46400683,84332246.92306519,84332653.8179404,84332955.88856865,84333187.09334418,84331647.86730619,84332220.45531332,84332631.26677573,84332936.78865926,84333170.9644118,84331618.79013482,84332195.12705918,84332609.53519008,84332918.24630871,84333155.1786207,84331591.10744202,84332170.86524674,84332588.59160253,84332900.26280844,84333139.76362179,84331564.70662501,84332147.59987412,84332568.40021539,84332882.82955906,84333124.73265201,84331539.48651055,84332125.265057,84332548.9236618,84332865.93194772,84333110.08939451,84331515.35622956,84332103.79944502,84332530.12459879,84332849.55185406,84333095.83121249,84331492.2341092,84332083.14627413,84332511.96664827,84332833.66928093,84333081.95132858
2,2021-07-03,84329600.41661519,84330475.46338224,84331107.48549539,84331578.94047153,84331940.59585932,84329528.39309642,84330417.00683552,84331062.2176805,84331545.49764252,84331917.48098391,84329460.43683605,84330360.2008494,84331016.53586379,84331509.91906214,84331890.7904769,84329396.48604117,84330305.56892328,84330971.44154035,84331473.59711,84331862.24227795,84329336.31981124,84330253.29681051,84330927.45504157,84331437.32577953,84331832.85738717,84329279.66119693,84330203.40006477,84330884.83464785,84331401.56225699,84331803.25762972,84329226.2240756,84330155.80899116,84330843.69193101,84331366.56710815,84331773.82680845,84329175.73408511,84330110.41317625,84330804.05512369,84331332.48296684,84331744.80221651,84329127.93721928,84330067.08530267,84330765.90510792,84331299.38038778,84331716.32869408,84329082.6024884,84330025.69396049,84330729.19637153,84331267.28538892,84331688.49162021,84329039.52176018,84329986.11045489,84330693.86942801,84331236.19640547,84331661.33760427,84328998.50832951,84329948.21227624,84330659.8582533,84331206.0949312,84331634.88776089,84328959.39499295,84329911.88469653,84330627.0947476,84331176.95229721,84331609.14638951,84328922.0320139,84329877.02131383,84330595.51139015,84331148.7340354,84331584.10673793,84328886.2851635,84329843.52401406,84330565.04278179,84331121.40270357,84331559.75487731
3,2021-07-04,84326845.56733978,84328082.36523224,84329002.4265682,84329703.23734163,84330249.19124423,84326749.1713963,84328000.90093103,84328937.54083708,84329654.30468315,84330214.8388719,84326658.43303677,84327921.89285654,84328872.16498338,84329602.31008346,84330175.20750688,84326573.23205194,84327846.05298318,84328807.73122396,84329549.29588988,84330132.85909188,84326493.24010336,84327773.62102999,84328744.9769816,84329496.42263903,84330089.31400384,84326418.0591554,84327704.60056916,84328684.26235,84329444.35498887,84330045.49596532,84326347.28373799,84327638.87833537,84328625.73704113,84329393.46860173,84330001.97309235,84326280.52823386,84327576.28647119,84328569.43194635,84329343.96622723,84329959.09484075,84326217.43765832,84327516.63560046,84328515.31100665,84329295.94528429,84329917.07289924,84326157.6905864,84327459.7324579,84328463.30131823,84329249.43839888,84329876.0305392,84326100.99841319,84327405.3891281,84328413.3108988,84329204.43831082,84329836.03354068,84326047.10301259,84327353.42764643,84328365.2392665,84329160.91346885,84329797.11001144,84325995.77381726,84327303.68201485,84328318.98373994,84329118.81793557,84329759.26332597,84325946.80482103,84327255.99878106,84328274.44314755,84329078.09773898,84329722.48070174,84325900.0117378,84327210.23683345,84328231.51994942,84329038.69496547,84329686.73895258
4,2021-07-05,84323767.55197792,84325356.53116052,84326570.84183311,84327513.7601525,84328258.93191087,84323650.02373959,84325253.46379566,84326486.58203061,84327448.98360355,84328212.78448544,84323539.60115084,84325153.66818643,84326401.80058043,84327380.22662635,84328159.58721568,84323436.1003003,84325058.02591857,84326318.35322174,84327310.19845648,84328102.79208978,84323339.08853108,84324966.81961213,84326237.1878288,84327240.43373837,84328044.44494781,84323248.05361672,84324880.03438066,84326158.7604665,84327171.80715562,84327985.78603458,84323162.47913912,84324797.50971706,84326083.25398277,84327104.80935675,84327927.57567854,84323081.876994,84324719.01841153,84326010.69770624,84327039.70172201,84327870.27939218,84323005.79979159,84324644.30824743,84325941.03510699,84326976.6063914,84327814.17720501,84322933.84378281,84324573.12404849,84325874.16295217,84326915.5601976,84327759.43033595,84322865.64742768,84324505.21909092,84325809.95432578,84326856.54774635,84327706.12294433,84322800.88811293,84324440.36066507,84325748.27226743,84326799.52208433,84327654.28885807,84322739.2782504,84324378.3323973,84325688.97784032,84326744.41779003,84327603.92899999,84322680.5613503,84324318.93478756,84325631.93483615,84326691.15933996,84327555.02291863,84322624.50834061,84324261.9847859,84325577.01242718,84326639.6664764,84327507.53650808
5,2021-07-06,84320446.41461937,84322364.72236937,84323868.04461716,84325056.64192002,84326008.7491659,84320311.5519657,84322242.29305309,84323765.46952644,84324976.3358502,84325950.7332211,84320185.0353713,84322123.91465558,84323662.3805638,84324891.17499003,84325883.90132974,84320066.61856727,84322010.61458851,84323561.03211294,84324804.52398905,84325812.60488041,84319955.7747241,84321902.7074452,84323462.56748424,84324718.2833525,84325739.41959901,84319851.89088376,84321800.15582147,84323367.52943806,84324633.53157853,84325665.90383337,84319754.35390872,84321702.75164688,84323276.12818475,84324550.86949833,84325593.01011224,84319662.58703585,84321610.21006778,84323188.38793105,84324470.61334918,84325521.31913465,84319576.06339158,84321522.21880573,84323104.22955412,84324392.90699828,84325451.17797205,84319494.30873565,84321438.46407165,84323023.51832108,84324317.7890945,84325382.78431235,84319416.89931464,84321358.64383137,84322946.09184827,84324245.23419264,84325316.23917821,84319343.45769079,84321282.47414298,84322871.77659272,84324175.17839614,84325251.58064379,84319273.64794251,84321209.69167933,84322800.39754806,84324107.53555861,84325188.80578968,84319207.17090279,84321140.05416611,84322731.78384964,84324042.20760585,84325127.88520807,84319143.7597325,84321073.33971108,84322665.77189028,84323979.0911323,84325068.77269535
6,2021-07-07,84316929.34271955,84319149.28545855,84320930.66299042,84322363.25324342,84323525.55476737,84316780.70136607,84319009.93329535,84320811.1806659,84322268.08242059,84323455.87891594,84316641.42533588,84318875.3482886,84320691.2213332,84322167.24146423,84323375.66574933,84316511.21218804,84318746.6806184,84320573.40588002,84322064.7237657,84323290.15350884,84316389.45465739,84318624.2679726,84320459.05514675,84321962.77926101,84323202.43943366,84316275.45516586,84318508.04882291,84320348.78866091,84321862.67976457,84323114.39398903,84316168.520039,84318397.76966506,84320242.83870707,84321765.1294172,84323027.15742837,84316067.99911897,84318293.09198964,84320141.22185086,84321670.49475011,84322941.42219208,84315973.30002037,84318193.64828329,84320043.83553568,84321578.93831535,84322857.59968999,84315883.89060803,84318099.07124972,84319950.51371007,84321490.49856251,84322775.92192996,84315799.29618506,84318009.00862293,84319861.05932252,84321405.13868737,84322696.50507434,84315719.09453793,84317923.13011722,84319775.26341198,84321322.7770366,84322619.39005253,84315642.91036314,84317841.13006923,84319692.91627066,84321243.30627503,84322544.56897561,84315570.40979443,84317762.72774224,84319613.81384584,84321166.60556284,84322472.00256345,84315501.29534602,84317687.66640086,84319537.76125346,84321092.54830953,84322401.63176939
7,2021-07-08,84313263.693223,84315752.88549581,84317796.15168771,84319466.24660179,84320837.86737438,84313104.63228452,84315599.20079458,84317661.4561142,84319357.17411533,84320756.9877751,84312955.7312104,84315450.91776855,84317526.34147668,84319241.68767461,84320663.92904238,84312816.64029829,84315309.28680074,84317393.7571431,84319124.36983113,84320564.78445463,84312686.6874294,84315174.66125134,84317265.18124525,84319007.79660253,84320463.15316658,84312565.10776003,84315046.95561175,84317141.29962836,84318893.41902183,84320361.20516533,84312451.14408846,84314925.87482104,84317022.36175853,84318782.03595048,84320260.26007807,84312344.08866367,84314811.0323246,84316908.37488094,84318674.05901745,84320161.1164258,84312243.29789497,84314702.0116558,84316799.213195,84318569.6664074,84320064.24606338,84312148.1945403,84314598.39839792,84316694.68059759,84318468.8946991,84319969.91262017,84312058.26432006,84314499.79624943,84316594.547237,84318371.69495784,84319878.24552679,84311973.05031379,84314405.83444029,84316498.5709124,84318277.9675928,84319789.28727944,84311892.1467578,84314316.17043011,84316406.50952561,84318187.58428682,84319703.02414875,84311815.19300032,84314230.49006192,84316318.12817079,84318100.40189308,84319619.40641351,84311741.86794142,84314148.5063899,84316233.20297982,84318016.27125505,84319538.3618362
8,2021-07-09,84309468.1696877,84312195.45573789,84314483.51112661,84316382.94487262,84317961.19324553,84309301.33517106,84312029.74614021,84314335.24498676,84316260.98722294,84317869.64925759,84309145.26069331,84311869.98706588,84314186.62881206,84316131.94044438,84317764.37318893,84308999.55958602,84311717.51060747,84314040.90398538,84316000.93399441,84317652.27448094,84308863.50995244,84311572.68088257,84313899.68715821,84315870.84553348,84317537.43065073,84308736.2956625,84311435.39010273,84313763.7213481,84315743.29096273,84317422.29644026,84308617.1112594,84311305.30648425,84313633.26943356,84315619.1554569,84317308.36137173,84308505.20535688,84311182.00160511,84313508.3286109,84315498.89094202,84317196.52387568,84308399.89564551,84311065.01663604,84313388.7508224,84315382.68867145,84317087.31221452,84308300.57083099,84310953.89656332,84313274.31184417,84315270.58219598,84316981.01901169,84308206.68679304,84310848.2072664,84313164.75144377,84315162.5101844,84316877.78528897,84308117.76047832,84310747.54329237,84313059.79681647,84315058.3554057,84316777.65408243,84308033.36321273,84310651.53057313,84312959.17616397,84314957.96920972,84316680.60524473,84307953.11421813,84310559.82642931,84312862.62637636,84314861.18700497,84316586.57834907,84307876.67466718,84310472.11817203,84312769.89715452,84314767.83805333,84316495.48792116
9,2021-07-10,84305565.35146746,84308499.08137663,84311013.2226684,84313131.89976291,84314912.17755279,84305392.91463692,84308323.47699904,84310853.01724984,84312998.13806595,84314810.59230536,84305231.6707578,84308154.28558618,84310692.53574775,84312856.68029058,84314693.8210719,84305081.20625785,84307992.904877,84310535.27567096,84312713.15756235,84314569.543685,84304940.76318258,84307839.70624237,84310382.97415474,84312570.72337134,84314442.28856991,84304809.4883183,84307694.56212352,84310236.42298724,84312431.14362524,84314314.77827425,84304686.54135366,84307557.10928893,84310095.895377,84312295.38135439,84314188.66156143,84304571.13940912,84307426.88383734,84309961.37835039,84312163.92417155,84314064.93002401,84304462.57224701,84307303.39123206,84309832.70310351,84312036.9741431,84313944.16407566,84304360.20402296,84307186.14235689,84309709.61966963,84311914.56099273,84313826.68270142,84304263.46911223,84307074.67140138,84309591.84023285,84311796.61109598,84313712.63695738,84304171.86563571,84306968.54390731,84309479.06433886,84311682.99023916,84313602.06958336,84304084.9484205,84306867.3594826,84309370.99344708,84311573.53042844,84313494.95366444,84304002.32219851,84306770.75166644,84309267.3391171,84311468.04680566,84313391.21804756,84303923.63538307,84306678.38633224,84309167.82736029,84311366.34832479,84313290.76422243
