,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333877.32708128,84334061.18132949,84334184.54125224,84334271.99639647,84334336.65767303,84333860.28418878,84334048.65554205,84334175.4742498,84334265.61413653,84334332.4027233,84333844.08921672,84334036.41569863,84334166.28549704,84334258.80294104,84334327.47862877,84333828.74637051,84334024.58094496,84334157.17651032,84334251.82667308,84334322.19880253,84333814.2200513,84334013.19890045,84334148.25438954,84334244.83711651,84334316.7501663,84333800.45886907,84334002.2804121,84334139.57444987,84334237.92283618,84334311.24723186,84333787.4068972,84333991.81732944,84334131.16271575,84334231.13534154,84334305.76128936,84333775.00894724,84333981.79193583,84334123.02833171,84334224.50378333,84334300.33696082,84333763.2129397,84333972.18207677,84334115.17065379,84334218.04353532,84334295.00197741,84333751.97083712,84333962.96398307,84334107.58341269,84334211.76136613,84334289.77315198,84333741.23886302,84333954.11382255,84334100.25720721,84334205.65863717,84334284.66013145,84333730.97737476,84333945.60853466,84334093.18101774,84334199.73332147,84334279.66781078,84333721.15057941,84333937.42625512,84334086.3431308,84334193.98129918,84334274.79791652,84333711.7261908,84333929.54650465,84334079.73170297,84334188.39719892,84334270.05006301,84333702.67507769,84333921.95024231,84334073.33510041,84334182.97494876,84334265.42246634
1,2021-07-02,84332304.2666311,84332766.41722564,84333087.62536903,84333320.86661844,84333496.30051845,84332263.87565124,84332735.26989561,84333064.34116052,84333304.09837137,84333484.93091813,84332225.6318122,84332704.9169139,84333040.79275952,84333286.23008673,84333471.7872068,84332189.52300553,84332675.64626336,84333017.4966524,84333267.957425,84333457.71046229,84332155.44519839,84332647.56696145,84332994.72440182,84333249.67891207,84333443.20148772,84332123.25983533,84332620.69689523,84332972.61368433,84333231.62563716,84333428.5662428,84332092.82035364,84332595.0075584,84332951.22681469,84333213.93073286,84333413.99443892,84332063.98432758,84332570.44765107,84332930.58297184,84333196.66839154,84333399.60414073,84332036.61870398,84332546.95581073,84332910.67655964,84333179.87662596,84333385.46811171,84332010.60166419,84332524.46754476,84332891.48794444,84333163.57096507,84333371.62990119,84331985.82284579,84332502.91898078,84332872.98985434,84333147.75290494,84333358.1139434,84331962.18279509,84332482.24883479,84332855.15123856,84333132.41522928,84333344.93204594,84331939.59209314,84332462.39936924,84332837.93960549,84333117.54541203,84333332.08763985,84331917.9703802,84332443.31677625,84332821.32243216,84333103.12781805,84333319.57860853,84331897.24539025,84332424.9512365,84332805.2679994,84333089.14513656,84333307.39919491
2,2021-07-03,84330243.52968949,84331024.84286086,84331585.42263421,84332001.54085845,84332319.56425156,84330179.01543689,84330972.87088615,84331545.39689347,84331972.09299068,84332299.27561623,84330118.10797383,84330922.34126541,84331504.98914917,84331940.75507832,84332275.84344105,84330060.75819008,84330873.72213443,84331465.08535385,84331908.75237311,84332250.77430788,84330006.7736955,84330827.18163756,84331426.14681631,84331876.78415841,84332224.96391426,84329955.91103098,84330782.7364626,84331388.40342088,84331845.25360957,84332198.95808849,84329907.91772354,84330740.32721293,84331351.95536232,84331814.39097266,84332173.09401505,84329862.55115174,84330699.85796107,84331316.82906187,84331784.32271127,84332147.5804216,84329819.5863616,84330661.21743472,84331283.00894141,84331755.11180747,84332122.54494508,84329778.81855305,84330624.2904392,84331250.4559401,84331726.78197706,84332098.06304291,84329740.06302401,84330588.96394688,84331219.11849964,84331699.33258218,84332074.17612821,84329703.15396027,84330555.13021824,84331188.93915059,84331672.74799651,84332050.90320793,84329667.94276777,84330522.68825327,84331159.85847102,84331647.00357552,84332028.24849474,84329634.29629591,84330491.54430355,84331131.81744774,84331622.06950277,84332006.20646372,84329602.09511964,84330461.61186191,84331104.75885324,84331597.91328306,84331984.76525411
3,2021-07-04,84327807.25979969,84328919.2988524,84329740.59395659,84330362.74014391,84330845.34862067,84327720.33311346,84328846.41084318,84329682.8875311,84330319.42438862,84330815.05123056,84327638.4589731,84328775.68339078,84329624.7201803,84330273.3826999,84330780.08932933,84327561.53772782,84328707.75771925,84329567.36644933,84330226.42173696,84330742.72025664,84327489.28090835,84328642.8528908,84329511.4842072,84330179.56910983,84330704.28416903,84327421.33594747,84328580.97643232,84329457.39616218,84330133.41422786,84330665.59584525,84327357.34243959,84328522.03086337,84329405.23794368,84330088.29100163,84330627.15689793,84327296.95691943,84328465.86934315,84329355.03935461,84330044.38036783,84330589.27632117,84327239.86275303,84328412.32528917,84329306.77043258,84330001.7699923,84330552.14169708,84327185.77292593,84328361.22820446,84329260.36820742,84329960.49009545,84330515.86264093,84327134.4294998,84328312.41200317,84329215.75251016,84329920.53547487,84330480.49803297,84327085.6016012,84328265.71918342,84329172.83540076,84329881.87930387,84330446.07347526,84327039.08286871,84328221.00268103,84329131.52679414,84329844.48190235,84330412.59269316,84326994.68881401,84328178.12643073,84329091.7377823,84329808.2963673,84330380.04509646,84326952.25431116,84328136.96521911,84329053.38254307,84329773.27220565,84330348.41085468
4,2021-07-05,84325085.12983966,84326520.11809595,84327608.78023517,84328449.26730756,84329110.44875747,84324978.78437908,84326427.55253033,84327533.56393191,84328391.72461428,84329069.61602966,84324878.8126145,84326337.87933944,84327457.84888147,84328330.62459643,84329022.5329727,84324785.05835196,84326251.89572483,84327383.29284377,84328268.3722865,84328972.25091867,84324697.13892914,84326169.86136177,84327310.74477713,84328206.33143058,84328920.579061,84324614.59819353,84326091.76837073,84327240.61514191,84328145.28055228,84328868.61499006,84324536.97485924,84326017.47746328,84327173.07051194,84328085.6574607,84328817.0323108,84324463.83213183,84325946.78877264,84327108.14019382,84328027.69641101,84328766.24408887,84324394.76913436,84325879.47934343,84327045.7765377,84327971.5079122,84328716.49939403,84324329.4237324,84325815.32300574,84326985.88987215,84327917.12655723,84328667.94218098,84324267.47138481,84325754.10070306,84326928.36906792,84327864.54037653,84328620.64817014,84324208.62229127,84325695.60556105,84326873.09374134,84327813.7091906,84328574.64846624,84324152.61795577,84325639.64503776,84326819.9414889,84327764.57624479,84328529.94496389,84324099.22770832,84325586.0414618,84326768.79211983,84327717.07565336,84328486.52054721,84324048.24543378,84325534.63169879,84326719.53005323,84327671.13718244,84328444.34592311
5,2021-07-06,84322129.22061102,84323870.69514161,84325225.43463187,84326290.13557592,84327138.84201579,84322006.63362561,84323760.21304907,84325133.4367615,84326218.47594017,84327087.28918228,84321891.57144395,84323653.33229879,84325040.93690434,84326142.45656234,84327027.88600427,84321783.82169506,84323550.98666388,84324949.95860559,84326065.07777531,84326964.49503274,84321682.91537322,84323453.46708931,84324861.53090435,84325988.03616863,84326899.40373258,84321588.3034821,84323360.74639705,84324776.14484215,84325912.29615903,84326833.99714488,84321499.43534437,84323272.64262062,84324693.99318273,84325838.39647132,84326769.12285411,84321415.7920754,84323188.90368153,84324615.10156369,84325766.62200607,84326705.29845981,84321336.89910364,84323109.25198905,84324539.40254071,84325697.10376722,84326642.83411855,84321262.32886663,84323033.40791805,84324466.77836813,84325629.87868261,84326581.90725325,84321191.69902526,84322961.10187759,84324397.08609684,84325564.92626064,84326522.60931726,84321124.6688049,84322892.08012016,84324330.17240353,84325502.19146454,84326464.97571415,84321060.93473846,84322826.1070971,84324265.88232951,84325441.59917895,84326409.00528981,84321000.22642173,84322762.96592115,84324204.0643499,84325383.06343766,84326354.67321838,84320942.30255611,84322702.45781739,84324144.5732066,84325326.49332969,84326301.93961917
6,2021-07-07,84318989.42403068,84321013.57594407,84322626.24441558,84323915.30646838,84324955.8886773,84318853.84803434,84320887.31806052,84322518.63609725,84323830.03223938,84324893.72776401,84318726.75116742,84320765.32003316,84322410.55080421,84323739.64433141,84324822.14562547,84318607.86951362,84320648.6314045,84322304.3509874,84323647.71850765,84324745.81053092,84318496.65940699,84320537.56598854,84322201.23052748,84323556.27168387,84324667.48409644,84318392.49301475,84320432.07532868,84322101.75237885,84323466.44594939,84324588.83547634,84318294.74447623,84320331.93614413,84322006.13068572,84323378.87538773,84324510.88344246,84318202.82629807,84320236.8472095,84321914.38493793,84323293.89171614,84324434.24776448,84318116.20260634,84320146.48016514,84321826.4268524,84323211.64376627,84324359.29767726,84318034.3916187,84320060.50609964,84321742.11045592,84323132.16893615,84324286.24236377,84317956.96325278,84319978.6090824,84321661.26137938,84323055.43691377,84324215.1875574,84317883.53474526,84319900.49256274,84321583.69409831,84322981.37691355,84324146.17172517,84317813.76567817,84319825.88185252,84321509.22203808,84322909.89486346,84324079.18961367,84317747.35307387,84319754.5244772,84321437.66338964,84322840.88433798,84324014.20779356,84317684.02685152,84319686.1894,84321368.84431964,84322774.23353107,84323951.17503655
7,2021-07-08,84315694.3351322,84317975.09335698,84319834.21738285,84321344.5359888,84322578.5068999,84315548.62968162,84317835.19490604,84319712.32405691,84321246.34042057,84322506.01638196,84315412.16607817,84317700.14976484,84319589.99841523,84321142.33205646,84322422.58566424,84315284.63639367,84317571.10429989,84319469.91190115,84321036.63381639,84322333.67010976,84315165.43554433,84317448.3887298,84319353.40709142,84320931.56602061,84322242.49375434,84315053.8716318,84317331.93312635,84319241.1103269,84320828.4380122,84322151.00208244,84314949.25810166,84317221.47582385,84319133.25296213,84320727.97271976,84322060.3796894,84314850.95232044,84317116.67085223,84319029.84671274,84320630.54459576,84321971.34471406,84314758.36931169,84317017.14407715,84318930.78232902,84320536.3177765,84321884.32272156,84314670.98398235,84316922.5224152,84318835.88636126,84320445.32862724,84321799.55264,84314588.32820143,84316832.44858089,84318744.95427541,84320357.53619102,84321717.15299228,84314509.9858113,84316746.58795018,84318657.76987395,84320272.85356456,84321637.16420087,84314435.58706012,84316664.63111402,84318574.1166243,84320191.16765814,84321559.57608949,84314364.80315465,84316586.29410037,84318493.78413254,84320112.35173349,84321484.3460156,84314297.34123808,84316511.31737551,84318416.57167567,84320036.27337483,84321411.41095659
8,2021-07-09,84312276.14096564,84314784.32944399,84316874.84786125,84318599.97303027,84320025.95206667,84312122.8989178,84314632.95558313,84316740.15193222,84318489.73465584,84319943.57172732,84311979.47759396,84314486.95296302,84316605.08185211,84318373.04616098,84319848.80641699,84311845.53390937,84314347.54682219,84316472.58500846,84318254.54128511,84319747.86732206,84311720.41507699,84314215.07853585,84316344.13542351,84318136.82256703,84319644.42182817,84311603.3799164,84314089.45770799,84316220.4142081,84318021.35401872,84319540.67967406,84311493.6954332,84313970.38830285,84316101.66616441,84317908.93991677,84319437.98342322,84311390.67695616,84313857.48495604,84315987.89424142,84317799.99305785,84319337.14438169,84311293.70217754,84313750.33356568,84315878.96881308,84317694.69043268,84319238.64096645,84311202.21315074,84313648.52268064,84315774.69043215,84317593.06615622,84319142.73952202,84311115.71293852,84313551.65922874,84315674.82635382,84317495.06819941,84319049.56981505,84311033.76014382,84313459.37573473,84315579.1318884,84317400.59362188,84318959.17322038,84310955.9628781,84313371.33290263,84315487.36280297,84317309.51072076,84318871.53401624,84310881.97289354,84313287.21970373,84315399.28236303,84317221.6730526,84318786.599994,84310811.48019159,84313206.75216918,84315314.66513427,84317136.92832153,84318704.29617593
9,2021-07-10,84308754.70812528,84311460.76367286,84313765.9798054,84315697.53471084,84317312.29151547,84308596.01814547,84311299.90693824,84313619.96216977,84315576.20209299,84317220.54533051,84308447.56868704,84311144.861042,84313473.63536827,84315447.84374475,84317115.05401295,84308308.99077944,84310996.91470808,84313330.19002713,84315317.5646553,84317002.7464039,84308179.5967954,84310856.41682494,84313191.21500574,84315188.22687012,84316887.71024862,84308058.60966833,84310723.25854619,84313057.4382932,84315061.43587962,84316772.40525365,84307945.26264589,84310597.11411685,84312929.11508398,84314938.06970324,84316658.32288893,84307838.84053625,84310477.56451626,84312806.23921567,84314818.57524645,84316546.36181827,84307738.69395383,84310364.16170363,84312688.6618505,84314703.14019334,84316437.04958522,84307644.24114072,84310256.46177359,84312576.15952279,84314591.79554012,84316330.67759158,84307554.96429576,84310154.04146793,84312468.47366236,84314484.47812581,84316227.38540037,84307470.40375191,84310056.50566252,84312365.33363794,84314381.06941642,84316127.21450783,84307390.151605,84309963.4899533,84312266.47008972,84314281.4198468,84316030.14323628,84307313.84553857,84309874.66061684,84312171.62245663,84314185.36419924,84315936.10968865,84307241.16316319,84309789.71321695,84312080.54300152,84314092.7313259,84315845.02700707
