,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333986.70244749,84334148.92192852,84334257.62194428,84334334.61742994,84334391.51083916,84333971.6515467,84334137.87836668,84334249.63623951,84334329.00031336,84334387.76792538,84333957.34728096,84334127.08576596,84334241.54269849,84334323.00537075,84334383.43623693,84333943.79368755,84334116.6492751,84334233.51881257,84334316.86480126,84334378.79143013,84333930.95962226,84334106.61099848,84334225.6589478,84334310.71219245,84334373.99791668,84333918.79995596,84334096.98061794,84334218.01187342,84334304.62550788,84334369.15642715,84333907.26551448,84334087.75105642,84334210.60056384,84334298.65010548,84334364.32968013,84333896.30774097,84334078.9067908,84334203.43312483,84334292.81166776,84334359.55693991,84333885.88079481,84334070.42837308,84334196.50903718,84334287.1237521,84334354.86261451,84333875.94238022,84334062.29492055,84334189.82282272,84334281.59234126,84334350.26150818,84333866.45394394,84334054.48548482,84334183.3662402,84334276.21865723,84334345.76212141,84333857.38056637,84334046.97978917,84334177.1296186,84334271.00093791,84334341.36877392,84333848.69071367,84334039.75860399,84334171.10267179,84334265.93557715,84334337.08299743,84333840.35593724,84334032.80391438,84334165.27499557,84334261.01786542,84334332.90446465,84333832.3505649,84334026.098968,84334159.63636714,84334256.24247475,84334328.83161733
1,2021-07-02,84332604.63578343,84333012.75992143,84333295.86689922,84333501.17155159,84333655.44843118,84332568.9277607,84332985.2878697,84333275.3617798,84333486.42060706,84333645.45454,84332535.11103378,84332958.51241592,84333254.6217344,84333470.70073733,84333633.90058151,84332503.17598927,84332932.68794936,84333234.10164364,84333454.62379761,84333621.52570064,84332473.03163305,84332907.91106816,84333214.04081367,84333438.54037681,84333608.77004182,84332444.5563101,84332884.19798127,84333194.5606882,84333422.65383232,84333595.90254276,84332417.6211521,84332861.52394027,84333175.71635218,84333407.0813777,84333583.08999278,84332392.1008302,84332839.8440465,84333157.52489458,84333391.88838683,84333570.43622145,84332367.87820213,84332819.10448045,84333139.98157042,84333377.10840648,84333558.0052464,84332344.84597526,84332799.24862002,84333123.06925432,84333362.7551994,84333545.83540814,84332322.90691724,84332780.22035322,84333106.76407592,84333348.83017622,84333533.94824386,84332301.97338393,84332761.96581915,84333091.03881986,84333335.32707503,84333522.35418901,84332281.96655683,84332744.43425748,84333075.86498617,84333322.23495458,84333511.05631228,84332262.81558865,84332727.57835047,84333061.21403332,84333309.54013063,84333500.05280177,84332244.45675632,84332711.35427853,84333047.05811538,84333297.22743745,84333489.3386415
2,2021-07-03,84330772.78252357,84331467.87029432,84331965.2426221,84332333.74982814,84332615.00284983,84330715.28850643,84331421.70167466,84331929.76448642,84332307.68893002,84332597.06879039,84330660.99476805,84331376.80532128,84331893.94231653,84332279.95229428,84332576.35440072,84330609.85988413,84331333.59803195,84331858.56153238,84332251.6239783,84332554.1910008,84330561.71446937,84331292.2302238,84331824.03143197,84332223.32287122,84332531.37018621,84330516.34330977,84331252.7177288,84331790.55628197,84332195.40596445,84332508.37444443,84330473.5228625,84331215.00869226,84331758.22540836,84332168.07727782,84332485.50192073,84330433.03810917,84331179.01869483,84331727.0627198,84332141.44900729,84332462.93725622,84330394.68956356,84331144.64957635,84331697.05485512,84332115.57716605,84332440.79343148,84330358.29552549,84331111.79959309,84331668.16759124,84332090.4830025,84332419.1373076,84330323.69206323,84331080.36883987,84331640.35558096,84332066.16619201,84332398.00564831,84330290.73196125,84331050.26203464,84331613.56819429,84332042.61312324,84332377.41540316,84330259.2832556,84331021.38981912,84331587.7530316,84332019.80218183,84332357.37043375,84330229.2276678,84330993.66922314,84331562.85802102,84331997.70715557,84332337.86598288,84330200.45908761,84330967.02366398,84331538.83264329,84331976.29944248,84332318.89168154
3,2021-07-04,84328606.69807625,84329599.49227048,84330330.57404163,84330883.2074461,84331311.217216,84328528.97071691,84329534.53262997,84330279.26798022,84330844.76455219,84331284.36459768,84328455.74293154,84329471.48541866,84330227.54364155,84330803.8973372,84331253.3750805,84328386.92880127,84329410.9235528,84330176.53444904,84330762.2087947,84331220.24864821,84328322.27317074,84329353.04385154,84330126.82597108,84330720.61101092,84331186.17283577,84328261.46312276,84329297.85453078,84330078.70593593,84330679.62741598,84331151.86980267,84328204.17832144,84329245.27006353,84330032.29575612,84330639.55479209,84331117.78429668,84328150.11322893,84329195.16075592,84329987.62270814,84330600.55418879,84331084.19042182,84328098.98601036,84329147.37915185,84329944.6608601,84330562.70386985,84331051.25470537,84328050.54108037,84329101.77415624,84329903.35485518,84330526.03108875,84331019.07457827,84328004.54866192,84329058.19847496,84329863.63396917,84330490.5316253,84330987.70249657,84327960.80302401,84329016.5123529,84329825.42049865,84330456.18202941,84330957.16140623,84327919.12022838,84328976.58524323,84329788.63477029,84330422.94740592,84330927.45484488,84327879.33579324,84328938.2963223,84329753.19810206,84330390.78641406,84330898.57364203,84327841.30246693,84328901.53437127,84329719.03450733,84330359.6544946,84330870.50041777
4,2021-07-05,84326169.05301295,84327456.30157192,84328429.70761004,84329179.39226817,84329768.05941921,84326073.48810802,84327373.41863148,84328362.5415758,84329128.11403309,84329731.72987011,84325983.62771489,84327293.107581,84328294.91791534,84329073.65814659,84329689.83505309,84325899.33561179,84327216.08428837,84328228.31736124,84329018.16720346,84329645.08871515,84325820.27152026,84327142.58349802,84328163.49901605,84328962.85662968,84329599.10015675,84325746.0285267,84327072.60026069,84328100.83061923,84328908.4207111,84329552.84596905,84325676.19456573,84327006.01173238,84328040.46213683,84328855.25026967,84329506.92574404,84325610.37912497,84326942.64057486,84327982.42088288,84328803.55477737,84329461.70738074,84325548.2235941,84326882.28853785,84327926.66534096,84328753.43341608,84329417.4129137,84325489.4038744,84326824.7542808,84327873.1163524,84328704.91767165,84329374.1708614,84325433.62940463,84326769.84264977,84327821.6754832,84328657.99747959,84329332.04901828,84325380.64064524,84326717.36924347,84327772.23593116,84328612.6375765,84329291.0754574,84325330.20602822,84326667.16236316,84327724.68899755,84328568.78786989,84329251.25223212,84325282.11886165,84326619.06351548,84327678.92787813,84328526.39007571,84329212.56444955,84325236.19441442,84326572.92713167,84327634.84981443,84328485.38198547,84329174.98635067
5,2021-07-06,84323524.59568729,84325090.69893694,84326305.11133105,84327257.148318,84328014.57225256,84323414.21249355,84324991.54423608,84326222.76564853,84327193.14215885,84327968.60235365,84323310.58178866,84324895.60155928,84326139.95590526,84327125.23228927,84327915.62670244,84323213.51663281,84324803.71134354,84326058.49388368,84327056.09785903,84327859.08816367,84323122.59840654,84324716.13727713,84325979.30192313,84326987.25447558,84327801.02601786,84323037.33583184,84324632.85737763,84325902.82104312,84326919.56423712,84327742.67539455,84322957.23555213,84324553.71046631,84325829.22528084,84326853.50920925,84327684.79246685,84322881.83236428,84324478.47214377,84325758.53898,84326789.34479183,84327627.83930378,84322810.70057963,84324406.89483662,84325690.70302752,84326727.18889938,84327572.09305267,84322743.45652659,84324338.7289009,84325625.61313786,84326667.07535686,84327517.71250719,84322679.7570043,84324273.7334882,84325563.1423246,84326608.98662667,84327464.77977921,84322619.2960374,84324211.68179198,84325503.15418656,84326552.87423684,84327413.32696447,84322561.80108234,84324152.36319008,84325445.51074463,84326498.67170495,84327363.35351762,84322507.0292366,84324095.58368427,84325390.07699353,84326446.30278605,84327314.83774112,84322454.7637002,84324041.165428,84325336.72345106,84326395.68675452,84327267.74447021
6,2021-07-07,84320715.78272262,84322539.17657647,84323987.44642276,84325142.21139915,84326072.52080987,84320593.57371254,84322425.69790207,84323890.97395554,84325065.92116578,84326017.00331344,84320478.98552743,84322316.0267981,84323794.05732489,84324985.04470354,84325953.06470403,84320371.7844726,84322211.1091822,84323698.81516992,84324902.78021987,84325884.87265661,84320271.48408718,84322111.2298708,84323606.31929146,84324820.93243276,84325814.89309958,84320177.52141474,84322016.34788577,84323517.07610527,84324740.52394322,84325744.6169189,84320089.33471918,84321926.2648122,84323431.27930346,84324662.12308924,84325674.95448561,84320006.39638339,84321840.71185604,84323348.94794402,84324586.02774978,84325606.45998487,84319928.2249418,84321759.39553522,84323270.00429934,84324512.37215063,84325539.46390772,84319854.38738321,84321682.02160844,84323194.31874919,84324441.19074737,84325474.15380214,84319784.49705555,84321608.30727673,84323121.73605257,84324372.45732632,84325410.62479274,84319718.20976566,84321537.98697034,84323052.09081958,84324306.10936859,84325348.91188003,84319655.21933454,84321470.81461127,84322985.21658841,84324242.06343025,84325289.01096311,84319595.25320657,84321406.5639552,84322920.95105627,84324180.22493057,84325230.89272125,84319538.06837808,84321345.02791624,84322859.13897288,84324120.49439852,84325174.51188374
7,2021-07-08,84317781.49198022,84319835.96608429,84321506.15471345,84322859.82130669,84323963.65518184,84317650.318278,84319710.28287548,84321396.87910157,84322771.9562301,84323898.89488265,84317527.44627655,84319588.94021013,84321287.1992553,84322678.87784381,84323824.35350122,84317412.60230035,84319472.97046798,84321179.51081522,84322584.27447039,84323744.90281335,84317305.24463548,84319362.67293954,84321075.0189124,84322490.22267379,84323663.42247432,84317204.75287525,84319257.98723191,84320974.28682278,84322397.89497282,84323581.6506656,84317110.51095037,84319158.68039712,84320877.52370149,84322307.9393947,84323500.64621359,84317021.94193864,84319064.44343731,84320784.74166648,84322220.6921999,84323421.05141857,84316938.52050579,84318974.94176526,84320695.84421754,84322136.30141507,84323343.2472745,84316859.77497336,84318889.84148768,84320610.67712048,84322054.80065124,84323267.44804111,84316785.28474039,84318808.82269122,84320529.05810535,84321976.15422891,84323193.76037614,84316714.67583336,84318731.58564313,84320450.79429384,84321900.2852509,84323122.22111097,84316647.61592655,84318657.85311504,84320375.69237359,84321827.09328811,84323052.82181224,84316583.8094638,84318587.3706077,84320303.56441966,84321756.46560663,84322985.52497958,84316522.99315755,84318519.90547477,84320234.23107736,84321688.2843093,84322920.27484526
8,2021-07-09,84314738.05788854,84316997.65313134,84318876.48102678,84320423.48662056,84321699.7938336,84314600.2126682,84316861.69556941,84318755.72239716,84320324.82596721,84321626.17845748,84314471.18397513,84316730.54306814,84318634.61122432,84320220.37973496,84321541.48751621,84314350.66654664,84316605.29855494,84318515.79070908,84320114.29412274,84321451.26933165,84314238.0760452,84316486.27122626,84318400.58395532,84320008.89874053,84321358.80047588,84314132.74811433,84316373.38228092,84318289.60343862,84319905.50485477,84321266.05577509,84314034.0253135,84316266.36792159,84318183.07044289,84319804.83352613,84321174.23557831,84313941.29329787,84316164.88381068,84318080.98928018,84319707.2554971,84321084.06570588,84313853.99351867,84316068.55951637,84317983.24522154,84319612.93041843,84320995.97457919,84313771.62507994,84315977.02674094,84317889.66075344,84319521.88997431,84320910.201108,84313693.74177253,84315889.9334846,84317800.02833383,84319434.08863904,84320826.86211266,84313619.94719319,84315806.95056255,84317714.12955366,84319349.43520781,84320745.99536394,84313549.88934991,84315727.77395377,84317631.7462748,84319267.81262505,84320667.58754082,84313483.25540794,84315652.12490502,84317552.6669619,84319189.09054267,84320591.59264669,84313419.76685934,84315579.74886708,84317476.69010775,84319113.13328518,84320517.94427024
9,2021-07-10,84311600.7639447,84314039.38873838,84316112.33420998,84317845.5943889,84319291.846818,84311458.07115921,84313894.91084988,84315981.39189863,84317736.9641914,84319209.82750402,84311324.56849632,84313755.6327298,84315850.15455763,84317622.02998517,84319115.51115768,84311199.92762597,84313622.71439394,84315721.48424613,84317505.36138777,84319015.08982216,84311083.5331857,84313496.47183448,84315596.80747214,84317389.52126801,84318912.21720111,84310974.68887137,84313376.80971198,84315476.77899519,84317275.94814055,84318809.09245786,84310872.70719406,84313263.43755919,84315361.62955777,84317165.42946301,84318707.04964638,84310776.94664523,84313155.98082508,84315251.35537522,84317058.36675867,84318606.8930862,84310686.82457855,84313054.03860526,84315145.82452321,84316954.92940897,84318509.09539859,84310601.81890911,84312957.21345906,84315044.83795644,84316855.14640482,84318413.9180927,84310521.46486259,84312865.12627824,84314948.16496424,84316758.9623138,84318321.48688711,84310445.34977967,84312777.42304626,84314855.56385443,84316666.27200252,84318231.83975993,84310373.10741864,84312693.77719112,84314766.79393,84316576.94243668,84318144.95813428,84310304.41242802,84312613.88957517,84314681.62225914,84316490.82645994,84318060.78739864,84310238.97527605,84312537.48726457,84314599.82730281,84316407.77150969,84317979.25055104
