,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334209.28947203,84334328.13117227,84334407.25531584,84334463.05871964,84334504.1653306,84334198.2163323,84334320.06974167,84334401.45612808,84334458.99438405,84334501.46431006,84334187.68504474,84334312.18743356,84334395.57642284,84334454.65550204,84334498.33782849,84334177.69970642,84334304.56137425,84334389.74512361,84334450.20997258,84334494.98465547,84334168.2384236,84334297.22273189,84334384.0309026,84334445.7544582,84334491.52337681,84334159.26887393,84334290.1789997,84334378.46936385,84334441.3454329,84334488.0266803,84334150.75562291,84334283.42540248,84334373.0773888,84334437.01580575,84334484.53985502,84334142.66356967,84334276.95095581,84334367.86105421,84334432.7842592,84334481.09128124,84334134.95950906,84334270.74176644,84334362.8201591,84334428.66070293,84334477.6986261,84334127.61275819,84334264.7828531,84334357.95088434,84334424.64956145,84334474.37262852,84334120.59531663,84334259.05915058,84334353.24738708,84334420.75180796,84334471.11947761,84334113.88179868,84334253.55605243,84334348.70276995,84334416.96624884,84334467.94234289,84334107.44926108,84334248.2596896,84334344.30967405,84334413.29034853,84334464.84237865,84334101.27699037,84334243.15705645,84334340.0606415,84334409.72076574,84334461.8193939,84334095.34628245,84334238.23604926,84334335.9483343,84334406.25370488,84334458.87230556
1,2021-07-02,84333197.53393154,84333501.40715279,84333710.37638171,84333860.9931171,84333973.66679318,84333170.81051765,84333481.05637375,84333695.29409546,84333850.19906498,84333966.38204499,84333145.48068452,84333461.20828617,84333680.0312241,84333838.6916646,84333957.9578904,84333121.5407606,84333442.0526616,84333664.92250563,84333826.91825047,84333948.9325219,84333098.92578597,84333423.66256243,84333650.14451213,84333815.13540423,84333939.62655137,84333077.54739133,84333406.0514526,84333635.78727031,84333803.49218717,84333930.2360138,84333057.31137067,84333389.2023211,84333621.89202204,84333792.07472235,84333920.88260873,84333038.12578526,84333373.08307134,84333608.47202887,84333780.93123172,84333911.64220616,84333019.90450266,84333357.6548427,84333595.52443533,84333770.08664578,84333902.56168409,84333002.56849703,84333342.87655663,84333583.03721456,84333759.55139862,84333893.66921079,84332986.04605424,84333328.70738776,84333570.99331386,84333749.32685813,84333884.98070154,84332970.27245812,84333315.10807072,84333559.37315963,84333739.40874758,84333876.50396818,84332955.1894517,84333302.0415451,84333548.15617865,84333729.78933589,84333868.24143863,84332940.7446239,84333289.47322252,84333537.32171851,84333720.4588561,84333860.1919679,84332926.89079674,84333277.37103972,84333526.8495956,84333711.4064307,84333852.35206021
2,2021-07-03,84331844.93330936,84332368.86172013,84332740.01266804,84333012.98691124,84333220.17570847,84331801.37403615,84332334.2790538,84332713.65745705,84332993.74742864,84333206.9990468,84331760.20197606,84332300.624135,84332687.03090958,84332973.26162775,84333191.77466556,84331721.39207995,84332268.2118423,84332660.71688311,84332952.32902217,84333175.47945388,84331684.8215954,84332237.1578227,84332635.02062452,84332931.40662892,84333158.69456217,84331650.33218057,84332207.4767847,84332610.09535377,84332910.75857475,84333141.77451274,84331617.7583785,84332179.13245076,84332586.00894037,84332890.53625587,84333124.93865396,84331586.94049878,84332152.06382637,84332562.7805779,84332870.82334186,84333108.32307507,84331557.73004346,84332126.19931182,84332540.40164642,84332851.66201492,84333092.01127158,84331529.99151865,84332101.46434146,84332518.84788786,84332833.0687452,84333076.05286567,84331503.60250863,84332077.78548117,84332498.08664262,84332815.04401362,84333060.4753526,84331478.4529504,84332055.09254955,84332478.08119906,84332797.57842419,84333045.2916426,84331454.44408196,84332033.31962377,84332458.79341628,84332780.65660556,84333030.50499658,84331431.48730241,84332012.40541518,84332440.18529545,84332764.25972885,84333016.1123075,84331409.50306018,84331992.29329212,84332422.21990255,84332748.36714286,84333002.10631001
3,2021-07-04,84330231.18301554,84330987.75989875,84331538.87403262,84331952.0514403,84332270.02665792,84330171.67237161,84330938.61057205,84331500.40485948,84331923.42777257,84332250.14226227,84330115.55620642,84330890.87078775,84331461.59716022,84331892.98380558,84332227.18605965,84330062.7776282,84330844.97820117,84331423.30152693,84331861.91184054,84332202.63689883,84330013.1490381,84330801.08630282,84331385.95901191,84331830.8912586,84332177.37340431,84329966.43735555,84330759.20564662,84331349.78777122,84331800.31280327,84332151.9304143,84329922.40267205,84330719.27539696,84331314.88128996,84331770.3987831,84332126.63779674,84329880.8154326,84330681.20078972,84331281.26232445,84331741.27053583,84332101.69928433,84329841.46342447,84330644.8731356,84331248.913519,84331712.98773192,84332077.23904148,84329804.15387706,84330610.18055788,84331217.79522064,84331685.5719751,84332053.33008192,84329768.71324892,84330577.01368017,84331187.85602698,84331659.02132376,84332030.01208778,84329734.98598011,84330545.26851034,84331159.03909396,84331633.31940039,84332007.30283886,84329702.83284849,84330514.84775321,84331131.28591424,84331608.4411907,84331985.20568304,84329672.12924634,84330485.66124316,84331104.53856008,84331584.35677344,84331963.71449457,84329642.76352805,84330457.62589073,84331078.7409822,84331561.03373261,84331942.8170065
4,2021-07-05,84328403.25735946,84329393.23474883,84330133.53042887,84330698.70249379,84331139.42162775,84328329.48798855,84329329.99656154,84330082.7608544,84330660.22995049,84331112.32715453,84328260.06282157,84329268.67278568,84330031.61150822,84330619.35170689,84331081.0697492,84328194.88744563,84329209.8151953,84329981.2028155,84330577.67358954,84331047.67020963,84328133.70849118,84329153.6089239,84329932.11140315,84330536.10794972,84331013.32769813,84328076.21959518,84329100.05586615,84329884.61862315,84330495.17719379,84330978.77071494,84328022.10901423,84329049.06733,84329838.84123375,84330455.17649178,84330944.44725609,84327971.08045773,84329000.51235788,84329794.80306166,84330416.26506992,84330910.6328473,84327922.8612903,84328954.24339022,84329752.47559312,84330378.5193563,84330877.49435726,84327877.20473123,84328910.10993671,84329711.80152793,84330341.9648565,84330845.1289261,84327833.88925527,84328867.96573448,84329672.7086765,84330306.5957362,84330813.58835936,84327792.71677428,84328827.6723071,84329635.11823207,84330272.3870811,84330782.89476003,84327753.51038124,84328789.1005189,84329598.94969527,84330239.30268227,84330753.05073316,84327716.11203937,84328752.13101555,84329564.123772,84330207.30002789,84330724.0461492,84327680.38039453,84328716.65405782,84329530.5640298,84330176.33351915,84330695.8626807
5,2021-07-06,84326408.88195893,84327622.7640898,84328553.63375326,84329276.81015018,84329847.95730591,84326323.11313948,84327546.56665188,84328490.94166586,84329228.45365141,84329813.44556203,84326242.5272208,84327472.7816841,84328427.85442877,84329177.12006094,84329773.65781108,84326166.99078467,84327402.06177604,84328365.75299825,84329124.831368,84329731.17468184,84326096.18875039,84327334.61676672,84328305.34321404,84329072.73328513,84329687.52581666,84326029.7478352,84327270.43649551,84328246.96512248,84329021.47914414,84329643.63875535,84325967.29158045,84327209.40304902,84328190.75550088,84328971.43571915,84329600.08233571,84325908.46409391,84327151.34909596,84328136.73686253,84328922.79867461,84329557.2050226,84325852.93911852,84327096.0887183,84328084.8677758,84328875.65972541,84329515.2166133,84325800.42218426,84327043.4337215,84328035.07199088,84328830.04687446,84329474.23806348,84325750.64957656,84326993.20208344,84327987.25556839,84328785.94909675,84329434.33269079,84325703.38595152,84326945.22207762,84327941.31703222,84328743.33176437,84329395.52615273,84325658.42149685,84326899.33400019,84327897.15337859,84328702.14641917,84329357.81947346,84325615.56907283,84326855.39057608,84327854.66358343,84328662.33702053,84329321.19766526,84325574.66153133,84326813.25665371,84327813.75058186,84328623.84395553,84329285.63550164
6,2021-07-07,84324280.01989344,84325702.80849837,84326820.73907036,84327704.01289907,84328410.23972583,84324184.56578358,84325615.06734012,84326746.82065123,84327646.00865835,84328368.30244543,84324094.99898931,84325530.20903598,84326672.51355019,84327584.4839417,84328319.98351425,84324011.14925018,84325448.97254904,84326599.4430942,84327521.86794402,84328268.42611834,84323932.6471257,84325371.5861342,84326528.43484686,84327459.53372033,84328215.49139042,84323859.06159301,84325298.02557881,84326459.88188577,84327398.26127939,84328162.3059271,84323789.96095338,84325228.1440423,84326393.93763666,84327338.48590106,84328109.55888711,84323724.93879747,84325161.73932374,84326330.62134847,84327280.43737832,84328057.67088784,84323663.62365809,84325098.5892602,84326269.87762141,84327224.22096543,84328006.8937611,84323605.68102624,84325038.47033654,84326211.61078562,84327169.8658277,84327957.37136659,84323550.81189215,84324981.16723208,84326155.70505881,84327117.35472327,84327909.1776538,84323498.74984108,84324926.4773991,84326102.03644761,84327066.64251965,84327862.34101096,84323449.25769433,84324874.21290272,84326050.47975427,84327017.66789962,84327816.86012469,84323402.1241692,84324824.20076211,84326000.91263504,84326970.36082485,84327772.7144625,84323357.16076942,84324776.28249247,84325953.21786334,84326924.64731017,84327729.87128073
7,2021-07-08,84322045.80834134,84323658.21563412,84324955.61191681,84325997.68084663,84326840.92987072,84321942.91929212,84323560.52026391,84324871.39951213,84325930.48281923,84326791.72605643,84321846.47758119,84323466.13487622,84324786.82235898,84325859.2593574,84326735.06662777,84321756.2808026,84323375.87007181,84324703.72898829,84325786.82855143,84326674.64720342,84321671.91452813,84323289.96703526,84324623.05302513,84325714.77966987,84326612.6538768,84321592.90075704,84323208.3867295,84324545.23421535,84325644.01240376,84326550.40782636,84321518.76325653,84323130.95501293,84324470.43933254,84325575.0260482,84326488.71532956,84321449.0551394,84323057.43761612,84324398.68287352,84325508.08161215,84326428.0667934,84321383.36887972,84322987.57944617,84324329.89507021,84325443.29600221,84326368.75430207,84321321.33815362,84322921.12513566,84324263.96108703,84325380.69834183,84326310.94325395,84321262.63599488,84322857.82949239,84324200.74394198,84325320.26443131,84326254.7171727,84321206.97144698,84322797.4624309,84324140.09799123,84325261.93821089,84326200.10635145,84321154.08576961,84322739.81087571,84324081.87682937,84325205.6453027,84326147.10649154,84321103.74870141,84322684.67901814,84324025.93783282,84325151.30162331,84326095.69100633,84321055.75500001,84322631.88770324,84323972.1446648,84325098.81887536,84326045.8192343
8,2021-07-09,84319723.52114205,84321504.87579185,84322972.0303878,84324169.5534538,84325150.01633075,84319615.11400509,84321398.76985437,84322878.5303468,84324093.72135425,84325093.8002976,84319513.57892376,84321296.3496965,84322784.70126443,84324013.40035956,84325029.0992555,84319418.68766603,84321198.48438159,84322692.59231058,84323931.77445467,84324960.1435783,84319329.99078451,84321105.42390384,84322603.23320776,84323850.63556086,84324889.43341924,84319246.97410628,84321017.11477722,84322517.10423282,84323770.9948689,84324818.4775197,84319169.12731445,84320933.35813053,84322434.38267103,84323693.41070735,84324748.19461061,84319095.97266938,84320853.89119722,84322355.07733499,84323618.17228974,84324679.14171626,84319027.07524738,84320778.42989422,84322279.10426015,84323545.40640798,84324611.64898272,84318962.04461329,84320706.690976,84322206.33024994,84323475.14117756,84324545.9018213,84318900.53266038,84320638.40321477,84322136.59827767,84323407.34499657,84324481.99226514,84318842.2299095,84320573.31260122,84322069.74238288,84323341.95077603,84324419.95177333,84318786.86137518,84320511.18427703,84322005.59635988,84323278.87119968,84324359.77255678,84318734.18251966,84320451.8026994,84321943.99872226,84323218.00840697,84324301.42163937,84318683.97552171,84320394.97088037,84321884.79541126,84323159.26014899,84324244.85023086
9,2021-07-10,84317326.43978378,84319255.46437314,84320881.23032625,84322229.34161413,84323345.83922389,84317214.05759175,84319142.37975188,84320779.46289217,84322145.49517469,84323282.92974412,84317108.85442108,84319033.30203581,84320677.40885931,84322056.73845328,84323210.55865145,84317010.58304338,84318929.14743088,84320577.29538764,84321966.59559129,84323133.46817242,84316918.7684927,84318830.17186442,84320480.23664428,84321877.04626317,84323054.4586295,84316832.87032859,84318736.30862269,84320386.74776539,84321789.20439816,84322975.21760277,84316752.35353303,84318647.33725412,84320297.01421608,84321703.68221414,84322896.77066241,84316676.71803932,84318562.97045963,84320211.03868121,84321620.79418154,84322819.73778214,84316605.5091187,84318482.8993688,84320128.72362103,84321540.67539307,84322744.48475885,84316538.31892279,84318406.81700282,84320049.918685,84321463.3522301,84322671.2154376,84316474.78408895,84318334.43003865,84319974.44831157,84321388.78550693,84322600.0293435,84316414.58178048,84318265.46421391,84319902.12786725,84321316.89726867,84322530.95846921,84316357.42530379,84318199.66626702,84319832.77302298,84321247.58764017,84322463.9911699,84316303.05983745,84318136.80401212,84319766.20508032,84321180.74549478,84322399.0879013,84316251.2585038,84318076.66544464,84319702.25384925,84321116.25521916,84322336.1916967
