,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84332700.52676353,84333074.61904511,84333337.0572328,84333529.16963702,84333674.67014472,84332666.81905273,84333048.50297083,84333317.4351261,84333514.97115862,84333665.00165966,84332634.93506807,84333023.07479435,84333297.60470665,84333499.85004419,84333653.82947206,84332604.85952148,84332998.57374951,84333278.0008976,84333484.39611642,84333641.87010197,84332576.50097181,84332975.08872531,84333258.85148998,84333468.9467225,84333629.54988948,84332549.73984788,84332952.63228786,84333240.27118078,84333453.69699274,84333617.12899685,84332524.45054191,84332931.17833345,84333222.31111918,84333438.75891691,84333604.76846014,84332500.51146169,84332910.68191503,84333204.98616974,84333424.19451419,84333592.56825015,84332477.80931023,84332891.0899107,84333188.29042976,84333410.0351763,84333580.58975518,84332456.2405576,84332872.34681252,84333172.20629172,84333396.29329996,84333568.8695072,84332435.71155585,84332854.39784181,84333156.70983447,84333382.9694586,84333557.42779575,84332416.13802388,84332837.19057049,84333141.77406722,84333370.05691281,84333546.2741995,84332397.44427049,84332820.67569776,84333127.37088852,84333357.54449101,84333535.41120698,84332379.56234182,84332804.80734824,84333113.47226234,84333345.41844931,84333524.8366245,84332362.43118425,84332789.5431015,84333100.0509106,84333333.66368057,84333514.54519795
1,2021-07-02,84329473.4089821,84330322.6621206,84330943.44160178,84331411.37809233,84331773.59218428,84329401.31281514,84330263.74303475,84330897.4856772,84331377.19610277,84331749.82094273,84329333.37557618,84330206.55163914,84330851.15349516,84331340.85940935,84331722.389057,84329269.52030207,84330151.60851805,84330805.46043617,84331303.79345493,84331693.06741802,84329209.5125983,84330099.09312515,84330760.93120441,84331266.8092558,84331662.90744358,84329153.06405574,84330049.01374434,84330717.82371767,84331230.37219174,84331632.54842365,84329099.87901446,84330001.29350711,84330676.24689709,84331194.74608299,84331602.3839809,84329049.67524332,84329955.81536512,84330636.22531559,84331160.07404445,84331572.65662858,84329002.19226246,84329912.44605564,84330597.73585957,84331126.42557411,84331543.51362585,84328957.19375604,84329871.0489287,84330560.72903584,84331093.82481268,84331515.04105787,84328914.46720283,84329831.49071106,84330525.14156759,84331062.26791857,84331487.2851983,84328873.82227233,84329793.64491017,84330490.90391146,84331031.73395659,84331460.26620448,84328835.08875854,84329757.3933391,84330457.94474775,84331002.19182111,84331433.98706265,84328798.11443119,84329722.62659253,84330426.19363537,84330973.60468172,84331408.43952045,84328762.76298495,84329689.24394652,84330395.5825404,84330945.93285277,84331383.60806964
2,2021-07-03,84325502.28590481,84326843.82352586,84327858.15569612,84328641.70703486,84329259.48566802,84325394.35672885,84326751.65167412,84327783.9627435,84328585.21311201,84329219.48368748,84325292.93064733,84326662.38995397,84327709.3025045,84328525.24509473,84329173.37071493,84325197.84284483,84326576.82880412,84327635.80942942,84328464.16566488,84329124.13906448,84325108.69941238,84326495.2230519,84327564.3189145,84328403.31335229,84329073.56215414,84325025.03272669,84326417.56126879,84327495.23338532,84328343.45121908,84329022.71507886,84324946.37076876,84326343.70153698,84327428.71465711,84328285.00743021,84328972.2569178,84324872.26707916,84326273.44202985,84327364.7892869,84328228.21019498,84328922.59118627,84324802.3122379,84326206.55832906,84327303.40813853,84328173.16626748,84328873.96061066,84324736.13662596,84326142.82317576,84327244.48086314,84328119.9079775,84328826.50492409,84324673.40916935,84326082.01670907,84327187.8961773,84328068.42208025,84328780.2970591,84324613.83437043,84326023.93146837,84327133.53388287,84328018.66778313,84328735.36631799,84324557.14876026,84325968.37449375,84327081.27198118,84327970.58816521,84328691.71347925,84324503.11731982,84325915.16782638,84327030.99082516,84327924.11747643,84328649.32079388,84324451.53012148,84325864.14814585,84326982.57546265,84327879.18582164,84328608.15867752
3,2021-07-04,84321009.60358998,84322818.87370025,84324228.7736391,84325342.39768018,84326235.3738552,84320871.25551403,84322695.97926992,84324126.97229466,84325263.1876842,84326178.34062208,84320741.5223119,84322577.19283523,84324024.69329597,84325179.21258847,84326112.65610993,84320620.14123902,84322463.54079029,84323924.17294066,84325093.79297797,84326042.60184474,84320506.56307694,84322355.33355224,84323826.54319537,84325008.80292447,84325970.71120632,84320400.1517204,84322252.52848583,84323732.33944687,84324925.30455272,84325898.51591904,84320300.27221549,84322154.91218896,84323641.76700151,84324843.88834387,84325826.95132379,84320206.3280563,84322062.19479166,84323554.84676498,84324764.8639321,84325756.58682203,84320117.77484846,84321974.05947404,84323471.49738881,84324688.37098429,84325687.76198414,84320034.1229475,84321890.1884178,84323391.58265464,84324614.44552717,84325620.66950853,84319954.9351101,84321810.27605331,84323314.93921316,84324543.0605497,84325555.40712534,84319879.82209589,84321734.03535444,84323241.39292628,84324474.15130618,84325492.01078258,84319808.4376482,84321661.20031114,84323170.76845957,84324407.63129194,84325430.47624697,84319740.47353293,84321591.52631763,84323102.89481416,84324343.40241238,84325370.77336827,84319675.65493649,84321524.78945528,84323037.60838994,84324281.36147383,84325312.85560507
4,2021-07-05,84315989.33160947,84318233.9288909,84320032.50300941,84321483.19514686,84322665.41496448,84315825.74208754,84318083.2477556,84319904.28117038,84321381.35103217,84322590.88984801,84315672.61101682,84317937.84424928,84319775.64139503,84321273.50481309,84322505.13512677,84315529.57642382,84317798.94665599,84319649.39242615,84321163.93471298,84322413.76374178,84315395.94502293,84317666.90375865,84319526.94327012,84321055.04667954,84322320.0917316,84315270.92850332,84317541.63379335,84319408.94888318,84320948.1967817,84322226.11894746,84315153.74673691,84317422.84923102,84319295.64870334,84320844.13230808,84322133.06202905,84315043.67073591,84317310.17254664,84319187.05137768,84320743.23896076,84322041.6575834,84314940.03773506,84317203.19663715,84319083.0386687,84320645.68436687,84321952.34123558,84314842.25339918,84317101.5162014,84318983.42519371,84320551.50379908,84321865.35670549,84314749.78830323,84317004.7435294,84318887.9932465,84320460.65254584,84321780.82399184,84314662.17213865,84316912.51580589,84318796.51319559,84320373.03846622,84321698.78291331,84314578.9873089,84316824.49778187,84318708.7553636,84320288.54247919,84321619.22140457,84314499.86269225,84316740.38194633,84318624.4967994,84320207.03155366,84321542.09416452,84314424.46790685,84316659.88739344,84318543.5249584,84320128.36695781,84321467.3350797
5,2021-07-06,84310679.03542428,84313305.37343164,84315462.95407602,84317236.45341979,84318703.27772912,84310496.14545086,84313131.36316556,84315311.23452418,84317113.65070866,84318612.05943549,84310325.1804828,84312963.67030793,84315159.20055719,84316983.73880845,84318507.17629136,84310165.69138245,84312803.6846858,84315010.16720736,84316851.88493411,84318395.51777062,84310016.86518373,84312651.77914873,84314865.78473659,84316720.9859555,84318281.14841929,84309877.78943825,84312507.83167785,84314726.80872129,84316592.666792,84318166.51395628,84309747.5667864,84312371.48611216,84314593.50342634,84316467.81595938,84318053.09731023,84309625.36196855,84312242.28594133,84314465.86157753,84316346.88556126,84317941.79192117,84309510.41774306,84312119.74377313,84314343.72771722,84316230.06529765,84317833.12217847,84309402.05655676,84312003.37714237,84314226.86892669,84316117.38626458,84317727.37764528,84309299.67596331,84311892.72630914,84314115.01589766,84316008.78425884,84317624.69689393,84309202.74163112,84311787.36229785,84314007.88687354,84315904.1390427,84317525.12098144,84309110.77977674,84311686.88964088,84313905.20149699,84315803.29898715,84317428.6281511,84309023.36987126,84311590.94628984,84313806.68862373,84315706.0966405,84317335.15666135,84308940.13797604,84311499.20206897,84313712.09049739,84315612.35857025,84317244.61996095
6,2021-07-07,84305232.87889475,84308184.72977297,84310663.14071846,84312734.96290994,84314471.61690086,84305035.84672691,84307991.98744556,84310491.43442385,84312593.59267655,84314365.15126118,84304851.82269211,84307806.42415443,84310319.53351595,84312444.16035934,84314242.81645016,84304680.29125361,84307629.55507852,84310151.18145637,84312292.62213454,84314112.67245592,84304520.34981005,84307461.76813897,84309988.23011744,84312142.30839531,84313979.46860392,84304370.99350679,84307302.90525319,84309831.5167859,84311995.07960765,84313846.05701908,84304231.2380227,84307152.55200869,84309681.32317522,84311851.94635257,84313714.16201918,84304100.16945665,84307010.1858916,84309537.62519255,84311713.41650964,84313584.81803122,84303976.96078302,84306875.25294492,84309400.2328831,84311579.69648133,84313458.62815244,84303860.8730727,84306747.20705253,84309268.87047672,84311450.81109045,84313335.92151757,84303751.25009139,84306625.52927692,84309143.22273336,84311326.67659254,84313216.851517,84303647.51039885,84306509.73642546,84309022.96184838,84311207.14587528,84313101.4583838,84303549.13890816,84306399.38380039,84308907.76292588,84311092.03675832,84312989.70975552,84303455.6788013,84306294.06485859,84308797.31263505,84310981.1498177,84312881.52731639,84303366.72417168,84306193.40929912,84308691.3137674,84310874.27960964,84312776.80447277
7,2021-07-08,84299623.50548798,84302861.78636439,84305634.56613718,84307987.54491656,84309983.57654607,84299415.62479489,84302653.37807938,84305445.32471475,84307829.35093205,84309862.96070012,84299221.59231868,84302452.88193971,84305256.00830248,84307662.24537201,84309724.44091468,84299040.84008756,84302261.91632904,84305070.73533188,84307492.89995177,84309577.16590627,84298872.39540443,84302080.88008863,84304891.53300878,84307325.03716494,84309426.52105549,84298715.18139017,84301909.58343326,84304719.30861881,84307160.7295848,84309275.73514062,84298568.1460622,84301747.56189312,84304554.35757239,84307001.09687522,84309126.75545816,84298430.31440248,84301594.23661692,84304396.63957264,84306846.69594061,84308980.74601477,84298300.80519964,84301448.99702457,84304245.93313634,84306697.74690685,84308838.38164227,84298178.83190133,84301311.24297225,84304101.92381556,84306554.26764348,84308700.02693553,84298063.69656353,84301180.40535247,84303964.2551528,84306416.1555811,84308565.84786415,84297954.78123595,84301055.95507905,84303832.55816635,84306283.23828225,84308435.88283378,84297851.53883705,84300937.40582314,84303706.46822959,84306155.30504218,84308310.08869062,84297753.48445204,84300824.31344683,84303585.63444792,84306032.12674277,84308188.37089804,84297660.1874345,84300716.27377152,84303469.7245353,84305913.46831346,84308070.60352454
8,2021-07-09,84293886.75781147,84297374.68905237,84300415.46182692,84303031.4270594,84305274.85903586,84293670.64285307,84297153.34124564,84300211.00121102,84302858.13832273,84305141.2347255,84293469.0049605,84296940.51461144,84300006.57863784,84302675.18625017,84304987.84462121,84293281.23784979,84296737.91209677,84299806.63729005,84302489.88501821,84304824.84025185,84293106.31692915,84296545.94092815,84299613.35546559,84302306.30834621,84304658.19214824,84292943.11175694,84296364.38459522,84299427.70005246,84302126.71808653,84304491.47492222,84292790.51991063,84296192.73684202,84299249.97726922,84301952.3306032,84304326.84000659,84292647.52073714,84296030.37193269,84299080.13179812,84301783.74562737,84304165.56950799,84292513.19251591,84295876.63224088,84298917.91396789,84301621.19452232,84304008.40314639,84292386.71305591,84295730.87278043,84298762.97506367,84301464.68795536,84303855.737097,84292267.3531729,84295592.4828357,84298614.9222692,84301314.10562092,84303707.74795073,84292154.4675498,84295460.8952826,84298473.35037595,84301169.25162552,84303564.47158079,84292047.48510605,84295335.58930491,84298337.85986805,84301029.88904023,84303425.85415293,84291945.89983773,84295216.08963476,84298208.06691119,84300895.76156363,84303291.78554784,84291849.26251751,84295101.96405226,84298083.60849516,84300766.60708143,84303162.12146814
9,2021-07-10,84287902.49398667,84291614.73387237,84294908.18495746,84297778.45733911,84300265.14614,84287679.66083284,84291381.97910039,84294689.75064708,84297590.95108327,84300119.0445821,84287471.83157067,84291158.29319227,84294471.46670939,84297393.08049212,84299951.3968889,84287278.36640702,84290945.45255296,84294258.07421917,84297192.76533017,84299773.3177154,84287098.19639526,84290743.87056239,84294051.88949925,84296994.409893,84299591.339176,84286930.14567092,84290553.30594984,84293853.93332101,84296800.45374659,84299409.36739133,84286773.06921694,84290373.21453196,84293664.52097948,84296612.20364454,84299229.74911961,84286625.90795219,84290202.92828172,84293483.5825719,84296430.29894486,84299053.87915055,84286487.70611791,84290041.74726778,84293310.84182939,84296254.98091598,84298882.55881594,84286357.61163083,84289888.98625933,84293145.91794033,84296086.25281784,84298716.21396987,84286234.86914451,84289743.99725085,84292988.38414998,84295923.97707888,84298555.0308177,84286118.81045608,84289606.17906508,84292837.80150469,84295767.93521582,84298399.04227953,84286008.84444177,84289474.98003912,84292693.7380356,84295617.86516224,84298248.18380496,84285904.44750668,84289349.89708321,84292555.77930188,84295473.48463038,84298102.3299075,84285805.1549431,84289230.47293356,84292423.53376961,84295334.50569955,84297961.31830098
