,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,4045008.074787145,4045018.141367504,4045024.9665628667,4045029.8394828574,4045033.460537052,4045007.1480746754,4045017.4515204453,4045024.4629803696,4045029.4829113516,4045033.2217842573,4045006.268484101,4045016.7779880776,4045023.9529473847,4045029.102541729,4045032.945567857,4045005.436088731,4045016.1272797934,4045023.447651597,4045028.713131573,4045032.6494960496,4045004.6488126884,4045015.501957259,4045022.953020728,4045028.3231602646,4045032.344065828,4045003.903740918,4045014.902558137,4045022.4721002015,4045027.937566805,4045032.035703002,4045003.197730555,4045014.3285788437,4045022.006307353,4045027.559216077,4045031.7284035524,4045002.5276955394,4045013.7789951437,4045021.5561230513,4045027.189722422,4045031.424664667,4045001.890733013,4045013.25254459,4045021.1214865893,4045026.8299304317,4045031.126034673,4045001.284171695,4045012.747881526,4045020.7020272524,4045026.480204578,4045030.833448938,4045000.7055817503,4045012.2636618996,4045020.2972028293,4045026.1406082064,4045030.5474408716,4045000.1527661653,4045011.798588563,4045019.906383537,4045025.8110164506,4045030.268277608,4044999.6237438913,4045011.3514340464,4045019.528903168,4045025.491188619,4045029.9960489897,4044999.116730045,4045010.921050399,4045019.164090182,4045025.180815157,4045029.7307268805,4044998.6301158383,4045010.506371655,4045018.811286347,4045024.879548354,4045029.4722052277
1,2021-07-02,4044922.143929605,4044946.725803203,4044964.0537284915,4044976.762005509,4044986.390770178,4044920.0136509915,4044945.0554696266,4044962.790538094,4044975.844638683,4044985.7648140173,4044917.999451453,4044943.4295155294,4044961.514076239,4044974.8676896687,4044985.0414972077,4044916.10022862,4044941.863204262,4044960.2523398856,4044973.8692705897,4044984.267206987,4044914.310083817,4044940.3621785934,4044959.0199847016,4044972.87117831,4044983.4695452964,4044912.6213592924,4044938.927201344,4044957.8243831727,4044971.886019574,4044982.665356282,4044911.026033041,4044937.5565659776,4044956.6688162824,4044970.9210286606,4044981.865066909,4044909.5163515983,4044936.2473652703,4044955.5542295934,4044969.9802109106,4044981.075150847,4044908.0850979937,4044934.996173523,4044954.480232622,4044969.0655927067,4044980.2995838914,4044906.725682535,4044933.799416387,4044953.445682379,4044968.177973164,4044979.5407325383,4044905.4321482,4044932.6535696187,4044952.449030441,4044967.317387559,4044978.7999116206,4044904.199136559,4044931.555262287,4044951.488531723,4044966.483398785,4044978.077742406,4044903.021837448,4044930.501326015,4044950.562370506,4044965.6752834725,4044977.374387013,4044901.8959340896,4044929.488813659,4044949.6687360574,4044964.892152171,4044976.6897042985,4044900.817549406,4044928.5150008677,4044948.805867118,4044964.133027453,4044976.0233548693
2,2021-07-03,4044811.6759486357,4044852.281830345,4044881.897439592,4044904.1463456634,4044921.304741516,4044808.3521414404,4044849.5537641905,4044879.7677015383,4044902.5634204247,4044920.205590601,4044805.218830215,4044846.9046616815,4044877.6197178527,4044900.8801351828,4044918.936808214,4044802.272682628,4044844.358744036,4044875.500572467,4044899.1624560584,4044917.5801865417,4044799.5030826693,4044841.924448456,4044873.434649967,4044897.447953623,4044916.184311814,4044796.896894463,4044839.6022800053,4044871.4339845036,4044895.7582205744,4044914.778750108,4044794.4406202706,4044837.3887880556,4044869.503705742,4044894.105527396,4044913.3817277546,4044792.121357696,4044835.2786472165,4044867.645029118,4044892.496557851,4044912.004493523,4044789.927187352,4044833.26576767,4044865.8569526128,4044890.934585068,4044910.6538954065,4044787.847287657,4044831.3438905454,4044864.137243679,4044889.420778036,4044909.3339530732,4044785.8719208124,4044829.506902746,4044862.4830232863,4044887.9550053272,4044908.0468438044,4044783.992361334,4044827.7489961185,4044860.89111495,4044886.536339141,4044906.793534812,4044782.2008027956,4044826.064739465,4044859.3582536015,4044885.1633760654,4044905.574196457,4044780.490260381,4044824.4491017913,4044857.8812094084,4044883.8344432837,4044904.388476471,4044778.8544776365,4044822.89744869,4044856.4568593325,4044882.5477318573,4044903.2356841937
3,2021-07-04,4044683.684585489,4044740.243037336,4044782.768344978,4044815.4207815616,4044841.0153095163,4044679.300667679,4044736.493915304,4044779.7553342087,4044813.132904786,4044839.4004971315,4044675.1777498336,4044732.8606384015,4044776.7214686433,4044810.7030471773,4044837.5381974685,4044671.309705169,4044729.375652976,4044773.733192409,4044808.226794837,4044835.5490081534,4044667.6810277146,4044726.0496434686,4044770.8245920953,4044805.758386563,4044833.504455423,4044664.27313617,4044722.882445764,4044768.012201167,4044803.328818289,4044831.447953431,4044661.067196804,4044719.868554611,4044765.3027822026,4044800.9555491693,4044829.406164656,4044658.0453513586,4044716.999991612,4044762.697592084,4044798.6479469365,4044827.395455305,4044655.1911944035,4044714.267825177,4044760.194795918,4044796.4104569852,4044825.4257084667,4044652.4898952083,4044711.6629777593,4044757.790866248,4044794.2445022487,4044823.502649978,4044649.928154784,4044709.17664652,4044755.481407378,4044792.1496496224,4044821.6293055248,4044647.494091842,4044706.800510776,4044753.261645116,4044790.124339615,4044819.806934014,4044645.1771039465,4044704.5268209614,4044751.1267175465,4044788.1663491987,4044818.0356365712,4044642.9677263503,4044702.348422003,4044749.071845499,4044786.2730881795,4044816.3147599013,4044640.857498924,4044700.258741123,4044747.092429416,4044784.441789796,4044814.6431666417
4,2021-07-05,4044542.976498602,4044614.5867254403,4044669.938731651,4044713.299887827,4044747.804457553,4044537.709612474,4044609.9101723274,4044666.0783754475,4044710.309534574,4044745.6612019865,4044532.765592168,4044605.385690636,4044662.196715676,4044707.137107277,4044743.191499084,4044528.135385577,4044601.0528524104,4044658.378678227,4044703.9078043336,4044740.555914615,4044523.798903701,4044596.9240204673,4044654.6674680654,4044700.692432827,4044737.8495453787,4044519.7326100143,4044592.998087347,4044651.0837168996,4044697.5312520373,4044735.1299781436,4044515.9128864342,4044589.267387629,4044647.63553872,4044694.4467587,4044732.432458863,4044512.3174731773,4044585.7212823103,4044644.324031851,4044691.450857014,4044729.778515864,4044508.9260081965,4044582.3480473296,4044641.1463856883,4044688.5490277335,4044727.1810532087,4044505.7201442583,4044579.135868141,4044638.097676002,4044685.742824183,4044724.6474560625,4044502.683473209,4044576.073351309,4044635.17191841,4044683.0314019183,4044722.1815346084,4044499.8013695544,4044573.149771052,4044632.362690993,4044680.412473399,4044719.7847678624,4044497.060808171,4044570.3551694816,4044629.6635013386,4044677.882911838,4044717.4571140665,4044494.450182415,4044567.6803766233,4044627.067999553,4044675.439136458,4044715.1975464765,4044491.959134475,4044565.116987535,4044624.5700974003,4044673.0773591273,4044713.0044116965
5,2021-07-06,4044393.55647132,4044478.784752136,4044546.376510005,4044600.324339684,4044643.864412201,4044387.599465641,4044473.307275739,4044541.740020427,4044596.664508643,4044641.2028454463,4044382.0160612455,4044468.0153428456,4044537.0835475326,4044592.7856070315,4044638.1381352358,4044376.794459435,4044462.954394166,4044532.5088622374,4044588.841134472,4044634.8702290193,4044371.9105980634,4044458.137945135,4044528.0673565357,4044584.9176470162,4044631.5173952784,4044367.3367470023,4044453.563800715,4044523.78322789,4044581.06413432,4044628.151101494,4044363.0452898466,4044449.2221919904,4044519.665643936,4044577.307774279,4044624.8149536443,4044359.0103187426,4044445.099980003,4044515.7153888326,4044573.662764939,4044621.5354663488,4044355.2082124846,4044441.182859415,4044511.9286084226,4044570.1354557113,4044618.3284238884,4044351.6177415336,4044437.456510533,4044508.298968597,4044566.7274156376,4044615.2027568133,4044348.2199599524,4044433.9071850614,4044504.818917332,4044563.4373106887,4044612.162966861,4044344.998010524,4044430.5219824635,4044501.4804270878,4044560.262072947,4044609.2106769565,4044341.9369043014,4044427.2889565392,4044498.2754296684,4044557.1976382183,4044606.345639747,4044339.0233035753,4044424.1971296985,4044495.1960662534,4044554.239415083,4044603.566403306,4044336.245321033,4044421.2364584883,4044492.23482519,4044551.3825839227,4044600.8707554564
6,2021-07-07,4044237.3938295897,4044334.737244035,4044413.8082559495,4044478.028477593,4044530.5505534424,4044230.9142674943,4044328.5836537457,4044408.4758234792,4044473.744112565,4044527.3915894264,4044224.848185263,4044322.645382564,4044403.125894045,4044469.207131371,4044523.7565054833,4044219.18141386,4044316.9726199503,4044397.875274381,4044464.5974946185,4044519.883189228,4044213.886637421,4044311.5796428444,4044392.7825684845,4044460.0164133045,4044515.912187163,4044208.9327505715,4044306.4631450423,4044387.8750259564,4044455.520939924,4044511.9282677844,4044204.288948898,4044301.6114145485,4044383.1626181193,4044451.142521132,4044507.983008279,4044199.92643408,4044297.009060496,4044378.645718789,4044446.8973945077,4044504.1076423903,4044195.819014855,4044292.6394803463,4044374.3194245654,4044442.792624455,4044500.3206479377,4044191.9431975707,4044288.4861415816,4044370.1760387416,4044438.829707469,4044496.6323690712,4044188.278049353,4044284.53322686,4044366.20651921,4044435.0067747636,4044493.047905657,4044184.8049707143,4044280.7659326782,4044362.4013266847,4044431.319961525,4044489.568958438,4044181.5074435566,4044277.170578856,4044358.7509187474,4044427.7642687256,4044486.195028173,4044178.3707854454,4044273.7346159127,4044355.246031542,4044424.3341095457,4044482.9242059705,4044175.381923515,4044270.4465791276,4044351.8778329175,4044421.0236564158,4044479.753699838
7,2021-07-08,4044076.7463068077,4044184.546064544,4044274.135487679,4044348.114078368,4044409.383371362,4044069.899473549,4044177.8440689147,4044268.197339943,4044343.261949371,4044405.758378351,4044063.495361424,4044171.3828084175,4044262.244962764,4044338.1275463365,4044401.589445417,4044057.5178946285,4044165.21615283,4044256.40818961,4044332.9149357486,4044397.1501373635,4044051.937267105,4044159.3588203886,4044250.7517908835,4044327.7386180316,4044392.601909022,4044046.719835415,4044153.8064427194,4044245.305548773,4044322.6629037573,4044388.0419723545,4044041.832421276,4044148.5455923565,4044240.0800140267,4044317.7230342976,4044383.5293262685,4044037.2440884113,4044143.5589340525,4044235.075094053,4044312.9370137784,4044379.0995666375,4044032.926754296,4044138.8279036344,4044230.284875966,4044308.3124735784,4044374.7736318368,4044028.855266124,4044134.334092157,4044225.7003937946,4044303.8507684693,4044370.563128484,4044025.007240212,4044130.0599365574,4044221.3112371257,4044299.549475858,4044366.4736585184,4044021.3628089535,4044125.9890340166,4044217.106490083,4044295.403946839,4044362.5069420515,4044017.9043444456,4044122.106251762,4044213.07527547,4044291.408280386,4044358.6621954567,4044014.61619087,4044118.3977271426,4044209.2070627143,4044287.5559393996,4044354.9370384156,4044011.484419296,4044114.850810991,4044205.4918331997,4044283.840140631,4044351.3280972196
8,2021-07-09,4043912.1965365517,4044028.9649895523,4044128.150102225,4044211.350272386,4044281.084085109,4043905.097261299,4044021.8217439945,4044121.6880906937,4044205.9853992155,4044277.025634069,4043898.4612650233,4044014.9403980477,4044115.215406243,4044200.3120752857,4044272.3605892556,4043892.271061792,4044008.3776800935,4044108.8731052564,4044194.556170663,4044267.395797354,4043886.4950515805,4044002.1485596118,4044102.7312147357,4044188.8441605703,4044262.312185428,4043881.0977804796,4043996.247719904,4044096.8216227526,4044183.2468560524,4044257.218522975,4043876.0443864674,4043990.6602727575,4044091.155299992,4044177.802861477,4044252.180674343,4043871.302422855,4043985.3672510013,4044085.7316770917,4044172.5317116934,4044247.238245744,4043866.8424750883,4043980.3484562472,4044080.5439038156,4044167.441489221,4044242.414414679,4043862.6382247806,4043975.5839237673,4044075.581861107,4044162.533365554,4044237.7219137126,4043858.6662712637,4043971.054648119,4044070.833907985,4044157.804368818,4044233.166766536,4043854.905859737,4043966.7429086887,4044066.2878980218,4044153.2490988756,4044228.750669933,4043851.338587227,4043962.6323785274,4044061.9317658255,4044148.8608025685,4044224.4725385583,4043847.9481192166,4043958.708117547,4044057.75385677,4044144.632052075,4044220.3295204486,4043844.7199307694,4043954.956506437,4044053.743102064,4044140.5551729803,4044216.317671466
9,2021-07-10,4043744.41288465,4043868.743723673,4043976.6087032203,4044068.4637284447,4044146.333549893,4043737.1485339887,4043861.251699983,4043969.6984201856,4044062.639763277,4044141.8751575267,4043730.3610226624,4043854.038740073,4043962.781025473,4044056.4843720156,4044136.7527022227,4043724.031911782,4043847.1637673737,4043956.00714682,4044050.242971484,4044131.30381667,4043718.1284036944,4043840.6418852666,4043949.4512539934,4044044.052737284,4044125.7274137135,4043712.613841687,4043834.4669694267,4043943.146976398,4044037.99025859,4044120.142912893,4043707.452248337,4043828.6229274157,4043937.10558597,4044032.097101518,4044114.6224824428,4043702.610178426,4043823.0894607347,4043931.3260530257,4044026.394121826,4044109.209390828,4043698.0573382126,4043817.845045117,4043925.800679501,4044020.8897593394,4044103.9288416863,4043693.7666410175,4043812.868458112,4043920.518320376,4044015.584979226,4044098.7945676832,4043689.714016603,4043808.1395312976,4043915.4662482725,4044010.4762803596,4044093.812945427,4043685.8781266497,4043803.639483757,4043910.631235537,4044005.5575571926,4044088.9856171506,4043682.240058882,4043799.351029379,4043906.0001762286,4044000.8212651173,4044084.311189458,4043678.7830331842,4043795.25836398,4043901.560433823,4043996.2591541666,4044079.786348832,4043675.492133615,4043791.3470912506,4043897.300024029,4043991.862730779,4044075.406601503
