,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334062.6262078,84334210.48400544,84334309.26330477,84334379.08889279,84334430.60884053,84334048.88062648,84334200.4350712,84334302.01448217,84334373.99882878,84334427.22140063,84334035.81262425,84334190.61211845,84334294.66647488,84334368.56570028,84334423.30075876,84334023.42654243,84334181.11104427,84334287.38041455,84334362.99985342,84334419.09630015,84334011.69452894,84334171.97041538,84334280.24204496,84334357.42234375,84334414.75678669,84334000.57587804,84334163.19929127,84334273.29574637,84334351.90385678,84334410.37338066,84333990.0261105,84334154.79146118,84334266.56248987,84334346.48554789,84334406.00286156,84333980.00124079,84334146.73300315,84334260.04974563,84334341.19074892,84334401.68079197,84333970.45970443,84334139.00639804,84334253.75714622,84334336.03180452,84334397.42929366,84333961.36312465,84334131.59279723,84334247.67981267,84334331.01419277,84334393.26179805,84333952.67650148,84334124.47327131,84334241.81034784,84334326.1390738,84334389.18603094,84333944.36811954,84334117.62948349,84334236.14004709,84334321.404899,84334385.20593292,84333936.40932752,84334111.04403402,84334230.65963867,84334316.80844425,84334381.32291931,84333928.7742686,84334104.7006148,84334225.35973583,84334312.34548116,84334377.53672083,84333921.43960238,84334098.58405505,84334220.23110953,84334308.01121694,84334373.84595178
1,2021-07-02,84332801.78530946,84333176.88992482,84333436.05465281,84333623.46387514,84333763.99793471,84332768.88811985,84333151.69875537,84333417.31373818,84333610.01444034,84333754.90236996,84332737.72109506,84333127.13874209,84333398.35361601,84333595.67904888,84333744.38565566,84332708.27736992,84333103.44391684,84333379.59012407,84333581.01534384,84333733.1201549,84332680.47488427,84333080.70372164,84333361.24230194,84333566.34300426,84333721.50632174,84332654.20306712,84333058.93385485,84333343.42155139,84333551.84759414,84333709.78892122,84332629.34445326,84333038.11237985,84333326.17863831,84333537.63619103,84333698.1198235,84332605.78462236,84333018.19879115,84333309.52958207,84333523.76862544,84333686.59363517,84332583.41651519,84332999.14431345,84333293.47041309,84333510.2757076,84333675.26874551,84332562.14199732,84332980.89752007,84333277.9858086,84333497.17019781,84333664.18017863,84332541.87208025,84332963.40738048,84333263.0542435,84333484.4535779,84333653.34766287,84332522.5265088,84332946.62486668,84333248.65110038,84333472.1203164,84333642.78081603,84332504.03307667,84332930.50374119,84333234.75055598,84333460.16059764,84333632.48254305,84332486.32685408,84332915.00087859,84333221.32672085,84333448.56208816,84333622.45129788,84332469.34941928,84332900.07632323,84333208.35431649,84333437.31108832,84333612.68260938
2,2021-07-03,84331126.18495046,84331768.29513955,84332225.69196862,84332563.45284832,84332820.5875664,84331072.95274511,84331725.76540373,84332193.13235757,84332539.60343322,84332804.21129917,84331022.66330716,84331684.39370629,84332160.24817461,84332514.21526588,84332785.29338944,84330975.28174315,84331644.56548859,84332127.76046295,84332488.27996752,84332765.04879247,84330930.6542654,84331606.42096947,84332096.0455291,84332462.36398269,84332744.20008522,84330888.5841775,84331569.97631633,84332065.29167122,84332436.79434036,84332723.18786208,84330848.86663043,84331535.18518418,84332035.58171973,84332411.75819185,84332702.28454016,84330811.30428955,84331501.97104855,84332006.93842277,84332387.35869132,84332681.65896875,84330775.71388692,84331470.24455263,84331979.35025208,84332363.64757115,84332661.41459355,84330741.92836532,84331439.91288169,84331952.78645387,84332340.6447218,84332641.61275332,84330709.7969099,84331410.88477798,84331927.20598738,84332318.35025527,84332622.2872957,84330679.1840131,84331383.07312566,84331902.56289153,84332296.75208536,84332603.4539596,84330649.96815038,84331356.39616671,84331878.80951649,84332275.8307637,84332585.11651354,84330622.04035558,84331330.77794406,84331855.89845616,84332255.56259818,84332567.27083552,84330595.30283676,84331306.14831397,84331833.78367946,84332235.92167662,84332549.90765889
3,2021-07-04,84329136.29906671,84330057.88399321,84330733.26201244,84331241.90487412,84331634.71292129,84329063.99970463,84329997.7761867,84330685.9795664,84331206.58829306,84331610.10547443,84328995.85864693,84329939.41758017,84330638.2978805,84331169.0360418,84331581.70226212,84328931.80076261,84329883.3405982,84330591.26192127,84331130.72006136,84331551.3348427,84328871.5928852,84329829.72986862,84330545.41244914,84331092.47841883,84331520.09104343,84328814.94743931,84329778.59536855,84330501.0159737,84331054.79254866,84331488.63269213,84328761.5693291,84329729.86007766,84330458.1857472,84331017.93584774,84331457.3676549,84328711.17669708,84329683.40582582,84330416.94818549,84330982.05706905,84331426.54754904,84328663.50929986,84329639.09774011,84330377.28054735,84330947.22889587,84331396.3254611,84328618.33095814,84329596.79734224,84330339.13284321,84330913.47710063,84331366.79116648,84328575.42921369,84329556.36946516,84330302.44079472,84330880.79847887,84331337.99320984,84328534.61374494,84329517.6857427,84330267.13357556,84330849.17209353,84331309.95306438,84328495.714315,84329480.6261815,84330233.13844037,84330818.56642836,84331282.67438342,84328458.57863362,84329445.07966107,84330200.38346653,84330788.9439851,84331256.14913869,84328423.07031442,84329410.94384417,84330168.79913637,84330760.26425344,84331230.36174352
4,2021-07-05,84326893.99858391,84328093.03000262,84328995.33115648,84329687.5720501,84330229.45858265,84326804.85214953,84328016.10038619,84328933.24361308,84329640.3268748,84330196.07554446,84326720.99621809,84327941.53248051,84328870.7147574,84329590.1421491,84330157.57176638,84326642.30934678,84327869.99372804,84328809.11401202,84329538.99103302,84330116.43918374,84326568.47897896,84327801.7052363,84328749.14463133,84329487.99361823,84330074.15600123,84326499.12957858,84327736.66543941,84328691.14839078,84329437.79041812,84330031.61969987,84326433.8800662,84327674.7630018,84328635.26576412,84329388.74259058,84329989.38170283,84326372.36884645,84327615.8356384,84328581.5237242,84329341.04426914,84329947.78071076,84326314.26357462,84327559.70130768,84328529.88544631,84329294.78794207,84329907.02146003,84326259.26368853,84327506.17479317,84328480.27912758,84329250.003652,84329867.22276309,84326207.09958011,84327455.07635729,84328432.61497322,84329206.68306713,84329828.4476065,84326157.53031334,84327406.23601986,84328386.79529421,84329164.79454246,84329790.7224329,84326110.34083077,84327359.49540368,84328342.7205077,84329124.29267703,84329754.0497237,84326065.33910702,84327314.7082318,84328300.2926591,84329085.12443614,84329718.41633478,84326022.35346222,84327271.7400925,84328259.4174272,84329047.23309076,84329683.79908483
5,2021-07-06,84324453.87330836,84325917.4914805,84327046.97348142,84327928.92160684,84328628.3123634,84324350.61726962,84325825.1783349,84326970.62045246,84327869.77382813,84328585.9505717,84324253.64437684,84325735.82601032,84326893.81467535,84327807.00352007,84328537.1238611,84324162.7859693,84325650.22054988,84326818.23695911,84327743.08534351,84328485.00263311,84324077.65579645,84325568.6112809,84326744.7444909,84327679.42024444,84328431.46538146,84323997.79872172,84325490.98131528,84326673.74850975,84327616.80599254,84328377.65044998,84323922.75684398,84325417.18375221,84326605.41269347,84327555.68947084,84328324.25529669,84323852.09791064,84325347.01238652,84326539.76175658,84327496.30817287,84328271.70659104,84323785.42607234,84325280.23902316,84326476.74280916,84327438.77249707,84328220.26068226,84323722.38433293,84325216.63317455,84326416.26084481,84327383.11503415,84328170.06486055,84323662.65319228,84325155.97222982,84326358.19958839,84327329.32078785,84328121.19571362,84323605.94768248,84325098.04638809,84326302.43383588,84327277.34604841,84328073.68367693,84323552.01387607,84325042.6606961,84326248.83674423,84327227.13034047,84328027.52903558,84323500.62538528,84324989.63549401,84326197.28407466,84327178.60405396,84327982.71250965,84323451.58008794,84324938.80600621,84326147.65657724,84327131.69333616,84327939.20233801
6,2021-07-07,84321856.52463536,84323565.43408783,84324916.46010034,84325989.41066529,84326850.9349422,84321741.95463377,84323459.5096565,84324826.7629787,84325918.71802741,84326799.63818493,84321634.49511665,84323357.10711421,84324736.62710392,84325843.75758484,84326740.54939683,84321533.93342549,84323259.1134323,84324648.02341035,84325767.49158758,84326677.51667318,84321439.81901273,84323165.79872093,84324561.95075724,84325691.59284382,84326612.81760786,84321351.62865347,84323077.12867942,84324478.88270485,84325617.01029415,84326547.8299699,84321268.83941227,84322992.92157221,84324399.00202738,84325544.2722952,84326483.39573239,84321190.95962732,84322912.9294686,84324322.32892846,84325473.65666452,84326420.02804182,84321117.54032458,84322836.88093041,84324248.79335895,84325405.28951128,84326358.0334589,84321048.17749093,84322764.50340572,84324178.27674775,84325339.20436727,84326297.58646981,84320982.51020299,84322695.53467797,84324110.6364439,84325275.37839381,84326238.77611083,84320920.21704513,84322629.72832307,84324045.72012724,84325213.75495449,84326181.63578527,84320861.01200178,84322566.85586922,84323983.37427588,84325154.25787371,84326126.1626769,84320804.64038771,84322506.70715684,84323923.44905691,84325096.80051868,84326072.33057457,84320750.8750682,84322449.0897422,84323865.80104145,84325041.29160118,84326020.09844035
7,2021-07-08,84319134.37205583,84321065.23454596,84322627.93645209,84323889.4949502,84324914.748512,84319011.11939478,84320947.60780051,84322526.05095504,84323807.84667172,84324854.7449761,84318895.63291256,84320834.00933462,84322423.76006716,84323721.33323003,84324785.66566601,84318787.6619946,84320725.40968795,84322323.29869442,84323633.38054837,84324712.02132563,84318686.70322162,84320622.093523,84322225.79310769,84323545.9188975,84324636.47911434,84318592.17824669,84320524.00853254,84322131.77153343,84323460.03945036,84324560.64984517,84318503.51192656,84320430.94039284,84322041.43198334,84323376.34638833,84324485.51556176,84318420.16517581,84320342.60306345,84321954.78852259,84323295.1542621,84324411.6727006,84318341.646794,84320258.68605699,84321871.7536419,84323216.60262658,84324339.47569951,84318267.51552549,84320178.87910122,84321792.18569244,84323140.72456333,84324269.12450503,84318197.37773165,84320102.88463913,84321715.91659462,84323067.48858565,84324200.71929799,84318130.88328566,84320030.4236916,84321642.7681164,84322996.824722,84324134.29546376,84318067.72095342,84319961.23808427,84321572.5613917,84322928.64095949,84324069.84633742,84318007.61385742,84319895.09070154,84321505.12237902,84322862.83369097,84324007.3382106,84317950.315285,84319831.76470287,84321440.28485715,84322799.29436773,84323946.72034204
8,2021-07-09,84316307.4690304,84318435.73517287,84320198.0419412,84321643.56737982,84322832.15137786,84316177.75524637,84318308.23469374,84320085.19030477,84321551.6648947,84322763.77562758,84316056.3049074,84318185.20610723,84319971.97918689,84321454.3504914,84322685.09784399,84315942.83710949,84318067.68818016,84319860.8801367,84321355.4848392,84322601.26788159,84315836.8074,84317955.97552195,84319753.13246773,84321257.23871444,84322515.3280347,84315737.59506291,84317849.99851541,84319649.31180558,84321160.83537272,84322429.11294927,84315644.58504024,84317749.5135135,84319549.6281395,84321066.94870913,84322343.73868522,84315557.20212199,84317654.20078216,84319454.08843465,84320975.92637217,84322259.88090768,84315474.92303197,84317563.71560672,84319362.5880823,84320887.91928203,84322177.93917263,84315397.27828927,84317477.71483111,84319274.96346633,84320802.95898357,84322098.13700275,84315323.84950966,84317395.87020826,84319191.02259655,84320721.00489794,84322020.58444053,84315254.26488654,84317317.87457332,84319110.56304805,84320641.97369137,84321945.31799074,84315188.19417286,84317243.44409953,84319033.38240486,84320565.75775613,84321872.32657556,84315125.3437831,84317172.3184404,84318959.28421065,84320492.23692521,84321801.56863904,84315065.45228407,84317104.25976926,84318888.08120005,84320421.28591041,84321732.98354091
9,2021-07-10,84313392.00315033,84315692.53758797,84317640.81149791,84319263.93797459,84320613.85986638,84313257.62197277,84315556.8548525,84317518.22416529,84319162.54793897,84320537.52007408,84313131.86422746,84315426.02185875,84317395.3300854,84319055.25017788,84320449.71873184,84313014.4267726,84315301.13240777,84317274.81020546,84318946.30819276,84320356.21527211,84312904.735254,84315182.48783712,84317158.00295866,84318838.1148699,84320260.40927443,84312802.13816679,84315070.00282297,84317045.52467644,84318732.0147974,84320164.34806672,84312705.99149525,84314963.40825213,84316937.59465596,84318628.74532925,84320069.274601,84312615.69385198,84314862.35549419,84316834.21235767,84318528.68367746,84319975.9391603,84312530.6987384,84314766.4706658,84316735.25693734,84318431.99027507,84319884.78342456,84312450.5162542,84314675.38269985,84316640.54436679,84318338.6943312,84319796.05256344,84312374.71012454,84314588.73737639,84316549.86065131,84318248.74603955,84319709.8652666,84312302.89287747,84314506.2037316,84316462.9812281,84318162.04898553,84319626.2584306,84312234.72053428,84314427.47631995,84316379.68221538,84318078.48050576,84319545.21617179,84312169.88744777,84314352.27524886,84316299.74678518,84317997.90456696,84319466.68892545,84312108.12156203,84314280.34505965,84316222.96859072,84317920.17992097,84319390.60615173
